,1
0,298
1,172
2,54
3,351
4,294
5,313
6,358
7,274
8,39
9,271
10,348
11,329
12,223
13,133
14,275
15,22
16,330
17,38
18,164
19,301
20,10
21,353
22,333
23,2
24,292
25,368
26,285
27,43
28,75
29,134
30,288
31,109
32,37
33,96
34,142
35,239
36,207
37,320
38,230
39,128
40,234
41,397
42,41
43,302
44,249
45,1
46,56
47,291
48,61
49,140
50,231
51,243
52,89
53,370
54,74
55,161
56,157
57,110
58,193
59,7
60,264
61,215
62,131
63,276
64,295
65,4
66,296
67,284
68,70
69,394
70,163
71,104
72,210
73,139
74,278
75,398
76,14
77,5
78,66
79,192
80,85
81,366
82,354
83,299
84,383
85,129
86,60
87,55
88,184
89,149
90,122
91,356
92,186
93,247
94,388
95,203
96,90
97,378
98,399
99,293
100,6
101,217
102,267
103,371
104,119
105,242
106,94
107,357
108,263
109,137
110,180
111,381
112,80
113,170
114,35
115,300
116,57
117,111
118,117
119,208
120,15
121,189
122,124
123,97
124,224
125,321
126,16
127,373
128,160
129,18
130,343
131,188
132,72
133,63
134,46
135,23
136,92
137,252
138,112
139,77
140,86
141,342
142,261
143,135
144,69
145,33
146,206
147,221
148,338
149,179
150,364
151,71
152,30
153,158
154,297
155,99
156,262
157,34
158,144
159,218
160,42
161,308
162,62
163,168
164,105
165,238
166,152
167,143
168,390
169,385
170,176
171,393
172,177
173,345
174,174
175,26
176,205
177,50
178,254
179,11
180,362
181,24
182,159
183,101
184,282
185,233
186,183
187,280
188,377
189,93
190,76
191,311
192,167
193,31
194,108
195,146
196,226
197,317
198,106
199,334
200,401
201,395
