,1,2,3,4,5,6,7,8,9,10
0,71,177,94,381,259,133,320,218,266,267
1,327,301,358,13,63,289,319,301,290,231
2,80,204,95,144,139,281,370,390,190,227
3,213,28,305,159,102,251,182,152,349,96
4,385,374,91,321,216,236,42,262,307,32
5,236,165,272,192,87,272,157,210,104,21
6,10,381,383,23,291,80,170,190,74,269
7,247,289,345,370,290,311,123,331,331,240
8,7,283,15,28,54,129,120,362,385,225
9,227,79,176,246,72,155,360,63,381,133
10,189,53,205,269,333,215,353,372,170,333
11,333,214,294,89,98,43,116,225,333,219
12,367,396,102,375,104,49,70,6,149,194
13,31,206,156,32,346,376,372,64,315,346
14,23,59,222,194,300,35,366,336,219,51
15,63,246,135,251,281,179,6,337,4,33
16,284,65,215,348,355,200,135,57,334,34
17,217,216,371,91,292,371,267,163,379,364
18,28,51,280,294,225,273,243,186,37,27
19,157,77,45,81,13,279,318,209,185,82
20,93,330,357,79,134,206,298,380,354,17
21,187,250,76,352,247,54,67,314,162,339
22,260,5,224,355,323,124,331,319,319,250
23,169,270,115,33,109,146,336,240,366,156
24,96,163,319,197,118,216,357,394,394,88
25,230,382,328,262,131,209,242,9,376,229
26,196,355,5,36,220,229,317,313,223,270
27,38,306,195,353,210,93,343,346,141,148
28,365,397,368,319,114,369,346,392,71,68
29,165,359,234,330,43,218,12,242,172,176
30,83,263,390,58,111,322,217,250,308,50
31,303,81,361,121,251,58,394,136,117,86
32,339,69,97,103,214,11,66,98,62,224
33,223,275,179,49,121,15,266,388,249,92
34,334,388,322,356,165,127,278,267,76,314
35,177,145,248,31,57,118,128,146,197,401
36,174,152,247,64,187,44,277,402,373,382
37,120,210,124,160,293,365,215,73,265,104
38,36,44,327,225,101,346,399,199,305,282
39,161,99,103,395,399,263,333,224,53,62
40,116,258,338,402,182,131,159,92,93,61
41,297,93,241,309,75,4,45,349,29,222
42,19,153,10,137,59,395,172,194,64,402
43,186,300,360,230,385,65,37,378,364,58
44,155,122,177,90,156,354,214,59,176,271
45,97,297,225,284,260,350,158,323,202,99
46,123,271,295,55,99,355,301,374,310,265
47,180,170,17,126,42,189,227,100,222,377
48,39,50,344,132,142,321,20,246,337,260
49,357,333,127,273,321,384,153,151,49,345
50,396,138,207,305,178,394,84,213,247,254
51,26,150,306,18,360,237,189,161,186,255
52,290,142,340,104,9,139,223,120,13,179
53,118,314,61,6,209,112,177,195,213,328
54,89,366,85,323,199,114,377,34,63,283
55,257,195,150,386,347,295,192,327,302,336
56,336,259,246,135,319,39,174,58,40,75
57,366,66,284,367,49,220,202,145,73,180
58,246,22,107,288,206,142,280,353,277,8
59,281,25,88,291,46,157,340,265,44,41
60,103,189,297,268,233,343,175,2,65,335
61,267,245,20,153,132,26,140,0,311,20
62,212,112,66,383,376,186,229,391,80,47
63,201,368,262,202,392,160,218,322,178,155
64,384,151,58,128,127,119,55,324,226,57
65,126,342,377,34,170,368,127,71,0,192
66,1,217,145,85,382,140,289,31,345,117
67,53,354,92,311,137,298,188,291,57,3
68,250,202,56,261,213,366,22,254,54,366
69,386,241,232,397,207,264,268,83,388,293
70,312,225,106,35,45,375,152,170,363,359
71,43,387,72,248,56,397,44,260,365,327
72,111,272,55,166,322,59,31,277,48,18
73,170,243,169,219,238,297,93,365,111,140
74,183,97,83,94,339,327,73,139,187,206
75,240,257,313,308,124,310,121,354,95,187
76,198,203,25,322,191,378,134,231,85,276
77,356,91,281,275,372,161,324,153,9,249
78,395,173,250,242,168,238,265,239,196,9
79,353,6,296,285,267,23,213,293,284,157
80,135,277,278,220,377,178,198,35,38,127
81,387,68,80,297,10,174,328,80,193,184
82,343,229,243,186,33,53,371,401,264,151
83,228,176,184,141,0,222,228,14,258,40
84,125,111,111,10,180,342,339,247,261,196
85,32,154,320,228,326,107,273,179,314,304
86,326,281,101,176,32,307,196,86,267,390
87,127,15,18,325,130,226,253,169,163,158
88,64,36,311,161,152,165,288,363,360,169
89,321,343,210,106,68,282,387,321,164,56
90,190,372,42,306,162,377,375,181,119,123
91,70,334,299,4,198,325,334,252,216,349
92,166,233,7,204,324,313,383,272,320,286
