,1,2,3,4
0,383,187,192,97
1,224,159,189,260
2,214,327,108,272
3,351,309,113,322
4,314,12,329,58
5,334,166,217,367
6,143,169,11,349
7,131,354,203,107
8,229,9,224,210
9,392,37,129,244
10,188,395,117,303
11,92,291,298,236
12,126,182,170,146
13,241,15,326,306
14,222,355,387,350
15,221,279,115,209
16,345,324,116,299
17,46,387,31,275
18,39,337,179,226
19,308,343,64,72
20,97,185,282,309
21,391,143,315,284
22,63,347,92,30
23,54,269,383,240
24,189,87,131,1
25,88,194,360,217
26,402,118,399,75
27,102,98,143,361
28,270,161,395,175
29,310,293,241,5
30,290,21,168,202
31,211,321,230,119
32,226,123,35,17
33,328,226,200,99
34,80,295,311,10
35,96,389,351,225
36,50,274,236,311
37,256,383,268,7
38,344,164,74,192
39,194,244,368,115
40,318,256,234,222
41,53,319,36,52
42,278,7,197,95
43,325,227,30,3
44,6,70,81,57
45,94,382,290,68
46,132,128,69,352
47,341,83,141,91
48,206,367,164,139
49,305,149,97,337
50,355,105,260,397
51,91,103,22,239
52,329,348,49,43
53,16,220,397,15
54,18,393,102,227
55,227,22,257,245
56,375,222,381,267
57,176,397,280,216
58,218,290,130,44
59,253,68,158,120
60,240,342,155,73
61,100,373,14,253
62,49,160,172,127
63,150,267,176,394
64,271,29,245,241
65,337,192,138,177
66,185,402,308,330
67,285,257,166,159
68,296,181,288,286
69,379,352,134,165
70,8,377,47,179
71,162,155,46,383
72,352,82,359,193
73,119,168,252,252
74,153,142,228,149
75,30,148,285,157
76,220,376,305,93
77,336,305,153,66
78,174,357,365,71
79,112,124,332,87
80,274,221,71,298
81,191,237,327,110
82,165,165,211,27
83,203,371,270,362
84,320,94,127,86
85,73,139,78,82
86,43,386,163,343
87,223,213,391,158
88,44,152,320,151
89,71,369,90,189
90,239,286,322,346
91,2,346,106,186
92,47,248,232,182
93,62,203,95,25
94,31,140,254,338
95,366,176,48,147
96,32,126,385,136
97,321,287,94,259
98,300,167,182,153
99,127,110,23,368
100,286,312,286,218
101,128,375,18,41
102,52,137,337,317
103,99,146,16,128
104,98,86,118,54
105,164,91,77,137
106,160,306,275,335
107,76,252,362,47
108,84,63,80,392
109,359,186,231,39
110,142,16,140,11
111,171,122,324,12
112,322,51,124,32
113,21,209,58,2
114,10,229,207,122
115,22,329,259,297
116,45,325,398,341
117,382,285,374,400
118,378,133,289,364
119,289,8,41,265
120,287,350,39,20
121,29,358,93,37
122,261,71,183,206
123,231,107,85,211
124,238,34,307,235
125,154,232,317,233
126,193,3,57,340
127,210,45,348,296
128,323,239,63,42
129,208,180,133,401
130,397,353,195,200
131,376,84,61,293
132,364,241,53,34
133,245,116,267,163
134,281,17,240,106
135,145,138,87,140
136,129,225,17,281
137,120,132,301,261
138,283,172,379,271
139,140,246,175,231
140,87,85,8,234
141,66,183,258,142
142,38,365,279,103
143,339,254,59,308
144,57,69,273,19
145,139,49,24,372
146,166,366,314,224
147,374,360,325,126
148,141,93,214,36
149,254,202,156,238
150,267,81,43,131
151,380,38,333,173
152,118,212,52,290
153,15,384,160,378
154,311,385,367,381
155,371,66,193,355
156,361,318,226,171
157,186,153,344,167
158,331,158,292,133
159,183,4,229,185
160,319,130,253,237
161,368,215,181,51
162,41,177,26,334
163,83,250,376,287
164,297,119,120,331
165,377,48,345,26
166,390,374,364,152
167,1,97,15,289
168,42,326,283,228
169,133,154,100,102
170,363,77,350,212
171,242,217,194,89
172,399,298,114,135
173,332,399,111,98
174,262,310,302,301
175,122,125,12,323
176,159,10,336,124
177,396,197,242,112
178,175,204,205,294
179,169,284,349,279
180,75,361,128,181
181,307,11,278,358
182,386,264,251,170
183,20,200,184,199
184,284,101,295,316
185,248,72,250,116
186,181,115,123,366
187,215,23,137,250
188,86,40,29,382
189,74,92,0,345
190,37,275,400,360
191,335,392,174,48
192,195,76,235,100
193,85,56,249,203
194,40,27,103,369
195,209,323,352,332
196,124,247,263,342
197,346,380,145,380
198,115,135,341,105
199,275,339,261,143
200,263,242,212,45
201,200,205,45,70
