,1
0,83
1,250
2,324
3,82
4,51
5,336
6,219
7,289
8,88
9,328
10,25
11,214
12,196
13,286
14,181
15,365
16,315
17,87
18,387
19,0
20,360
21,166
22,150
23,331
24,260
25,391
26,91
27,162
28,175
29,36
30,246
31,248
32,8
33,279
34,200
35,277
36,272
37,116
38,340
39,190
40,287
41,199
42,376
43,147
44,148
45,402
46,59
47,102
48,68
49,227
50,304
51,220
52,255
53,27
54,222
55,258
56,344
57,171
58,44
59,359
60,197
61,352
62,306
63,29
64,369
65,309
66,118
67,136
68,95
69,323
70,327
71,114
72,326
73,244
74,81
75,202
76,126
77,47
78,251
79,132
80,32
81,225
82,229
83,185
84,367
85,341
86,182
87,389
88,52
89,173
90,165
91,268
92,67
93,151
94,194
95,127
96,73
97,79
98,169
99,305
100,98
101,40
102,100
103,361
104,322
105,325
106,211
107,156
108,145
109,232
110,138
111,240
112,350
113,347
114,379
115,273
116,58
117,396
118,28
119,363
120,245
121,155
122,123
123,337
124,319
125,17
126,237
127,49
128,339
129,253
130,13
131,187
132,281
133,374
134,241
135,141
136,216
137,310
138,355
139,201
140,65
141,154
142,236
143,386
144,121
145,3
146,332
147,115
148,53
149,195
150,346
151,20
152,212
153,235
154,335
155,266
156,204
157,21
158,78
159,316
160,103
161,19
162,307
163,375
164,113
165,372
166,198
167,213
168,392
169,303
170,107
171,265
172,257
173,125
174,228
175,283
176,400
177,384
178,191
179,45
180,349
181,84
182,153
183,312
184,130
185,209
186,256
187,290
188,269
189,9
190,64
191,178
192,314
193,318
194,48
195,380
196,382
197,270
198,120
199,259
200,12
