,1,2,3,4,5,6,7,8,9,10
0,287,288,27,368,241,259,341,107,23,207
1,363,391,19,57,21,337,49,149,239,284
2,34,386,230,271,200,193,212,264,240,368
3,298,284,380,116,52,360,16,85,47,253
4,48,363,333,241,227,353,323,51,128,280
5,330,32,386,293,358,152,125,196,103,35
6,154,365,330,389,362,130,230,1,131,272
7,56,261,159,39,48,284,64,166,322,142
8,342,124,379,185,211,319,262,56,389,299
9,91,316,300,178,183,67,297,347,97,26
10,361,248,166,187,5,166,146,359,32,100
11,6,247,367,50,88,232,263,114,274,242
12,109,23,33,180,58,81,311,144,75,218
13,128,55,395,163,254,208,237,281,272,214
14,237,254,226,239,307,286,392,21,181,153
15,112,114,9,222,34,88,381,171,192,198
16,320,230,0,20,230,312,246,76,335,220
17,139,307,227,245,179,329,82,121,242,381
18,294,320,149,196,302,231,126,302,351,287
19,359,192,287,331,100,77,109,236,34,124
20,44,183,366,122,172,38,330,164,248,150
21,401,103,120,83,120,388,294,373,18,262
22,300,252,382,52,338,48,314,95,346,200
23,45,328,385,359,173,20,380,350,158,285
24,149,100,193,287,20,255,39,249,180,1
25,273,385,133,342,189,331,295,28,194,386
26,261,308,343,332,116,169,369,289,329,324
27,49,120,394,398,394,171,72,255,20,178
28,314,298,140,207,190,250,259,62,173,107
29,79,390,372,400,161,393,232,384,312,12
30,301,186,57,154,273,352,41,303,296,191
31,16,113,192,243,89,61,94,29,105,203
32,195,167,90,27,29,134,200,36,86,95
33,173,86,49,358,39,145,390,221,283,134
34,220,78,335,210,240,188,337,82,61,64
35,27,156,261,54,279,21,118,10,238,5
36,20,302,321,276,94,367,47,66,151,89
37,307,329,350,328,341,294,247,191,72,306
38,222,101,314,14,391,99,18,215,28,73
39,131,171,165,304,163,164,124,185,358,323
40,46,126,39,286,219,212,75,24,235,186
41,215,303,62,133,305,45,315,124,118,172
42,5,276,110,388,374,324,367,297,321,288
43,202,215,23,45,196,336,348,317,39,154
44,355,238,163,127,282,76,160,396,179,38
45,133,321,93,183,164,184,304,159,183,275
46,141,378,6,373,224,109,2,307,142,173
47,389,76,52,313,71,239,354,47,316,352
48,2,341,3,399,342,71,325,268,167,237
49,288,340,221,175,329,128,396,67,2,63
50,137,280,268,152,353,386,86,17,352,43
51,98,33,64,0,287,8,40,338,17,332
52,92,200,13,380,85,347,100,251,293,36
53,193,107,157,119,239,210,376,367,15,90
54,397,58,289,208,8,389,107,74,102,109
55,110,110,118,387,135,14,102,141,207,292
56,76,21,68,73,221,0,185,211,298,321
57,291,94,256,209,70,183,224,352,232,251
58,370,377,229,390,105,276,358,201,287,325
59,306,402,237,7,61,249,338,284,206,383
60,15,123,4,340,398,85,388,25,16,354
61,224,45,270,134,229,362,226,140,348,303
62,221,348,326,172,223,266,25,123,285,76
63,207,169,24,63,73,290,271,333,399,338
64,254,294,309,138,3,89,400,295,280,22
65,243,38,40,347,340,110,113,325,220,358
66,13,205,291,226,250,240,168,41,380,118
67,158,311,341,189,192,338,69,4,124,11
68,377,199,190,344,86,24,104,381,244,159
69,239,164,307,236,261,341,362,183,344,52
70,208,96,400,84,316,177,71,230,148,46
71,354,282,29,191,95,70,234,39,110,79
72,241,42,285,307,337,95,245,99,225,146
73,399,236,269,142,166,370,14,220,356,228
74,25,309,105,173,268,2,261,276,253,160
75,178,136,174,360,128,187,87,104,306,53
76,390,253,44,200,252,199,57,128,137,19
77,244,345,14,203,16,261,162,330,270,167
78,311,20,21,312,149,396,199,69,168,378
79,278,30,275,274,74,358,38,292,336,277
80,172,2,147,30,314,168,183,205,107,367
81,383,129,89,279,79,356,3,122,400,120
82,194,157,132,70,285,333,28,189,395,213
83,197,305,325,302,317,33,269,223,384,278
84,256,162,160,109,269,5,105,127,282,241
85,94,131,304,181,22,202,161,162,362,337
86,168,98,378,40,7,104,137,65,295,379
87,341,63,312,82,354,105,76,188,94,392
88,364,393,373,364,113,66,9,23,204,70
89,251,61,53,224,277,228,60,357,99,66
90,84,179,119,354,82,36,30,75,14,193
91,72,207,239,221,26,328,201,235,361,221
92,337,19,148,38,244,170,136,266,139,232
93,322,231,168,327,234,73,395,72,56,348
94,29,394,38,111,318,25,293,84,229,230
95,122,249,122,123,158,234,34,285,382,114
96,18,56,141,254,218,351,303,304,171,312
97,324,73,259,86,351,225,285,8,50,199
98,277,29,346,218,301,385,327,282,123,341
99,68,46,155,24,402,185,89,329,203,135
100,235,40,302,227,373,135,368,18,184,147
101,81,285,43,149,90,22,191,97,289,128
102,101,232,82,136,327,283,98,155,297,398
103,151,14,158,289,12,373,384,356,26,302
104,304,67,252,376,371,144,236,358,35,274
105,66,83,351,17,350,292,151,89,325,376
106,41,37,267,164,160,374,156,253,402,7
107,167,54,337,125,14,198,222,202,383,84
108,233,180,336,320,11,323,0,134,25,316
109,350,62,71,396,92,274,78,306,3,393
110,144,1,128,349,330,62,260,154,377,261
111,12,87,60,253,368,79,62,207,255,145
112,308,383,201,198,235,175,23,44,359,83
113,35,168,355,361,119,121,178,370,250,71
114,285,290,142,1,380,196,115,102,368,395
115,153,357,36,157,65,382,173,257,237,391
116,266,401,303,72,320,64,145,274,157,197
117,265,392,376,92,388,12,141,245,109,116
118,52,279,129,351,364,141,187,138,6,137
119,328,362,279,99,37,361,385,214,393,15
120,205,375,121,299,396,197,50,332,215,106
121,11,304,370,229,15,138,176,148,318,98
122,74,49,342,177,375,243,43,96,67,263
123,156,222,216,168,123,182,61,27,375,65
124,276,60,180,341,343,6,52,326,355,59
125,382,191,374,74,203,253,391,243,309,320
126,380,27,104,184,334,233,103,12,332,44
127,392,350,238,324,69,400,150,19,252,217
128,279,220,347,259,80,305,195,315,96,162
129,295,84,213,281,335,87,74,105,68,97
130,280,132,67,114,258,245,181,222,195,138
131,132,125,164,300,41,31,1,263,1,94
132,317,188,288,217,201,63,80,32,189,195
133,338,149,317,263,257,204,10,399,301,329
134,69,90,30,392,344,267,282,79,98,181
135,318,346,218,147,231,159,281,299,36,101
136,129,212,108,61,386,82,398,54,146,161
137,102,105,96,346,366,101,305,16,338,334
138,88,34,182,393,276,19,283,106,91,362
139,204,313,206,47,265,390,361,147,260,238
140,329,181,244,213,30,30,342,318,326,113
141,275,360,236,372,177,103,81,283,241,108
142,347,139,100,214,361,126,299,316,41,37
143,130,48,329,5,76,173,7,129,369,290
144,323,242,214,296,106,315,167,70,7,102
145,182,198,349,97,155,97,310,108,211,119
146,152,266,255,260,175,291,374,288,89,268
147,108,344,26,62,150,102,130,49,372,394
148,142,264,191,169,284,162,132,364,221,110
149,255,336,126,171,264,241,401,193,286,355
150,248,64,134,292,228,332,190,204,327,209
151,305,71,1,216,384,207,258,135,228,307
152,42,398,172,240,122,387,112,286,304,216
153,362,318,22,333,212,223,248,178,313,48
154,95,57,265,283,359,153,53,341,112,72
155,371,187,323,112,138,275,208,212,324,301
156,62,16,397,401,143,391,349,395,43,2
157,200,326,31,76,236,224,147,400,273,266
158,159,384,260,37,367,260,272,229,51,144
159,269,119,87,165,253,28,347,157,113,309
160,136,209,175,391,55,399,193,53,114,23
161,188,143,185,179,270,227,308,296,120,115
162,61,134,178,234,169,52,203,130,236,215
163,263,226,266,25,299,235,21,203,262,185
164,238,208,35,223,369,123,309,112,224,4
165,344,351,254,264,296,50,254,233,154,319
166,114,219,331,252,271,306,329,78,387,208
167,99,265,219,98,381,75,148,248,246,331
168,219,146,231,316,215,383,251,368,254,139
169,368,31,69,69,174,288,17,360,5,16
170,348,52,271,26,64,349,26,275,398,129
171,78,158,264,371,35,115,359,256,138,45
172,286,13,393,101,312,280,138,143,147,315
173,73,12,253,19,4,278,108,88,130,317
174,119,128,196,68,146,271,216,175,70,189
175,374,95,273,162,331,381,316,279,106,236
176,9,155,171,78,232,56,99,241,208,389
177,179,228,245,199,249,203,276,5,66,6
178,325,117,396,394,283,363,363,348,153,400
179,104,356,2,338,378,372,290,87,45,226
180,117,159,251,317,280,10,255,309,401,175
181,90,197,117,278,126,18,275,271,374,60
182,289,147,109,11,295,78,166,180,279,372
183,134,322,112,232,18,309,393,369,218,10
184,65,296,354,237,272,29,143,77,188,205
185,274,286,34,231,91,401,169,398,275,330
186,67,82,365,265,50,339,287,379,370,49
187,393,293,125,314,222,247,205,15,230,81
188,345,182,384,301,129,257,356,312,145,239
189,231,335,116,350,133,98,59,174,212,204
190,206,255,389,88,83,285,249,270,353,31
191,216,116,59,67,188,60,63,382,78,202
192,372,291,209,369,390,13,46,344,12,305
193,57,332,240,105,356,213,5,393,92,93
194,376,339,263,44,125,398,364,278,257,357
195,50,349,223,339,84,154,32,339,79,212
196,176,194,298,56,176,143,180,300,227,340
197,86,367,153,255,157,379,274,42,52,371
198,259,287,398,282,315,304,184,200,299,235
199,296,389,228,318,53,125,165,217,256,55
200,113,18,235,3,345,219,322,244,129,67
