,1,2,3,4
0,327,150,247,247
1,69,96,1,395
2,199,207,277,365
3,103,156,121,292
4,51,109,355,83
5,234,332,27,132
6,288,336,389,14
7,216,14,34,101
8,167,147,255,213
9,298,1,161,13
10,217,28,233,130
11,3,240,112,191
12,338,282,126,90
13,59,359,394,194
14,251,363,334,223
15,93,243,272,201
16,28,104,363,166
17,246,266,287,266
18,294,394,132,64
19,156,271,380,155
20,367,193,309,307
21,157,316,306,385
22,110,303,208,282
23,201,258,188,138
24,250,328,68,243
25,170,219,169,214
26,324,0,390,393
27,187,234,150,40
28,4,19,271,156
29,259,260,323,391
30,260,157,104,249
31,243,265,171,123
32,343,191,28,251
33,117,283,154,125
34,56,64,396,376
35,213,288,335,221
36,225,75,9,63
37,340,210,206,215
38,106,322,342,219
39,306,307,291,374
40,232,251,25,197
41,387,235,4,113
42,401,42,201,38
43,362,381,91,33
44,135,88,384,288
45,395,259,222,59
46,356,277,10,354
47,269,379,152,96
48,373,333,33,81
49,151,224,177,269
50,192,31,216,144
51,400,178,96,220
52,304,211,238,305
53,388,90,67,270
54,0,61,146,314
55,249,78,219,373
56,394,238,248,344
57,264,173,227,256
58,79,368,256,61
59,108,121,401,230
60,136,311,274,88
61,11,296,209,377
62,219,114,3,319
63,372,89,202,320
64,299,170,139,176
65,207,276,354,325
66,190,281,147,168
67,293,151,371,188
68,33,41,370,318
69,236,245,369,169
70,109,313,353,258
71,348,214,366,196
72,326,47,105,263
73,163,43,119,172
74,152,73,218,371
75,114,144,148,300
76,291,201,185,399
77,313,315,157,162
78,347,26,264,198
79,358,223,144,291
80,198,344,392,370
81,12,261,284,67
82,95,262,313,268
83,107,13,375,312
84,138,196,42,161
85,13,231,159,333
86,247,74,142,65
87,172,338,378,160
88,357,340,136,108
89,155,188,296,329
90,27,370,107,387
91,161,80,98,310
92,230,199,38,24
93,272,100,110,117
94,58,171,331,304
95,381,44,246,207
96,235,195,19,92
97,177,33,82,31
98,48,341,297,174
99,301,299,294,74
100,330,102,5,396
101,333,304,338,56
102,78,297,135,18
103,178,120,239,262
104,158,396,186,353
105,233,175,109,274
106,180,390,262,190
107,312,289,339,242
108,90,233,243,326
109,370,300,244,62
110,303,190,88,386
111,146,388,215,46
112,17,127,187,60
113,23,35,210,205
114,268,272,198,78
115,266,134,75,23
116,212,141,388,76
117,197,253,162,84
118,144,36,62,50
119,385,317,54,324
120,81,400,393,248
121,34,117,377,257
122,89,280,51,379
123,279,302,180,109
124,384,308,13,4
125,252,391,330,359
126,205,145,191,389
127,196,65,347,9
128,61,99,21,22
129,137,58,402,178
130,295,372,340,21
131,36,398,6,348
132,309,349,151,85
133,265,278,65,111
134,82,330,303,321
135,168,301,318,94
136,173,334,316,384
137,148,356,55,77
138,111,314,50,121
139,147,345,265,255
140,26,79,293,145
141,258,378,266,363
142,280,67,356,129
143,393,112,79,6
144,244,294,221,204
145,70,184,178,328
146,65,162,328,246
147,25,106,7,375
148,104,198,173,187
149,14,57,223,195
150,149,206,165,398
151,349,111,358,35
152,292,113,319,49
153,255,364,60,356
154,277,24,276,141
155,316,335,213,280
156,134,401,73,134
157,365,46,199,277
158,19,263,386,180
159,315,30,125,351
160,60,320,372,150
161,35,59,225,232
162,317,62,357,283
163,116,129,32,8
164,182,131,56,154
165,389,218,101,118
166,204,249,37,276
167,105,268,299,104
168,7,25,149,339
169,273,216,310,148
170,302,6,343,278
171,353,163,66,29
172,398,228,70,302
173,5,54,83,336
174,276,179,89,388
175,9,362,196,16
176,360,108,237,285
177,77,351,20,295
178,350,60,281,184
179,130,20,76,55
180,64,95,2,208
181,68,136,190,79
182,67,174,382,402
183,257,189,361,0
184,202,230,44,28
185,24,18,84,229
186,113,331,167,357
187,125,292,220,183
188,282,273,86,327
189,228,50,300,254
190,101,236,346,390
191,184,53,40,313
192,342,2,321,80
193,72,55,269,114
194,123,270,204,53
195,237,32,373,164
196,369,5,304,69
197,179,52,312,273
198,55,255,72,264
199,354,208,99,347
200,121,39,122,315
