,1
0,493
1,432
2,1092
3,942
4,220
5,290
6,284
7,948
8,1282
9,1248
10,828
11,926
12,1019
13,1218
14,224
15,822
16,976
17,1189
18,892
19,300
20,667
21,499
22,1229
23,1200
24,1136
25,1230
26,65
27,910
28,285
29,158
30,623
31,1036
32,1300
33,1035
34,1165
35,1106
36,328
37,1120
38,1347
39,71
40,825
41,1249
42,502
43,1223
44,229
45,895
46,653
47,1228
48,1213
49,268
50,971
51,39
52,766
53,580
54,38
55,693
56,862
57,1233
58,407
59,660
60,1034
61,1152
62,1338
63,364
64,123
65,501
66,682
67,15
68,1310
69,298
70,791
71,1133
72,1215
73,218
74,708
75,103
76,49
77,378
78,678
79,683
80,325
81,2
82,535
83,370
84,1169
85,130
86,1043
87,720
88,992
89,1354
90,1278
91,821
92,1345
93,956
94,661
95,972
96,1007
97,260
98,970
99,1208
100,1180
101,1188
102,944
103,902
104,458
105,688
106,617
107,1030
108,873
109,1154
110,1142
111,658
112,761
113,205
114,211
115,834
116,816
117,974
118,1328
119,409
120,560
121,195
122,1239
123,724
124,1140
125,1065
126,117
127,47
128,1107
129,940
130,1356
131,901
132,1306
133,914
134,774
135,1206
136,1042
137,801
138,397
139,352
140,1009
141,115
142,1314
143,1080
144,52
145,844
146,233
147,521
148,677
149,706
150,133
151,199
152,692
153,581
154,671
155,567
156,289
157,776
158,1225
159,369
160,929
161,713
162,361
163,63
164,1299
165,332
166,1094
167,203
168,555
169,1079
170,533
171,1086
172,1110
173,1289
174,40
175,366
176,1316
177,1360
178,762
179,334
180,506
181,638
182,915
183,1183
184,999
185,1114
186,958
187,1259
188,897
189,709
190,170
191,421
192,161
193,702
194,1224
195,523
196,273
197,805
198,755
199,727
200,649
201,1176
202,879
203,116
204,833
205,340
206,441
207,89
208,113
209,569
210,1272
211,1071
212,139
213,726
214,67
215,557
216,532
217,1127
218,36
219,624
220,593
221,266
222,558
223,597
224,50
225,480
226,477
227,253
228,798
229,769
230,596
231,417
232,746
233,857
234,475
235,1304
236,393
237,162
238,1275
239,479
240,221
241,757
242,1144
243,239
244,107
245,694
246,408
247,960
248,827
249,149
250,536
251,1292
252,655
253,358
254,126
255,106
256,810
257,714
258,156
259,280
260,966
261,271
262,226
263,785
264,76
265,278
266,681
267,1349
268,696
269,782
270,54
271,957
272,110
273,33
274,183
275,1318
276,403
277,772
278,1261
279,1040
280,509
281,57
282,1267
283,10
284,893
285,620
286,850
287,1184
288,1341
289,1102
290,616
291,1016
292,656
293,80
294,412
295,1195
296,1163
297,128
298,751
299,381
300,610
301,1
302,865
303,591
304,556
305,365
306,1196
307,467
308,1264
309,153
310,854
311,572
312,491
313,771
314,1058
315,686
316,1339
317,534
318,918
319,1214
320,83
321,794
322,398
323,22
324,602
325,934
326,996
327,1041
328,1362
329,1160
330,874
331,1240
332,1061
333,55
334,1069
335,650
336,399
337,701
338,1124
339,109
340,924
341,526
342,784
343,1050
344,1037
345,308
346,609
347,764
348,102
349,711
350,1064
351,257
352,839
353,718
354,164
355,413
356,346
357,1271
358,1295
359,664
360,166
361,423
362,954
363,240
364,896
365,1320
366,1025
367,48
368,357
369,1352
370,1369
371,1337
372,58
373,73
374,1193
375,1147
376,1162
377,1117
378,733
379,963
380,1210
381,512
382,235
383,941
384,754
385,368
386,275
387,442
388,625
389,887
390,832
391,201
392,651
393,973
394,745
395,1308
396,436
397,165
398,497
399,1095
400,192
401,511
402,200
403,131
404,700
405,659
406,691
407,375
408,947
409,330
410,831
411,400
412,704
413,309
414,618
415,335
416,1350
417,6
418,1294
419,197
420,586
421,984
422,1017
423,811
424,807
425,30
426,571
427,738
428,1008
429,1141
430,539
431,503
432,717
433,662
434,69
435,190
436,387
437,1353
438,1276
439,878
440,548
441,565
442,1359
443,1132
444,1231
445,198
446,1146
447,82
448,1131
449,864
450,698
451,933
452,1059
453,515
454,1286
455,242
456,803
457,465
458,394
459,333
460,1367
461,758
462,1305
463,430
464,1057
465,35
466,707
467,338
468,542
469,595
470,84
471,1309
472,898
473,426
474,1093
475,1283
476,1111
477,1190
478,1032
479,630
480,339
481,1209
482,259
483,568
484,427
485,474
486,1247
487,1202
488,742
489,353
490,87
491,25
492,866
493,243
494,21
495,1297
496,884
497,437
498,780
499,815
500,1145
501,4
502,26
503,425
504,1235
505,613
506,383
507,360
508,342
509,598
510,168
511,787
512,1122
513,1090
514,1205
515,249
516,433
517,151
518,261
519,42
520,237
521,637
522,562
523,1333
524,1257
525,14
526,245
527,1172
528,1277
529,998
530,1022
531,1255
532,114
533,180
534,264
535,582
536,468
537,577
538,169
539,1129
540,1027
541,217
542,1089
543,952
544,455
545,859
546,3
547,471
548,589
549,155
550,304
551,1128
552,773
553,1198
554,1343
555,989
556,301
557,1237
558,254
559,1166
560,622
561,752
562,448
563,429
564,299
565,144
566,1355
567,478
568,977
569,174
570,1357
571,579
572,23
573,11
574,445
575,551
576,8
577,657
578,1068
579,981
580,111
581,98
582,424
583,44
584,402
585,561
586,389
587,78
588,1108
589,454
590,81
591,631
592,79
593,77
594,43
595,750
596,809
597,1119
598,351
599,1113
