,1,2,3,4,5,6,7,8,9,10
0,217,249,1312,209,710,877,1096,720,1337,560
1,544,914,1198,140,409,1274,1046,1338,255,903
2,931,269,1196,907,360,1195,278,791,1010,622
3,1144,451,904,179,1197,513,363,686,513,607
4,114,1030,110,256,477,489,6,1008,938,898
5,1266,827,579,1297,1070,354,502,908,1238,942
6,539,1333,1209,1305,1064,1257,746,892,788,1339
7,1207,1018,1218,169,1238,391,744,407,27,988
8,452,285,638,849,828,418,96,1212,503,670
9,1319,1158,342,1128,526,79,69,910,235,514
10,310,1329,1299,1055,11,1129,162,18,686,188
11,1309,1212,535,375,1274,23,274,1266,885,1068
12,1238,1108,571,100,413,692,1006,313,505,763
13,1136,1072,1037,264,217,994,525,364,106,100
14,728,1173,973,969,1210,775,465,967,68,695
15,321,1360,191,219,336,675,68,432,870,1084
16,545,53,321,932,499,1169,624,861,634,1255
17,93,828,1108,975,151,765,1315,744,979,665
18,1090,1258,505,611,174,299,726,283,669,298
19,262,44,414,491,816,67,861,685,627,219
20,1127,1178,1188,1047,22,221,271,182,1074,408
21,1222,250,1033,1227,928,1094,798,217,501,1326
22,1340,179,536,614,665,699,119,1236,1229,842
23,1108,52,970,217,1179,22,1053,889,276,312
24,427,642,259,330,270,879,75,155,433,448
25,1126,147,1200,127,906,573,400,826,529,905
26,295,698,1322,52,1287,362,802,876,862,437
27,378,736,595,589,525,1113,807,50,904,444
28,501,960,703,1104,573,1231,1084,1132,133,1269
29,825,931,104,609,1037,818,180,822,1100,1261
30,72,482,660,1304,260,565,372,1034,779,1058
31,1283,868,404,1359,760,963,715,638,546,783
32,538,1166,274,120,1355,747,1260,73,483,1331
33,717,1109,761,9,1221,328,487,1138,230,1174
34,44,509,1027,1029,243,84,1326,553,1208,1212
35,762,733,622,344,72,350,1059,126,489,1193
36,1255,798,1253,1360,53,693,827,186,766,97
37,67,1040,520,1168,31,342,3,216,362,1199
38,168,303,815,592,204,480,220,1339,727,890
39,919,1236,924,1173,426,1174,232,1095,1179,4
40,158,226,1050,678,221,951,1027,776,995,1027
41,1194,271,19,1155,815,783,388,1203,1104,1021
42,867,963,127,830,373,916,32,160,615,691
43,623,232,856,346,1041,475,386,314,357,712
44,1268,1205,1116,607,900,1252,281,767,828,211
45,151,78,947,646,690,1276,208,101,399,1037
46,1027,198,958,8,1156,566,635,78,821,987
47,512,381,942,620,483,1229,449,927,378,421
48,374,578,679,550,1292,522,299,597,152,15
49,1113,1032,294,97,595,73,841,130,30,742
50,937,609,1140,222,1044,505,917,304,1307,359
51,398,342,633,738,371,1116,198,646,325,915
52,614,1280,573,916,896,117,1105,1169,110,1252
53,107,326,675,377,259,20,920,136,10,806
54,1278,105,188,402,1174,148,842,1228,1314,477
55,405,612,740,1279,590,801,1256,147,1082,198
56,1073,551,715,1266,412,159,724,853,625,1041
57,349,382,408,1076,291,311,774,202,437,671
58,269,854,324,534,1278,585,1094,1320,78,609
59,1071,19,1291,1267,442,158,490,1304,667,105
60,420,1171,514,23,905,1282,1330,86,496,173
61,1241,60,745,132,825,1223,866,306,1260,830
62,641,1315,557,85,498,1166,611,529,544,928
63,180,536,482,910,732,189,733,267,1290,520
64,1122,410,691,1063,881,1185,1353,951,867,120
65,8,211,1167,571,359,368,616,1070,776,1182
66,802,977,67,490,1305,139,266,1342,1249,999
67,1170,1128,211,456,1291,389,444,301,1013,1090
68,764,794,1036,1311,787,219,1099,460,11,1175
69,288,224,1128,554,199,146,946,60,418,255
70,362,330,604,1100,703,45,1370,1094,699,1061
71,1286,526,804,367,262,1015,1168,790,406,72
72,1267,11,257,1344,94,1337,543,1150,363,374
73,984,873,668,238,584,1221,277,1080,372,141
74,625,305,662,1001,770,1199,1250,657,646,125
75,918,212,897,57,278,126,222,239,335,1065
76,548,1260,36,370,765,862,127,336,950,119
77,508,242,648,879,36,569,625,901,948,1283
78,124,322,841,998,714,440,1265,320,20,766
79,973,113,428,1090,1229,1329,664,408,966,1189
80,1012,1275,583,1282,1319,1109,1103,794,139,320
81,761,1007,356,518,1058,1345,426,671,1109,1218
82,1028,1291,362,670,470,1111,1290,750,462,817
83,57,258,552,207,773,1309,55,752,871,625
84,304,909,832,920,907,355,177,1321,1233,174
85,948,1363,1345,2,1240,752,1270,1282,1134,1235
86,36,241,644,591,523,77,1253,1137,54,840
87,715,27,651,26,1354,740,218,1335,641,1285
88,372,1024,971,51,1198,846,333,1263,208,1048
89,959,1306,657,746,369,1014,628,595,935,1306
90,189,151,1274,405,1029,666,1231,823,302,937
91,221,1320,609,1012,596,1192,659,1168,877,532
92,223,574,1327,872,1299,157,764,1290,1217,185
93,1171,31,705,795,1356,821,499,714,833,500
94,1322,25,1288,1156,13,240,867,981,49,44
95,624,1355,153,575,205,536,435,573,629,193
96,555,81,1114,175,286,981,1019,1036,781,697
97,963,757,1236,809,609,714,420,1009,212,348
98,1315,1369,361,1120,127,1238,717,1021,879,600
99,1349,1370,145,1228,619,1044,447,613,624,881
100,1003,676,748,321,669,104,1316,505,782,608
101,336,398,572,28,6,204,895,244,837,675
102,190,788,325,61,727,978,47,1016,1245,989
103,98,1134,100,883,797,1352,35,271,1099,522
104,627,351,381,1072,214,476,887,324,278,111
105,940,1120,976,466,1310,668,282,68,1122,1325
106,55,124,399,457,1036,721,398,642,97,95
107,877,673,1185,138,239,303,554,1125,517,621
108,513,1225,383,33,565,545,773,1093,698,1340
109,767,1001,972,50,1337,283,553,1184,1113,66
110,1262,1044,387,481,1327,900,33,807,456,140
111,769,1294,405,1312,161,631,985,82,466,428
112,1275,363,1344,134,951,689,1348,406,1269,387
113,770,421,1063,410,888,712,296,5,485,389
114,672,66,358,814,329,122,738,821,1254,158
115,504,1274,70,1278,414,641,1319,37,889,927
116,942,670,576,498,292,728,223,398,848,574
117,1007,1240,1102,458,1206,898,909,472,1059,623
118,898,1344,1244,783,993,687,454,275,1296,18
119,892,1159,1174,81,131,1152,304,946,516,1167
120,1333,316,1081,119,641,444,906,550,1116,645
121,286,1189,686,804,1112,975,182,1242,981,1347
122,639,493,21,985,347,650,1121,353,392,651
123,1031,1027,995,322,967,860,30,640,448,486
124,763,751,1233,281,28,429,1224,619,1124,189
125,256,68,531,308,467,228,210,1044,1131,453
126,297,720,299,1362,666,927,425,1279,141,131
127,120,521,1138,348,301,63,247,1344,1086,875
128,1014,965,1078,1301,481,658,397,1045,664,6
129,806,981,817,1192,196,294,962,103,477,142
130,457,735,309,836,396,970,944,118,1136,291
131,926,261,1008,1133,1183,1189,710,1364,849,404
132,1167,291,1247,569,171,29,670,31,1152,954
133,1239,514,687,1369,934,86,1049,177,186,1152
134,776,710,1163,688,458,92,1054,363,838,979
135,970,302,429,13,485,325,672,380,790,716
136,1247,281,819,800,936,348,489,1148,407,1274
137,1330,207,195,297,610,49,1287,230,1020,398
138,337,317,198,1014,1076,1099,399,1143,15,1139
139,322,692,32,523,330,483,767,1232,1363,1075
140,888,366,348,389,1079,556,11,458,1187,1205
141,1102,697,71,1117,241,83,39,1109,690,252
142,249,531,702,1121,76,136,1189,98,252,115
143,60,706,61,540,457,1036,1320,1268,623,558
144,988,1207,1260,578,1118,961,587,370,738,892
145,846,1350,1,1188,302,784,915,83,387,1097
146,664,181,96,363,503,74,188,245,179,960
147,562,577,631,106,422,365,1190,349,1280,1288
148,852,690,640,1114,571,849,166,1055,1008,680
149,451,883,1011,816,306,1023,1115,97,351,371
150,1044,125,485,1105,327,550,1076,692,972,333
151,446,308,601,1351,1288,37,316,984,484,901
152,617,1311,298,1039,119,251,48,1167,1300,340
153,122,545,1125,797,358,1240,1185,909,691,810
154,38,882,1071,433,255,583,149,664,968,116
155,908,338,518,204,709,570,1282,1214,1216,539
156,773,870,162,637,132,995,18,365,37,1023
157,1041,595,155,1067,423,933,1309,1316,301,851
158,1198,573,816,1102,231,843,1152,625,422,170
159,725,665,551,350,764,451,249,978,196,1194
160,1098,1074,885,937,638,1259,957,1322,558,1148
161,481,704,223,565,1046,557,61,502,231,515
162,461,153,1115,84,718,758,468,1048,927,440
163,1142,137,375,1040,811,554,712,555,605,465
164,879,259,390,1368,943,592,301,721,420,460
165,502,206,978,1250,1227,921,1142,1360,341,325
166,83,1361,577,735,56,473,412,658,915,1307
167,1195,98,496,356,43,173,926,77,1081,644
168,257,1202,666,781,681,1101,639,373,1261,1284
169,1037,899,788,421,1328,1081,520,571,552,863
170,887,360,82,835,969,416,1313,921,260,1026
171,910,1175,247,551,1167,50,947,726,1087,169
172,90,1304,961,1273,1094,18,727,947,57,946
173,511,1111,43,1237,547,386,888,1202,866,1025
174,580,375,712,593,845,401,637,682,756,1318
175,1158,45,139,861,847,314,485,285,388,848
176,467,575,1289,1364,1096,987,81,88,813,1080
177,164,898,967,739,608,160,1074,1098,270,382
178,778,764,51,429,279,1325,384,1174,540,578
179,160,501,782,919,673,352,1058,670,439,877
180,896,801,982,133,680,1098,1018,159,800,895
181,1220,762,207,944,182,903,477,3,1142,1296
182,1290,1203,1112,901,857,188,540,351,359,729
183,1034,716,1255,506,1126,935,76,343,1041,1361
184,983,1186,553,958,1276,926,620,1079,610,98
185,94,99,292,918,620,847,688,387,353,996
186,1326,880,1173,686,1057,1170,1220,870,893,710
187,669,515,593,718,509,608,823,1050,452,1000
188,1212,881,614,413,41,181,88,40,247,963
189,699,418,30,983,799,676,551,706,830,138
190,549,1194,1030,1326,109,842,569,1295,499,833
191,1213,47,269,447,1177,639,952,1002,234,156
192,500,69,827,681,575,988,1055,1031,459,1136
193,188,313,797,617,1018,859,655,450,583,49
194,665,777,840,355,344,406,138,819,416,208
195,1196,1102,1341,584,77,347,1037,1115,146,1238
196,775,858,407,845,694,130,455,1054,1328,1191
197,495,46,719,1059,250,112,324,1276,107,441
198,1103,1050,158,250,446,1019,896,694,361,309
199,610,468,1129,1074,460,1175,1281,1072,722,861
200,140,726,1349,641,935,243,1318,339,1263,153
201,117,188,1016,717,721,1295,108,1142,787,792
202,754,1152,6,787,427,1004,1263,211,395,1030
203,897,987,789,1137,107,443,652,1105,1135,636
204,1282,1122,154,32,443,643,1229,997,218,1046
205,793,1213,968,128,1107,450,23,443,754,366
206,1092,1261,347,243,987,744,349,1328,450,1043
207,1248,937,180,71,990,292,586,525,872,1338
208,936,553,201,1073,1199,938,1235,1153,998,700
209,593,990,250,727,968,894,1113,56,1080,894
210,275,150,868,1252,1209,1227,889,841,977,501
211,1074,104,13,619,390,25,1130,884,1089,228
212,1317,213,607,895,775,46,336,963,955,1121
213,855,173,491,449,364,128,298,356,225,711
214,1302,728,1362,1343,1020,13,975,699,264,106
215,1230,701,1052,399,1366,836,950,162,992,556
216,833,1098,642,1202,1308,540,617,844,465,336
