,1
0,270
1,495
2,731
3,456
4,778
5,1171
6,157
7,1221
8,1156
9,385
10,487
11,93
12,248
13,619
14,723
15,1031
16,855
17,748
18,59
19,355
20,16
21,979
22,181
23,703
24,1076
25,945
26,1273
27,800
28,137
29,138
30,1097
31,1109
32,1153
33,392
34,1088
35,1368
36,1167
37,628
38,371
39,652
40,380
41,522
42,473
43,267
44,185
45,1000
46,311
47,1164
48,732
49,1269
50,923
51,461
52,767
53,189
54,882
55,18
56,684
57,324
58,697
59,231
60,498
61,56
62,604
63,1100
64,101
65,666
66,108
67,310
68,1055
69,804
70,508
71,74
72,909
73,321
74,1161
75,344
76,494
77,1262
78,1365
79,1006
80,124
81,872
82,777
83,372
84,177
85,348
86,362
87,1014
88,274
89,547
90,418
91,277
92,230
93,292
94,1084
95,1311
96,208
97,282
98,19
99,132
100,1150
101,789
102,281
103,316
104,443
105,1252
106,856
107,323
108,146
109,66
110,765
111,100
112,227
113,1348
114,728
115,883
116,793
117,136
118,440
119,215
120,92
121,286
122,907
123,545
124,1104
125,969
126,86
127,955
128,716
129,1121
130,466
131,1047
132,605
133,302
134,1207
135,1123
136,171
137,642
138,648
139,1199
140,590
141,51
142,1091
143,1026
144,167
145,768
146,871
147,1115
148,743
149,635
150,315
151,946
152,641
153,1053
154,537
155,1336
156,594
157,552
158,70
159,612
160,516
161,792
162,759
163,472
164,222
165,329
166,1081
167,241
168,28
169,830
170,629
171,983
172,608
173,1241
174,1187
175,1048
176,1083
177,53
178,729
179,482
180,347
181,62
182,1274
183,687
184,1256
185,525
186,530
187,1191
188,676
189,913
190,193
191,1219
192,331
193,1112
194,1253
195,943
196,823
197,528
198,912
199,1317
200,1201
201,578
202,1192
203,1246
204,626
205,1242
206,925
207,990
208,37
209,911
210,543
211,1051
212,188
213,1258
214,404
215,607
216,903
217,1075
218,451
219,252
220,640
221,419
222,527
223,1179
224,1178
225,72
226,647
227,1212
228,949
229,877
230,488
231,585
232,291
233,1029
234,444
235,97
236,1322
237,327
238,1135
239,513
240,390
241,1302
242,1245
243,1342
244,1138
245,246
246,563
247,1334
248,64
249,121
250,1175
251,17
252,566
253,847
254,262
255,927
256,739
257,1002
258,967
259,435
260,1168
261,1049
262,1072
263,112
264,60
265,744
266,1151
267,122
268,1260
269,553
270,145
271,0
272,1062
273,45
274,1170
275,938
276,517
277,725
278,615
279,476
280,1021
281,85
282,27
283,601
284,849
285,835
286,587
287,614
288,1335
289,824
290,876
291,223
292,675
293,306
294,935
295,225
296,1263
297,1012
298,1038
299,272
300,554
301,320
302,1070
303,1265
304,13
305,1004
306,674
307,496
308,90
309,891
310,234
311,1217
312,665
313,1126
314,1015
315,621
316,599
317,851
318,1044
319,1281
320,1321
321,632
322,540
323,486
324,1054
325,673
326,343
327,705
328,1211
329,1039
330,449
331,1118
332,756
333,463
334,416
335,376
336,294
337,439
338,890
339,845
340,238
341,118
342,1280
343,799
344,9
345,1052
346,820
347,951
348,105
349,1351
350,219
351,384
352,434
353,1234
354,422
355,1096
356,663
357,837
358,633
359,788
360,269
361,1243
362,140
363,672
364,41
365,1364
366,459
367,1148
368,1313
369,908
370,654
371,367
372,719
373,1344
374,982
375,1290
376,88
377,796
378,994
379,1143
380,94
381,258
382,634
383,490
384,888
385,382
386,1155
387,1023
388,722
389,1173
390,1331
391,573
392,749
393,1315
394,950
395,646
396,1291
397,256
398,1293
399,962
400,747
401,326
402,1082
403,1063
404,236
405,125
406,204
407,1185
408,735
409,858
410,932
411,1324
412,460
413,363
414,813
415,1332
416,838
417,860
418,345
419,1268
420,1366
421,519
422,886
423,1018
424,1130
425,1250
426,359
427,679
428,395
429,546
