,1,2,3,4,5,6,7,8,9,10
0,870,732,1235,214,421,185,581,1288,461,947
1,1066,513,698,1107,429,0,453,943,215,493
2,469,807,1251,697,1054,730,722,378,324,575
3,1050,159,630,949,223,217,782,258,697,1123
4,987,1318,16,193,649,1092,1165,568,358,1031
5,702,103,643,1269,872,201,1248,1110,569,1259
6,606,128,974,53,494,1269,971,1193,1276,399
7,1111,383,983,279,626,1022,1298,1297,1186,461
8,454,755,720,440,768,1351,95,1248,1193,637
9,1182,585,1201,227,1251,651,150,372,951,767
10,707,170,708,1041,646,1002,825,108,532,773
11,1236,637,354,471,198,634,756,950,18,1319
12,842,572,900,304,522,577,754,238,1356,415
13,442,634,179,956,1162,652,294,196,272,790
14,527,307,862,274,38,1130,113,481,266,368
15,644,253,1076,312,1283,1331,973,350,1165,1329
16,214,631,739,1101,919,1035,1158,462,803,1115
17,1350,106,1131,1342,282,343,986,558,6,977
18,1154,658,1117,104,173,748,221,358,371,1292
19,787,112,271,1335,1084,205,536,906,701,853
20,589,1104,177,1154,472,153,604,864,789,1345
21,756,123,824,311,267,125,329,863,643,943
22,786,723,1146,1010,416,1135,213,224,911,367
23,345,486,1314,1152,192,1085,186,487,931,292
24,276,650,1110,414,158,1296,402,606,1009,149
25,421,283,39,110,678,52,784,307,269,756
26,79,354,1122,712,700,108,532,205,124,1217
27,1250,632,219,1210,488,96,698,747,670,386
28,76,177,585,1270,550,1013,833,1108,628,1219
29,1318,1065,882,1294,1266,1301,1187,1027,1303,656
30,608,415,55,580,445,1225,258,276,479,1185
31,417,1183,701,213,1169,891,703,368,795,944
32,314,775,1048,368,1332,1164,167,805,554,722
33,363,972,254,1054,237,93,63,1345,807,734
34,109,16,1306,1062,1329,312,355,639,515,759
35,848,1087,1106,1087,39,1270,22,847,1095,83
36,350,834,1331,1118,643,876,836,135,1321,769
37,1148,976,652,1208,356,677,470,455,1067,195
38,58,1184,64,231,841,782,752,607,759,542
39,475,254,328,145,415,786,1102,1029,1352,356
40,1257,115,426,865,179,589,538,867,1107,201
41,944,874,1217,254,97,535,720,66,181,526
42,536,299,304,737,754,1096,643,742,1335,1244
43,84,1211,1365,90,1052,1119,1322,42,804,952
44,570,1002,1107,1218,1085,28,859,157,1140,677
45,777,616,907,613,240,420,284,1330,1077,1142
46,1357,379,1243,524,838,680,1251,292,868,613
47,601,1029,855,277,167,1357,1000,428,858,352
48,772,359,394,1310,739,770,1300,739,987,1014
49,668,246,488,587,1301,207,7,153,1144,687
50,1161,189,1044,189,430,426,749,396,555,916
51,264,1132,987,1257,1242,3,1324,911,144,1145
52,78,149,54,335,1214,259,565,332,619,132
53,680,1099,616,114,637,1258,1196,123,990,829
54,1307,1079,522,474,1173,151,685,862,1333,376
55,1155,922,1154,1249,889,543,1367,445,33,96
56,1179,355,695,1327,802,320,753,456,164,1268
57,45,552,1059,489,1289,41,1010,4,336,721
58,466,671,548,1134,771,1060,970,1357,1034,1126
59,1143,1043,72,967,684,885,1128,464,468,260
60,925,84,1264,272,891,925,877,141,666,780
61,1172,944,49,651,331,1163,1241,1278,1364,204
62,17,979,580,860,448,419,183,415,178,1242
63,694,465,541,135,976,684,791,592,1001,281
64,1183,815,212,725,544,674,591,1323,154,254
65,872,90,1279,1248,996,803,921,1090,736,409
66,900,584,346,1291,290,397,28,1336,1031,1370
67,399,1056,877,691,560,795,446,989,1253,318
68,1359,565,733,788,51,333,1161,57,85,1003
69,587,1305,126,941,757,402,1143,1313,126,976
70,515,57,204,1277,9,1299,766,475,423,572
71,1165,244,1309,940,1296,1063,114,195,412,567
72,1159,1069,1006,807,3,832,719,134,725,582
73,827,50,911,610,1253,937,436,1005,536,1077
74,1105,72,451,1290,962,261,165,983,773,652
75,1072,1121,434,763,195,875,1337,810,890,511
76,412,885,283,825,1013,1088,690,29,1331,663
77,61,1215,975,1007,1164,532,534,672,860,956
78,873,1116,532,576,1095,152,879,1370,1345,124
79,969,496,632,77,725,12,1237,76,46,354
80,123,550,53,1115,168,211,1087,675,842,429
81,1129,966,226,86,853,99,1261,1126,592,1359
82,891,489,1230,1122,417,392,748,405,593,1033
83,418,400,413,585,175,880,995,851,839,1052
84,1085,329,117,951,378,1064,99,330,51,633
85,383,691,582,796,950,453,338,1058,677,412
86,342,92,489,464,776,1320,111,35,287,887
87,790,312,476,1347,17,51,640,442,408,114
88,277,1088,1150,730,580,727,1134,294,606,1332
89,1332,641,562,1236,496,655,967,374,716,893
90,749,82,38,374,1122,596,1254,684,964,596
91,252,947,534,438,582,538,315,32,596,869
92,1057,1149,357,123,1125,1110,1126,1114,662,642
93,1264,94,791,126,375,923,732,6,542,740
94,213,1103,511,926,482,590,584,1000,123,1138
95,1327,886,316,699,466,1168,737,1210,809,502
96,950,1038,621,817,918,1091,837,1033,1114,598
97,365,40,115,484,248,47,411,425,850,479
98,566,243,40,1268,715,757,434,603,131,827
99,47,1353,493,1046,1082,734,270,890,864,950
100,21,773,86,976,592,966,557,510,1130,234
101,571,248,629,766,1263,600,459,256,836,5
102,572,1235,848,99,245,367,1063,1213,16,58
103,1117,1181,266,733,875,646,904,326,1025,1125
104,346,737,1169,942,663,1050,808,1075,409,1086
105,1115,1112,1249,197,376,9,857,262,1094,434
106,1300,88,124,568,567,829,395,1197,43,402
107,1270,28,786,407,1272,609,320,1179,1053,245
108,291,129,684,855,340,233,330,180,471,631
109,991,100,618,679,62,1266,533,949,1191,391
110,248,240,1303,644,48,715,1194,936,1329,612
111,575,695,525,673,844,176,731,535,228,41
112,878,1010,1246,95,387,929,97,333,609,472
113,319,1061,203,812,1187,812,346,1309,1284,998
114,995,1227,454,136,986,447,0,1165,647,571
115,270,134,1080,488,1361,315,963,1129,1006,1221
116,695,524,869,1216,1220,1280,1243,494,1106,1007
117,392,786,981,1264,484,241,239,785,1281,135
118,997,630,402,1320,865,501,1277,1057,559,1215
119,387,872,822,333,867,184,373,1071,1194,492
120,569,1316,1000,628,459,31,1098,1177,87,89
121,1260,538,1305,1180,801,976,549,14,1147,37
122,195,505,790,647,1103,14,667,611,262,439
123,410,741,944,750,1007,872,1199,243,823,777
124,986,1165,795,180,1134,1007,856,383,1305,455
125,722,818,925,685,202,1363,233,190,956,306
126,352,267,23,784,1212,1123,678,536,385,69
127,165,767,1333,183,1363,356,965,1124,103,1312
128,1160,624,218,687,517,848,1070,842,492,285
129,884,667,129,1089,1218,950,46,441,391,764
130,415,384,767,317,541,58,1050,902,257,658
131,791,154,392,125,219,290,306,171,684,885
132,521,262,395,743,1117,1032,736,410,498,1040
133,889,1126,876,680,1025,33,1234,695,177,868
134,573,194,1297,638,1250,394,40,1052,1304,1120
135,1176,929,861,1230,1247,341,1120,309,744,1162
136,953,1229,85,1051,63,1316,478,654,1212,818
137,962,582,762,878,1016,953,563,361,715,244
138,965,1139,480,931,901,81,646,645,236,876
139,847,865,784,547,140,578,1073,1201,35,1240
140,947,263,1213,605,469,127,684,48,369,682
141,19,891,1047,682,734,527,124,1012,1023,90
142,1175,999,473,1164,353,645,576,115,874,1301
143,138,893,1296,478,855,114,779,811,930,232
144,1347,1127,131,904,108,531,964,1084,434,457
145,964,1012,991,1065,401,625,1368,206,480,779
146,596,580,27,203,1339,1155,910,1065,639,546
147,530,669,849,167,664,823,230,738,1170,118
148,177,208,1208,38,395,250,991,980,81,21
149,433,718,902,775,103,604,556,693,1111,768
150,677,480,905,487,636,329,313,446,1279,995
151,1119,940,1175,1068,254,1262,1093,163,279,649
152,789,140,550,93,922,670,391,621,84,1228
153,306,5,1007,1302,287,814,219,149,1188,478
154,23,247,543,769,1152,796,307,716,620,819
155,128,1319,949,837,1009,1142,959,257,582,604
156,868,1180,943,163,998,768,828,278,442,605
157,1049,1157,875,519,579,284,238,325,1176,1216
158,738,347,1347,19,634,607,370,635,976,146
159,279,1271,108,577,917,180,31,1003,1040,1056
160,830,440,1002,1206,910,743,105,1281,578,854
161,1084,371,678,468,27,690,250,1059,1120,1210
162,503,467,125,1303,272,815,555,1086,530,243
163,869,820,385,832,989,322,1007,1310,1336,480
164,174,752,378,150,213,799,1174,1243,894,262
165,358,759,369,172,144,597,430,995,327,1132
166,235,1255,1009,1080,486,1354,442,142,342,504
167,232,301,7,890,285,760,200,1056,197,891
168,561,1174,417,185,138,1011,941,359,1308,152
169,1221,601,537,894,1186,883,768,471,1262,951
170,704,478,165,853,506,1288,1346,340,1063,1161
171,493,10,276,714,341,206,50,51,1367,705
172,424,597,722,442,160,992,804,1367,147,838
173,968,1057,389,1034,1298,924,1269,583,221,137
174,1339,829,229,689,974,1077,588,772,45,411
175,554,461,1120,741,1303,1082,335,338,29,397
176,547,21,959,866,1236,719,897,552,128,454
177,1190,331,144,441,489,518,414,1293,331,1322
178,357,1262,798,1153,393,1196,918,955,798,203
179,856,503,273,94,946,563,290,612,1051,1357
180,871,432,1053,89,121,1009,542,551,491,517
181,696,896,15,1314,543,726,387,651,618,676
182,755,450,1234,582,965,1242,24,777,1234,445
183,1080,1000,1019,873,75,484,687,509,490,22
184,720,895,1216,870,502,210,577,47,917,593
185,210,802,295,542,937,42,145,668,602,653
186,280,988,510,595,58,893,725,166,344,102
187,316,167,927,131,627,1230,308,1182,614,535
188,708,627,690,798,648,708,741,234,834,91
189,239,997,587,987,452,323,1186,145,1277,669
190,629,1060,1273,898,1325,737,1208,1081,188,1208
191,633,560,130,1061,60,800,819,318,616,253
192,331,34,248,493,1368,711,1268,878,98,1006
193,1273,747,149,340,954,682,413,1166,1129,673
194,407,951,174,48,689,88,479,1221,1289,1105
195,706,33,823,1226,277,841,1213,1235,1017,1355
196,192,863,311,724,1233,828,1144,626,1332,485
197,703,340,326,87,698,657,515,1319,659,45
198,97,1095,1141,808,159,1324,633,628,815,569
199,1008,275,78,395,878,1207,1003,463,575,738
200,255,1137,692,915,1314,852,546,334,819,796
201,205,1113,242,295,125,168,206,587,299,1059
202,620,1153,1212,509,679,1121,1153,743,130,71
203,718,1017,8,1124,701,553,179,192,653,1220
204,149,717,1180,165,786,725,541,904,843,1108
205,5,1089,1072,959,1204,844,225,454,801,850
206,1295,215,929,601,1191,774,365,783,238,296
207,840,260,1118,273,1142,359,484,586,892,639
208,10,39,654,703,49,686,71,507,8,212
209,640,405,838,933,343,80,1239,397,211,1354
210,377,1013,602,1328,1045,142,480,624,47,986
211,183,563,232,70,612,621,980,615,969,1166
212,1188,70,818,636,1055,1134,437,836,1003,857
213,1046,251,1029,671,789,137,253,1331,895,1211
214,1334,135,1130,912,1154,723,1273,469,370,435
215,907,544,495,262,1132,1286,692,1204,565,80
216,516,1101,368,579,795,905,1217,602,799,470
217,957,611,530,182,185,1027,44,1247,1088,28
218,843,758,940,1240,585,780,104,184,290,1278
219,1067,252,1151,151,1030,169,422,1233,1228,1038
220,300,760,810,283,805,1028,526,401,897,12
221,428,917,596,1251,916,69,1225,557,304,1225
222,1246,279,192,1213,295,716,1166,825,557,798
223,795,8,863,874,1352,1310,629,279,1246,1324
224,460,724,166,833,135,395,747,974,703,30
225,689,1349,1340,436,677,637,816,833,775,353
226,1146,1254,200,294,345,957,273,843,645,1168
227,175,389,320,245,176,276,54,961,1133,1277
228,733,220,800,14,862,667,1325,1111,579,807
229,381,225,1316,917,835,865,735,418,908,1190
230,652,1323,475,842,1147,253,312,181,640,519
231,1021,1346,1054,653,1364,1236,141,648,881,1070
232,626,761,447,1027,1160,105,597,707,587,14
233,579,433,775,80,98,503,631,246,986,104
234,1000,1337,941,532,1322,1219,1301,1130,180,13
235,80,1345,938,642,1116,1093,1238,888,315,871
236,611,67,1364,75,1068,353,1140,623,851,1256
237,1367,386,101,1069,1359,673,357,873,611,811
238,1237,1005,420,831,606,194,144,1018,244,692
239,1254,992,1272,408,1165,494,21,1004,846,884
240,1210,635,1055,732,0,1287,293,277,343,1057
241,62,562,370,68,311,203,341,1007,1298,672
242,70,111,962,479,1161,256,778,547,1327,64
243,1364,945,880,1112,836,135,107,9,724,765
244,796,422,279,968,52,209,900,802,17,164
245,348,1045,716,4,687,571,1091,1244,143,112
246,1138,954,569,271,1357,437,763,176,926,1308
247,1106,1200,446,351,820,656,892,1216,1215,825
248,681,930,73,716,26,574,1090,0,170,688
249,74,1124,1287,538,964,1215,197,576,1058,1233
250,416,681,281,517,328,1245,1026,817,507,269
251,636,906,470,1329,350,817,1342,528,793,975
252,882,763,837,1099,1353,182,1159,1062,518,265
253,186,811,1228,284,224,1172,903,500,243,1304
