,1
0,486
1,370
2,201
3,478
4,26
5,118
6,487
7,97
8,4
9,212
10,256
11,6
12,95
13,513
14,98
15,39
16,499
17,316
18,222
19,31
20,515
21,359
22,334
23,289
24,534
25,309
26,264
27,205
28,269
29,120
30,511
31,295
32,165
33,403
34,199
35,162
36,502
37,11
38,361
39,102
40,323
41,189
42,430
43,76
44,436
45,307
46,217
47,483
48,69
49,397
50,392
51,106
52,452
53,60
54,374
55,191
56,485
57,184
58,185
59,248
60,329
61,472
62,501
63,277
64,159
65,216
66,506
67,480
68,258
69,134
70,422
71,473
72,131
73,315
74,226
75,451
76,206
77,249
78,455
79,346
80,482
81,337
82,481
83,259
84,310
85,270
86,148
87,203
88,529
89,327
90,196
91,210
92,341
93,324
94,87
95,91
96,89
97,233
98,74
99,126
100,299
101,409
102,105
103,33
104,339
105,498
106,342
107,386
108,380
109,30
110,122
111,420
112,292
113,53
114,231
115,302
116,151
117,172
118,514
119,167
120,80
121,195
122,129
123,384
124,312
125,305
126,133
127,219
128,288
129,8
130,32
131,241
132,101
133,523
134,421
135,200
136,424
137,510
138,20
139,319
140,25
141,173
142,145
143,193
144,138
145,338
146,197
147,146
148,442
149,66
150,441
151,398
152,391
153,188
154,128
155,293
156,290
157,36
158,435
159,308
160,418
161,372
162,377
163,96
164,52
165,232
166,114
167,516
168,278
169,328
170,272
171,68
172,494
173,58
174,123
175,160
176,65
177,254
178,539
179,62
180,157
181,250
182,512
183,221
184,141
185,260
186,343
187,504
188,489
189,267
190,83
191,55
192,273
193,318
194,12
195,169
196,415
197,121
198,147
199,228
200,3
201,137
202,432
203,166
204,304
205,108
206,462
207,445
208,461
209,357
210,48
211,352
212,500
213,163
214,85
215,182
216,127
217,460
218,347
219,242
220,174
221,313
222,373
223,265
224,283
225,533
226,505
227,453
228,535
229,207
230,399
231,17
232,5
233,320
234,467
235,238
236,429
237,34
238,465
239,447
240,405
241,218
242,358
243,311
244,139
245,383
246,63
247,261
248,474
249,110
250,419
251,285
252,262
253,281
254,395
255,93
256,464
257,468
258,317
259,125
260,354
261,537
262,450
263,99
264,330
265,396
266,484
267,433
268,247
269,335
