,1,2,3,4,5,6,7,8,9,10
0,228,384,183,156,303,263,240,282,324,493
1,347,173,509,51,350,312,318,94,325,181
2,308,243,304,390,157,282,231,466,366,369
3,412,516,370,15,291,440,189,242,367,308
4,393,1,342,440,430,119,236,408,187,332
5,43,0,446,454,527,379,171,277,494,195
6,338,148,269,257,471,392,111,63,415,36
7,298,336,298,105,488,158,287,439,37,33
8,422,357,17,455,338,97,84,127,228,257
9,183,379,138,530,223,304,443,130,383,57
10,376,455,392,100,34,391,147,529,42,215
11,25,380,78,295,92,531,352,497,135,55
12,331,506,411,310,251,257,475,304,502,119
13,257,15,318,409,492,468,261,505,479,220
14,530,273,416,384,348,160,357,100,226,346
15,203,18,253,499,8,141,266,67,294,486
16,425,406,465,255,160,372,461,373,195,432
17,116,36,196,452,336,189,215,534,136,506
18,214,274,70,535,208,28,499,104,476,71
19,89,296,67,139,214,480,59,508,442,275
20,533,72,122,59,263,190,149,538,105,79
21,161,55,133,450,137,429,434,264,157,407
22,216,93,86,170,308,45,486,424,8,291
23,95,395,293,137,207,483,48,432,193,138
24,314,108,116,229,512,35,183,50,211,412
25,13,161,524,218,476,308,180,164,92,337
26,179,29,286,197,121,208,527,403,422,113
27,324,115,64,124,394,15,95,402,169,96
28,456,503,525,70,390,319,225,55,232,54
29,243,487,443,9,418,68,124,259,477,252
30,28,41,118,3,530,108,528,61,375,428
31,327,245,479,462,362,420,522,365,418,439
32,87,26,272,388,170,72,207,36,10,300
33,279,152,140,37,27,254,118,447,340,309
34,137,70,461,253,415,302,65,387,22,219
35,360,426,309,56,241,449,467,79,225,287
36,96,128,327,325,194,362,519,16,274,107
37,158,163,254,448,124,439,337,444,52,358
38,312,488,152,53,425,532,448,473,73,399
39,505,366,500,14,400,410,243,208,144,213
40,39,429,29,208,53,346,144,367,360,225
41,248,499,144,215,180,347,150,103,396,110
42,472,389,145,21,457,373,509,184,186,419
43,305,521,77,536,220,139,25,346,177,121
44,276,131,425,259,10,380,282,406,183,402
45,433,275,125,11,504,509,61,145,379,326
