,1
0,536
1,522
2,503
3,176
4,239
5,412
6,527
7,333
8,297
9,314
10,268
11,90
12,349
13,291
14,78
15,49
16,132
17,75
18,367
19,51
20,29
21,296
22,1
23,332
24,183
25,368
26,61
27,490
28,202
29,92
30,470
31,100
32,413
33,428
34,246
35,401
36,456
37,35
38,255
39,524
40,130
41,71
42,326
43,119
44,235
45,50
46,57
47,362
48,345
49,425
50,38
51,103
52,276
53,378
54,294
55,407
56,86
57,14
58,252
59,458
60,284
61,73
62,152
63,509
64,350
65,402
66,171
67,479
68,79
69,2
70,471
71,186
72,253
73,408
74,208
75,301
76,224
77,198
78,88
79,531
80,491
81,70
82,115
83,271
84,142
85,178
86,469
87,521
88,263
89,204
90,495
91,394
92,389
93,492
94,438
95,404
96,113
97,13
98,240
99,194
100,19
101,519
102,107
103,463
104,10
105,416
106,457
107,449
108,280
109,282
110,225
111,454
112,149
113,64
114,518
115,144
116,116
117,336
118,387
119,496
120,437
121,181
122,42
123,528
124,286
125,16
126,177
127,322
128,104
129,351
130,153
131,158
132,488
133,275
134,434
135,443
136,466
137,526
138,227
139,427
140,82
141,360
142,143
143,155
144,298
145,211
146,245
147,371
148,124
149,81
150,0
151,67
152,530
153,417
154,306
155,381
156,56
157,538
158,135
159,23
160,446
161,230
162,94
163,168
164,321
165,179
166,385
167,287
168,18
169,497
170,406
171,251
172,444
173,410
174,41
175,369
176,364
177,156
178,365
179,209
180,532
181,215
182,400
183,379
184,423
185,59
186,356
187,150
188,475
189,237
190,77
191,117
192,363
193,21
194,44
195,27
196,192
197,244
198,15
199,213
200,459
201,236
202,279
203,214
204,40
205,348
206,112
207,340
208,525
209,190
210,7
211,111
212,72
213,477
214,366
215,344
216,175
217,45
218,28
219,43
220,426
221,507
222,54
223,440
224,46
225,393
226,37
227,431
228,136
229,376
230,47
231,187
232,375
233,243
234,508
235,476
236,300
237,223
238,154
239,439
240,140
241,388
242,353
243,161
244,355
245,234
246,84
247,411
248,22
249,331
250,109
251,266
252,325
253,220
254,414
255,382
256,493
257,164
258,229
259,517
260,390
261,274
262,448
263,9
264,180
265,520
266,170
267,303
268,257
269,24
