,1,2,3,4,5,6,7,8,9,10
0,428,105,402,187,381,455,383,80,444,236
1,364,246,328,290,98,130,226,197,464,3
2,334,360,167,292,478,204,34,528,283,231
3,238,48,456,214,539,448,140,44,217,178
4,478,175,24,415,21,365,137,190,538,11
5,365,447,340,92,421,80,511,3,302,130
6,510,317,239,397,473,4,184,49,319,316
7,186,142,382,19,521,528,158,500,14,448
8,159,19,486,351,445,75,427,297,481,159
9,30,204,3,314,197,498,312,159,76,157
10,515,199,315,473,513,161,431,421,89,367
11,486,451,455,230,89,221,76,456,303,247
12,148,376,87,375,298,252,41,269,346,487
13,160,39,418,400,455,59,110,284,63,277
14,88,137,105,132,408,167,142,425,61,42
15,443,311,199,108,383,212,342,215,85,380
16,296,123,354,435,387,209,412,41,0,427
17,317,268,289,0,403,62,340,206,208,233
18,457,511,42,217,399,422,103,141,469,65
19,500,52,238,79,4,397,465,306,530,41
20,12,398,493,146,62,5,108,177,156,420
21,15,183,233,381,234,507,19,78,237,472
22,208,411,185,114,401,536,374,530,347,120
23,348,277,247,263,371,359,32,434,336,35
24,191,160,68,142,485,115,306,471,163,271
25,135,440,527,71,452,171,248,187,141,508
26,293,188,228,408,283,463,262,87,216,483
27,172,458,421,309,128,21,360,33,419,152
28,355,154,250,416,375,79,162,128,212,354
29,38,315,399,326,422,431,242,517,349,398
30,164,57,111,131,437,225,247,272,70,536
31,99,270,373,181,188,240,16,225,311,207
32,175,294,229,322,230,172,414,30,389,405
33,290,244,284,399,174,408,50,227,182,449
34,69,31,263,122,358,426,78,260,170,397
35,471,216,292,278,111,56,305,235,537,529
36,218,89,433,136,56,10,286,180,299,170
37,50,76,19,261,25,327,447,431,165,199
38,199,267,232,17,72,281,254,139,413,139
39,26,251,535,225,510,277,57,430,286,256
40,105,28,206,379,43,182,88,217,50,284
41,342,169,27,436,469,93,398,85,59,114
42,438,276,277,55,83,378,505,526,495,322
43,382,9,439,164,511,230,356,96,109,237
44,62,402,440,513,64,485,102,247,254,7
45,102,349,344,284,379,145,439,435,433,192
46,326,351,268,174,161,513,182,308,491,489
47,352,117,127,519,244,6,97,519,533,140
48,67,334,23,291,139,466,30,203,436,465
49,74,377,193,216,440,369,209,481,406,235
50,349,401,420,501,224,245,23,464,462,228
51,280,78,266,532,372,157,459,311,15,200
52,235,141,34,171,325,520,63,463,137,34
53,437,146,261,302,316,50,362,236,6,408
54,233,280,48,365,349,317,411,107,377,355
55,423,507,2,355,266,344,181,246,171,169
56,27,51,165,485,259,129,38,1,69,533
57,537,180,276,183,523,223,40,485,146,144
58,202,228,480,418,446,419,31,81,426,189
59,389,242,192,338,532,414,255,261,238,100
60,467,27,124,428,49,184,343,158,497,83
61,492,392,88,311,436,162,523,377,265,537
62,40,461,294,241,69,73,4,489,301,333
63,111,236,375,387,470,307,525,381,403,519
64,42,492,139,430,537,456,512,307,327,443
65,174,113,126,288,196,503,257,20,386,212
66,476,166,230,199,45,249,426,294,500,135
67,387,394,385,482,28,82,26,310,388,451
68,193,74,306,254,169,285,328,498,240,98
69,244,534,146,407,288,451,51,418,26,299
70,45,116,203,296,292,314,389,220,300,305
71,504,523,338,298,262,194,35,348,333,245
72,262,430,101,312,187,74,433,111,378,395
73,458,459,260,417,278,470,453,446,161,329
74,18,387,180,437,354,479,246,256,91,16
75,417,307,325,281,508,159,503,448,251,158
76,426,202,355,315,93,511,320,415,414,422
77,138,518,136,148,494,452,244,24,64,188
78,451,185,44,228,79,530,392,238,134,466
79,499,25,376,439,447,435,237,327,12,368
80,139,356,319,330,29,401,456,376,448,344
81,473,476,270,460,40,36,109,495,140,208
82,29,238,511,446,148,400,155,461,280,183
83,150,257,85,94,328,461,157,192,79,127
84,2,84,76,249,211,256,303,59,175,240
85,133,227,53,12,173,497,336,398,174,52
86,173,225,130,491,42,220,391,249,118,338
87,190,54,248,239,461,110,482,265,231,173
88,524,367,82,90,393,40,170,399,489,381
89,381,333,334,476,490,175,21,178,354,388
90,406,457,497,335,525,276,83,170,20,442
91,316,147,236,272,3,1,195,200,337,104
92,256,61,506,442,423,152,116,126,434,187
93,177,479,472,153,141,350,79,8,24,434
94,236,63,458,489,343,7,132,18,253,108
95,17,494,508,264,78,311,515,513,523,25
96,340,271,432,2,52,203,72,382,227,238
97,411,508,240,75,104,241,323,300,425,229
98,107,338,381,495,294,342,335,394,331,311
99,418,32,478,202,310,219,354,475,129,341
100,221,165,22,353,127,353,187,492,160,197
101,350,465,502,97,477,482,454,125,281,56
102,141,88,538,31,24,166,289,147,459,267
103,448,111,297,102,254,169,151,362,488,461
104,292,217,427,268,363,107,154,422,188,22
105,333,482,519,260,355,398,17,173,372,438
106,502,422,499,222,386,42,284,146,384,295
107,461,327,173,196,311,472,58,156,78,473
108,284,101,412,57,226,323,166,342,51,28
109,85,515,467,119,333,195,153,216,316,10
110,272,30,30,323,147,527,396,388,229,516
111,275,491,401,96,374,487,462,75,258,482
112,240,331,223,110,307,19,373,120,261,248
113,477,408,291,117,35,326,299,219,291,93
114,319,304,245,421,237,376,265,66,424,306
115,516,68,148,522,117,390,245,516,353,59
116,66,289,526,316,118,371,281,427,65,29
117,49,493,237,403,233,37,468,57,465,417
118,68,21,169,427,397,438,350,524,72,478
