,1
0,420
1,166
2,611
3,1036
4,67
5,539
6,224
7,883
8,917
9,720
10,768
11,963
12,855
13,665
14,702
15,1010
16,958
17,580
18,587
19,61
20,595
21,648
22,512
23,54
24,455
25,88
26,48
27,1077
28,968
29,300
30,750
31,284
32,161
33,416
34,874
35,1040
36,364
37,496
38,1128
39,154
40,1067
41,515
42,109
43,373
44,462
45,419
46,344
47,485
48,395
49,857
50,413
51,519
52,1073
53,55
54,534
55,336
56,448
57,478
58,940
59,627
60,43
61,34
62,308
63,1034
64,1065
65,208
66,831
67,348
68,298
69,428
70,482
71,163
72,217
73,725
74,164
75,576
76,808
77,359
78,536
79,1004
80,1115
81,1027
82,643
83,157
84,606
85,64
86,323
87,490
88,953
89,543
90,669
91,695
92,689
93,17
94,425
95,838
96,171
97,86
98,677
99,201
100,644
101,751
102,713
103,907
104,1037
105,975
106,1025
107,129
108,946
109,686
110,306
111,756
112,120
113,121
114,327
115,773
116,620
117,1029
118,1068
119,830
120,661
121,378
122,927
123,1134
124,961
125,460
126,15
127,1133
128,204
129,74
130,931
131,45
132,356
133,794
134,456
135,981
136,1148
137,1041
138,834
139,436
140,212
141,263
142,856
143,1086
144,897
145,902
146,521
147,564
148,666
149,20
150,1013
151,868
152,552
153,309
154,642
155,559
156,530
157,31
158,739
159,1026
160,252
161,943
162,694
163,377
164,269
165,218
166,79
167,248
168,797
169,1000
170,553
171,882
172,866
173,954
174,790
175,362
176,588
177,93
178,1089
179,360
180,340
181,0
182,1099
183,370
184,896
185,566
186,899
187,1103
188,894
189,1054
190,1143
191,451
192,75
193,476
194,128
195,840
196,609
197,593
198,134
199,290
200,690
201,470
202,265
203,909
204,77
205,183
206,219
207,1055
208,1127
209,814
210,225
211,982
212,735
213,826
214,1113
215,181
216,1069
217,545
218,266
219,758
220,848
221,44
222,437
223,1031
224,254
225,51
226,182
227,892
228,885
229,1139
230,62
231,570
232,1126
233,745
234,78
235,487
236,81
237,396
238,320
239,184
240,983
241,724
242,1110
243,429
244,1107
245,955
246,277
247,10
248,114
249,833
250,804
251,104
252,844
253,762
254,178
255,139
256,481
257,1050
258,24
259,879
260,565
261,793
262,1101
263,397
264,469
265,999
266,942
267,622
268,1100
269,23
270,635
271,563
272,737
273,560
274,122
275,324
276,723
277,494
278,1032
279,240
280,730
281,214
282,518
283,912
284,1018
285,872
286,59
287,741
288,332
289,404
290,244
291,1104
292,376
293,1076
294,1108
295,772
296,1021
297,245
298,774
299,959
300,486
301,90
302,630
303,801
304,133
305,1119
306,941
307,780
308,152
309,312
310,148
311,97
312,69
313,708
314,672
315,138
316,1120
317,523
318,174
319,919
320,934
321,631
322,535
323,754
324,457
325,875
326,743
327,286
328,321
329,399
330,671
331,439
332,28
333,1116
334,405
335,303
336,1038
337,645
338,1052
339,409
340,188
341,839
342,472
343,1106
344,914
345,111
346,901
347,221
348,711
349,732
350,504
351,333
352,547
353,464
354,400
355,969
356,49
357,776
358,29
359,35
360,342
361,1102
362,639
363,870
364,597
365,546
366,869
367,533
368,280
369,1003
370,445
371,199
372,495
373,782
374,142
375,555
376,365
377,345
378,493
379,777
380,459
381,1081
382,235
383,211
384,591
385,261
386,440
387,71
388,1132
389,210
390,372
391,302
392,636
393,488
394,187
395,292
396,4
397,328
398,289
399,222
400,610
401,242
402,948
403,37
404,384
405,528
406,816
407,430
408,852
409,278
410,614
411,865
412,423
413,105
414,753
415,72
416,971
417,531
418,889
419,1011
420,177
421,313
422,791
423,649
424,165
425,338
426,42
427,1111
428,147
429,200
430,1030
431,1071
432,549
433,812
434,322
435,304
436,703
437,683
438,431
439,1079
440,600
441,652
442,726
443,647
444,577
445,522
446,584
447,567
448,633
449,1046
450,1117
451,949
452,655
453,718
454,50
455,461
456,246
457,532
458,629
459,763
460,621
461,851
462,382
463,47
464,878
465,386
466,150
467,435
468,965
469,551
470,887
471,786
472,334
473,785
474,288
475,1039
476,583
477,526
478,1044
479,357
480,275
481,995
482,727
483,16
484,761
485,238
486,771
487,769
488,736
489,966
490,18
491,740
492,287
493,307
494,274
495,653
496,676
497,936
498,1002
499,944
500,956
501,667
502,586
503,406
504,1088
505,110
506,282
507,817
508,1137
509,366
510,6
511,337
512,1015
513,508
514,596
515,335
516,509
517,453
518,1070
519,807
520,253
521,237
522,992
523,137
524,250
525,707
526,329
527,910
528,853
529,592
530,186
531,568
532,997
533,511
534,680
535,938
536,1056
537,594
538,301
539,806
540,394
541,719
542,319
543,668
544,795
545,167
546,144
547,915
548,1049
549,191
550,700
551,574
552,873
553,640
554,1001
555,113
556,538
557,998
558,529
559,343
560,799
561,241
562,140
563,921
564,605
565,798
566,1141
567,573
568,681
569,401
570,1142
571,341
572,95
573,1097
574,305
575,258
