,1,2,3,4,5,6,7,8,9,10
0,115,812,1009,267,329,809,58,309,475,669
1,1044,822,692,644,936,537,509,1113,261,756
2,975,740,215,961,433,764,1111,837,419,3
3,257,427,132,949,866,352,5,172,762,1124
4,139,1107,931,114,1051,504,325,687,587,247
5,638,987,6,1137,317,482,953,743,282,1004
6,611,157,188,984,48,164,276,819,684,655
7,819,339,920,767,882,1113,568,753,360,732
8,72,570,195,483,1115,610,757,611,660,461
9,990,335,414,761,556,167,928,449,977,892
10,184,66,366,26,187,556,1146,117,505,808
11,666,569,902,82,515,993,316,401,39,829
12,377,831,1034,28,834,366,457,76,492,358
13,1104,406,1049,1063,1125,1019,895,73,192,1043
14,563,1047,47,94,912,1075,593,903,858,505
15,622,512,225,456,46,1136,673,10,544,210
16,585,441,338,703,636,836,362,826,786,568
17,700,8,851,1013,710,460,1035,379,176,797
18,373,1067,270,985,653,607,754,744,880,313
19,958,253,976,933,160,822,1064,138,746,679
20,154,956,542,1101,798,1088,427,765,575,689
21,590,909,928,176,238,1011,479,294,1091,75
22,940,1141,306,1111,508,982,322,648,197,23
23,261,1075,681,487,151,372,1006,557,793,832
24,1133,578,992,605,345,1089,518,1013,567,1145
25,1134,147,36,600,739,206,338,830,432,611
26,613,955,602,1066,301,653,556,778,233,836
27,537,167,357,825,916,892,758,434,301,434
28,263,210,218,68,99,763,279,500,170,175
29,460,211,283,823,135,1065,238,276,362,408
30,335,368,916,1014,787,951,372,610,398,592
31,998,639,284,573,711,50,944,1142,53,283
32,46,265,93,43,390,634,685,497,269,583
33,722,227,62,1048,413,84,873,228,595,557
34,876,1012,116,151,879,844,66,245,693,1065
35,733,136,892,428,535,529,1076,1123,854,467
36,1125,422,267,643,657,748,380,376,88,838
37,228,283,20,319,1136,99,926,29,913,686
38,14,108,123,671,132,461,275,741,948,893
39,893,848,679,1033,315,697,166,114,117,648
40,134,689,968,601,86,835,808,996,534,929
41,137,429,549,946,597,270,109,53,468,545
42,42,327,1021,76,1006,584,248,61,1132,571
43,643,592,634,1052,31,938,194,627,961,99
44,979,187,179,254,1064,300,475,632,530,631
45,166,823,501,93,168,129,355,764,842,1075
46,1085,825,78,1131,963,249,299,164,581,498
47,387,501,1063,461,737,1131,155,41,189,773
48,354,807,1030,813,585,324,725,1109,1043,430
49,77,552,657,838,439,941,51,198,739,420
50,1007,241,71,89,67,1034,647,18,572,774
51,381,599,618,61,130,578,1007,883,702,834
52,808,236,360,970,765,616,651,425,166,970
53,82,243,831,1028,831,860,918,773,1102,102
54,186,845,975,315,974,252,945,232,1049,745
55,798,237,581,72,1095,475,1080,6,142,642
56,96,925,352,444,51,968,130,83,1027,473
57,858,830,584,892,977,768,421,253,394,506
58,803,468,1027,339,78,331,894,13,277,910
59,677,432,967,451,922,174,818,806,1015,1092
60,1022,387,921,1016,298,134,30,1124,744,324
61,775,676,493,762,835,810,65,790,348,1123
62,903,506,939,246,340,1150,537,107,329,487
63,930,974,499,831,982,431,45,1059,777,664
64,1142,889,820,661,523,476,190,1045,18,636
65,569,983,609,152,528,757,723,539,979,995
66,649,354,131,869,594,566,561,975,765,581
67,286,1034,56,401,783,784,833,739,228,418
68,358,648,308,222,751,299,416,468,974,91
69,203,313,370,301,61,1060,28,893,180,750
70,508,364,712,175,587,455,809,1094,49,919
71,805,6,629,264,574,244,230,621,872,769
72,792,150,331,932,721,42,144,528,161,1057
73,55,207,698,101,101,71,743,1088,1023,223
74,968,1072,812,506,607,788,132,662,1145,328
75,1107,785,48,65,1133,760,501,355,634,969
76,470,125,194,1059,118,310,434,347,158,12
77,953,573,1023,1058,338,1020,22,501,685,344
78,926,816,695,626,490,218,508,1026,390,737
79,226,22,813,721,626,509,1115,421,797,38
80,1119,1044,496,523,170,401,254,691,121,18
81,1120,535,850,216,100,187,694,547,385,945
82,772,117,783,507,85,1004,374,306,606,936
83,350,31,182,726,933,502,202,269,1130,342
84,104,826,1059,1060,154,240,309,805,888,379
85,238,306,770,142,770,926,1118,706,756,338
