,1
0,190
1,141
2,153
3,411
4,180
5,505
6,1091
7,498
8,842
9,1060
10,270
11,688
12,501
13,976
14,714
15,427
16,752
17,1125
18,582
19,733
20,1118
21,514
22,967
23,160
24,193
25,311
26,410
27,339
28,843
29,107
30,787
31,858
32,1109
33,827
34,25
35,146
36,380
37,467
38,705
39,698
40,117
41,36
42,734
43,1062
44,520
45,66
46,1045
47,821
48,297
49,1075
50,824
51,893
52,223
53,710
54,625
55,388
56,503
57,255
58,471
59,14
60,624
61,1095
62,1020
63,236
64,1135
65,1005
66,994
67,651
68,119
69,832
70,499
71,276
72,612
73,126
74,85
75,759
76,466
77,932
78,558
79,57
80,775
81,604
82,285
83,415
84,389
85,179
86,1094
87,159
88,800
89,226
90,562
91,87
92,53
93,379
94,194
95,974
96,249
97,662
98,361
99,94
100,854
101,957
102,132
103,381
104,26
105,962
106,849
107,717
108,100
109,116
110,170
111,835
112,828
113,473
114,449
115,176
116,443
117,706
118,809
119,355
120,391
121,935
122,135
123,264
124,1144
125,778
126,764
127,92
128,233
129,38
130,679
131,12
132,890
133,660
134,371
135,1090
136,813
137,603
138,56
139,368
140,136
141,613
142,175
143,76
144,202
145,728
146,802
147,207
148,1009
149,815
150,497
151,1084
152,766
153,273
154,243
155,68
156,450
157,480
158,693
159,537
160,491
161,836
162,124
163,884
164,822
165,1064
166,102
167,937
168,33
169,433
170,578
171,846
172,898
173,888
174,1149
175,687
176,230
177,1083
178,632
179,928
180,900
181,945
182,383
183,468
184,1146
185,1006
186,70
187,1130
188,623
189,101
190,247
191,390
192,906
193,418
194,483
195,930
196,1023
197,731
198,540
199,783
200,500
201,143
202,479
203,130
204,1087
205,697
206,22
207,58
208,98
209,30
210,847
211,392
212,670
213,1012
214,272
215,203
216,1072
217,572
218,825
219,864
220,527
221,257
222,818
223,579
224,65
225,738
226,886
227,393
228,369
229,354
230,1150
231,810
232,674
233,91
234,9
235,458
236,550
237,918
238,554
239,1042
240,477
241,880
242,979
243,699
244,1145
245,1048
246,1121
247,779
248,127
249,929
250,398
251,867
252,375
253,742
254,346
255,656
256,784
257,82
258,325
259,318
260,923
261,8
262,1057
263,412
264,747
265,721
266,1066
267,845
268,475
269,678
270,988
271,516
272,569
273,13
274,1138
275,195
276,80
277,267
278,950
279,663
280,1043
281,1078
282,374
283,513
284,279
285,385
286,977
287,877
288,960
289,722
290,331
291,227
292,903
293,980
294,350
295,1022
296,27
297,989
298,1114
299,792
300,675
301,920
302,986
303,626
304,103
305,993
306,599
307,510
308,115
309,1122
310,52
311,73
312,213
313,40
314,239
315,664
316,492
317,525
318,863
319,231
320,403
321,628
322,571
323,744
324,198
325,876
326,524
327,1008
328,805
329,293
330,716
331,767
332,581
333,607
334,19
335,438
336,11
337,925
338,1035
339,788
340,715
341,608
342,229
343,220
344,352
345,317
346,658
347,502
348,424
349,916
350,414
351,452
352,294
353,1074
354,544
355,913
356,296
357,7
358,641
359,964
360,1017
361,749
362,770
363,442
364,911
365,185
366,215
367,1007
368,984
369,434
370,765
371,310
372,149
373,271
374,589
375,260
376,685
377,216
378,99
379,447
380,112
381,367
382,634
383,1092
384,859
385,1082
386,1112
387,432
388,1147
389,861
390,691
391,1059
392,1061
393,991
394,60
395,990
396,1136
397,557
398,922
399,189
400,39
401,970
402,891
403,638
404,973
405,904
406,205
407,1019
408,463
409,709
410,829
411,349
412,402
413,1105
414,21
415,281
416,1014
417,118
418,673
419,561
420,823
421,197
422,162
423,781
424,682
425,796
426,454
427,729
428,757
429,755
430,585
431,1051
432,232
433,548
434,209
435,228
436,1124
437,421
438,908
439,1063
440,517
441,489
442,712
443,996
444,408
445,96
446,465
447,291
448,63
449,601
450,259
451,251
452,32
453,987
454,108
455,169
456,789
457,696
458,353
459,84
460,881
461,1
462,363
463,602
464,985
465,646
466,358
467,575
468,1016
469,299
470,837
471,316
472,1123
473,474
474,441
475,315
476,850
477,1033
478,106
479,659
480,5
481,862
482,206
483,616
484,811
485,158
486,123
487,196
488,947
489,654
490,978
491,590
492,387
493,541
494,860
495,131
496,41
497,1053
498,314
499,650
500,819
501,803
502,283
503,820
504,924
505,446
506,1085
507,542
508,615
509,1024
510,234
511,748
512,619
513,1058
514,46
515,168
516,2
517,617
518,330
519,871
520,841
521,417
522,125
523,1140
524,895
525,701
526,268
527,952
528,746
529,637
530,326
531,1131
532,692
533,155
534,83
535,933
536,618
537,1028
538,295
539,1096
540,192
541,905
542,172
543,347
544,704
545,151
546,1047
547,173
548,426
549,351
550,444
551,156
552,422
553,262
554,760
555,1129
556,256
557,484
558,1093
559,89
560,972
561,506
562,407
563,684
564,1098
565,657
566,939
567,145
568,951
569,507
570,556
571,598
572,1080
573,926
574,3
