,1,2,3,4,5,6,7,8,9,10
0,674,472,853,209,699,153,936,411,795,327
1,171,527,595,260,438,627,306,998,1040,728
2,397,1050,972,9,775,588,286,133,546,93
3,1071,337,220,123,633,924,747,630,616,598
4,426,574,547,115,797,75,96,862,715,477
5,482,610,546,191,45,724,587,791,1005,357
6,368,371,888,132,126,858,61,590,427,469
7,20,874,1037,250,1045,889,983,573,374,451
8,682,943,1018,457,892,347,319,523,1019,381
9,382,615,1103,90,1106,973,956,260,254,356
10,160,258,405,154,290,194,795,574,910,98
11,824,303,515,909,829,696,986,428,772,540
12,888,431,392,19,6,668,626,1034,840,826
13,790,743,287,741,905,720,241,816,564,404
14,806,80,694,333,1128,945,681,211,260,1144
15,596,625,781,75,237,1059,173,1147,268,450
16,102,885,1077,291,907,596,630,105,481,264
17,74,912,279,960,505,322,1055,669,349,287
18,886,75,1091,589,538,265,712,803,650,650
19,1060,204,89,0,1131,723,150,365,433,74
20,652,1026,1080,145,456,184,908,890,1011,499
21,651,724,640,100,252,1061,842,359,583,7
22,618,69,274,753,1107,909,108,64,6,200
23,248,376,467,92,584,314,772,997,206,468
24,76,789,951,1135,278,818,152,1083,540,718
25,1069,589,622,517,1134,224,174,197,286,721
26,424,1055,599,882,684,497,76,409,406,269
27,388,799,651,1065,944,782,1066,829,973,1136
28,723,516,454,1019,396,374,690,884,957,776
29,253,657,759,454,210,313,40,150,843,237
30,582,290,932,131,1143,487,11,372,996,804
31,1116,319,578,1007,296,513,218,454,925,968
32,914,398,955,299,312,1082,1011,124,20,55
33,1136,1148,1029,63,1030,636,705,774,495,930
34,136,559,430,207,667,548,947,1125,524,996
35,414,225,186,208,562,606,337,226,780,167
36,272,1146,784,293,858,714,458,692,1016,243
37,1002,756,1071,55,785,933,634,843,726,1095
38,1003,665,184,1032,791,112,1058,940,16,105
39,129,551,330,420,577,852,940,699,971,371
40,755,990,985,938,184,355,719,746,169,291
41,756,917,325,608,451,55,773,146,338,35
42,392,49,1084,186,263,438,264,748,291,601
43,851,797,961,939,957,452,562,496,976,107
44,12,489,317,12,685,787,390,537,537,656
45,468,1144,359,283,23,808,413,676,984,1063
46,928,620,181,251,666,1010,219,1047,303,934
47,1113,815,710,78,467,123,566,936,1093,1073
48,453,248,424,440,269,646,601,435,190,647
49,912,962,85,758,778,301,845,262,821,853
50,417,73,982,84,661,1135,388,190,1104,492
51,484,205,288,1106,863,816,444,126,290,1037
52,416,519,661,321,486,1091,505,219,242,760
53,719,483,603,273,581,861,1141,661,937,538
54,242,44,1038,360,940,811,47,97,330,681
55,443,523,848,344,1023,733,849,517,800,852
56,496,273,960,295,1091,418,684,280,885,959
57,1115,170,10,32,984,599,500,297,1120,410
58,452,1121,57,505,524,1039,930,495,1101,484
59,523,41,130,611,897,177,250,646,649,972
60,44,709,745,494,222,586,43,129,1129,1012
61,312,279,442,1117,1022,391,461,418,994,68
62,41,330,1085,281,241,801,927,1027,85,495
63,688,738,911,417,841,421,835,782,919,100
64,635,221,8,739,825,581,595,728,496,113
65,636,43,628,314,1098,955,74,208,954,125
66,514,104,583,980,875,1040,776,1000,785,206
67,80,555,796,173,193,863,1099,957,920,923
68,413,730,730,654,397,531,449,349,341,1054
69,788,189,478,904,537,339,229,770,84,337
70,1031,151,1132,846,817,649,292,186,836,489
71,385,438,675,773,179,806,104,216,446,397
72,744,660,776,139,889,969,1120,285,600,716
73,1089,363,816,448,1149,561,283,660,459,512
74,256,859,363,16,694,384,454,343,1141,161
75,39,82,230,910,74,93,93,242,779,663
76,399,239,1046,298,117,930,211,459,1094,11
77,676,809,969,792,836,585,1050,256,1058,436
78,406,652,639,580,261,235,318,32,1014,1035
79,758,321,801,459,947,952,400,951,1046,373
80,479,548,1110,515,53,675,950,481,519,120
81,927,810,420,1077,128,5,549,293,355,6
82,1,285,1142,349,706,540,628,165,1060,904
83,316,969,46,615,788,901,671,508,1010,978
84,977,636,143,779,173,1132,420,1146,46,1034
85,750,602,519,327,818,560,433,86,1001,282
86,554,597,282,623,479,888,1079,80,873,527
87,322,884,372,635,627,1137,531,341,648,1089
88,565,361,1123,364,924,63,686,42,557,683
89,375,452,1126,74,804,108,822,139,520,966
90,570,951,113,845,1150,26,240,961,1029,577
91,229,755,140,667,1146,1146,209,416,212,1006
92,179,800,822,158,779,392,883,147,918,872
93,403,154,91,782,332,1,742,132,91,196
94,859,668,785,279,4,1145,541,382,399,261
95,464,649,268,509,5,241,62,972,287,785
96,725,865,753,522,601,432,284,992,771,570
97,510,779,340,383,127,338,37,674,503,763
98,983,1009,668,187,553,1085,711,65,281,580
99,409,791,573,409,60,559,943,380,906,183
100,789,733,580,376,630,686,405,1069,249,250
101,369,963,690,149,654,31,154,249,226,857
102,345,392,837,552,435,410,180,161,1079,767
103,295,1035,943,583,371,223,456,540,58,980
104,944,580,432,789,182,428,588,301,1075,422
105,449,643,17,871,551,734,1140,944,382,1064
106,376,1037,641,1030,142,459,633,738,724,565
107,227,694,207,388,838,840,360,128,883,72
108,73,840,1016,853,823,717,1096,319,529,135
109,547,466,994,421,741,1097,991,628,770,62
110,1091,48,751,801,616,999,435,243,1108,607
111,21,838,489,287,257,215,445,905,1073,1104
112,1087,436,585,129,276,118,744,67,944,609
113,206,369,16,606,1114,289,182,1060,299,481
114,785,1019,620,1050,343,346,896,24,1021,734
115,448,1136,529,986,717,1024,136,623,1024,138
116,463,360,802,793,848,625,221,78,837,1029
117,378,1138,49,612,541,162,1042,1079,1071,1076
118,455,95,323,422,815,213,728,1041,521,1011
119,69,471,174,771,362,340,1132,1081,311,871
120,964,326,789,157,12,371,642,420,248,309
121,663,494,530,71,295,163,567,342,1031,687
122,832,34,358,361,967,1054,697,118,40,792
123,421,349,1138,471,634,427,195,892,940,697
124,873,109,110,130,462,894,19,163,164,427
125,1050,134,1149,807,715,848,1022,346,110,979
126,687,1004,571,289,247,1003,25,857,632,528
127,697,408,1062,477,434,792,386,717,609,272
128,489,780,1106,91,416,749,824,160,177,1032
129,1128,818,226,962,705,416,904,891,692,274
130,929,933,644,116,288,880,1057,95,912,819
131,728,681,105,693,961,895,10,417,1003,286
132,946,964,34,668,1010,862,261,281,602,614
133,661,1071,560,1012,271,839,661,636,3,61
134,26,504,326,481,864,850,436,904,285,151
135,908,867,138,274,137,886,688,703,184,114
136,684,218,337,25,389,1090,839,296,668,590
137,1099,751,173,1136,72,172,1144,491,458,552
138,434,623,506,769,39,1086,23,664,670,881
139,88,442,792,1092,589,666,607,872,703,144
140,825,357,183,582,937,248,663,835,857,8
141,119,670,1005,1051,1054,1125,151,109,359,620
142,568,875,1140,423,806,388,865,1110,163,1081
143,764,250,505,201,837,614,430,647,755,991
144,444,894,79,547,339,1016,244,327,908,606
145,95,336,748,1036,342,490,1073,1128,710,159
146,626,1024,307,740,1124,1073,303,641,454,118
147,584,1001,520,921,478,398,977,20,897,40
148,247,247,389,987,452,854,695,244,682,253
149,427,883,139,122,449,890,1054,985,387,354
150,1131,698,555,375,211,110,340,433,720,707
151,645,81,845,861,245,131,748,712,379,234
152,331,353,561,1091,318,534,1008,726,45,509
153,989,402,723,107,946,904,1065,737,195,1102
154,1000,593,455,1057,217,706,1037,704,659,33
155,108,1111,1114,617,726,382,825,314,553,585
156,105,637,673,85,803,312,332,934,591,92
157,711,714,1024,810,240,922,1138,472,217,77
158,495,1082,996,415,513,37,1063,736,31,46
159,774,223,957,913,303,1093,57,225,527,1093
160,941,1062,869,534,363,756,520,487,372,149
161,219,680,833,59,698,597,659,48,1033,706
162,1130,1104,877,783,30,1147,961,50,423,618
163,458,723,397,581,674,27,17,338,776,21
164,266,271,185,903,256,296,1094,1037,48,733
165,826,862,948,794,97,927,687,3,741,567
