,1
0,3742
1,8590
2,3090
3,139
4,2535
5,12304
6,7817
7,11488
8,13382
9,14624
10,10178
11,6745
12,629
13,18312
14,14369
15,11016
16,16349
17,11913
18,11128
19,17776
20,17484
21,13845
22,17434
23,2159
24,7938
25,4360
26,9637
27,6007
28,661
29,862
30,1594
31,2587
32,5193
33,3744
34,7619
35,10087
36,4509
37,7518
38,18894
39,6365
40,18352
41,12377
42,23
43,11020
44,17868
45,4213
46,10057
47,9424
48,14486
49,13155
50,12999
51,16932
52,2884
53,14348
54,17226
55,9136
56,11374
57,4040
58,19431
59,17120
60,11249
61,19231
62,9928
63,14827
64,16972
65,6062
66,15922
67,17876
68,18921
69,11597
70,5108
71,8659
72,12875
73,9145
74,7108
75,16375
76,12777
77,12528
78,16959
79,13779
80,7380
81,11726
82,16362
83,7835
84,2283
85,4817
86,5447
87,692
88,1502
89,16669
90,2610
91,5957
92,1530
93,3154
94,9716
95,18744
96,11229
97,311
98,4431
99,17095
100,8666
101,3870
102,3542
103,17845
104,11480
105,15187
106,726
107,7580
108,13953
109,7202
110,4217
111,16618
112,292
113,8980
114,5934
115,3823
116,8341
117,3520
118,10346
119,14462
120,11549
121,15195
122,19365
123,3853
124,13218
125,1569
126,18641
127,9688
128,12824
129,11288
130,15297
131,10671
132,15573
133,5829
134,2628
135,3006
136,4441
137,13333
138,19341
139,1861
140,18631
141,15794
142,18794
143,6345
144,13295
145,424
146,5270
147,10512
148,15537
149,4590
150,6386
151,7961
152,2650
153,6039
154,2172
155,7077
156,11292
157,10170
158,15941
159,8231
160,7799
161,12718
162,5623
163,5768
164,17323
165,11500
166,19924
167,18733
168,11774
169,12311
170,9071
171,15712
172,18977
173,12452
174,18412
175,18241
176,19417
177,16453
178,9718
179,10410
180,15341
181,10076
182,16681
183,18825
184,4290
185,14535
186,4648
187,13560
188,1100
189,3216
190,10189
191,8728
192,16501
193,17795
194,13339
195,2930
196,618
197,9517
198,10582
199,8372
200,12680
201,7589
202,5916
203,13243
204,8465
205,10613
206,6653
207,2572
208,13165
209,2130
210,214
211,9650
212,183
213,4628
214,1308
215,15627
216,15545
217,9860
218,15861
219,10042
220,10018
221,4943
222,18902
223,19038
224,8950
225,4090
226,2786
227,19322
228,9094
229,7616
230,11737
231,6757
232,15620
233,7296
234,10386
235,17622
236,19009
237,12575
238,9032
239,16485
240,5590
241,7062
242,11780
243,7271
244,13743
245,13088
246,9105
247,5527
248,19494
249,4398
250,16773
251,1560
252,7224
253,13859
254,9177
255,8665
256,11921
257,8977
258,14073
259,5025
260,2469
261,1564
262,328
263,6706
264,4902
265,15823
266,5893
267,16117
268,11119
269,10302
270,19167
271,9088
272,4596
273,4121
274,4547
275,4130
276,17332
277,3955
278,10964
279,727
280,17176
281,16921
282,10737
283,523
284,9154
285,8923
286,2195
287,11911
288,4262
289,9713
290,15604
291,5010
292,18391
293,18160
294,13332
295,4591
296,14771
297,17381
298,3546
299,18787
300,18183
301,1936
302,18191
303,19479
304,9594
305,15308
306,3963
307,4813
308,4069
309,11794
310,211
311,19526
312,11340
313,483
314,4341
315,11100
316,9891
317,19527
318,11811
319,12855
320,10750
321,2041
322,4381
323,10516
324,8417
325,13157
326,5109
327,816
328,15181
329,19964
330,19305
331,5994
332,16439
333,18360
334,12163
335,7992
336,13248
337,18769
338,2291
339,5648
340,8636
341,18964
342,1512
343,6081
344,6202
345,15830
346,17627
347,6813
348,5405
349,18913
350,2440
351,12379
352,10382
353,10559
354,3962
355,6
356,6374
357,15026
358,2875
359,14663
360,8140
361,17153
362,14518
363,17264
364,10548
365,19211
366,13619
367,5174
368,7970
369,15178
370,5507
371,9603
372,3465
373,2873
374,6288
375,8539
376,19158
377,8954
378,4723
379,17411
380,12357
381,11558
382,5182
383,19977
384,19675
385,13590
386,2093
387,18349
388,2309
389,5394
390,1326
391,659
392,8467
393,14378
394,15803
395,14293
396,7740
397,8572
398,8065
399,15868
400,11827
401,11924
402,4879
403,4098
404,3060
405,9769
406,9205
407,15938
408,14197
409,5474
410,9081
411,12881
412,11779
413,6532
414,11741
415,18289
416,14735
417,3285
418,16105
419,18254
420,16580
421,19646
422,17879
423,1425
424,7807
425,11410
426,4799
427,7365
428,2794
429,10814
430,4222
431,1916
432,3248
433,8272
434,19832
435,16571
436,193
437,18287
438,16666
439,9927
440,11914
441,19049
442,3448
443,8847
444,10089
445,11291
446,9493
447,19409
448,753
449,8429
450,17930
451,1899
452,15553
453,979
454,1319
455,10376
456,7438
457,16572
458,12940
459,10107
460,6898
461,15422
462,8723
463,12068
464,550
465,12651
466,17938
467,1934
468,16711
469,12443
470,7004
471,6346
472,15318
473,16694
474,8168
475,7507
476,18823
477,1420
478,2611
479,119
480,3390
481,17286
482,12797
483,13983
484,6258
485,13504
486,18086
487,19048
488,13363
489,1448
490,5003
491,2126
492,11212
493,7220
494,17099
495,1555
496,7367
497,17019
498,9642
499,13817
500,14422
501,7029
502,366
503,19447
504,19386
505,591
506,698
507,5689
508,2968
509,7463
510,9146
511,18876
512,10892
513,2091
514,6379
515,15858
516,4386
517,19280
518,11541
519,8025
520,4698
521,1943
522,2266
523,3077
524,10215
525,18099
526,10749
527,8201
528,6178
529,6290
530,4482
531,19133
532,16879
533,5680
534,8838
535,2298
536,17512
537,17746
538,8353
539,404
540,16971
541,830
542,12919
543,5710
544,1056
545,12594
546,13707
547,12002
548,19181
549,11106
550,10429
551,6097
552,1144
553,1604
554,4342
555,6744
556,6709
557,19177
558,10480
559,138
560,4954
561,15152
562,963
563,17988
564,18925
565,7030
566,5152
567,11462
568,9823
569,7485
570,18097
571,6489
572,9819
573,12330
574,11740
575,16249
576,4038
577,913
578,17711
579,11234
580,17180
581,6759
582,3928
583,8540
584,2349
585,12075
586,14318
587,17383
588,17654
589,18806
590,5066
591,9516
592,4665
593,13224
594,3861
595,2639
596,17974
597,10390
598,18356
599,8135
600,9162
601,13572
602,16954
603,11548
604,13666
605,15916
606,10807
607,17609
608,3109
609,3045
610,5776
611,8384
612,14958
613,18197
614,7214
615,6713
616,4185
617,15230
618,19267
619,4368
620,15475
621,14213
622,14002
623,13359
624,11528
625,19927
626,148
627,14538
628,4897
629,16546
630,19086
631,11968
632,16046
633,6269
634,3964
635,6546
636,18415
637,13673
638,14327
639,9793
640,1603
641,4153
642,17525
643,1234
644,17344
645,5912
646,11672
647,2725
648,15413
649,5911
650,19481
651,564
652,18813
653,640
654,7968
655,17140
656,9824
657,16201
658,10891
659,14636
660,11602
661,2474
662,10560
663,3611
