,1,2,3,4,5,6,7,8,9,10
0,6396,6849,16793,1692,17923,9450,14003,17406,12895,5462
1,5197,19278,8683,6118,9762,1863,12707,8143,14910,8497
2,16860,9379,15661,15653,7903,3203,11126,3533,14495,15490
3,14218,9412,17728,10179,1223,17125,17318,5643,3101,16883
4,888,10850,4173,768,16025,10409,5619,1750,696,14613
5,16310,14902,488,11700,3484,1043,19610,17987,15219,11012
6,6754,6574,12832,2212,16451,11130,3551,17339,11773,12297
7,4110,7534,14940,19711,8465,7634,6212,4607,6045,1234
8,16349,1447,4969,1510,10425,135,19103,4445,15213,18514
9,15491,9972,3256,5801,12855,6610,3606,10960,10394,12530
10,18834,14705,17475,14314,8150,18843,15788,2660,1862,17177
11,15234,7718,15986,11922,9256,12612,4461,2940,7238,15675
12,17163,17904,2694,17800,7197,296,8607,14905,2301,9160
13,16406,19605,2493,7988,4516,7023,8742,8208,19887,13760
14,4953,3880,18104,7788,7646,13395,16287,1613,3775,4202
15,10276,18412,7935,11447,7203,19490,10981,18488,13041,5314
16,18500,18098,2587,10252,9934,13470,15090,1416,8738,15014
17,56,4087,8798,5157,18346,1434,18170,19433,18266,1882
18,4035,14880,10120,72,15195,13869,3033,9786,19642,11388
19,17777,14226,5209,14387,9432,11463,5068,12507,10054,10506
20,12921,611,7583,16828,11743,2465,18313,10783,19851,1998
21,4543,16980,14235,11179,309,16288,8276,1806,18175,13395
22,3119,6784,3009,639,19239,4303,16332,5530,19268,17388
23,2194,19418,8636,7048,9743,10314,5422,2669,2151,13317
24,14621,6598,2464,10624,2165,14450,19553,17724,13561,16772
25,11663,1250,18648,19378,12925,6591,15223,872,14554,15613
26,17930,8506,10129,7405,1257,19813,1024,19163,14199,16830
27,4894,3956,16450,8194,7369,5554,2604,8740,14908,17121
28,4998,1054,2168,13644,17365,15530,14815,11514,16254,9141
29,12632,5310,5227,14107,13317,10784,19140,16854,3130,18133
30,5816,2747,18506,6168,3347,13974,14362,8184,5553,6895
31,15754,18157,13718,17210,5861,415,8362,11727,10217,8250
32,18689,14918,17912,19312,1788,9091,2388,9213,11984,16764
33,6576,3694,1343,6249,15326,950,3104,9451,3571,9958
34,4986,15787,8918,19565,18229,10015,14279,7670,589,12091
35,1587,10837,7311,12683,19052,301,17977,785,1534,18900
36,12141,16616,3842,12407,2237,3270,5301,2262,9955,5052
37,5316,14538,1854,8909,2967,4127,1133,12259,6432,19654
