,1,2
0,14977,11921
1,569,6405
2,12372,1533
3,1310,6975
4,9547,4505
5,14904,1027
6,2941,4216
7,2540,12383
8,4707,2967
9,9764,12628
10,15565,2652
11,8574,11200
12,3299,6876
13,14218,6088
14,10141,14974
15,19995,14704
16,5625,18713
17,13364,11920
18,8585,7673
19,102,8008
20,14529,12100
21,8887,5515
22,19557,16344
23,16718,2965
24,1506,19041
25,516,2118
26,8468,12030
27,16526,9562
28,14976,3862
29,13669,18931
30,12241,8451
31,2218,1003
32,10771,7945
33,13175,19834
34,1553,208
35,11437,13925
36,4114,15666
37,12147,3623
38,16558,2350
39,16910,10204
40,10544,11078
41,2281,11927
42,14644,14755
43,17240,4702
44,10361,14671
45,2715,13844
46,7494,17436
47,17940,12224
48,16669,6033
49,6514,4563
50,1782,17173
51,11022,13651
52,2267,11261
53,8527,14983
54,17745,17156
55,13553,11591
56,17888,12339
57,681,8277
58,1235,12901
59,11676,9059
60,5003,4653
61,1917,6558
62,19501,973
63,3297,9458
64,13832,17675
65,5917,3816
66,17081,7147
67,16804,7041
68,9811,6193
69,14345,12111
70,8522,3709
71,1561,10476
72,9467,12864
73,5178,2810
74,10312,14238
75,4274,9090
76,10962,17464
77,12378,19469
78,14512,5786
79,14264,4219
80,12985,5665
81,9686,9303
82,12094,14021
83,13697,2507
84,8978,13774
85,18041,12715
86,14632,18385
87,1248,92
88,19142,10525
89,8104,13000
90,18629,14011
91,7755,15422
92,7631,5461
93,9450,9185
94,12088,12819
95,19456,18584
96,17226,13549
97,18222,2463
98,16504,8924
99,5156,16695
100,18407,9524
101,9399,11791
102,3789,14403
103,5794,14146
104,16499,7185
105,14930,6233
106,14362,15895
107,905,1414
108,11599,1493
109,12193,6560
110,9923,18581
111,17569,18730
112,19997,11289
113,3777,18629
114,18499,18133
115,13211,17961
116,11263,4141
117,735,1950
118,4757,14349
119,15114,11318
120,9980,3386
121,11966,4529
122,11021,14109
123,19387,13377
124,8938,19100
125,8223,5405
126,9151,1332
127,19988,19867
128,7236,10313
129,14153,3652
130,6686,12417
131,6531,5125
132,8622,10082
133,19115,18833
134,4343,7806
135,8463,16010
136,2655,6436
137,18168,14222
138,13964,7688
139,14761,19067
140,8067,9161
141,9618,17575
142,2334,242
143,739,10770
144,5617,1814
145,14138,15311
146,11604,8606
147,9229,6571
148,12132,12486
149,16655,15849
150,9237,5951
151,670,1914
152,17463,10670
153,14082,5555
154,16429,8050
155,2569,7897
156,18517,2568
157,18969,5448
158,8521,6272
159,8300,19219
160,3444,5352
161,11215,9067
162,14080,12525
163,7033,5158
164,3116,1895
165,15015,11558
166,3655,3727
167,10716,19653
168,18361,19330
169,11711,15582
170,6601,7414
171,2211,930
172,11045,17093
173,10865,9446
174,15038,12016
175,3470,14415
176,11210,11303
177,9341,18660
178,12280,5530
179,13420,3966
180,15430,18750
181,13088,14793
182,4365,19385
183,7906,17625
184,14944,273
185,16835,342
186,8172,11482
187,16505,12336
188,14682,6382
189,13869,15896
190,3945,6023
191,4800,17310
192,7010,5897
193,13712,1105
194,315,10362
195,18066,5486
196,8797,13316
197,7179,3266
198,17611,752
199,19306,9828
200,3344,5132
201,17801,8434
202,1157,17289
203,6191,4065
204,17002,2559
205,14428,12284
206,4549,14835
207,14800,13305
208,19977,9115
209,6577,17718
210,8510,13560
211,9461,5248
212,613,18997
213,7512,14259
214,12682,1699
215,3413,1300
216,11299,11010
217,5505,19338
218,11617,54
219,19834,16425
220,13458,3298
221,708,209
222,9590,8630
223,3964,11281
224,8871,1571
225,14458,1639
226,14918,17217
227,375,4221
228,13950,12944
229,15296,11692
230,2279,3336
231,6059,16975
232,327,2030
233,11800,13835
234,10734,3510
235,11375,1286
236,10128,399
237,8943,9224
238,9308,16873
239,6300,19484
240,9635,1867
241,13648,10448
242,5735,5472
243,2729,17739
244,17742,18677
245,1012,13666
246,1577,13137
247,1380,16656
248,7984,13302
249,3733,6422
250,1869,12695
251,4690,8850
252,16871,6426
253,11395,7530
254,7829,8567
255,12789,9602
256,697,8445
257,9099,12911
258,5978,19793
259,3514,16565
260,3370,1520
261,13821,1625
262,18532,7612
263,7428,7197
264,8944,19761
265,30,13163
266,13026,13896
267,13138,388
268,7187,19176
269,19833,7960
270,19307,17264
271,4932,19319
272,4162,6320
273,18328,16401
274,9925,10951
275,3100,14640
276,11366,4094
277,2573,9913
278,3048,685
279,6311,9473
280,15838,14784
281,13386,13814
282,4567,9579
283,13608,19563
284,7232,16161
285,1704,9530
286,17340,18257
287,7690,12826
288,5090,4076
289,9414,9313
290,551,17000
291,461,9773
292,8016,11917
293,3833,6110
294,13132,5532
295,7126,6941
296,19470,912
297,11253,736
298,19077,19156
299,12942,4360
300,10450,7222
301,7905,7452
302,10385,7115
303,7410,19792
304,10625,3425
305,9443,6896
306,19179,16412
307,1088,3480
308,1934,5373
309,10618,3443
310,3182,19236
311,9984,19522
312,19111,12605
313,10200,2770
314,19783,11585
315,12370,12015
316,13158,12645
317,9135,13846
318,17772,19504
319,17638,19285
320,13258,15847
321,5869,11008
322,15477,72
323,4838,14244
324,6481,8659
325,2087,17590
326,3962,15798
327,12205,16567
328,19462,3842
329,16481,6041
330,15480,3814
331,4888,1233
332,13503,1219
333,15002,1126
334,7106,12011
335,18309,3988
336,18636,3059
337,9924,12609
338,7761,16898
339,1075,16028
340,4152,10123
341,3077,13928
342,5023,16700
343,7418,5140
344,16779,12822
345,1980,13980
346,9655,11376
347,3157,13793
348,12364,5609
349,10707,9721
350,5410,8407
351,11275,13415
352,13509,9173
353,16538,18320
354,16703,810
355,14921,13236
356,617,19434
357,1332,15852
358,15749,8224
359,13748,5170
360,5066,11355
361,17107,10238
362,9374,19158
363,7934,4206
364,15295,17733
365,16816,4261
366,19000,16922
367,10592,8302
368,13990,9347
369,6915,789
370,5046,3281
371,18012,5147
372,18753,1693
373,16997,6882
374,19432,15751
375,19935,13266
376,8884,19044
377,11388,2305
378,19724,13387
379,5526,17404
380,857,12244
381,5107,5383
382,13628,2669
383,5476,7987
384,4401,12466
385,4854,12992
386,9870,1934
387,17007,12930
388,12297,1323
389,2770,1196
390,8567,828
391,15316,18158
392,17117,15172
393,12329,16094
394,840,9921
395,13435,2454
396,8010,7717
397,6183,19772
398,18124,9014
399,1363,17902
400,2159,980
401,3374,6516
402,8733,6840
403,19408,13068
404,209,6208
405,9959,3277
406,17776,1598
407,8276,6853
408,13580,1585
409,7911,4670
410,12989,11744
411,3214,14812
412,12570,12150
413,17469,14462
414,16297,7514
415,6051,5729
416,19372,5708
417,4553,18018
418,12251,14664
419,13237,15471
420,753,3771
421,13594,14049
422,7257,14334
423,4846,818
424,11542,6109
425,15797,1269
426,951,5915
427,3796,16322
428,11274,13005
429,14596,2220
430,1973,5928
431,16309,4980
432,14086,9401
433,8955,13534
434,17876,14131
435,5756,14057
436,11318,6080
437,10246,9351
438,8482,18107
439,3369,8932
440,8605,17881
441,7778,6770
442,9481,7951
443,19303,14715
444,10670,17645
445,18669,3432
446,14381,10259
447,10170,9711
448,4167,4663
449,6616,8331
450,5790,16934
451,15135,19413
452,12546,1395
453,10798,1861
454,16571,8996
455,15762,10304
456,19485,16036
457,11233,14912
458,10791,14369
459,11073,10144
460,16896,13002
461,16915,1828
462,5851,9175
463,14081,819
464,3227,10938
465,11702,9799
466,13339,11381
467,6107,5296
468,17420,16583
469,13066,11698
470,4372,3668
471,5563,12245
472,1214,6408
473,15043,374
474,3084,501
475,18294,3347
476,6122,7182
477,3936,18530
478,19531,2550
479,14548,5423
480,10313,15510
481,7392,12519
482,11188,9116
483,634,563
484,1692,5038
485,4626,11209
486,17908,11003
487,4017,4723
488,4718,14315
489,8776,17737
490,364,15999
491,11303,13769
492,16531,11823
493,3290,637
494,10730,7030
495,2246,13616
496,14208,18688
497,13071,4388
498,4594,161
499,4595,4857
500,8161,10236
501,11497,13819
502,15676,1550
503,5328,15575
504,18501,16354
505,3221,15174
506,1774,17901
507,13963,13924
508,2915,1968
509,6449,10227
510,12819,17830
511,6940,14685
512,13299,10033
513,19181,9977
514,5333,15810
515,17243,5374
516,18654,18058
517,7391,1865
518,14914,759
519,4362,8757
520,9608,6863
521,75,12661
522,5779,1555
523,18531,822
524,3358,16880
525,13142,3186
526,11504,1574
527,9222,17891
528,2089,14675
529,146,17726
530,16427,1387
531,19226,9699
532,12939,1359
533,9305,761
534,9485,13861
535,5279,2292
536,26,6735
537,16081,5173
538,6840,6029
539,11972,5738
540,95,3194
541,7771,18388
542,10786,10124
543,11595,12797
544,6435,4785
545,6361,3103
546,1649,17327
547,3201,12766
548,12498,542
549,1071,10193
550,3579,6799
551,11271,14433
552,7599,17588
553,16868,7046
554,1288,15803
555,3078,11570
556,11939,18846
557,17816,14535
558,19095,254
559,9965,622
560,18458,2483
561,3715,19590
562,5992,13965
563,14041,431
564,4449,5619
565,6657,5680
566,15450,19089
567,15429,3473
568,6427,11134
569,5356,3877
570,3987,4885
571,11959,1570
572,906,12811
573,1180,14816
574,3065,11700
575,12605,16068
576,9171,13548
577,8819,15923
578,12860,16725
579,8742,13545
580,7892,11555
581,17624,13006
582,12567,13433
583,11238,5187
584,13442,17042
585,4905,12373
586,3110,1352
587,3295,12650
588,2678,16228
589,5825,18976
590,577,971
591,5252,11221
592,4216,599
593,900,18268
594,10176,14992
595,15652,17960
596,6280,13118
597,8689,18136
598,11099,1088
599,4266,14743
600,12595,381
601,3090,692
602,12217,17834
603,9819,7006
604,6808,11501
605,11391,12580
606,1882,12279
607,10543,6755
608,6620,12614
609,8746,16270
610,12641,15472
611,16162,1913
612,2132,9519
613,16089,4869
614,15250,9694
615,19169,17032
616,228,14825
617,16709,2484
618,7480,12778
619,18805,2438
620,6656,10498
621,18678,139
622,2475,10846
623,13016,19265
624,18583,4497
625,12747,2370
626,19657,10099
627,3014,13983
628,17231,528
629,19310,12537
630,18408,10588
631,4484,18422
632,6232,17120
633,15737,2661
634,189,4851
635,18415,5387
636,4003,7034
637,11131,12047
638,4963,13879
639,3003,11260
640,18608,6652
641,17156,17209
642,2660,1560
643,13456,2648
644,19733,10548
645,11062,1703
646,12031,1987
647,11898,8240
648,12235,15984
649,5028,12678
650,2778,16050
651,19035,9507
