,1,2,3,4
0,1061,18625,13021,9229
1,18968,3840,16214,19556
2,14329,2566,2652,6488
3,19792,7923,261,11668
4,15777,1703,7245,6959
5,1184,18545,16188,14644
6,6548,19570,19838,16228
7,7721,1120,14975,9273
8,5921,6218,11109,682
9,7675,6079,17198,3759
10,1288,16230,12830,5427
11,17451,1587,661,11705
12,15032,5759,11662,15895
13,9584,12492,16282,1483
14,17548,15873,12871,18917
15,8393,12390,18673,10522
16,9487,4197,10883,13520
17,3157,9805,6675,7738
18,5638,3535,19569,4556
19,13268,9033,4204,18860
20,5012,16872,13818,2825
21,11617,17476,10522,10344
22,3238,17781,9657,11631
23,8339,2237,12399,19075
24,15135,5550,18176,260
25,7077,15072,6715,12039
26,8746,7922,1189,6457
27,604,10077,17288,8365
28,10255,12848,19349,3754
29,2476,3839,15293,5038
30,3195,3163,8862,17755
31,18366,9767,19076,14773
32,17557,8724,5159,4382
33,18328,11717,15516,12225
34,5974,16626,13249,418
35,15629,17675,550,6853
36,17404,3266,17595,3
37,2004,14178,16558,2631
38,4277,11371,8315,11704
39,3619,9541,4550,17091
40,6853,2812,9727,2706
41,4963,5083,614,4745
42,17102,14284,4388,11098
43,1786,11402,16967,12509
44,6092,18974,2317,16174
45,12325,3425,16942,9523
46,11612,19105,11626,9896
47,16096,12742,16096,13899
48,9962,13044,13221,13411
49,11600,11583,2254,14762
50,16511,17694,4461,11158
51,267,18742,16360,4354
52,16266,4332,2039,2757
53,17341,12867,384,10224
54,6685,5487,6097,11332
55,1758,10076,9049,2656
56,15222,2530,8134,3447
57,4183,14861,11857,2581
58,13417,5312,19724,1571
59,10588,9817,316,7276
60,3403,5446,4059,5242
61,14229,7231,18977,1565
62,11028,830,12415,11803
63,1189,11451,15193,15930
64,19025,18525,6089,7515
65,15946,14996,15312,9783
66,18946,6679,861,16121
67,5225,1604,14785,18093
68,18033,3982,14247,452
69,13004,1347,7857,12484
70,4471,494,3204,18010
71,9013,4498,2511,3361
72,14763,11925,4224,17589
73,9072,11244,12738,3918
74,6034,17736,17850,3035
75,15806,11584,1498,7746
76,716,1062,1392,7270
77,6471,3935,3644,16829
78,19149,9699,17648,8160
79,5696,1083,1278,5967
80,4121,16080,7001,7587
81,1568,2784,9154,17342
82,36,4196,4888,5398
83,13,7632,5749,7959
84,11304,3230,5388,2233
85,9897,4217,3197,5316
86,10390,10298,18895,5812
87,10298,8706,1381,5613
88,19465,465,19084,14034
89,13572,12904,18063,19885
90,10525,4663,2830,16666
91,13785,7622,8244,16845
92,4040,14598,150,5923
93,1848,2919,14172,1969
94,16572,15169,16116,1276
95,141,9121,12073,16926
96,19645,7940,7280,9668
