,1,2,3,4,5
0,11429,5749,1609,14399,5013
1,4542,19634,2989,12358,6768
2,13723,9965,1455,14686,18119
3,8188,18341,12975,19354,14159
4,4865,2737,14594,445,5506
5,17640,14790,7690,13481,10634
6,17558,4090,7684,16,923
7,5677,4894,6696,16954,7370
8,19011,12860,11506,15782,5927
9,2569,10739,12309,19547,8396
10,9360,19230,5342,17915,3098
11,14785,12719,18626,10519,17948
12,19952,8876,11769,17480,8587
13,19130,11498,7365,1252,17193
14,13847,12326,16550,4405,6530
15,6960,9791,11993,2099,9110
16,7345,17442,15407,409,1459
17,13205,2442,608,2490,6077
18,743,15908,4669,17158,17072
19,16109,6833,19298,526,7338
20,19478,16504,15656,5544,15259
21,9639,13896,19448,14939,827
22,7969,19912,18507,8624,11709
23,4441,8016,12288,17841,10122
24,18118,1167,8302,18869,8975
25,14899,7243,14168,19620,15389
26,13625,7814,13214,19056,8668
27,5278,8923,17221,3685,13856
28,747,10236,2878,16997,14868
29,14047,7510,11151,13122,18152
30,3451,18525,18690,3804,8282
31,14308,14110,10232,15761,12793
32,15474,12367,19871,1690,15152
33,15852,5123,15439,19237,3832
34,11833,6677,16456,1940,8074
35,15848,6581,17887,14692,9949
36,9193,7254,19369,7004,4819
37,19650,5313,5541,15470,7377
38,1245,16444,10923,7420,12737
39,19192,16503,3705,11184,218
40,6786,6741,15460,11624,6147
41,3923,6866,19678,11999,3969
42,12852,17082,7501,3642,11202
43,3190,6881,3997,15297,19844
44,19343,16861,17575,6436,5100
45,16125,8150,16118,17991,6265
46,17355,18083,15462,13714,2280
47,7123,2569,2108,7109,15500
48,17125,19943,9025,11528,8013
49,7376,10750,11272,18946,14363
50,5076,11716,13364,3977,7248
51,1919,17971,6888,4925,7609
52,10761,9937,353,18121,17327
53,9723,5531,5089,4758,2819
54,12562,11788,14802,5458,8129
55,11981,14518,3355,4836,17725
56,11441,8026,12155,12659,5704
57,15704,19693,4413,14172,9969
58,10742,1163,6884,15923,16313
59,10295,18902,17109,14610,10422
60,11941,10543,5495,15328,999
61,11423,15917,9171,1527,10215
62,9462,19313,8847,17773,13803
63,10584,10789,17425,3049,12201
64,12803,11154,5477,15859,1568
65,13984,19956,17137,2738,7153
66,303,18404,12187,12065,15953
67,3512,16142,17116,18943,781
68,19559,9170,7259,3940,10213
69,6384,307,19750,11255,6582
70,16421,9751,15293,16957,6635
71,5761,10230,2865,6755,15341
72,12377,9845,10338,18934,1269
73,3445,13078,244,2469,8660
74,3172,6417,11190,15996,5180
75,5294,15077,3315,15557,13003
76,13008,17195,3084,796,17098
77,17491,3451,10594,14232,10005
78,1929,8709,680,12098,29
79,6172,9532,852,2140,9421
80,8617,12363,2090,15703,18956
81,14293,6394,2457,19027,10856
82,12843,18756,7696,16871,12084
83,11754,8592,3028,18914,13453
84,4976,19735,11475,4133,3945
85,16409,10488,4171,191,13122
86,14495,14510,2374,7768,14536
87,14510,9841,3678,3790,5490
88,6106,19343,6540,5489,4594
89,10796,19090,2415,5680,18791
90,6701,19981,511,5024,15912
91,7252,7911,1148,495,17209
92,2932,10085,19113,2775,10647
93,17950,6670,8293,18378,16877
94,1889,17025,17489,6891,8340
95,1226,11014,16784,13916,3658
96,5898,19169,3723,12586,2800
97,9516,4807,27,1503,19276
98,3602,13046,10647,5738,13875
99,18097,16452,193,11848,8683
100,6299,3159,2390,6607,1243
101,12049,17495,5593,53,1241
102,9842,1422,3229,7682,10358
103,19739,4511,291,11345,5858
104,19275,8127,10130,12109,2135
105,15370,19568,11261,9792,13343
106,6942,2892,7988,2396,3476
107,3428,2509,7246,6591,2614
108,15220,12123,7872,16500,6783
109,9938,12996,5763,360,19594
110,10649,17550,2511,15717,4623
111,13743,17383,19390,519,5291
112,7661,9194,19486,19018,14964
113,9827,8112,4382,3281,725
114,3162,11560,2450,15724,7
115,9532,11045,14731,5884,10229
116,4518,8021,3122,19972,10359
117,7060,3146,2044,3822,1944
118,17920,8710,4202,5845,4653
119,14738,18790,232,10089,15917
120,4946,13582,8502,821,11776
121,9490,10435,16250,392,13621
122,5151,10854,14412,18442,1289
123,10732,10175,8469,10833,9851
124,13733,4275,3991,19793,15246
125,13864,15024,560,8713,12005
126,2080,7459,8200,6139,14893
127,7263,658,6872,6853,17041
128,9728,7366,3223,9311,7107
129,6459,15890,18538,7196,12243
130,8539,14271,1882,18493,16823
131,1799,11900,14786,19897,3038
132,6505,2380,18319,18305,13437
133,12899,2209,19649,4427,12168
134,15328,12221,14882,10123,18092
135,17322,11054,15694,2970,1628
136,19562,11856,17611,14792,18651
137,6575,10400,8651,3498,5478
138,16410,14495,1216,4149,10897
139,9175,5991,6547,13289,3963
140,6277,19500,11463,7478,4303
141,19014,7704,18011,4045,2774
142,15616,11170,10400,2093,7608
143,8304,9040,5025,16743,6555
144,5235,11671,5237,14790,15345
145,10768,4057,6260,7806,12405
146,19879,18365,13071,6262,9985
147,7287,2785,5249,11300,5108
148,14447,11185,5993,15971,7157
149,11578,8636,11138,9812,3527
150,16779,668,5586,11337,9494
151,17458,10345,701,15729,2316
152,13386,14876,2107,865,18278
153,17498,5707,13973,290,16025
154,16544,2426,11807,8553,18520
155,4596,14376,2907,5632,13105
156,7639,7183,12162,10464,5026
157,817,8690,14938,17288,15625
158,17984,3014,19342,7536,389
159,15738,17749,19742,5900,6950
160,12535,9022,5533,10751,4697
161,1564,8013,13616,3640,17637
162,19298,11341,19413,10993,11049
163,5467,19070,11584,11753,12097
164,3721,14991,3231,11459,5892
165,12640,18007,14592,15643,6366
166,14436,10522,14764,9364,5977
167,5465,9740,16595,14834,3165
168,12025,12007,19348,2782,8434
169,14826,10189,17347,4484,910
170,10342,6485,15215,1256,6620
171,9235,7977,17203,9712,7762
172,12414,14582,7963,17233,5636
173,12711,16020,9807,10747,17315
174,19289,15039,3837,16804,14616
175,1302,2661,17662,17706,8867
176,9641,15201,889,19431,94
177,4344,7518,17270,13883,18477
178,17988,3780,12276,17886,10116
179,17620,16404,17477,15805,1190
180,13781,17580,17021,19537,19591
181,13664,11955,16559,12972,13616
182,18216,2162,19934,14336,12673
183,3343,647,2337,6788,6037
184,17678,12815,632,464,15015
185,11471,11123,558,13770,11317
186,12304,16867,12803,5928,6058
187,1888,14890,9999,11039,11161
188,11220,7340,7131,10377,3620
189,10262,754,18639,19379,14963
190,16957,18728,1765,15659,6920
191,19003,7444,11302,18877,19514
192,34,5173,1772,17641,4147
193,18014,2955,17791,10190,1911
194,4568,1349,17434,8526,6241
195,17643,311,16134,12189,9825
196,16591,6715,10465,16902,17638
197,8808,18643,19579,3074,1619
198,8709,5171,10940,14323,1064
199,9043,2577,19279,1216,16156
200,13853,17665,1764,8013,9680
201,2064,7532,11168,19091,7237
202,4994,9240,18010,6589,2496
203,5475,19616,32,8240,19450
204,4635,10623,15518,15789,18653
205,12713,6499,7600,2654,10725
206,7822,9391,1855,4419,15926
207,18032,4467,10571,12710,15519
208,17608,16873,4673,13710,4927
209,13948,11271,9992,4623,1622
210,1173,6515,8863,19921,9478
211,3418,10942,13383,8344,5357
212,8765,3926,2007,1306,17267
213,6086,3493,6615,18215,7732
214,19750,17357,8719,3071,13355
215,2354,10401,11882,5883,2645
216,15700,2604,6799,12355,19535
217,9654,9575,4235,13008,19767
218,4947,9945,13694,19020,5870
219,12896,9867,2157,17124,11261
220,9268,2087,14251,13588,14744
221,15183,6682,11222,6601,8339
222,17116,6436,1685,9120,8764
223,5986,15989,2280,285,34
224,8940,17642,9503,16552,3912
225,16875,9588,1009,14119,6571
226,15281,19648,6810,17774,17728
227,16448,16958,16962,5894,7669
228,11286,16277,7424,10383,17377
229,19491,4645,2248,18640,5840
230,1332,12459,7831,7365,2996
231,1951,18029,19200,10327,19996
232,7724,19677,16766,4265,11025
