,1
0,12048
1,5388
2,8726
3,8401
4,4714
5,12069
6,18976
7,6402
8,1490
9,1335
10,19577
11,13012
12,16989
13,9802
14,16460
15,12571
16,3461
17,18255
18,2547
19,3654
20,4198
21,7675
22,9820
23,9999
24,17119
25,7949
26,19449
27,17552
28,5035
29,10315
30,11732
31,6129
32,3868
33,4907
34,1104
35,1141
36,10953
37,10716
38,2455
39,1083
40,18706
41,6437
42,5616
43,1358
44,16229
45,5041
46,2671
47,4014
48,18767
49,1876
50,8007
51,11116
52,19040
53,7900
54,13028
55,18103
56,4557
57,18774
58,13183
59,5646
60,11329
61,19314
62,17234
63,10939
64,10825
65,14175
66,3857
67,9271
68,1315
69,233
70,10292
71,7110
72,17016
73,4404
74,19709
75,5734
76,3593
77,8816
78,16324
79,2738
80,10900
81,3159
82,16909
83,2953
84,14779
85,4009
86,10389
87,14098
88,2079
89,19391
90,9399
91,18693
92,12111
93,783
94,4538
95,15260
96,13511
97,12807
98,16059
99,514
100,19512
101,2773
102,469
103,6254
104,9292
105,16235
106,15795
107,3660
108,14801
109,12029
110,9398
111,13612
112,6316
113,16236
114,16337
115,17073
116,12883
117,6479
118,17863
119,10935
120,5939
121,2188
122,1
123,18089
124,19731
125,15315
126,7497
127,915
128,1323
129,1733
130,10564
131,11300
132,10051
133,10616
134,14111
135,17260
136,7889
137,13156
138,2401
139,2817
140,18916
141,5452
142,9442
143,1235
144,7666
145,1563
146,15660
147,18484
148,7489
149,7291
150,15078
151,19331
152,1637
153,11337
154,3942
155,1702
156,820
157,6114
158,17991
159,6904
160,19761
161,7932
162,18666
163,1601
164,3576
165,11450
166,18561
167,5461
168,1192
169,5194
170,2013
171,18721
172,1642
173,5195
174,10399
175,8119
176,1436
177,9311
178,11243
179,15086
180,8340
181,6804
182,6912
183,2402
184,2368
185,10312
186,2746
187,15723
188,8165
189,8988
190,3359
191,18318
192,6768
193,111
194,16181
195,9042
196,8375
197,3178
198,6825
199,6168
200,17394
201,10182
202,9185
203,249
204,9007
205,11058
206,11355
207,6089
208,19256
209,18273
210,13741
211,5887
212,13235
213,10467
214,11922
215,18435
216,16985
217,4654
218,15358
219,14527
220,7856
221,7036
222,10699
223,17521
224,14300
225,7097
226,17058
227,19826
228,6584
229,14947
230,8133
231,18237
232,19520
233,10960
234,16997
235,16473
236,3733
237,18970
238,11788
239,17407
240,19244
241,15456
242,15596
243,7716
244,15357
245,7594
246,196
247,5073
248,17010
249,6734
250,19636
251,16664
252,19906
253,14609
254,14392
255,11936
256,19670
257,18798
258,18537
259,3494
260,9567
261,15556
262,17921
263,16412
264,11760
265,17858
266,13830
267,16092
268,15700
269,3567
270,8811
271,18483
272,13375
273,53
274,12352
275,12322
276,5223
277,18136
278,16156
279,10424
280,11067
281,18212
282,17288
283,12326
284,8968
285,8342
286,7114
287,16132
288,17758
289,5624
290,6559
291,7015
292,4297
293,5458
294,13356
295,1001
296,15961
297,7685
298,8450
299,9122
300,6535
301,19064
302,2359
303,17659
304,15780
305,8845
306,12316
307,3170
308,3272
309,15307
310,6995
311,3344
312,4372
313,4807
314,16240
315,14433
316,4278
317,11633
318,8781
319,4133
320,5521
321,6721
322,16440
323,4110
324,5164
325,19753
326,13777
327,11861
328,8381
329,10377
330,5918
331,10041
332,6082
333,3504
334,12214
335,19374
336,17155
337,9439
338,16271
339,2022
340,8202
341,9768
342,4749
343,7451
344,419
345,271
346,3706
347,18612
348,7632
349,14591
350,4340
351,15074
352,13886
353,18696
354,6892
355,18425
356,10271
357,60
358,6045
359,8670
360,8940
361,13097
362,3672
363,2597
364,5321
365,6776
366,17471
367,14075
368,15952
369,14855
370,9780
371,3830
372,6247
373,16570
374,3934
375,18034
376,18315
377,1286
378,10717
379,18919
380,12055
381,599
382,19863
383,7361
384,396
385,10235
386,16707
387,6823
388,17939
389,6162
390,319
391,19651
392,15993
393,5711
394,4865
395,18087
396,6309
397,19755
398,9771
399,12596
400,4402
401,2470
402,8614
403,10247
404,2938
405,3226
406,15399
407,3168
408,4508
409,10408
410,6054
411,5242
412,7785
413,7319
414,882
415,17976
416,9326
417,6578
418,18645
419,8038
420,16163
421,16082
422,15058
423,2261
424,16558
425,10981
426,11394
427,17920
428,2769
429,14106
430,9412
431,4211
432,14581
433,8856
434,17861
435,1226
436,6514
437,6789
438,14743
439,3138
440,4612
441,4254
442,19326
443,8741
444,15371
445,12165
446,3114
447,17806
448,592
449,14573
450,14694
451,4921
452,11345
453,17355
454,14778
455,19764
456,11159
457,11163
458,9655
459,1213
460,19946
461,12365
462,16104
463,19216
464,19497
465,11782
466,18012
467,153
468,1521
469,11938
470,14058
471,13061
472,13290
473,1778
474,8456
475,15563
476,11360
477,14772
478,9263
479,18253
480,1779
481,13310
482,198
483,745
484,18884
485,2277
486,8832
487,5431
488,11155
489,3914
490,8338
491,5062
492,18846
493,5513
494,7851
495,12611
496,8448
497,11498
498,13036
499,5890
500,1074
501,18482
502,14286
503,11372
504,6590
505,15180
506,16200
507,6187
508,9416
509,10084
510,15837
511,5577
512,6624
513,2089
514,16863
515,4178
516,4473
517,14340
518,9030
519,7277
520,17509
521,13215
522,8241
523,4215
524,4226
525,17660
526,2294
527,11393
528,1494
529,1196
530,11728
531,6618
532,5079
533,3790
534,4451
535,10833
536,6367
537,6454
538,14127
539,17101
540,8000
541,6471
542,1552
543,6101
544,1655
545,3400
546,9746
547,88
548,9405
549,7987
550,3590
551,12244
552,9204
553,9494
554,11107
555,283
556,1921
557,8990
558,545
559,18216
560,3339
561,9000
562,13335
563,14452
564,16661
565,3526
566,13720
567,9563
568,2982
569,5129
570,785
571,19187
572,5022
573,11625
574,10655
575,8887
576,10124
577,14653
578,8583
579,8609
580,11047
581,9958
582,9987
583,8995
584,9829
585,175
586,15089
587,10691
588,8343
589,15825
590,879
591,12121
592,1952
593,11738
594,13175
595,14331
596,2473
597,14847
598,16303
599,2394
600,19554
601,12610
602,17895
603,17601
604,16128
605,12985
606,16098
607,14892
608,19875
609,18935
610,7377
611,11388
612,8235
613,6231
614,2284
615,14043
616,6735
617,15493
618,7483
619,8714
620,1510
621,13482
622,1398
623,9084
624,15130
625,12630
626,5653
627,13188
628,1011
629,1539
630,19725
631,14981
632,8092
633,452
634,13046
635,19858
636,3421
637,16256
638,4570
639,12349
640,14558
641,19425
642,8487
643,7635
644,12948
645,4414
646,5235
647,1314
648,10340
649,1675
650,9840
651,7351
652,13716
653,11029
654,289
655,18651
656,18801
657,2560
658,7745
659,12771
660,3678
661,12504
662,11368
663,5597
664,12310
665,14458
666,13929
667,9881
668,2638
669,5733
670,51
671,17699
672,19462
673,16415
674,3722
675,4426
676,10423
677,15953
678,3645
679,838
680,10111
681,18139
682,19115
683,12565
684,4895
685,16790
686,573
687,8271
688,14546
689,13408
690,18491
691,11843
692,11325
693,3200
694,14956
695,8526
696,1115
697,6937
698,5903
699,11441
700,15690
701,7942
702,16677
703,1576
704,9286
705,19975
706,10320
707,4731
708,12656
709,3832
710,5657
711,16287
712,13429
713,18164
714,19517
715,4409
716,9036
717,9240
718,13503
719,15104
720,6023
721,2932
722,19770
723,12835
724,11747
725,18867
726,256
727,15665
728,19642
729,7091
730,1426
731,6121
732,2907
733,664
734,14927
735,13799
736,12113
737,12481
738,18533
739,16312
740,17025
741,7356
742,9938
743,16148
744,11255
745,3455
746,16357
747,2574
748,13591
749,551
750,7089
751,5123
752,18281
753,15250
754,5476
755,14145
756,11835
757,10566
758,11130
759,13586
760,1161
761,14259
762,11369
763,15843
764,802
765,15053
766,14484
767,17193
768,6040
769,5186
770,4767
771,988
772,1345
773,9123
774,3549
775,7075
776,2249
777,7869
778,46
779,6100
780,12793
781,1742
782,11722
783,10542
784,1340
785,3051
786,19453
787,605
788,3652
789,2377
790,7082
791,9057
792,10653
793,3937
794,5291
795,2167
796,3537
797,12036
798,9269
799,688
800,18918
801,2059
802,1092
803,18455
804,8022
805,12748
806,17957
807,3174
808,4105
809,18207
810,1945
811,259
812,5992
813,4081
814,9380
815,12398
816,19789
817,11297
818,14595
819,10790
820,11151
821,13794
822,11023
823,7623
824,5730
825,5467
826,15487
827,14199
828,13111
829,13704
830,9911
831,8447
832,7792
833,13439
834,9229
835,18257
836,14742
837,6344
838,7357
839,1140
840,18288
841,17210
842,15685
843,16517
844,1593
845,6201
846,7511
847,1447
848,418
849,6808
850,3992
851,18009
852,10501
853,8352
854,7300
855,9582
856,7173
857,2955
858,7059
859,14905
860,4470
861,9975
862,2419
863,12691
864,4620
865,9722
866,2821
867,15353
868,767
869,18665
870,14044
871,10962
872,5147
873,8079
874,5774
875,15643
876,9729
877,19077
878,5870
879,18242
880,17683
881,17653
882,5133
883,10534
884,15673
885,12792
886,15987
887,7254
888,13124
889,5468
890,3330
891,19650
892,15668
893,14789
894,18146
895,2813
896,2778
897,15888
898,12124
899,8082
900,2272
901,4249
902,9017
903,13109
904,6916
905,3210
906,12720
907,14267
908,9770
909,8496
910,1332
911,16616
912,19688
913,5351
914,12975
915,8294
916,3142
917,8507
918,9169
919,15894
920,16394
921,3890
922,9414
923,14793
924,9488
925,8713
926,6217
927,11550
928,2012
929,6675
930,14285
931,583
932,17884
933,1682
934,10758
935,15049
936,13239
937,16443
938,5879
939,16064
940,15654
941,5483
942,2990
943,1212
944,20
945,3062
946,15060
947,8582
948,15072
949,17094
950,45
951,12786
952,18738
953,8326
954,14160
955,15882
956,257
957,16095
958,12480
959,2011
960,1173
961,2465
962,11420
963,16760
964,5942
965,11809
966,1625
967,12441
968,15709
969,7882
970,4563
971,290
972,2586
973,2048
974,7362
975,18681
976,17923
977,18591
978,13461
979,5306
980,2833
981,9170
982,18601
983,3724
984,19905
985,718
986,4352
987,8578
988,15708
989,16784
990,7867
991,13150
992,10877
993,5777
994,5759
995,10537
996,4192
997,3630
998,1383
999,6636
1000,4655
1001,1440
1002,9452
1003,1053
1004,9247
1005,9362
1006,13200
1007,16385
1008,13686
1009,3048
1010,1888
1011,278
1012,5262
1013,12263
1014,7244
1015,16035
1016,8102
1017,5836
1018,15651
1019,18821
1020,16193
1021,14714
1022,18327
1023,13517
1024,18770
1025,3015
1026,7164
1027,2085
1028,19164
1029,9845
1030,10266
1031,10694
1032,3162
1033,9228
1034,17684
1035,18132
1036,5266
1037,6991
1038,3204
1039,12093
1040,12003
1041,3091
1042,6493
1043,12485
1044,14647
1045,867
1046,2453
1047,14084
1048,4188
1049,165
1050,2823
1051,16222
1052,5967
1053,3175
1054,2960
1055,5064
1056,7988
1057,3337
1058,15598
1059,14529
1060,9359
1061,7034
1062,16127
1063,16775
1064,11731
1065,12920
1066,14826
1067,1833
1068,10368
1069,17423
1070,7991
1071,19419
1072,5766
1073,15514
1074,4229
1075,5301
1076,15688
1077,11523
1078,7530
1079,11084
1080,11739
1081,16471
1082,11765
1083,7737
1084,4218
1085,10927
1086,16369
1087,12229
1088,3305
1089,9809
1090,14593
1091,356
1092,16953
1093,611
1094,14008
1095,2522
1096,12066
1097,14448
1098,1804
1099,10976
1100,6633
1101,12278
1102,14320
1103,890
1104,6271
1105,620
1106,11102
1107,18406
1108,3468
1109,13659
1110,9858
1111,13000
1112,371
1113,8814
1114,16834
1115,18694
1116,2558
1117,6683
1118,3314
1119,7133
1120,3878
1121,967
1122,16004
1123,18373
1124,13629
1125,9698
1126,2708
1127,19772
1128,8067
1129,3384
1130,7541
1131,9751
1132,9387
1133,7204
1134,8088
1135,19019
1136,738
1137,7234
1138,18895
1139,14040
1140,16204
1141,1228
1142,5956
1143,15634
1144,5276
1145,13650
1146,18796
1147,2845
1148,5529
1149,13811
1150,11710
1151,1615
1152,9430
1153,15160
1154,15021
1155,14045
1156,16702
1157,14472
1158,12525
1159,11097
1160,310
1161,11537
1162,18614
1163,19868
1164,8042
1165,12400
1166,6939
1167,13398
1168,11900
1169,14264
1170,8821
1171,12563
1172,12101
1173,14176
1174,1102
1175,9138
1176,12825
1177,16045
1178,10056
1179,10759
1180,17833
1181,14619
1182,10163
1183,9857
1184,11443
1185,344
1186,2688
1187,1980
1188,6571
1189,642
1190,14614
1191,9885
1192,1279
1193,16145
1194,17888
1195,10704
1196,14736
1197,12321
1198,17617
1199,4483
1200,6188
1201,3786
1202,6272
1203,2023
1204,6096
1205,4221
1206,17498
1207,14010
1208,16641
1209,16417
1210,15143
1211,6797
1212,18167
1213,16108
1214,4445
1215,18551
1216,6638
1217,9363
1218,13495
1219,14420
1220,7180
1221,5126
1222,19734
1223,3787
1224,3037
1225,2004
1226,9254
1227,16526
1228,11436
1229,4904
1230,1418
1231,987
1232,6874
1233,10297
1234,1498
1235,11431
