,1,2,3,4,5,6,7,8,9,10
0,16613,11807,7481,16151,571,1179,3917,17269,11897,4973
1,19081,640,17658,19567,17728,16314,4922,13623,2394,18224
2,11766,8165,9977,3425,3857,6349,19148,4022,14780,12900
3,18240,12660,2949,8327,8031,11872,4168,13398,13603,15764
4,18125,2391,7327,8329,8725,19119,13816,12215,2576,8080
5,14980,16104,1055,18671,8193,2205,6376,4534,12490,16240
6,13997,8020,15185,12057,2461,8,858,6554,17367,18002
7,2096,15043,18914,3354,6320,6007,16902,6207,3701,5186
8,4836,375,14300,18790,1891,5288,18382,18865,1755,6390
9,3304,8195,19573,3324,727,3910,18375,10978,1162,9094
10,3264,12177,19318,5433,10863,15684,11057,1616,17599,9121
11,272,19161,14959,16691,100,8065,6288,15509,18869,17555
12,10000,10267,2071,17002,8537,1943,19708,6827,16793,2753
13,12603,7937,19957,18684,4547,11477,10620,5302,19595,2327
14,4565,8494,13464,18295,19624,5312,13129,8063,792,12817
15,11544,12222,11975,2476,13045,8826,9371,866,4093,4944
16,10027,12280,3783,5570,13085,7799,1512,6256,19783,9492
17,12727,4529,16210,3932,11412,16195,1,15683,1453,539
18,10782,8199,9786,16647,19809,8315,12383,2535,18686,6703
19,14713,15094,7452,6112,7341,2411,207,7415,19868,7682
20,12217,2597,6118,7787,9094,1506,802,1139,10805,13495
21,7451,14017,12970,14308,13548,12989,18909,14069,15223,16848
22,570,7300,609,2510,3673,13851,11558,19588,13558,15354
23,8376,616,13739,8529,17652,15510,439,9039,7668,14337
24,16322,19488,1504,19827,18207,11873,4606,15159,9855,753
25,6312,4290,15962,13150,14984,14482,4304,5058,9812,14430
26,5001,8174,2461,12931,10867,12037,2263,16276,9944,2647
27,5351,9724,14723,3876,19740,18853,6687,7005,13691,13928
28,2011,12200,1329,3343,17087,5577,7911,11153,17956,11178
29,633,14590,19961,5140,10257,9819,680,18355,14810,13573
30,11198,14334,9083,12297,16062,17618,17829,11393,4173,13102
31,14232,13350,18712,1580,11624,2784,9176,19232,19137,5530
32,7434,4304,19044,5255,18659,13341,13725,9708,1264,10875
33,12731,1916,12175,5097,5061,12534,8018,10261,6772,17173
34,15025,12669,10028,4940,6068,11459,17700,9154,17458,11027
35,14306,1444,19650,13931,5094,6369,10953,5225,18238,4376
36,4132,14665,16720,260,15609,15384,11661,4832,19790,12524
37,15449,15967,15837,14878,9667,17971,6268,14589,5929,7704
38,6091,5913,15788,7890,19566,15997,19869,1687,17673,15850
39,16018,14056,1108,11880,16885,5558,11939,10464,4147,19768
40,12073,4353,15064,19647,14474,2948,7770,5139,6618,19723
41,6180,18687,5663,11312,19242,16216,2833,2721,13889,3336
42,3381,5183,8997,19046,8463,7079,5828,10898,11394,738
43,16278,12086,10158,6027,1029,4927,14469,8199,16017,12895
44,17456,17405,3428,234,1273,53,8244,336,15310,8065
45,15188,18694,8850,13201,600,18481,5400,2836,16629,19958
46,10233,8868,3612,17605,13858,11110,19355,12799,11814,12670
47,4113,6830,1903,2458,2386,2095,19142,12498,9520,15541
48,8847,5656,11201,19078,11689,19418,15241,2091,5626,3830
49,19916,15958,13966,11177,17120,11030,10907,4697,19477,5273
50,11421,1868,10318,9348,17078,3556,8519,111,15073,11052
51,3027,14862,12490,8633,8978,14253,5083,18627,19324,10178
52,2148,6361,10554,1174,16234,3743,8352,12849,1143,5892
53,18192,13250,10637,20,2213,1382,12329,8922,10881,9591
54,16566,9314,18685,10451,4326,17306,13646,16436,11060,9684
55,6779,18638,4198,10899,19983,11722,5873,18490,4324,18019
56,550,14684,4897,13552,1701,6941,15141,8334,12598,16262
57,6382,3055,19675,10168,18651,5442,19366,17153,2939,15683
58,11900,4755,6016,1182,14520,4896,11733,6520,19332,13173
59,8929,15096,16550,1852,17096,4644,11370,18234,17414,3617
60,11297,15866,9226,12725,12030,17136,10704,12258,1189,13880
61,1665,9142,19981,8041,16459,19608,11224,16625,4614,16031
62,18525,18566,15594,12275,18414,3802,10418,5608,16589,2241
63,15227,10355,18064,3642,16724,17311,16042,3285,18942,17
64,8151,18425,19162,15542,1582,19825,15029,7257,1606,13916
65,6343,16770,7027,19088,6159,4224,2450,3755,4577,10928
66,10449,5424,9131,3833,12898,7484,10946,18567,365,19318
67,15663,7517,7708,16459,4379,9278,17683,8730,4736,11847
68,18457,10522,5736,19060,17114,19719,8911,4473,3505,16117
69,15989,14908,8929,5258,16220,13371,451,2858,3838,14350
70,14541,7781,10236,17875,5347,4509,10349,14118,9626,2091
71,18,634,13088,15635,2077,8813,1949,5356,5989,12002
72,13628,6427,2601,3277,476,15155,3685,3723,12153,514
73,10982,6895,572,7649,18565,7947,8492,18225,16505,16518
74,11017,8667,11149,18535,8420,6709,17449,6423,16276,4939
75,2700,3473,9905,14386,7888,9672,15051,17814,9298,13603
76,13481,13424,7361,19113,11114,6386,2238,15529,6549,8576
77,9249,19894,3582,9249,11438,3652,69,831,18596,369
78,13151,449,8070,11860,19685,17330,10661,6197,11638,10107
79,7130,18634,611,9936,3086,14178,7413,1275,10164,2310
80,16684,14737,6637,15550,12009,13564,17157,3683,4076,9005
81,17190,14274,9394,3939,14685,11886,18192,14067,15124,17663
82,16055,7976,2372,19238,11837,19104,11864,8789,1041,17630
83,12979,18911,6751,10213,10684,2814,14929,14902,16153,7439
84,9879,15614,2173,16350,2341,7863,12617,14170,17556,10243
85,261,12857,8031,16307,1849,4078,8808,9956,6013,16553
86,3865,7178,10179,2592,3945,6223,3933,13007,16410,19089
87,17517,3389,1121,15893,2997,18149,19992,9365,7417,3879
88,13644,9070,19946,149,10180,6713,19145,14052,1245,10468
89,14562,499,2681,13191,17434,15461,10075,9577,9443,10862
90,5176,4347,14927,18961,7554,149,16946,6221,3629,8638
91,882,1827,1692,17806,18674,17797,17546,14624,10887,9180
92,7131,4578,12699,359,11155,1205,3543,2467,8941,19821
93,4472,19970,14820,8205,767,2186,4237,15567,5511,8462
94,12700,7865,18049,9182,121,10714,12250,6074,3126,19363
95,6075,13453,11161,10352,11225,17075,15021,13451,18575,10324
96,10474,10052,15148,5175,14461,5089,767,10550,3644,2443
97,3884,647,4054,19461,18134,19775,7664,3414,3558,2257
98,10396,19832,9087,17213,12020,16078,8409,9901,16191,9049
99,18046,1601,7555,2427,14451,15400,18791,4140,19427,3571
100,19311,15771,16956,18409,15396,4710,11819,19181,16769,8968
101,15868,17640,18035,3200,845,17292,17912,17168,8615,13235
102,7170,6432,10147,9377,6722,5331,19353,8200,19168,15514
103,9430,16796,15774,11033,10682,18908,4391,5851,9734,2705
104,3872,9539,13437,15059,15739,13127,18248,18570,17613,1370
105,8094,9159,8054,19548,3116,14304,15170,4556,16320,10867
106,378,14074,10106,11847,15687,10325,19507,16308,17462,11150
107,19723,8513,6934,14567,12882,14788,15017,11304,5089,3216
108,866,4248,14429,17651,10521,11089,1396,8964,10247,4809
109,4652,6123,9611,15007,3764,13158,8115,13137,11136,11618
110,14460,9859,18649,13743,3985,9976,9279,1340,3875,5940
111,14625,4626,1548,5474,18741,7105,15634,11823,12754,4791
112,6093,19775,5516,9225,11231,13794,14955,3466,12203,11402
113,4183,17194,4753,4298,6515,10481,12267,15609,14933,1408
114,13348,17989,2144,14127,42,8741,10692,6708,14585,10250
115,6402,443,3359,879,16899,5982,11924,6374,184,10447
116,155,14047,12447,11119,18227,1979,9725,17382,5199,10143
117,2384,4217,19439,17750,1621,5647,533,11927,348,16450
118,4454,4999,3105,14776,12580,15153,1461,14951,5165,12707
119,8449,7665,6351,16482,5217,916,1752,6982,15058,4511
120,11773,540,17252,10943,7368,16801,10934,2533,15348,263
121,2185,5020,1295,734,16146,7397,2196,5040,19066,10438
122,696,15038,1693,14493,3785,5667,3710,14014,14859,13757
123,407,2518,16658,7791,2300,6201,19976,17583,3665,1131
124,16970,15009,4114,6159,879,10226,14256,257,15618,17631
125,18160,5695,4207,4154,14595,9461,16956,611,16580,12836
126,1486,17556,18378,16770,11307,15114,18707,6169,13879,3462
127,17515,12431,6004,16400,18053,11088,7731,15373,12697,1630
128,9770,2165,7021,5700,11514,17488,13497,4291,7296,12667
129,14707,17960,949,110,7488,6615,7652,12715,10045,19844
130,8445,19773,12372,13401,1857,1825,17387,13492,2211,14278
131,3843,7669,16100,9159,13,14186,4990,19710,13184,17548
132,5163,19351,10341,16638,12612,1424,15269,2584,9018,4220
133,8580,9067,3775,12767,13088,6033,904,3746,14211,5350
134,2548,12690,7281,18391,1685,13780,13997,11943,5716,2698
135,19638,11391,6952,15069,7412,16298,878,17779,3813,15064
136,6469,15956,3949,13309,6262,8314,1403,14615,17888,17436
137,5213,19708,19025,7219,14207,16032,15297,12436,10239,8578
138,6333,7497,6679,14446,16588,6835,1939,9993,11919,5603
139,6588,19317,10932,6933,3112,3859,5395,8738,9225,5235
140,15919,14316,19075,13950,3896,15871,8435,13955,6139,12418
141,17973,4655,1412,17790,16624,13435,9881,2852,15988,1691
142,855,13255,5651,11960,1528,3277,16720,19829,17305,13293
143,14989,13803,283,13033,11730,7622,14374,12463,5292,18540
144,9678,15309,9830,4553,8047,1907,14226,15153,10526,12945
145,10392,9384,6717,14323,959,3628,1050,6220,4667,11400
146,4291,710,18556,15504,9485,12229,14036,18756,6667,6037
147,18012,18741,3075,2823,11644,2302,13791,3133,9416,3383
148,9478,13166,3699,12976,15773,5065,19041,12468,11770,1897
149,10383,11167,6532,9550,14754,11404,4771,8505,19165,194
150,17471,6501,7175,11231,15009,16534,668,8905,11392,4034
151,8463,15860,1538,13917,3493,3890,10607,15431,2942,447
152,5064,5269,6542,17993,470,1117,16190,3765,18909,17263
153,11756,1918,4158,15631,17117,11176,7537,4884,3872,16389
154,2552,19302,2217,12148,9319,1158,11095,15419,11401,7076
155,10455,17261,16170,17901,4549,12306,3689,12374,17493,14267
156,3547,17882,15529,5182,11074,4856,15650,7240,8737,13632
157,11844,8772,12921,3104,7436,3536,14107,1783,16335,10432
158,15102,19315,3124,8792,19298,7093,18099,10054,9300,11641
159,8744,15653,9791,16798,362,1452,6789,5967,15759,734
160,14578,14546,6294,14782,4640,6972,1652,18838,8034,922
161,6796,5905,996,12345,12804,10459,12985,8389,1085,19990
162,6728,11752,6096,5617,7310,19343,1243,5515,1682,9197
163,5960,19046,3585,9894,333,8626,5272,9826,720,1028
164,16005,18983,858,12339,13917,5435,12453,8979,7308,8963
165,4249,2719,684,2740,5560,5551,10578,14040,19601,6944
166,3716,6080,4684,6897,11522,17557,13798,15156,18325,4527
167,2672,5911,16123,4621,4372,12967,1482,18731,5539,12417
168,10382,8570,2974,8995,12586,15921,15714,1293,11589,13534
169,7800,16149,1973,3558,1183,8003,10814,6377,19128,900
170,13866,3275,19754,1988,8410,16206,9298,13498,2858,10228
171,16193,16543,19207,14196,9220,1286,8371,8645,597,3972
172,13564,13189,6411,11704,9927,4228,6859,2587,3565,10764
173,15272,8424,8294,15746,16251,12043,1339,18459,15412,361
174,6518,15509,7644,4708,14142,8844,9645,895,17332,7445
175,15411,18041,10071,14425,6121,737,11970,679,13839,11281
176,11755,16976,689,15972,3430,3943,14702,9919,16059,6788
177,16513,12710,1785,666,16718,11258,3071,16726,19936,11088
178,8853,5659,17138,11417,391,8312,5897,1339,4727,13546
179,6490,18244,13782,10118,15232,3404,16966,1481,3382,14379
