,1,2
0,19262,16369
1,3792,12801
2,14491,16304
3,1859,4669
4,4730,3949
5,14185,3982
6,18673,2893
7,15407,10598
8,18884,11402
9,4637,19466
10,18624,4078
11,6069,13104
12,5273,3217
13,15573,12427
14,13349,10205
15,4208,380
16,7851,15884
17,4414,12067
18,7684,7435
19,14211,6379
20,11817,2389
21,18586,5569
22,7011,10855
23,7532,5500
24,12213,2106
25,11019,10603
26,10735,1601
27,4551,12040
28,15929,5895
29,5618,17297
30,5432,3739
31,13022,921
32,19119,6456
33,16023,8982
34,7265,8137
35,2206,1241
36,2848,5232
37,9263,17160
38,16791,14842
39,6870,4427
40,6023,15654
41,2761,9716
42,4712,14587
43,18921,5658
44,11297,19596
45,16643,13628
46,12864,17717
47,9830,1054
48,1419,2164
49,5429,18884
50,17921,16399
51,10403,5962
52,1461,19670
53,2457,5781
54,18940,2171
55,2452,9529
56,18776,5260
57,15857,13149
58,4084,4168
59,10650,3831
60,13639,6868
61,7511,6578
62,19475,13558
63,12039,18529
64,1476,4555
65,15115,11897
66,14206,10721
67,7239,7817
68,9158,13849
69,4966,17341
70,11038,859
71,9626,6724
72,6724,8880
73,1703,13202
74,12919,9325
75,16570,12282
76,6306,10933
77,7490,16841
78,16759,1069
79,9371,1498
80,14733,6774
81,2256,14017
82,1714,9829
83,13716,18647
84,13852,13531
85,11407,4932
86,665,7763
87,3716,5970
88,11825,8348
89,12514,13856
90,12226,16351
91,1364,17634
92,18569,12265
93,5058,12212
94,16535,12077
95,5136,4836
96,9254,5747
97,124,18317
98,15898,17781
99,12407,1979
100,15848,16537
101,8879,15031
102,11190,8732
103,4804,3492
104,4205,18810
105,13658,13014
106,12863,8380
107,3929,4642
108,3245,16749
109,2604,13966
110,4974,10206
111,13118,17145
112,2744,16051
113,960,16727
114,11858,8944
115,5830,18904
116,16704,18431
117,18016,9528
118,16033,10471
119,5684,19728
120,13229,11257
121,5700,10165
122,18140,2439
123,13925,3327
124,7191,81
125,299,11851
126,18522,12035
127,5278,6804
128,13214,6576
129,3784,1608
130,3569,3849
131,6703,6573
132,6351,19974
133,6662,9794
134,18477,15525
135,6819,8210
136,14557,202
137,4280,2015
138,12131,17993
139,8822,12654
140,13918,12232
141,17515,369
142,8745,12393
143,3853,1747
144,9885,19227
145,11186,17838
146,3576,5576
147,16182,4155
148,5125,4061
149,7560,3616
150,4314,944
151,2762,1684
152,10546,1331
153,14061,8859
154,13698,2737
155,8756,13898
156,4760,4102
157,15353,11881
158,5904,6371
159,9015,8253
160,17897,3503
161,9767,4963
162,2095,18618
163,4585,9965
164,6816,19213
165,3542,17647
166,5422,11762
167,8307,18197
168,15511,7200
169,2883,922
170,356,4401
171,12941,4112
172,9516,17498
173,13684,8081
174,6464,17299
175,12549,15863
176,15248,14410
177,11324,13115
178,18034,5548
179,10421,8852
180,8543,18787
181,19661,4309
182,7544,6027
183,10293,1616
184,3284,2433
185,1016,6374
186,1735,19144
187,15670,10652
188,1916,10480
189,2592,1849
190,15640,14141
191,1252,10243
192,19162,2163
193,16236,14890
194,15527,14120
195,15343,18840
196,8453,15362
197,7396,13209
198,2200,8070
199,9702,10703
200,8204,14713
201,10732,16075
202,13054,15513
203,7654,845
204,2044,11648
205,2461,12560
206,17794,18866
207,9255,12102
208,13243,16215
209,15228,2950
210,14831,9850
211,13536,11414
212,15027,8587
213,188,7950
214,15374,17302
215,14439,10954
216,778,8714
217,6650,13214
218,12434,15813
219,16042,7963
220,6543,9016
221,15807,768
222,6795,17487
223,11192,2746
224,7724,10956
225,17999,11860
226,8709,552
227,12164,211
228,6226,10577
