,1,2,3,4
0,777,5888,9908,17332
1,17576,18162,17622,6749
2,5078,8666,7039,5814
3,11041,5073,3555,10581
4,15319,688,19947,8156
5,18179,4907,15337,4480
6,5188,2513,18025,13424
7,18313,14851,16619,10321
8,774,9422,2893,18158
9,8050,1771,9852,4488
10,16440,2446,16792,6435
11,18855,10649,6696,8114
12,10605,14925,16139,8504
13,8825,14157,18627,14996
14,18068,9975,1609,11483
15,2305,6628,3535,1792
16,2882,11857,378,16792
17,17161,3136,5041,15718
18,8814,14617,16910,8954
19,9836,3752,331,9851
20,2372,12542,15649,14065
21,12171,14499,6874,10215
22,8121,13335,17553,4031
23,12002,5435,5596,5878
24,17745,2955,17386,15809
25,13190,560,3702,2074
26,10248,2641,12362,12680
27,19851,1223,12936,19804
28,6164,13001,6856,323
29,16800,10824,17504,6473
30,5852,17174,17041,13877
31,6487,9803,19736,14183
32,5311,18913,4745,8781
33,11453,1819,10468,3364
34,17834,4376,8032,17584
35,17563,3773,16623,8969
36,13818,18511,5212,14779
37,11367,3755,874,19040
38,6979,19468,13497,4576
39,8759,18711,17145,3338
40,18759,16563,6239,3097
41,93,5344,4510,8518
42,9331,6674,17565,5730
43,15869,9105,603,6632
44,8549,17243,15405,12081
45,12468,10045,15753,1173
46,6213,6514,16675,7303
47,490,7471,5259,13367
48,11553,16112,17390,14384
49,5038,1331,1006,18342
50,3380,6602,13142,1683
51,10557,6614,12045,9692
52,7002,12846,10808,9862
53,6683,17270,11917,2337
54,9573,14382,10546,6191
55,373,10030,2874,2650
56,12884,17095,1023,18317
57,10309,4884,5659,8463
58,4433,12013,7895,1612
59,5729,18563,8798,8622
60,14469,3386,19874,14060
61,11651,15625,18123,7603
62,17824,7797,17251,7155
63,17639,16097,19055,17525
64,5776,11458,17183,14460
65,5187,16316,18678,19463
66,13227,13297,13054,10262
67,2638,7423,10950,1320
68,16943,9201,10525,11017
69,3006,812,7726,18373
70,11125,2773,6212,5577
71,9916,16969,18086,8634
72,13633,19629,14337,9193
73,10017,19835,17597,6785
74,18807,2607,10125,16111
75,9325,17011,6163,15765
76,11392,5081,1946,19415
77,709,449,17500,13594
78,10894,4350,2584,19413
79,9299,11954,10031,12932
80,13367,12854,15579,12402
81,7072,1117,11260,14286
82,2627,19599,7079,17042
83,10052,3650,13960,4864
84,6030,18983,10526,17617
85,11001,14708,15247,19568
86,1005,624,5339,1799
87,4709,18571,3299,9577
88,6041,18421,8225,4801
89,12956,10613,6640,15709
90,7014,9634,12386,13381
91,9580,1188,18864,1896
92,14897,1324,17587,10717
93,11240,7267,19035,11531
