,1,2,3,4,5
0,2691,8615,13539,8716,9608
1,10112,2346,4132,14037,14055
2,18268,2973,13954,16399,1761
3,7296,10330,11044,12051,8973
4,19704,14229,4020,13634,5378
5,9830,15000,5440,12275,7258
6,9652,16678,1180,8515,1371
7,9852,8560,11137,15762,4954
8,13578,14657,14808,5158,6611
9,15237,15877,19650,5138,9913
10,18597,12305,9800,18257,7604
11,10812,9273,11598,3604,14501
12,18882,18278,17677,12182,13695
13,860,17243,416,15421,720
14,1893,10368,4443,15951,3148
15,17030,12650,1228,11991,882
16,3253,14677,3903,9539,16010
17,10314,14088,5047,17195,1647
18,11816,2856,2839,18666,10863
19,9859,10655,7336,11379,18154
20,18130,17219,19261,7762,14385
21,6128,4367,860,10079,5458
22,10993,2187,895,4264,8017
23,33,14232,3855,13412,17202
24,12991,3010,13115,15311,5766
25,13222,10874,4849,4816,379
26,2481,11694,2414,18076,4007
27,16374,17511,4154,13646,2705
28,2977,6952,8754,14415,217
29,11024,13037,4401,5250,8446
30,17595,14911,11923,17683,17498
31,4368,7102,3233,9486,15377
32,11869,13807,18508,18281,2192
33,8249,1631,19239,93,1198
34,16594,16686,11667,19723,5226
35,13575,13844,5265,9012,2703
36,5713,12481,4957,2756,1766
37,11281,11176,18451,13421,9084
38,6004,16287,3170,7522,17894
39,8791,13587,5613,18466,9676
40,1664,17373,16181,1688,12562
41,72,1948,10823,1772,14571
42,2149,2013,9789,8133,15410
43,1475,6906,19326,18790,18776
44,6979,4454,12021,3429,13365
45,14967,19949,19299,7389,7639
46,19598,10145,13163,6051,4813
47,4086,7995,542,5505,7739
48,3045,1638,13069,9735,11662
49,4105,8657,11165,4435,10662
50,17102,1004,17183,4965,18353
51,1116,2265,9448,7358,1956
52,5403,7249,2927,15112,10681
53,2128,6124,19607,6108,9118
54,14320,3768,17973,11508,7201
55,2441,15497,9671,13374,2202
56,8544,15008,14884,17546,4171
57,5669,7603,11245,11983,1253
58,19687,11665,7383,4824,18416
59,3867,15572,14250,7938,9220
60,7358,6740,1831,16869,3831
61,17124,9211,2725,6382,12992
62,10550,10648,14701,18190,17818
63,16315,17842,3266,618,12348
64,18443,15610,19134,6578,16429
65,19961,2578,3562,4063,3787
66,13923,7942,8134,16624,348
67,15347,14798,4662,10462,8532
68,435,18438,18527,10666,2545
69,13820,7540,4657,15994,8161
70,14364,16086,10295,8733,2370
71,16906,769,5165,15708,8873
72,18344,9498,13587,5162,6968
73,14527,2669,8629,14679,11917
74,6474,17072,255,7048,2686
75,19682,16764,16916,18600,5319
76,14331,7970,11965,3975,17663
77,5352,15669,2106,12665,15095
78,18214,5731,4320,3590,16859
79,11728,2684,16767,15469,6531
80,9988,14033,15675,18517,1953
