,1
0,645
1,35
2,788
3,915
4,771
5,937
6,334
7,53
8,41
9,993
10,695
11,602
12,85
13,954
14,949
15,878
16,185
17,582
18,254
19,708
20,521
21,147
22,36
23,1062
24,219
25,672
26,606
27,533
28,463
29,745
30,694
31,886
32,473
33,896
34,528
35,322
36,436
37,487
38,68
39,93
40,221
41,476
42,916
43,734
44,218
45,667
46,948
47,285
48,994
49,239
50,155
51,830
52,104
53,973
54,871
55,148
56,167
57,808
58,953
59,932
60,373
61,389
62,434
63,793
64,34
65,178
66,144
67,245
68,631
69,996
70,1037
71,125
72,149
73,1055
74,928
75,963
76,835
77,746
78,271
79,66
80,360
81,553
82,493
83,960
84,369
85,611
86,599
87,630
88,425
89,621
90,940
91,54
92,367
93,154
94,836
95,700
96,339
97,648
98,505
99,1075
100,819
101,372
102,213
103,342
104,902
105,1077
106,603
107,3
108,981
109,1074
110,288
111,72
112,995
113,474
114,279
115,702
116,747
117,459
118,17
119,864
120,63
121,419
122,356
123,426
124,1073
125,957
126,12
127,607
128,184
129,411
130,491
131,536
132,1018
133,496
134,753
135,926
136,202
137,71
138,911
139,752
140,414
141,535
142,177
143,597
144,519
145,1033
146,1079
147,897
148,73
149,32
150,559
151,227
152,1023
153,0
154,133
155,351
156,974
157,243
158,191
159,6
160,861
161,846
162,792
163,175
164,115
165,192
166,266
167,456
168,600
169,282
170,320
171,399
172,641
173,38
174,523
175,805
176,61
177,190
178,1007
179,925
180,622
181,589
182,46
183,656
184,853
185,551
186,907
187,506
188,592
189,1065
190,738
191,13
192,1078
193,446
194,207
195,783
196,1027
197,65
198,935
199,1006
200,854
201,127
202,424
203,1052
204,240
205,829
206,376
207,1050
208,545
209,839
210,1028
211,623
212,332
213,560
214,1032
215,814
216,804
217,402
218,313
219,385
220,619
221,510
222,568
223,427
224,289
225,802
226,942
227,321
228,152
229,682
230,359
231,945
232,575
233,253
234,624
235,970
236,9
237,160
238,964
239,98
240,1041
241,78
242,494
243,982
244,728
245,526
246,959
247,430
248,860
249,978
250,405
251,713
252,617
253,44
254,475
255,371
256,658
257,462
258,1064
259,540
260,362
261,736
262,777
263,943
264,775
265,393
266,437
267,585
268,209
269,215
270,633
271,439
272,856
273,398
274,976
275,845
276,441
277,14
278,75
279,1012
280,598
281,655
282,23
283,498
284,198
285,179
286,404
287,650
288,8
289,544
290,319
291,626
292,67
293,226
294,765
295,799
296,967
297,229
298,770
299,324
300,364
301,19
302,620
303,710
304,284
305,727
306,979
307,242
308,556
309,16
310,661
311,717
312,132
313,358
314,881
315,467
316,852
317,512
318,268
319,406
320,831
321,95
322,408
323,156
324,1059
325,222
326,922
327,1036
328,181
329,347
330,517
331,776
332,415
333,693
334,862
335,764
336,577
337,315
338,464
339,312
340,509
341,392
342,809
343,750
344,707
345,880
346,712
347,676
348,230
349,841
350,501
351,787
352,62
353,1002
354,58
355,123
356,1004
357,900
358,1068
359,15
360,613
361,140
362,780
363,298
364,816
365,135
366,721
367,1016
368,37
369,761
370,84
371,590
372,570
373,909
374,386
375,466
376,748
377,301
378,97
379,409
380,838
381,898
382,820
383,114
384,566
385,433
386,876
387,291
388,64
389,42
390,211
391,567
392,639
393,879
394,103
395,141
396,662
397,768
398,944
399,701
400,1022
401,759
402,438
403,194
404,1051
405,652
406,870
407,669
408,216
409,444
410,1014
411,705
412,779
413,555
414,557
415,48
416,252
417,821
418,818
419,858
420,421
421,286
422,238
423,580
424,1057
425,632
426,803
427,265
428,26
429,428
430,654
431,724
432,158
433,420
434,873
435,350
436,1071
437,455
438,901
439,338
440,968
441,499
442,503
443,234
444,574
445,278
446,884
447,1026
448,7
449,596
450,522
451,989
452,195
453,874
454,758
455,159
456,571
457,481
458,565
459,689
460,337
461,847
462,217
463,1011
464,552
465,233
466,515
467,929
468,21
469,270
470,665
471,525
472,1034
473,740
474,542
475,887
476,370
477,310
478,292
479,706
480,784
481,354
482,992
483,844
484,91
485,74
486,797
487,674
488,769
489,247
490,435
491,102
492,601
493,423
494,49
495,756
496,88
497,813
498,1056
499,614
500,79
501,118
502,183
503,634
504,220
505,293
506,627
507,353
508,225
509,59
510,904
511,357
512,273
513,919
514,274
515,508
516,1020
517,980
518,363
519,837
520,518
521,189
522,340
523,461
524,972
525,538
526,18
527,638
528,283
529,397
530,188
531,172
532,56
533,579
534,688
535,365
536,877
537,345
538,715
539,927
