,1,2,3,4,5,6,7,8,9,10
0,122,1014,126,878,400,714,305,448,512,521
1,839,652,808,675,601,865,472,243,450,452
2,334,437,1050,534,998,912,302,63,15,109
3,869,318,27,902,714,987,216,870,599,738
4,92,754,19,744,425,483,397,277,933,84
5,577,169,684,127,906,293,932,953,164,177
6,37,1029,70,714,219,650,894,627,979,729
7,174,633,500,756,15,1000,306,230,32,990
8,874,210,249,313,124,654,672,540,677,85
9,562,790,1070,761,427,429,805,935,797,38
10,543,225,274,145,754,715,759,77,266,919
11,809,981,627,123,78,11,736,758,194,707
12,326,257,763,826,755,675,555,655,883,289
13,691,48,874,75,22,696,570,956,631,515
14,406,1000,108,555,72,923,784,914,805,32
15,167,631,789,859,204,107,46,421,670,305
16,22,222,256,1065,366,919,658,600,656,523
17,975,615,152,296,333,311,871,623,370,917
18,767,403,593,286,51,677,296,590,922,685
19,428,557,310,176,547,883,301,137,812,668
20,823,58,355,363,904,634,859,424,149,993
21,441,229,948,20,380,646,1021,547,744,872
22,51,150,535,684,745,576,924,631,144,402
23,79,462,1069,284,844,436,918,11,471,63
24,824,314,922,795,1022,501,543,651,154,499
25,424,1030,904,992,322,819,220,413,94,5
26,723,75,490,559,47,528,1023,293,634,281
27,668,592,528,868,1063,802,1037,169,641,870
28,331,390,718,713,823,1059,259,359,810,265
29,1075,441,758,170,993,885,288,939,887,866
30,734,824,642,1006,529,547,810,429,971,112
31,94,644,15,890,980,548,2,362,716,720
32,187,443,32,641,94,859,326,468,232,320
33,432,216,656,909,272,409,961,666,622,27
34,526,455,621,350,188,983,394,611,191,482
35,820,840,101,25,719,7,956,543,846,427
36,323,261,168,155,293,329,514,380,427,626
37,588,3,1075,253,933,420,363,625,294,772
38,653,482,434,421,991,349,480,178,481,278
39,159,643,148,720,1032,793,275,370,538,230
40,804,315,453,724,692,203,997,606,80,235
41,305,253,683,300,803,858,163,133,908,502
42,788,1078,475,734,944,966,346,794,608,149
43,940,236,766,697,153,206,111,749,683,461
44,930,951,479,805,676,563,519,633,735,229
45,78,378,409,860,1048,887,876,324,379,391
46,362,688,175,1007,822,1013,142,527,660,280
47,626,269,666,12,405,364,130,509,548,185
48,593,751,903,591,95,319,644,782,928,146
49,273,691,89,276,495,292,150,294,513,175
50,466,24,423,1030,762,38,355,702,981,489
51,747,272,54,387,786,449,161,550,393,1051
52,11,872,980,309,735,172,447,1055,666,890
53,978,133,182,89,216,39,98,912,671,354
54,335,1064,180,777,864,622,13,689,372,815
55,560,858,301,45,905,323,35,899,514,104
56,83,958,128,569,172,990,19,185,176,373
57,928,1037,159,389,927,138,620,525,445,768
58,477,320,93,666,92,190,205,52,938,689
59,686,90,1024,987,1059,748,714,888,1073,163
60,109,234,839,650,816,980,845,792,565,99
61,96,939,46,956,326,1014,971,955,399,294
62,799,832,635,1074,345,656,30,176,969,431
63,914,293,136,349,309,25,233,821,109,424
64,720,1052,926,352,911,143,597,892,39,716
65,681,850,1045,976,732,611,1044,327,356,605
66,460,430,240,248,467,1025,151,273,459,58
67,736,1055,422,144,961,529,164,895,249,580
68,782,427,412,202,939,137,864,913,915,143
69,551,647,576,509,112,314,764,481,657,700
70,524,28,8,130,702,411,1053,745,139,773
71,738,667,115,503,925,391,800,255,780,35
72,27,980,746,340,674,886,839,810,625,545
73,929,698,870,718,377,868,637,408,344,1031
74,631,591,964,3,494,404,573,346,515,827
75,91,766,765,508,43,78,254,39,274,1024
76,9,231,9,852,458,1070,171,828,134,702
77,659,407,770,861,24,817,734,449,692,928
78,956,68,149,417,715,874,640,710,992,413
79,400,744,26,302,833,763,936,140,206,600
80,953,624,994,813,1067,76,673,237,984,752
81,85,35,56,839,502,169,920,182,1046,317
82,654,279,14,882,717,939,858,848,71,62
83,566,964,326,560,733,559,867,51,57,566
84,1054,746,259,626,170,1073,608,985,137,119
85,813,393,920,814,772,839,211,603,824,95
86,969,990,630,633,948,315,322,1061,97,691
87,293,1056,843,149,799,193,312,889,361,727
88,976,109,212,873,827,79,610,686,593,596
89,192,506,545,54,752,900,157,872,51,559
90,909,1077,981,771,213,831,37,271,848,976
91,983,548,295,1034,161,211,242,328,819,397
92,35,1019,951,760,584,820,863,121,411,1013
93,746,235,1033,265,887,776,264,262,965,1056
94,121,1079,612,610,8,127,54,805,296,253
95,498,119,432,140,125,684,857,142,559,994
96,683,758,659,60,966,366,317,260,697,635
97,764,192,28,137,238,423,948,721,463,479
98,375,898,497,467,783,782,927,562,725,813
99,949,88,284,441,711,226,983,447,505,322
100,114,922,690,324,899,131,389,549,184,313
101,990,500,5,64,683,873,600,159,100,460
102,261,707,1043,250,691,841,334,217,467,571
103,581,224,151,657,339,89,1029,45,727,464
104,356,265,109,72,0,171,304,1028,807,404
105,546,703,584,100,332,989,177,369,85,470
106,661,654,706,652,503,729,606,414,448,259
107,313,360,462,1014,853,815,230,339,488,574
108,393,478,713,111,1009,1015,469,971,366,539
109,19,70,989,1046,1034,256,1028,786,553,731
110,527,718,804,974,624,914,935,787,761,1078
111,957,264,271,125,180,600,290,1020,914,789
112,473,395,965,415,817,438,496,602,804,352
113,862,17,230,837,351,901,917,8,237,299
114,530,613,819,173,420,1011,0,570,778,841
115,394,1051,551,440,244,1030,760,577,351,277
116,325,251,902,706,841,20,841,823,24,753
117,600,992,833,446,805,92,1061,1042,929,1034
118,354,72,886,15,785,897,5,157,99,375
119,284,180,197,192,492,26,899,305,498,996
120,1032,307,614,360,677,582,1049,846,423,794
121,793,520,328,964,919,288,183,723,319,10
122,152,1031,273,719,526,581,529,188,92,855
123,317,587,806,678,363,832,369,968,1066,786
124,737,97,1023,787,573,620,831,718,1067,120
125,727,201,768,488,1015,276,549,839,950,1064
126,622,737,298,991,422,184,715,919,745,734
127,297,1053,1071,738,625,570,516,1016,715,711
128,886,619,3,693,775,40,96,55,739,1066
129,632,542,931,745,434,685,398,310,275,223
130,651,625,518,181,278,717,464,861,243,337
131,131,304,425,944,233,658,880,28,359,958
132,57,678,415,222,90,454,642,361,183,893
133,402,886,189,940,653,0,382,58,256,187
134,1020,510,498,228,974,355,978,684,416,546
135,151,271,872,1011,440,664,258,811,503,22
136,596,359,1001,189,788,487,651,342,402,494
137,1073,52,788,41,1016,603,837,568,934,150
138,896,425,930,865,323,213,900,27,345,372
139,196,1020,724,918,636,702,75,122,795,506
140,706,617,293,1068,576,733,367,48,536,932
141,320,161,522,927,163,441,144,50,658,21
142,958,804,315,1056,417,267,475,119,1069,270
143,245,10,671,456,897,1068,412,341,845,358
144,118,471,311,1004,843,9,501,20,637,366
145,186,480,595,797,307,66,540,90,378,520
146,529,55,22,872,6,376,798,123,586,467
147,328,912,852,789,393,1,362,125,347,846
148,332,227,548,497,1021,1046,824,728,561,361
149,926,114,737,661,1020,80,661,662,371,552
150,644,1046,726,531,558,963,250,515,482,920
151,45,63,353,405,470,176,1003,56,541,881
152,672,719,184,346,592,81,53,302,394,832
153,120,1027,574,541,840,204,450,740,271,999
154,582,240,68,686,353,753,812,598,691,983
155,774,325,251,793,340,731,73,1064,954,46
156,303,930,339,153,450,263,751,616,130,97
157,1065,85,662,174,928,290,730,520,703,835
158,497,928,36,268,447,341,682,469,985,456
159,732,27,752,898,245,792,726,936,34,269
160,565,217,391,152,834,373,1047,395,429,483
161,108,697,582,506,854,935,180,992,187,353
162,657,445,911,638,444,162,462,685,568,497
163,1004,905,49,450,310,387,885,973,189,155
164,760,354,1058,330,367,961,368,391,951,968
165,453,553,154,1001,264,697,794,807,413,889
166,73,330,495,182,234,448,582,2,584,446
167,831,282,655,879,472,918,542,881,18,1062
168,509,26,327,427,108,1069,615,649,231,1039
169,61,529,915,361,461,765,769,644,1040,665
170,133,214,975,620,589,21,319,31,382,293
171,277,756,389,282,908,1039,339,965,976,1059
172,381,278,307,790,655,432,892,975,851,493
173,289,1058,188,845,888,818,765,572,983,283
174,333,20,329,737,1007,982,482,14,212,971
175,443,483,508,40,96,178,381,1067,764,199
176,649,239,974,763,851,486,850,114,185,106
177,42,861,280,602,780,690,435,996,1006,627
178,656,494,988,536,1002,541,487,4,1050,952
179,1040,894,1010,473,343,575,670,375,328,992
