,1,2,3,4
0,48,537,54,99
1,231,1044,189,830
2,684,152,233,862
3,695,166,127,638
4,82,871,351,911
5,983,635,278,29
6,446,558,40,722
7,1076,175,659,772
8,127,600,255,83
9,659,92,152,768
10,725,758,473,966
11,687,980,196,505
12,890,40,966,365
13,571,791,203,559
14,68,925,1025,902
15,623,444,200,484
16,206,255,316,203
17,347,250,530,947
18,473,905,612,944
19,698,450,610,940
20,722,772,263,845
21,536,1079,1033,234
22,892,345,67,136
23,897,523,806,1028
24,638,122,1030,255
25,863,934,410,524
26,753,1057,68,21
27,300,154,1006,389
28,805,830,38,1000
29,993,977,514,204
30,109,306,79,269
31,829,509,1074,215
32,304,361,663,143
33,637,57,362,550
34,283,354,590,124
35,432,318,256,366
36,1069,193,527,301
37,720,922,656,187
38,1078,787,544,146
39,143,1060,711,17
40,316,470,149,393
41,371,721,974,616
42,628,45,623,4
43,40,694,887,588
44,668,16,258,965
45,994,705,486,352
46,951,41,652,934
47,266,99,396,304
48,836,952,50,282
49,985,197,14,820
50,621,763,614,177
51,661,932,728,876
52,1037,51,483,77
53,1007,900,823,381
54,403,91,650,675
55,858,1012,146,101
56,418,31,644,553
57,431,821,1008,596
58,487,158,235,198
59,103,743,158,406
60,931,938,60,824
61,479,559,502,121
62,500,573,575,812
63,387,501,136,949
64,239,594,876,412
65,591,835,379,858
66,330,621,323,984
67,903,358,276,857
68,75,1070,325,354
69,93,212,1036,155
70,899,1008,270,463
71,4,398,915,263
72,768,986,944,394
73,916,317,1034,267
74,117,104,1041,417
75,267,737,883,289
76,179,603,562,627
77,694,388,181,166
78,555,242,13,736
79,176,640,838,612
80,891,851,326,771
81,243,769,990,900
82,884,916,654,350
83,927,12,531,39
84,814,672,744,623
85,478,691,1035,1062
86,965,153,503,668
87,599,720,714,942
88,358,167,7,831
89,544,201,1039,899
90,886,137,794,796
91,477,199,82,257
92,370,954,1016,589
93,50,1056,608,998
94,393,21,236,676
95,963,846,826,809
96,447,654,153,751
97,843,174,574,168
98,214,429,197,774
99,411,1006,370,500
100,660,1034,833,243
101,528,98,358,1029
102,540,793,965,156
103,961,73,705,844
104,238,344,167,457
105,333,753,540,317
106,210,1062,855,634
107,373,169,437,930
108,534,1063,674,391
109,792,121,546,1073
110,360,928,648,159
111,386,28,808,630
112,712,403,1028,65
113,833,807,330,933
114,707,842,471,141
115,765,852,621,58
116,193,80,432,530
117,292,1024,622,688
118,1072,921,465,315
119,293,910,1012,474
120,996,710,296,2
121,209,855,554,781
122,1045,660,290,105
123,21,865,289,728
124,693,83,660,739
125,1019,294,222,856
126,116,679,872,1050
127,228,165,154,534
128,240,615,389,813
129,773,518,860,283
130,128,77,291,27
131,605,817,204,974
132,142,198,655,1047
133,681,251,42,519
134,259,395,634,272
135,234,754,1045,402
136,902,335,499,419
137,506,346,903,823
138,819,1016,78,663
139,454,533,114,3
140,696,832,1054,969
141,409,590,377,479
142,1063,512,640,1005
143,119,139,967,345
144,71,920,1024,615
145,1017,719,849,482
146,689,532,95,266
147,648,123,107,371
148,443,227,695,582
149,334,234,400,52
150,72,765,121,603
151,1052,332,285,625
152,515,718,840,554
153,713,262,971,715
154,788,687,535,982
155,677,936,329,298
156,328,887,277,1069
157,574,146,335,241
158,45,696,976,595
159,581,757,294,431
160,797,779,190,861
161,783,441,458,496
162,1039,788,271,468
163,225,297,20,1017
164,163,736,450,25
165,265,794,561,328
166,1061,724,781,376
167,624,774,800,656
168,803,583,813,104
169,484,526,869,708
170,669,159,885,1059
171,790,576,901,199
172,609,812,246,665
173,376,327,668,1037
174,855,602,345,110
175,107,745,902,15
176,601,378,827,561
177,317,527,165,1011
178,452,442,529,370
179,923,685,508,952
180,895,135,723,693
181,0,312,72,115
182,632,326,103,120
183,1066,228,1009,64
184,861,1055,340,170
185,1040,328,735,631
186,746,182,372,123
187,885,709,882,834
188,1000,674,343,191
189,204,651,904,734
190,230,520,28,63
191,98,360,980,448
192,345,1020,868,909
193,343,584,681,481
194,724,927,96,1066
195,390,944,30,1035
196,984,996,460,569
197,101,157,764,324
198,273,906,321,67
199,699,595,63,55
200,940,755,526,66
201,1018,918,48,242
202,31,692,720,540
203,1027,990,156,673
204,925,217,753,635
205,463,55,481,917
206,575,252,401,133
207,1055,401,858,145
208,730,436,472,116
209,594,320,805,307
210,595,423,984,829
211,88,286,842,832
212,430,90,39,488
213,340,677,333,789
214,14,563,327,305
215,213,206,1062,375
216,199,700,240,24
217,733,947,142,953
218,995,241,106,340
219,825,661,973,883
220,313,71,324,568
221,1011,462,982,799
222,465,391,238,526
223,827,551,422,532
224,332,150,701,609
225,405,1073,480,690
226,860,84,83,62
227,2,349,579,978
228,335,273,585,314
229,147,1041,242,387
230,774,143,839,531
231,708,722,342,14
232,449,256,866,951
233,29,133,459,621
234,174,173,451,913
235,674,1019,132,87
236,526,701,64,716
237,349,322,1069,225
238,877,313,479,398
239,735,653,337,94
240,342,937,273,332
241,743,300,978,818
242,308,455,172,396
243,872,473,231,471
244,249,950,649,941
245,847,569,435,523
246,407,119,693,22
247,258,266,814,467
248,100,387,698,207
249,99,998,1075,760
250,826,50,639,172
251,132,725,1031,660
252,670,333,950,520
253,516,749,719,706
254,296,1053,780,36
255,327,210,587,125
256,171,775,292,958
257,502,828,1072,462
258,139,467,1051,364
259,1029,669,102,358
260,954,85,394,698
261,525,38,219,236
262,1049,216,867,956
263,226,859,147,108
264,939,161,497,549
265,968,276,820,132
266,1004,385,661,850
267,309,892,609,321
268,615,907,1050,509
269,129,541,448,699
270,744,36,788,82
271,130,837,731,245
272,936,293,1037,620
273,748,684,386,713
274,466,624,722,855
275,448,940,774,626
276,937,962,743,689
277,233,223,935,443
278,875,331,80,0
279,476,548,221,69
280,518,529,148,274
281,627,510,90,923
282,894,120,476,171
283,85,1065,962,575
284,275,138,911,1015
285,958,131,516,879
286,24,1077,243,338
287,776,739,552,222
288,1058,881,101,863
289,55,577,641,400
290,590,155,1073,742
291,647,235,856,53
292,173,230,836,12
293,66,864,318,885
294,731,457,1068,465
295,857,82,627,854
296,126,641,104,1019
297,972,854,977,442
298,158,985,59,782
299,155,972,889,701
300,113,240,16,244
301,1026,673,490,447
302,811,645,81,160
303,495,1033,821,566
304,57,556,1046,270
305,723,101,288,986
306,764,277,426,61
307,634,183,166,486
308,503,915,937,574
309,946,625,783,1075
310,791,953,936,587
311,399,213,478,926
312,69,664,402,943
313,133,499,307,681
314,232,246,874,658
315,780,750,906,562
316,182,521,615,1026
317,124,26,756,945
318,727,468,664,849
319,380,367,297,762
320,493,547,208,808
321,364,633,108,628
322,947,205,498,1057
323,310,686,176,294
324,603,742,795,1040
325,27,850,10,200
326,874,1005,905,405
327,921,25,782,852
328,244,448,374,40
329,263,958,371,477
330,94,717,750,485
331,65,147,804,353
332,255,776,338,35
333,421,211,536,122
334,252,103,407,438
335,514,575,824,1041
336,256,992,748,361
337,672,61,6,226
338,47,783,159,309
339,635,221,981,864
340,633,1059,398,907
341,616,397,522,778
342,396,1036,421,231
343,281,644,84,995
344,192,522,938,977
345,548,428,922,835
346,864,72,18,927
347,664,544,784,586
348,840,489,188,247
349,268,789,375,489
350,23,172,74,546
351,33,458,198,280
352,17,490,452,162
353,451,599,1014,497
354,410,767,779,1023
355,878,214,603,654
356,351,893,368,851
357,941,781,27,895
358,138,46,191,175
359,201,56,1021,704
360,554,1038,970,1056
361,498,543,267,299
362,721,413,878,355
363,742,1029,280,828
364,755,771,336,872
365,1,69,298,209
366,837,494,366,182
367,714,108,1078,726
368,146,987,912,128
369,912,375,184,537
370,960,17,406,494
371,657,176,425,1033
372,165,836,304,752
373,824,620,441,1058
374,221,531,861,880
375,517,670,1013,556
376,398,500,595,501
377,570,827,1038,158
378,474,34,948,973
379,414,528,921,228
380,441,192,1056,390
381,533,1049,1079,142
382,943,42,767,480
383,486,445,493,695
384,26,151,943,135
385,589,141,601,939
386,198,366,150,49
387,1012,1026,555,1055
388,851,292,315,853
389,973,376,877,960
390,880,751,919,847
391,938,308,494,922
392,504,54,557,320
393,211,1021,524,1009
394,137,943,205,271
395,1047,399,545,206
396,401,504,703,655
397,757,357,33,985
398,151,144,548,633
399,881,988,512,705
400,519,13,584,1
401,741,1028,500,461
402,552,1037,890,884
403,535,629,220,9
404,49,480,997,415
405,195,884,454,511
406,751,498,87,718
407,541,571,604,754
408,1079,341,137,636
409,440,760,411,639
410,1048,478,482,666
411,977,263,430,161
412,667,1,734,216
413,118,642,365,410
414,202,1031,708,593
415,508,618,942,445
416,35,568,802,258
417,323,347,602,230
418,651,917,717,360
419,444,744,606,281
420,673,862,600,667
421,324,426,968,826
422,467,414,894,548
423,922,409,1057,1018
424,8,582,549,657
425,949,271,972,232
426,692,976,361,817
427,208,609,913,85
428,569,597,317,894
429,750,18,447,983
430,914,415,909,1007
431,435,369,653,93
432,92,178,250,326
433,120,430,36,694
434,19,496,837,291
435,1075,844,773,730
436,41,1017,769,273
437,270,876,376,790
438,942,507,145,669
439,778,628,405,801
440,598,432,467,377
441,705,15,939,650
442,81,35,669,144
443,976,386,35,491
444,140,856,834,748
445,831,319,229,13
446,415,525,412,990
447,312,589,772,88
448,893,814,352,347
449,354,363,76,217
450,955,412,685,1030
451,789,447,427,310
452,771,874,571,32
453,344,997,897,555
454,701,215,688,870
455,1071,1054,592,137
456,183,727,629,363
457,718,305,414,252
458,279,177,293,803
459,1002,970,274,816
460,1065,740,58,117
461,329,118,699,330
462,475,6,187,424
463,356,370,736,1012
464,295,114,511,151
465,470,218,501,687
466,412,564,1077,784
467,460,513,469,544
468,1060,689,768,372
469,1050,542,77,599
470,652,180,638,810
471,913,231,721,779
472,511,449,675,686
473,260,729,34,1049
474,254,897,898,761
475,366,930,117,567
476,217,961,580,925
477,131,1071,710,493
478,425,75,23,703
479,428,741,429,344
480,456,22,578,1060
481,471,24,760,425
482,658,443,444,173
483,257,683,547,268
484,537,417,1003,1063
485,368,107,518,785
486,46,1069,1060,802
487,20,931,45,379
488,770,1051,266,788
489,162,323,73,369
490,1034,394,129,112
491,839,66,201,786
492,573,782,453,249
493,1036,619,762,516
494,662,321,893,642
495,900,79,647,499
496,551,697,763,30
497,810,799,116,409
498,998,890,160,1024
499,688,935,322,279
500,224,148,505,954
501,905,460,954,285
502,1024,258,61,797
503,625,115,754,383
504,787,738,111,747
505,261,204,171,729
506,121,126,232,608
507,433,598,1061,154
508,563,1007,144,825
509,1035,200,572,416
510,276,492,690,521
511,1001,337,1007,1071
512,377,853,619,113
513,715,643,727,71
514,189,652,715,1038
515,607,611,180,1025
516,992,288,66,912
517,172,610,139,918
518,835,580,484,229
519,585,1048,798,261
520,438,454,395,975
521,683,991,259,510
522,12,941,835,683
523,166,434,730,601
524,1068,309,605,770
525,612,185,999,1002
526,883,978,109,677
527,219,731,364,91
528,830,407,667,745
529,374,908,251,449
530,732,567,831,427
531,549,693,369,189
532,567,999,927,300
533,115,903,875,691
534,866,790,331,1044
535,442,826,975,592
536,981,487,344,395
537,338,983,933,881
538,979,485,1022,498
539,262,822,195,795
