,1
0,711
1,43
2,988
3,524
4,267
5,187
6,269
7,735
8,378
9,951
10,1067
11,892
12,1025
13,117
14,593
15,390
16,391
17,458
18,276
19,196
20,431
21,961
22,210
23,153
24,329
25,1063
26,1070
27,325
28,550
29,264
30,83
31,704
32,1045
33,57
34,448
35,381
36,294
37,729
38,719
39,341
40,680
41,263
42,331
43,374
44,962
45,986
46,800
47,326
48,236
49,833
50,121
51,107
52,703
53,422
54,516
55,40
56,730
57,616
58,479
59,952
60,465
61,541
62,651
63,256
64,668
65,382
66,1053
67,486
68,789
69,983
70,644
71,307
72,134
73,763
74,910
75,309
76,484
77,197
78,958
79,531
80,305
81,920
82,842
83,2
84,514
85,605
86,477
87,794
88,848
89,410
90,754
91,96
92,869
93,25
94,346
95,697
96,277
97,865
98,549
99,139
100,563
101,855
102,443
103,1076
104,249
105,69
106,137
107,384
108,1031
109,416
110,885
111,595
112,70
113,936
114,679
115,89
116,504
117,938
118,108
119,832
120,739
121,913
122,203
123,470
124,112
125,520
126,138
127,939
128,375
129,204
130,636
131,743
132,890
133,923
134,530
135,180
136,39
137,27
138,90
139,1013
140,497
141,817
142,235
143,1029
144,653
145,950
146,774
147,893
148,1015
149,946
150,751
151,687
152,760
153,4
154,280
155,314
156,991
157,849
158,956
159,206
160,642
161,28
162,903
163,469
164,731
165,100
166,468
167,810
168,1060
169,327
170,815
171,442
172,1039
173,671
174,237
175,720
176,412
177,260
178,168
179,1003
180,214
181,92
182,917
183,302
184,857
185,111
186,527
187,101
188,472
189,1054
190,143
191,895
192,594
193,105
194,295
195,798
196,851
197,1038
198,891
199,150
200,77
201,176
202,1024
203,450
204,572
205,990
206,262
207,5
208,883
209,825
210,244
211,564
212,401
213,1058
214,228
215,113
216,52
217,899
218,1043
219,709
220,742
221,811
222,1049
223,629
224,966
225,142
226,1008
227,182
228,1047
229,449
230,581
231,733
232,250
233,588
234,290
235,205
236,232
237,507
238,918
239,193
240,725
241,145
242,366
243,812
244,212
245,684
246,647
247,30
248,1010
249,744
250,495
251,933
252,558
253,827
254,767
255,998
256,969
257,251
258,45
259,930
260,781
261,791
262,1030
263,502
264,303
265,199
266,395
267,826
268,578
269,336
270,201
271,355
272,625
273,546
274,31
275,532
276,492
277,691
278,539
279,931
280,396
281,349
282,80
283,591
284,445
285,955
286,368
287,122
288,921
289,677
290,478
291,186
292,383
293,51
294,1
295,807
296,573
297,330
298,834
299,749
300,224
301,119
302,1035
303,1061
304,451
305,241
306,649
307,281
308,261
309,407
310,867
311,692
312,335
313,822
314,231
315,388
316,33
317,908
318,164
319,259
320,628
321,380
322,258
323,400
324,782
325,432
326,806
327,977
328,971
329,457
330,1046
331,859
332,670
333,94
334,318
335,1019
336,387
337,429
338,1040
339,657
340,894
341,29
342,297
343,604
344,722
345,1048
346,675
347,1005
348,660
349,116
350,361
351,417
352,1066
353,333
354,166
355,169
356,640
357,673
358,576
359,163
360,618
361,130
362,1044
363,608
364,60
365,120
366,659
367,547
368,790
369,344
370,323
371,129
372,529
373,615
374,173
375,664
376,146
377,663
378,741
379,151
380,171
381,828
382,485
383,157
384,316
385,328
386,686
387,379
388,666
389,569
390,757
391,824
392,471
393,997
394,548
395,511
396,500
397,905
398,22
399,82
400,863
401,124
402,723
403,255
404,612
405,300
406,681
407,208
408,483
409,272
410,413
411,257
412,637
413,440
414,690
415,452
416,610
417,850
418,583
419,81
420,86
421,306
422,726
423,984
424,840
425,924
426,1021
427,785
428,317
429,343
430,795
431,696
432,76
433,843
434,714
435,866
436,1000
437,609
438,482
439,275
440,403
441,311
442,170
443,965
444,732
445,174
446,875
447,1069
448,796
449,882
450,999
451,165
452,554
453,50
454,20
455,453
456,1001
457,248
458,766
459,534
460,24
461,454
462,778
463,1042
464,11
465,200
466,772
467,678
468,587
469,699
470,131
471,304
472,683
473,537
474,377
475,490
476,643
477,762
478,801
479,162
480,755
481,10
482,348
483,947
484,985
485,975
486,584
487,488
488,562
489,1072
490,914
491,561
492,489
493,872
494,110
495,889
496,934
497,128
498,586
499,513
500,480
501,786
502,823
503,287
504,685
505,941
506,888
507,87
508,737
509,99
510,1017
511,299
512,136
513,773
514,906
515,109
516,126
517,698
518,987
519,418
520,912
521,868
522,223
523,55
524,161
525,543
526,47
527,646
528,635
529,246
530,1009
531,447
532,296
533,394
534,716
535,352
536,718
537,106
538,460
539,308
