,1,2,3,4,5,6,7,8,9,10
0,230,827,157,1024,265,353,680,950,783,568
1,917,862,227,960,946,957,780,386,772,1017
2,46,300,894,469,248,694,853,355,1033,1009
3,655,843,1034,1053,930,1064,52,891,1059,288
4,380,566,1039,186,222,339,498,366,474,858
5,419,202,237,401,849,834,925,151,124,755
6,442,66,591,619,847,790,185,43,203,758
7,756,450,156,254,582,647,622,909,470,678
8,964,80,853,752,477,984,725,692,301,83
9,89,816,374,551,768,734,1018,144,0,304
10,208,449,345,392,287,505,249,999,773,912
11,204,663,940,959,239,767,579,191,1020,430
12,719,596,150,158,1049,278,860,242,757,514
13,745,516,947,200,1040,306,564,437,298,17
14,82,890,362,677,937,947,78,398,646,682
15,759,412,194,391,942,590,424,81,1060,916
16,811,0,64,371,430,300,36,998,582,1022
17,392,532,205,1018,720,1054,1017,410,738,1036
18,1060,73,825,893,608,470,433,203,706,434
19,287,173,478,225,532,724,791,588,389,258
20,547,677,1073,1,689,860,922,303,549,779
21,1061,86,433,667,560,229,147,614,40,1021
22,347,322,660,748,811,462,486,3,20,1037
23,1027,96,24,1043,572,220,884,219,114,892
24,1070,380,1002,436,728,346,251,769,698,809
25,980,60,372,646,85,248,247,581,405,207
26,1016,974,1067,86,381,591,998,719,899,141
27,52,447,232,214,1055,517,47,85,434,590
28,483,172,849,975,789,207,460,250,605,336
29,594,137,993,479,739,317,300,744,544,1040
30,475,540,4,565,607,421,299,770,234,560
31,327,576,207,709,71,408,373,206,523,975
32,16,628,871,791,848,607,244,473,957,649
33,1005,1001,866,485,317,504,963,316,339,448
34,598,405,402,409,1026,800,662,904,281,651
35,160,370,970,1015,398,636,489,961,916,503
36,63,512,473,498,522,467,717,667,125,697
37,923,374,547,321,524,274,141,1018,617,105
38,355,167,677,510,876,479,71,1001,648,351
39,575,568,781,365,1053,187,599,1074,455,129
40,127,33,740,444,267,1047,702,849,709,472
41,21,579,623,227,341,889,281,82,502,151
42,165,14,569,133,878,772,386,472,781,1000
43,200,908,513,95,156,768,770,991,563,885
44,456,49,654,862,174,995,215,172,279,806
45,729,584,800,213,300,771,697,1072,236,899
46,744,813,950,42,374,932,575,1038,826,997
47,847,841,442,208,73,45,318,683,901,876
48,365,885,725,205,116,843,940,746,1072,243
49,177,1012,916,116,23,413,169,248,190,710
