,1,2,3,4
0,319,815,1023,653
1,365,994,300,539
2,846,801,443,522
3,841,849,818,440
4,793,995,521,221
5,350,667,947,572
6,679,117,515,644
7,25,196,739,893
8,1074,883,310,875
9,964,97,1047,45
10,144,125,751,256
11,769,1052,959,891
12,80,189,741,11
13,808,59,633,756
14,77,825,899,81
15,1005,632,534,678
16,97,649,673,220
17,572,634,319,373
18,870,295,810,1027
19,556,1066,309,490
20,1044,203,418,542
21,948,406,97,545
22,95,894,864,316
23,501,315,1004,466
24,619,797,373,41
25,161,762,986,1001
26,123,579,843,413
27,991,233,917,804
28,488,733,311,921
29,413,613,1053,972
30,492,374,392,967
31,472,208,25,469
32,3,993,118,1003
33,1033,236,766,769
34,62,465,1076,346
35,794,882,98,397
36,395,637,896,629
37,284,622,742,901
38,391,96,949,260
39,999,756,509,1053
40,928,919,879,659
41,1067,497,126,60
42,357,713,563,1054
43,682,699,244,80
44,700,64,247,195
45,64,716,745,202
46,178,840,1027,988
47,920,362,99,1051
48,227,639,359,598
49,53,707,689,89
50,686,243,408,897
51,288,421,55,597
52,59,748,958,368
53,16,838,214,514
54,1009,909,785,456
55,490,945,1010,720
56,929,1025,2,579
57,175,843,17,1068
58,298,481,940,290
59,496,105,110,871
60,641,975,796,989
61,653,982,1070,18
62,644,81,761,903
63,853,93,792,70
64,852,1078,218,765
65,656,238,474,573
66,61,289,141,28
67,957,868,1043,188
68,196,338,279,737
69,907,1009,313,262
70,706,247,825,495
71,156,23,881,873
72,218,1075,135,1076
73,1042,287,169,336
74,277,278,617,153
75,28,562,52,932
76,576,170,807,649
77,944,831,697,362
78,216,553,123,731
79,74,711,576,1045
80,51,732,105,560
81,400,65,44,906
82,879,10,565,201
83,896,929,1029,165
84,153,572,998,707
85,560,124,477,385
86,464,109,302,176
87,331,505,637,75
88,785,207,765,792
89,181,857,22,696
90,583,949,1055,513
91,665,410,397,878
92,772,1011,248,327
93,812,299,862,167
94,1031,519,125,50
95,738,260,164,139
96,1032,676,378,109
97,868,989,457,1048
98,439,612,704,434
99,96,219,355,836
100,849,803,680,905
101,606,7,611,646
102,650,1013,404,432
103,986,959,651,349
104,587,695,455,478
105,889,264,642,483
106,294,566,816,833
107,367,777,523,890
108,34,780,941,380
109,246,626,892,843
110,306,390,254,915
111,577,1067,797,838
112,30,555,732,508
113,86,596,216,129
114,141,747,696,1039
115,726,656,199,622
116,956,239,431,250
117,191,290,636,74
118,145,786,434,882
119,593,68,174,565
120,480,296,1015,329
121,290,483,646,776
122,818,895,1017,507
123,655,902,442,423
124,1030,249,683,208
125,815,979,848,777
126,369,270,1032,473
127,737,623,360,31
128,287,171,436,733
129,643,880,920,149
130,565,964,43,1043
131,416,503,811,867
132,326,538,870,613
133,919,746,541,183
134,782,587,900,180
135,611,466,625,590
136,84,1014,281,312
137,531,224,694,741
138,763,554,488,169
139,822,981,817,34
140,1059,76,556,822
141,865,156,185,904
142,104,389,71,98
143,953,574,112,662
144,404,867,803,452
145,321,168,492,359
146,253,495,916,20
147,389,244,295,811
148,13,456,859,150
149,282,43,857,1034
150,1022,140,179,709
151,636,638,94,503
152,970,1032,133,757
153,212,714,918,253
154,934,364,525,96
155,798,1030,75,865
156,542,275,29,76
157,608,446,830,23
158,427,479,211,392
159,337,896,996,571
160,39,265,952,337
161,394,511,564,224
162,363,550,635,1072
163,887,87,951,223
164,817,88,786,411
165,806,668,56,6
166,538,604,1001,763
167,524,698,275,721
168,807,545,662,919
169,561,226,1063,47
170,959,630,678,576
171,620,164,569,378
172,802,530,573,114
173,291,606,384,961
174,315,785,463,610
175,671,942,801,502
176,950,383,413,374
177,982,336,120,103
178,550,191,583,908
179,114,818,1018,581
180,924,502,709,518
181,888,411,5,422
182,302,879,12,753
183,704,145,409,997
184,784,453,491,702
185,796,657,354,164
