,1
0,1052
1,235
2,376
3,599
4,892
5,817
6,166
7,417
8,73
9,130
10,512
11,229
12,51
13,841
14,722
15,489
16,438
17,304
18,467
19,484
20,30
21,287
22,69
23,452
24,586
25,283
26,680
27,122
28,960
29,39
30,793
31,1010
32,870
33,826
34,923
35,336
36,1062
37,266
38,340
39,1020
40,93
41,70
42,22
43,893
44,311
45,846
46,449
47,413
48,5
49,679
50,398
51,119
52,831
53,671
54,884
55,138
56,358
57,610
58,379
59,622
60,1019
61,67
62,309
63,978
64,569
65,40
66,658
67,192
68,268
69,980
70,676
71,986
72,951
73,516
74,829
75,133
76,7
77,198
78,281
79,431
80,490
81,1035
82,561
83,374
84,866
85,728
86,127
87,181
88,934
89,625
90,291
91,146
92,121
93,910
94,540
95,200
96,762
97,402
98,364
99,825
100,766
101,630
102,445
103,388
104,354
105,850
106,834
107,468
108,684
109,687
110,199
111,700
112,735
113,989
114,659
115,282
116,807
117,365
118,533
119,753
120,663
121,703
122,48
123,1013
124,423
125,713
126,758
127,191
128,111
129,346
130,789
131,750
132,557
133,633
134,330
135,399
136,811
137,897
138,638
139,764
140,844
141,723
142,993
143,168
144,162
145,255
146,491
147,835
148,724
149,688
150,900
151,797
152,902
153,418
154,448
155,321
156,593
157,144
158,496
159,693
160,349
161,952
162,526
163,193
164,674
165,718
166,463
167,685
168,238
169,1037
170,886
171,437
172,899
173,1000
174,564
175,998
176,57
177,925
178,383
179,88
180,982
181,1073
182,855
183,1015
184,683
185,919
186,434
187,542
188,410
189,975
190,1072
191,212
192,962
193,1006
194,18
195,527
196,642
197,815
198,922
199,2
200,736
201,465
202,915
203,256
204,787
205,152
206,970
207,462
208,985
209,964
210,4
211,277
212,882
213,823
214,270
215,34
216,901
217,239
218,763
219,380
220,944
221,486
222,1045
223,126
224,45
225,774
226,1023
227,555
228,634
229,712
230,422
231,117
232,600
233,913
234,731
235,112
236,1056
237,665
238,615
239,631
240,262
241,232
242,813
243,429
244,497
245,1
246,1024
247,1043
248,596
249,165
250,885
251,498
252,983
253,691
254,1065
255,840
256,86
257,757
258,777
259,776
260,617
261,621
262,72
263,26
264,139
265,355
266,1012
267,773
268,416
269,403
270,223
271,459
272,565
273,816
274,677
275,551
276,225
277,862
278,509
279,297
280,653
281,104
282,151
283,690
284,161
285,362
286,8
287,460
288,821
289,377
290,558
291,568
292,1007
293,404
294,573
295,425
296,581
297,269
298,559
299,508
300,504
301,444
302,572
303,620
304,708
305,943
306,108
307,488
308,221
309,424
310,510
311,55
312,1026
313,779
314,770
315,546
316,537
317,606
318,481
319,624
320,10
321,769
322,918
323,387
324,1005
325,261
326,856
327,864
328,123
329,863
330,957
331,179
332,908
333,592
334,520
335,350
336,220
337,430
338,258
339,809
340,60
341,979
342,94
343,916
344,1030
345,257
346,11
347,761
348,125
349,36
350,357
351,244
352,905
353,347
354,576
355,110
356,675
357,647
358,360
359,940
360,412
361,996
362,188
363,149
364,49
365,189
366,997
367,627
368,187
369,782
370,310
371,1071
372,1057
373,214
374,644
375,286
376,63
377,299
378,254
379,874
380,928
381,974
382,535
383,988
384,116
385,1029
386,696
387,575
388,587
389,640
390,366
391,932
392,432
393,41
394,339
395,216
396,830
397,954
398,785
399,694
400,50
401,839
402,858
403,655
404,788
405,613
406,727
407,608
408,226
409,938
410,284
411,767
412,483
413,329
414,660
415,219
416,384
417,848
418,132
419,323
420,751
421,806
422,744
423,612
424,609
425,912
426,714
427,1008
428,176
429,976
430,636
431,43
432,760
433,169
434,689
435,544
436,128
437,768
438,601
439,827
440,326
441,454
442,173
443,236
444,19
445,137
446,523
447,345
448,981
449,1022
450,276
451,819
452,298
453,607
454,505
455,992
456,455
457,595
458,654
459,924
460,1021
461,493
462,96
463,289
464,315
465,177
466,895
467,868
468,1002
469,865
470,260
471,381
472,686
473,1041
474,190
475,120
476,772
477,781
478,393
479,392
480,65
481,61
482,780
483,741
484,973
485,331
486,837
487,482
488,308
489,46
490,13
491,765
492,371
493,926
494,567
495,1068
496,167
497,157
498,721
499,896
500,888
501,711
502,1060
503,704
504,984
505,288
506,306
507,1070
508,972
509,548
510,9
511,618
512,832
513,248
514,275
515,563
516,113
517,543
518,950
519,348
520,842
521,963
522,3
523,843
524,756
525,605
526,495
527,965
528,1040
529,147
530,397
531,666
532,560
533,473
534,71
535,421
536,81
537,999
