,1,2
0,1065,366
1,484,848
2,339,855
3,295,766
4,12,517
5,632,83
6,303,261
7,264,864
8,857,707
9,570,419
10,929,473
11,794,1059
12,631,168
13,524,567
14,395,879
15,139,992
16,40,203
17,1005,211
18,972,538
19,608,219
20,896,248
21,411,604
22,660,84
23,684,258
24,1057,866
25,526,586
26,709,687
27,856,515
28,424,617
29,1047,19
30,54,73
31,174,420
32,887,825
33,289,33
34,161,362
35,661,230
36,369,574
37,1059,476
38,179,760
39,480,1067
40,638,412
41,737,1031
42,729,92
43,830,405
44,216,243
45,292,805
46,534,337
47,987,155
48,416,712
49,556,1014
50,187,803
51,865,41
52,109,845
53,861,575
54,791,818
55,760,800
56,215,1046
57,316,386
58,396,579
59,394,26
60,464,31
61,46,847
62,759,224
63,897,993
64,792,195
65,106,765
66,393,692
67,1074,740
68,503,55
69,232,475
70,378,461
71,626,291
72,365,288
73,537,375
74,754,1053
75,13,897
76,281,738
77,477,415
78,133,62
79,563,186
80,876,314
81,271,299
82,210,472
83,547,123
84,680,1037
85,871,754
86,32,984
87,147,272
88,520,60
89,488,1044
90,214,249
91,11,1042
92,237,680
93,23,614
94,923,345
95,797,99
96,437,1063
97,197,49
98,419,429
99,1070,910
100,578,253
101,716,891
102,767,724
103,501,444
104,1033,456
105,512,602
106,566,834
107,874,388
108,785,931
109,783,38
110,208,65
111,508,172
112,144,285
113,364,127
114,325,839
115,800,622
116,1012,455
117,642,690
118,318,437
119,131,921
120,722,467
121,278,174
122,389,266
123,597,565
124,555,640
125,149,188
126,693,528
127,201,860
128,550,305
129,293,674
130,715,176
131,998,3
132,449,701
133,580,23
134,402,727
135,809,167
136,639,520
137,93,433
138,989,408
139,657,227
140,736,869
141,725,779
142,224,1003
143,538,1050
144,168,297
145,528,135
146,76,399
147,786,842
148,483,510
149,59,865
150,326,672
151,250,1000
152,847,68
153,1019,775
154,242,781
155,363,913
156,340,300
157,14,102
158,256,899
159,591,226
160,1071,51
161,968,252
162,297,942
163,844,341
164,723,414
165,494,790
166,999,954
167,475,206
168,564,682
169,123,599
170,204,449
171,730,385
172,883,185
173,840,964
174,49,657
175,469,344
176,327,204
177,789,493
178,613,9
179,565,787
180,991,666
181,704,852
182,1009,273
183,980,11
184,89,53
185,228,986
186,935,424
187,918,658
188,125,653
189,895,340
190,163,238
191,741,895
192,422,732
193,542,927
194,358,949
195,467,164
196,914,948
197,188,294
198,851,491
199,567,919
200,516,1006
201,442,223
202,546,902
203,735,771
204,239,220
205,19,776
206,603,513
207,831,874
208,826,1068
209,647,875
210,1026,641
211,569,6
212,391,987
213,671,830
214,1052,1023
215,690,744
216,98,336
217,574,355
218,560,1025
219,444,149
220,328,334
221,921,343
222,231,296
223,127,169
224,160,774
225,152,877
226,90,57
227,279,815
228,236,762
229,238,90
230,926,413
231,31,122
232,377,117
233,346,205
234,1063,901
235,495,48
236,644,1047
237,700,306
238,576,596
239,315,309
240,776,24
241,970,706
242,959,983
243,243,70
244,825,593
245,899,933
246,753,86
247,842,1015
248,689,620
249,66,546
250,252,216
251,636,328
252,799,418
253,249,111
254,506,428
255,86,846
256,111,757
257,121,783
258,845,638
259,4,138
260,428,446
261,1050,916
262,947,749
263,30,742
264,192,4
265,206,32
266,973,557
267,933,331
268,531,552
269,67,213
270,978,819
271,142,976
272,445,199
273,5,104
274,99,154
275,1062,411
276,866,497
277,1037,101
278,29,192
279,436,613
280,322,871
281,415,382
282,241,947
283,867,967
284,795,784
