,1
0,518
1,796
2,872
3,35
4,234
5,911
6,545
7,59
8,730
9,1003
10,171
11,411
12,1001
13,480
14,293
15,664
16,752
17,313
18,907
19,869
20,501
21,603
22,661
23,771
24,174
25,554
26,651
27,32
28,231
29,1017
30,415
31,227
32,427
33,522
34,937
35,931
36,539
37,278
38,115
39,302
40,668
41,1044
42,124
43,109
44,456
45,494
46,833
47,1031
48,367
49,740
50,259
51,1064
52,939
53,784
54,737
55,738
56,894
57,28
58,85
59,324
60,734
61,699
62,589
63,472
64,995
65,549
66,16
67,692
68,99
69,914
70,419
71,492
72,478
73,172
74,585
75,732
76,143
77,798
78,891
79,1028
80,755
81,163
82,930
83,672
84,441
85,29
86,1036
87,786
88,228
89,1032
90,574
91,435
92,385
93,802
94,312
95,1047
96,966
97,6
98,175
99,579
100,408
101,1050
102,1063
103,76
104,801
105,101
106,394
107,66
108,180
109,279
110,264
111,201
112,590
113,942
114,875
115,860
116,141
117,803
118,698
119,878
120,602
121,792
122,879
123,375
124,296
125,1066
126,458
127,876
128,804
129,292
130,195
131,245
132,426
133,194
134,948
135,145
136,233
137,42
138,84
139,971
140,828
141,335
142,1011
143,433
144,356
145,521
146,353
147,571
148,961
149,477
150,570
151,202
152,217
153,849
154,749
155,852
156,643
157,87
158,657
159,632
160,469
161,295
162,645
163,443
164,530
165,725
166,249
167,170
168,461
169,528
170,1025
171,140
172,250
173,305
174,733
175,107
176,27
177,799
178,710
179,372
180,791
181,58
182,532
183,822
184,344
185,100
186,267
187,0
188,378
189,382
190,669
191,160
192,74
193,464
194,159
195,552
196,280
197,440
198,597
199,409
200,729
201,178
202,95
203,517
204,77
205,33
206,307
207,547
208,1055
209,1054
210,196
211,921
212,314
213,91
214,215
215,25
216,795
217,369
218,80
219,541
220,252
221,328
222,859
223,78
224,851
225,319
226,536
227,342
228,538
229,920
230,154
231,629
232,889
233,406
234,1016
235,471
236,243
237,637
238,531
239,906
240,582
241,21
242,941
243,129
244,887
245,588
246,1059
247,742
248,351
249,619
250,447
251,263
252,224
253,652
254,881
255,318
256,316
257,628
258,1039
259,1014
260,38
261,148
262,890
263,186
264,89
265,197
266,253
267,83
268,363
269,883
270,695
271,47
272,303
273,1034
274,56
275,969
276,320
277,185
278,626
279,106
280,967
281,246
282,442
283,500
284,936
285,274
286,649
287,136
288,265
289,635
290,927
291,474
292,511
293,332
294,273
295,783
296,641
297,717
298,515
299,301
300,1074
301,359
302,153
303,670
304,391
305,519
306,534
307,389
308,17
309,709
310,164
311,182
312,623
313,75
314,1033
315,451
316,439
317,12
318,529
319,206
320,294
321,873
322,183
323,184
324,210
325,577
326,401
327,594
328,300
329,37
330,285
331,337
332,446
333,466
334,68
335,513
336,211
337,958
338,707
339,820
340,838
341,656
342,754
343,903
344,1046
345,584
346,208
347,678
348,935
349,44
350,14
351,506
352,1049
353,917
354,222
355,1004
356,562
357,909
358,142
359,53
360,857
361,1038
362,368
363,824
364,946
365,155
366,502
367,158
368,836
369,743
370,616
371,487
372,682
373,1048
374,748
375,681
376,338
377,945
378,395
379,105
380,325
381,97
382,726
383,98
384,470
385,361
386,525
387,598
388,322
389,524
390,370
391,218
392,929
393,947
394,871
395,898
396,114
397,213
398,550
399,611
400,746
401,240
402,933
403,853
404,407
405,1069
406,476
407,20
408,800
409,739
410,867
411,578
412,646
413,207
414,955
415,390
416,475
417,24
418,553
419,241
420,290
421,237
422,650
423,861
424,747
425,64
426,1051
427,23
428,580
429,794
430,503
431,745
432,1018
433,156
434,702
435,959
436,334
437,812
438,1027
439,352
440,327
441,701
442,118
443,968
444,583
445,205
446,428
447,54
448,90
449,507
450,82
451,247
452,805
453,92
454,990
455,880
456,639
457,333
458,436
459,810
460,204
461,667
462,977
463,716
464,131
465,719
466,705
467,272
468,317
469,1053
470,209
471,450
472,203
473,1009
474,341
475,953
476,400
477,845
478,697
479,808
480,778
481,949
482,662
483,614
484,790
485,1042
486,420
487,457
488,271
489,759
490,103
491,987
492,396
493,102
494,31
495,1058
496,479
497,150
498,485
499,818
500,877
501,343
502,52
503,453
504,405
505,566
506,242
507,854
508,556
509,373
510,847
511,720
512,1067
513,904
514,79
515,604
516,62
517,956
518,386
519,673
520,15
521,706
522,514
523,991
524,994
525,251
526,775
527,414
528,134
529,814
530,591
531,648
532,1061
533,135
534,715
535,499
536,230
