,1,2
0,672,351
1,848,885
2,388,310
3,230,442
4,405,184
5,724,689
6,1007,507
7,984,662
8,870,734
9,651,371
10,859,799
11,96,264
12,963,146
13,793,425
14,258,494
15,666,91
16,491,139
17,22,1013
18,496,190
19,616,234
20,1034,30
21,913,466
22,400,753
23,18,318
24,53,843
25,812,554
26,310,118
27,283,606
28,301,928
29,773,977
30,681,332
31,910,177
32,458,718
33,946,109
34,33,383
35,875,973
36,182,811
37,714,430
38,530,1035
39,915,277
40,618,1049
41,769,809
42,487,582
43,942,801
44,811,577
45,561,485
46,678,105
47,778,896
48,88,669
49,621,926
50,306,814
51,63,125
52,548,119
53,748,890
54,1029,685
55,855,85
56,212,292
57,610,882
58,94,5
59,370,161
60,1021,743
61,948,756
62,27,751
63,354,769
64,917,250
65,425,142
66,1011,400
67,544,898
68,69,143
69,873,42
70,50,353
71,906,553
72,584,72
73,410,463
74,634,526
75,275,315
76,662,1033
77,939,483
78,701,867
79,408,1010
80,1016,1060
81,749,511
82,649,44
83,35,978
84,731,279
85,995,920
86,953,503
87,969,175
88,1061,904
89,977,551
90,336,564
91,280,1032
92,898,151
93,80,912
94,943,108
95,257,568
96,100,1039
97,194,792
98,1048,193
99,154,500
100,775,136
101,259,972
102,150,326
103,1043,95
104,205,955
105,936,610
106,961,94
107,833,535
108,695,737
109,85,900
110,175,1018
111,675,999
112,1055,518
113,543,772
114,996,971
115,967,542
116,513,329
117,423,471
118,521,813
119,47,241
120,41,103
121,511,748
122,562,989
123,433,1040
124,920,563
125,97,524
126,1003,529
127,329,934
128,806,440
129,36,474
130,347,233
131,928,436
132,421,827
133,183,232
134,114,514
135,223,398
136,599,78
137,112,534
138,374,153
139,247,698
140,838,22
141,691,208
142,302,401
143,387,221
144,674,664
145,940,325
146,20,516
147,828,994
148,886,728
149,351,372
150,727,452
151,486,576
152,48,27
153,371,508
154,434,826
155,282,645
156,314,633
157,427,484
158,308,156
159,103,212
160,323,886
161,1068,833
162,846,953
163,990,736
164,317,541
165,273,929
166,452,417
167,60,605
168,813,116
169,900,531
170,925,572
171,656,1058
172,843,395
173,628,810
174,108,100
175,606,570
176,412,777
177,146,1051
178,331,903
179,1024,251
180,138,438
181,220,681
182,988,876
183,500,519
184,1017,74
185,957,780
186,284,14
187,309,54
188,718,160
189,285,893
190,145,462
191,964,71
192,801,115
193,75,798
194,385,416
195,596,998
196,624,735
197,25,267
198,184,410
199,712,1012
200,381,110
201,822,245
202,1044,1017
203,465,319
204,774,350
205,965,384
206,165,857
207,518,856
208,755,443
209,218,486
210,178,940
211,44,626
212,796,1043
213,802,270
214,255,770
215,1035,595
216,1038,968
217,170,218
218,128,659
219,909,377
220,641,974
221,519,268
222,1056,832
223,134,711
224,744,374
225,155,448
226,509,59
227,950,884
228,321,209
229,16,7
230,966,1016
231,81,837
232,345,490
233,640,1056
234,746,650
235,478,806
236,1073,145
237,790,892
238,498,28
239,752,695
240,514,556
241,949,431
242,372,147
243,83,794
244,889,675
245,245,1021
246,863,381
247,265,527
248,882,354
249,1066,286
250,553,522
251,82,357
252,761,488
253,482,943
254,685,396
255,392,569
256,384,804
257,703,308
258,728,77
259,463,936
260,619,434
261,234,841
262,862,561
263,485,696
264,196,562
265,558,67
266,620,283
267,937,114
268,360,704
269,623,228
270,135,470
271,907,746
272,819,322
273,545,35
274,869,741
275,64,907
276,787,642
277,189,627
278,110,46
279,805,235
280,1045,39
281,380,854
282,177,0
283,72,915
284,287,469
285,688,284
286,397,697
287,91,106
288,648,34
289,349,684
290,1069,618
291,235,789
292,747,397
293,646,1026
294,15,422
295,1039,1055
296,782,346
297,439,187
298,686,660
299,593,303
300,446,828
301,962,861
302,71,98
303,985,1066
304,581,631
305,707,112
306,667,537
307,1060,1069
308,167,403
309,902,64
310,217,723
311,68,722
312,784,479
313,721,162
314,73,63
315,376,358
316,502,481
317,1,50
318,823,823
319,677,1024
320,706,107
321,368,530
322,37,2
323,246,36
324,1036,587
325,617,197
326,1018,923
327,198,225
328,824,597
329,107,555
330,2,421
331,527,1073
332,104,918
333,598,1009
334,1013,342
335,438,287
336,663,347
337,827,778
338,84,752
339,507,20
340,0,1036
341,904,45
342,454,609
343,894,1061
344,148,924
345,726,21
346,481,550
347,698,29
348,57,639
349,459,244
350,960,862
351,136,498
352,609,1045
353,1006,980
354,290,16
355,880,667
356,582,583
357,87,761
358,1049,905
359,1025,231
360,601,173
361,702,40
362,462,69
363,633,198
364,460,726
365,1041,663
366,1053,113
367,938,544
368,1051,1064
369,311,247
370,414,509
371,221,492
372,440,560
373,1014,304
374,594,785
375,834,863
376,762,611
377,455,477
378,342,404
379,77,271
380,585,260
381,117,222
382,451,1062
383,892,644
384,432,361
385,1008,445
386,453,635
387,262,906
388,382,767
389,676,703
390,267,131
391,476,600
392,810,817
393,815,200
394,905,820
395,1022,126
396,571,1048
397,457,152
398,986,616
399,540,729
400,420,581
401,334,717
402,359,946
403,670,323
404,1032,705
405,78,348
406,8,349
407,203,432
408,116,194
409,884,207
410,696,661
411,930,764
412,386,215
413,539,457
414,319,313
415,679,393
416,694,453
417,916,763
418,266,545
419,751,951
420,95,140
421,710,1002
422,586,180
423,137,715
424,115,81
425,739,255
426,622,965
427,572,894
428,738,495
429,981,532
430,229,459
431,922,651
432,39,649
433,734,18
434,525,887
435,932,678
436,227,935
437,549,321
438,324,909
439,1064,621
440,304,124
441,132,295
442,510,1070
443,557,12
444,699,670
445,185,246
446,772,708
447,956,1005
448,443,257
449,209,966
450,993,888
451,954,302
452,474,533
453,600,324
454,181,265
455,763,872
456,211,880
457,173,426
458,156,338
459,911,165
460,274,435
461,814,547
462,171,58
463,79,802
464,493,549
465,803,619
466,573,536
467,777,786
468,51,543
469,225,859
470,307,956
471,781,423
472,1010,79
473,711,821
474,253,523
475,124,367
476,604,171
477,720,782
478,38,944
479,901,812
480,291,584
481,687,731
482,650,56
483,692,256
484,348,129
485,1054,465
486,1031,210
487,379,37
488,343,1034
489,836,688
490,673,558
491,409,1027
492,251,673
493,472,1054
494,492,150
495,877,590
496,1030,468
497,159,506
498,515,339
499,450,387
500,473,327
501,765,755
502,807,290
503,65,699
504,858,368
505,595,979
506,852,460
507,976,1020
508,61,1028
509,522,274
510,74,380
511,1004,379
512,757,677
513,479,178
514,705,356
515,927,768
516,466,714
517,912,450
518,435,144
519,199,1030
520,226,316
521,261,504
522,119,201
523,1000,691
524,417,427
525,190,278
526,872,262
527,924,850
528,637,1011
529,1046,141
530,945,733
531,554,239
532,552,601
533,426,911
534,101,166
535,441,758
536,798,525
