,1
0,622
1,7049
2,1398
3,6115
4,4838
5,7726
6,1351
7,5117
8,7218
9,7738
10,3622
11,1896
12,2117
13,3840
14,1134
15,2659
16,899
17,218
18,5384
19,3917
20,5519
21,8087
22,5602
23,5455
24,2403
25,3700
26,4006
27,5797
28,658
29,4951
30,7083
31,5660
32,5562
33,1276
34,8089
35,545
36,5909
37,3276
38,1698
39,7673
40,7018
41,6851
42,1271
43,5710
44,7134
45,4494
46,2101
47,6639
48,2745
49,4181
50,5787
51,709
52,1827
53,4328
54,6279
55,6365
56,7992
57,2524
58,7274
59,602
60,6548
61,7496
62,4924
63,5477
64,6750
65,1318
66,4372
67,580
68,1189
69,5303
70,648
71,3254
72,1049
73,2830
74,799
75,7236
76,6935
77,2037
78,7644
79,4818
80,4109
81,1166
82,3397
83,3195
84,2060
85,5629
86,2243
87,6189
88,6194
89,4736
90,6778
91,975
92,2495
93,3629
94,6809
95,7251
96,719
97,6920
98,689
99,6678
100,4495
101,7679
102,5094
103,5925
104,5484
105,6661
106,5868
107,5063
108,5815
109,4203
110,3204
111,7208
112,4886
113,6036
114,4306
115,2909
116,738
117,940
118,7348
119,395
120,7234
121,3660
122,6137
123,2460
124,2916
125,5066
126,825
127,8097
128,1284
129,6539
130,2713
131,2257
132,4154
133,956
134,7383
135,4488
136,5312
137,4709
138,8070
139,6612
140,3735
141,3360
142,780
143,6108
144,6263
145,3502
146,4102
147,6196
148,152
149,2461
150,900
151,5855
152,7655
153,1447
154,504
155,7932
156,309
157,3155
158,2619
159,4391
160,8024
161,145
162,7543
163,2271
164,1610
165,3457
166,1027
167,7944
168,8073
169,2284
170,6959
171,7706
172,5749
173,6307
174,6443
175,6352
176,4552
177,7592
178,2171
179,6089
180,6574
181,6673
182,481
183,1135
184,3277
185,7789
186,7512
187,4726
188,3949
189,2287
190,467
191,1946
192,5279
193,2080
194,7765
195,2068
196,1632
197,1112
198,4973
199,1396
200,4038
201,6187
202,7834
203,933
204,116
205,7110
206,3614
207,4922
208,7799
209,4095
210,6329
211,492
212,4369
213,2726
214,8105
215,1163
216,3616
217,8125
218,6305
219,4243
220,2409
221,4254
222,3267
223,4029
224,1674
225,1498
226,1096
227,56
228,1798
229,1855
230,3999
231,7035
232,3324
233,8029
234,1969
235,7914
236,3320
237,7294
238,3719
239,4701
240,1405
241,3702
242,4320
243,5347
244,641
245,4711
246,4458
247,1286
248,5793
249,7228
250,5452
251,3584
252,7513
253,5287
254,5839
255,7895
256,4447
257,3665
258,126
259,272
260,2773
261,6646
262,2215
263,6680
264,6958
265,3119
266,6363
267,3942
268,3075
269,6434
270,3728
271,1689
272,7651
273,2411
274,7484
275,3130
276,4170
277,2543
278,5556
279,6287
280,3556
281,5878
282,1215
283,8080
284,1168
285,750
286,4385
287,3613
288,647
289,8094
290,591
291,6628
292,7517
293,7916
294,5391
295,7666
296,3044
297,514
298,1817
299,5257
300,1572
301,5274
302,6100
303,421
304,6323
305,2113
306,7757
307,4843
308,453
309,3926
310,3651
311,987
312,736
313,4638
314,4827
315,4715
316,6237
317,4297
318,5471
319,499
320,1444
321,2628
322,7203
323,5136
324,4300
325,281
326,1574
327,1362
328,620
329,4152
330,7350
331,1458
332,5758
333,1045
334,4662
335,1592
336,2779
337,7390
338,3238
339,6423
340,6970
341,671
342,7485
343,2344
344,7684
345,4461
346,6158
347,6800
348,3738
349,5401
350,4329
351,6521
352,576
353,7930
354,3357
355,1406
356,3933
357,1504
