,1,2,3,4,5,6,7,8,9,10
0,7365,7096,6862,1544,2592,7129,2435,6962,1033,1325
1,6627,6663,2115,5481,606,6489,1391,2980,701,7965
2,6500,4983,3398,382,7367,3605,6304,3080,5383,1544
3,868,5492,7701,5888,6414,4836,2426,8,5519,3095
4,4882,725,2267,3832,2573,4251,2793,2814,5558,4092
5,5137,2905,7025,256,5117,3207,3152,2183,5261,5902
6,3819,1042,2211,7657,2310,7596,5992,8118,1409,2062
7,4261,1145,3762,1985,3051,6865,3050,3089,4044,6082
8,6306,6852,7416,3200,6401,3606,1878,1188,1900,3239
9,3603,3572,4177,6256,6990,3161,7654,2091,527,2326
10,4925,1011,8098,5887,2982,4797,4896,6406,716,7240
11,508,7149,5273,7930,1604,7397,1643,7499,5459,7163
12,1992,1436,3438,879,7217,3274,268,4768,8051,7951
13,633,5824,361,5466,2893,5742,6466,581,6767,7424
14,497,5709,7189,7740,2170,7570,7175,3824,3040,301
15,7592,7474,2544,5942,4509,494,2270,3543,3344,6003
16,2539,4113,975,2595,3908,5435,7072,4761,2769,1369
17,3459,7363,7100,1288,2682,1765,4555,3922,2307,2540
18,648,5040,1801,7293,4353,1522,3029,3327,2428,537
19,5835,109,7954,1192,6222,3264,1043,1250,2706,5108
20,2058,3540,7286,125,4478,7232,6968,7114,1060,5598
21,3507,8036,6859,7174,8113,846,2739,4930,5845,3685
22,24,2161,1227,3789,5345,3382,2606,3235,1996,7388
23,5721,2723,6239,918,3521,547,3214,6735,5174,1879
24,2800,5718,1424,1858,4651,6864,1407,1661,31,1222
25,3145,7273,6242,1283,1439,7298,2933,2982,735,6448
26,1803,7080,7585,895,5358,6424,235,5381,4167,4090
27,2503,574,4588,7853,2409,3328,2524,2561,1893,5815
28,3871,3305,6235,112,7431,1920,3942,4776,1278,2532
29,6668,3474,4440,1878,7617,7162,3781,6671,4615,502
30,3756,3946,4877,2685,4937,4118,5256,3222,4515,2781
31,3828,6874,7915,79,3498,5573,6056,5487,3836,3885
32,6969,5413,2431,4713,7854,3808,5470,6610,6080,4323
33,5724,3898,6531,3094,4760,3505,7712,3934,3930,6590
34,3911,3464,3408,7000,4435,5611,7260,3096,2662,2914
35,3648,3457,6583,6162,5862,8049,7560,4855,2834,3346
36,342,2438,5027,277,6137,271,5869,7728,8036,869
