,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,567,1526,2597,2662,1390,3296,7980,7554,7211,7557,7122,1139,655,7813,2,1872,4677,4764,7215,412,4603,1664,5990,2303,7916,7205,6844,5837,6051,2509,6819,5010,6804,8103,178,5912,3803,6909,384,2241,1721,5370,5793,4341,1685,2231,1412,3642,6949,2499,2166,5405,5353,6923,4003,7432,5216,1116,2428,1550,112,2913,3753,7011,1428,8105,2278,5268,4570,2812,6772,3549,1642,35,506,2988,2430,1266,2054,132,2927,4516,2022,3019,6327,7423,3146,3908,6362,4331,3643,5899,1585,1006,1657,1001,25,5594,7410,5683
1,3693,4262,5757,6677,359,3723,5295,2383,7047,6201,5415,669,1853,8109,8116,949,7918,6709,3877,5829,6904,1678,1632,3261,3042,6603,6736,930,1905,1979,109,3221,229,5595,7450,7957,3347,1299,7164,3763,2516,7749,6174,2144,212,7636,6997,4177,4974,1326,6199,6502,4989,1001,3402,3462,3837,3914,1548,933,5312,5298,3080,298,3917,7217,1235,7568,2065,606,7459,1370,2318,2045,6443,2199,5250,2077,495,6229,4816,6982,485,20,7178,4721,2881,518,6582,3513,2239,1682,5709,6507,283,7260,5174,1399,2728,6006
2,5822,69,2915,1857,7672,5889,72,7740,3290,3054,2559,578,3752,5559,1403,4119,6432,2134,1177,1601,6843,6396,170,6392,462,7576,6752,4134,3303,2744,320,7225,6252,668,5085,1191,444,7650,4528,5421,1877,1879,149,7714,2907,2801,2838,315,5781,745,7854,5467,3300,4016,4194,3243,3471,4825,1825,3708,4729,2915,5590,7452,7592,6602,6830,4318,5410,1662,3160,487,3131,3442,6350,6143,287,4879,2662,5296,3779,4257,4119,5372,6117,2738,2639,5191,7615,1951,7703,5741,511,4263,4109,305,2019,6857,117,5446
3,1281,5768,7704,637,6087,5818,1505,2539,347,6477,356,453,7083,7487,2642,6681,4449,5775,3251,6490,198,4543,6791,1182,797,5359,7197,2541,3046,2908,514,3011,7791,5857,5946,410,3553,3762,2452,1410,7976,2306,940,8052,6567,4773,970,6847,6406,5697,968,6555,906,3991,2332,8126,7688,2481,7997,7384,3427,4314,1624,7066,3489,8122,5762,3143,351,2545,382,7319,7773,1996,3701,5172,2684,6446,3924,6648,1795,6267,837,3609,6771,4400,3151,2842,3673,2926,216,5831,1157,308,5580,3550,1391,7857,5772,6866
4,1058,5089,1218,4312,7480,2044,3634,5330,1015,1205,5411,1742,2122,5430,4943,1039,3635,7195,4007,5762,4085,5979,6919,1966,8137,5313,1159,6668,4488,5666,4311,4030,2064,7609,6922,689,3104,6312,3201,3707,4220,2756,6623,1719,5322,5585,414,3558,670,1870,5873,7795,356,2028,31,5790,5301,7951,2457,21,5867,3358,8121,5025,6756,4970,6889,8141,8088,1511,103,5927,2067,3819,2057,7273,2168,4563,1071,6899,7615,139,3471,6497,7438,6885,2162,1706,926,3471,7393,3472,4100,7810,3297,1377,3645,197,2785,6303
5,4029,1240,848,6057,997,4390,7144,8074,988,221,7089,3417,1646,6054,2748,1614,5783,8077,3970,1725,6065,1837,6614,5976,5851,457,7124,1593,996,7233,5265,6311,1006,716,630,684,4224,7958,4982,1021,2004,3718,2949,6205,3970,3566,2954,420,7823,4909,2198,2000,8068,6502,931,582,1531,3174,1459,2646,5167,5886,5051,4851,207,7091,2703,766,2574,5103,1082,3504,3057,7854,7239,6338,6380,2807,489,837,2321,2103,2534,2904,1495,6669,1561,8052,4209,3462,8091,4046,347,7065,3975,185,3635,2459,852,2922
6,2133,6258,675,3597,6082,2206,3963,2373,3330,1218,7091,4895,5138,5514,8059,2297,7057,2386,265,6283,1526,5390,3954,4810,4603,3716,7434,7614,5975,3327,451,7852,7261,5862,4841,932,403,1243,423,4486,5904,464,2747,1146,5393,2613,6342,6891,5075,5409,5664,6041,3109,629,7392,1269,233,3283,8031,7440,3250,1479,3891,4199,4892,3581,1972,6303,3272,4750,844,1261,175,4482,893,2154,4521,7176,2975,2023,3863,4634,4220,3584,6232,5254,3575,3719,4947,5456,1729,3139,241,3898,5712,1198,6971,367,4582,1525
7,4860,2293,2170,4807,915,5379,1687,7625,855,6481,4249,33,3638,7266,6140,7402,5057,2117,754,3178,6722,2321,1584,2126,1633,759,5574,70,3881,4917,7454,7103,6686,4683,4987,1169,4740,906,1530,4716,7929,6994,4418,5787,1234,7724,6925,5709,514,5907,1930,2740,1974,5603,1819,3986,3260,1715,2471,7988,931,8098,3627,5622,4091,225,1875,1970,3025,2797,1551,5603,5651,245,1205,3804,7840,4071,4710,1838,6923,5141,7427,521,2981,2751,7360,3430,1004,7232,1578,3563,1668,6019,2027,4453,2611,2488,7161,46
8,2761,2257,5198,2259,4694,2779,5587,4509,1755,5180,3607,3641,3161,6173,4865,6893,3955,3208,7974,2153,2507,7298,4237,6437,2593,7896,3213,7246,7543,627,41,7177,840,5339,6541,5003,5515,1757,6694,6094,8134,4422,1373,4105,4703,64,1873,4434,1016,3103,5366,4446,186,916,7895,2661,1696,3443,5071,1457,7424,7320,5165,3484,4083,2938,6650,2982,6599,3551,114,4684,3456,6812,5497,7109,7853,4028,5288,4391,2905,7525,568,2191,6650,5993,5970,2708,7518,7123,8041,7173,435,7366,4705,3200,3015,5839,6757,3696
9,6945,2533,7889,5520,4462,4341,2612,4006,3449,3448,7463,664,4186,4699,4428,2020,6718,1467,7311,5253,801,46,7742,5575,522,5347,7951,1097,4315,7302,5424,1047,8037,7846,3434,1167,5292,5802,6472,1352,1688,1504,748,4062,50,6352,7246,7620,5328,5015,1669,6603,1707,5177,38,289,2466,5156,5920,1296,3438,726,7801,1969,7292,3660,463,5755,3844,3567,987,7242,1456,7677,1635,1157,5238,2632,30,7479,5175,2118,729,8105,7797,743,7763,2326,3102,3909,408,4612,7516,4944,3193,354,2917,7340,513,303
10,8,6821,6555,2498,373,2090,3524,4746,2086,3959,253,1081,5071,1361,5264,7823,1350,2199,4295,5558,6122,1528,809,4479,2030,2536,431,6156,7842,538,973,1576,2748,1191,6072,8066,844,8044,3044,268,5147,7041,529,2044,2451,6005,6899,6143,6548,2736,210,7205,2603,2578,6875,7351,2100,1587,6698,5584,1736,5847,7302,3982,6737,433,5551,7194,3708,4523,1604,6199,1907,4390,932,3623,2079,2432,6679,300,6454,415,4635,3283,7835,709,8060,193,6345,3833,6151,3947,7863,2591,8057,2088,5060,3186,1861,2989
11,5844,6674,605,3979,2905,3462,2069,439,3316,471,5067,527,6319,3816,5814,632,8104,4206,2591,2561,1948,2311,7082,4709,2554,778,3779,4771,796,762,7386,3477,7393,2234,3278,3920,7024,5887,1113,6620,5987,463,4910,5006,7664,2098,2669,7879,5731,5535,7041,7099,4769,4566,4001,8056,6381,1728,1073,5599,393,3645,5652,2683,7320,5130,5495,1803,2402,195,2921,5610,3787,1661,5957,1165,1932,5043,569,4447,3905,3571,806,5704,7040,4461,4970,158,7271,1472,829,1111,3257,3035,6623,2326,6278,6941,6894,3587
12,7211,3963,2840,4152,6344,1548,7301,2632,6011,4612,2783,7435,6444,2281,7945,4809,4620,6053,1982,2155,7127,2100,7069,486,6627,1835,5035,4050,7514,6242,1767,820,952,5561,5201,1360,606,7360,7865,4094,3489,943,4985,494,6403,5565,1837,4995,3646,4911,162,5327,4077,1035,5470,3965,8088,5938,4290,7311,5250,5700,3376,2387,3372,6185,863,6976,3229,1531,1852,5633,7263,3476,336,2695,3143,4002,1743,6154,3616,6977,7640,1109,8101,8093,3801,1734,2354,535,2623,7203,3923,4047,4019,6528,1404,318,7737,1879
13,5292,3695,2078,7040,4893,6402,5331,6393,3671,7572,1859,6471,6813,2286,2655,3382,5947,3087,4624,5956,313,6109,1894,7153,6271,3028,3413,272,3462,304,1511,7949,7595,5368,7546,7810,1600,3300,2186,1247,7885,2021,324,2870,6788,3805,7164,5871,3733,3135,110,5936,6154,1411,201,3502,4466,110,2202,4448,201,1846,4497,3149,1036,4478,5865,6856,7149,1861,5369,1316,7882,5529,5883,6091,5213,1756,6332,6872,7420,4637,5389,6076,1555,175,2845,5913,7051,5501,5827,4789,1194,5262,790,1828,1906,7522,3984,439
14,5467,6185,1725,8120,5802,4714,2352,6678,8089,7476,5075,1966,3450,4314,6413,4190,7809,5514,6509,2828,2050,6035,2744,967,3255,5292,358,3170,4232,3535,126,7083,5464,4921,5260,7069,3698,111,1105,1457,1814,7932,6661,2468,2919,872,7871,3932,6845,7959,7793,7569,2015,6022,6913,4024,1562,998,2543,4240,2382,5468,3729,1498,2732,833,5563,5721,7655,7759,536,7535,7570,5261,5213,7459,5016,2144,7025,1550,922,4173,5348,6304,6667,3932,1309,5067,4758,4321,6982,817,6351,487,5558,5062,6236,2587,1813,6088
15,5369,729,1330,524,6148,7283,3482,1896,6715,7966,1616,7470,7956,7171,7914,3918,4311,5009,4943,6477,6906,7683,2924,6664,8033,6955,1866,5272,6232,5466,2043,3663,3493,6516,7535,4630,430,5129,176,4312,7032,4106,7193,3657,3794,2245,7460,423,7420,1453,3894,1363,5321,3293,475,2797,6760,1763,5227,6152,3887,1130,1346,2510,2613,2760,8035,3212,1543,827,380,84,7358,329,1067,3562,1881,5493,3062,3634,5404,5084,1187,5358,2412,7183,3013,3818,4072,4668,5089,781,629,3130,1925,1897,3262,8013,6885,2983
16,7201,492,7063,7865,3448,5474,5719,4958,8021,5997,949,7352,12,2050,1846,5701,3610,388,3252,5777,1152,3975,4109,4690,5622,2014,1638,1741,3045,4097,4036,5285,6453,4977,4806,375,877,2206,2163,6632,6174,5853,1366,3179,4157,2291,3178,949,1377,6036,3356,7524,5288,371,1520,1827,6565,4323,7871,3808,4867,8038,7192,3204,1856,3424,6529,5174,7403,6510,2691,3654,1478,3449,7496,4228,1394,24,7384,7802,6939,1738,7256,2601,1223,6925,2104,2651,2651,559,4358,7758,4688,7051,5547,4881,5158,1458,1101,4382
