,1
0,3431
1,5033
2,4290
3,2743
4,2358
5,3359
6,2071
7,1588
8,3270
9,5323
10,2686
11,3433
12,3854
13,994
14,3158
15,258
16,717
17,364
18,2435
19,3132
20,7954
21,784
22,7037
23,6967
24,6861
25,2164
26,6789
27,4448
28,2219
29,6609
30,1414
31,3621
32,7464
33,1436
34,6883
35,6567
36,4578
37,7056
38,3714
39,6064
40,663
41,4467
42,2795
43,6121
44,5947
45,441
46,4790
47,7198
48,2775
49,6640
50,1661
51,4620
52,3775
53,8033
54,2302
55,6060
56,224
57,5508
58,2005
59,3233
60,435
61,2142
62,1082
63,942
64,2747
65,1123
66,1475
67,8040
68,6659
69,1388
70,5756
71,4286
72,6870
73,8042
74,3387
75,3085
76,7107
77,3661
78,7122
79,4751
80,1332
81,5717
82,4830
83,6994
84,1069
85,5318
86,7046
87,2783
88,5440
89,4559
90,2580
91,6117
92,2825
93,3711
94,6038
95,4684
96,1439
97,2407
98,1152
99,7529
100,2432
101,5264
102,372
103,5113
104,1294
105,1231
106,5283
107,5330
108,4003
109,2772
110,3630
111,611
112,189
113,7352
114,4253
115,7945
116,6430
117,2857
118,7503
119,6507
120,2877
121,5081
122,334
123,1341
124,2464
125,2240
126,6295
127,1704
128,7739
129,4740
130,2468
131,4082
132,5559
133,3954
134,4497
135,5561
136,3035
137,2762
138,3732
139,2250
140,4510
141,1545
142,341
143,7339
144,448
145,6028
146,5490
147,7584
148,3369
149,141
150,4368
151,2052
152,5630
153,7497
154,7041
155,5759
156,3654
157,1118
158,7790
159,6991
160,3862
161,4763
162,706
163,3403
164,4580
165,235
166,4864
167,1719
168,8076
169,4738
170,6498
171,5310
172,6321
173,2161
174,2732
175,7184
176,2969
177,1374
178,1725
179,7720
180,5667
181,5023
182,6105
183,3967
184,5172
185,6668
186,4390
187,5241
188,9
189,764
190,5505
191,4817
192,7526
193,7597
194,6902
195,4469
196,3952
197,4689
198,363
199,4745
200,5441
201,7692
202,5974
203,5405
204,7536
205,3105
206,1241
207,1443
208,3286
209,6532
210,6179
211,8041
212,847
213,5884
214,1856
215,2817
216,3170
217,7798
218,7541
219,3144
220,181
221,4177
222,3493
223,251
224,3438
225,814
226,6389
227,7929
228,388
229,955
230,1380
231,3627
232,4179
233,3782
234,4131
235,4551
236,5333
237,8124
238,528
239,6946
240,7229
241,6017
242,7981
243,6773
244,1059
245,3395
246,3338
247,1389
248,7094
249,2552
250,5685
251,4055
252,3843
253,1275
254,6700
255,3832
256,4810
257,1210
258,6174
259,4041
260,1983
261,7704
262,1516
263,392
264,2234
265,6541
266,7902
267,3478
268,5327
269,8133
270,5706
271,4554
272,2204
273,2364
274,5407
275,7959
276,2487
277,3898
278,7426
279,171
280,144
281,1404
282,4750
283,5474
284,3905
285,7927
286,8011
287,8067
288,1935
289,3554
290,5051
291,4449
292,3224
293,1863
294,3252
295,3540
296,600
297,4460
298,779
299,3448
300,5665
301,5378
302,7780
303,6656
304,5627
305,1157
306,7388
307,1328
308,8103
309,2845
310,161
311,657
312,3593
313,4862
314,340
315,7139
316,1874
317,1365
318,7202
319,4608
320,4235
321,7384
322,1838
323,5541
324,675
325,2104
326,2506
327,2072
328,2221
329,7606
330,7580
331,3902
332,7767
333,7506
334,2983
335,672
336,5658
337,5858
338,7926
339,5472
340,581
341,1664
342,6034
343,785
344,7022
345,1604
346,7099
347,1573
348,599
349,3825
350,642
351,1534
352,4941
353,5843
354,5209
355,1636
356,5682
357,4880
358,6523
359,7918
360,3043
361,2010
362,1390
363,3163
364,7736
365,6941
366,4677
367,2449
368,6457
369,7277
370,7259
371,3218
372,1603
373,2792
374,1862
375,7831
376,5679
377,4192
378,980
379,1176
380,2324
381,3288
382,397
383,5606
384,6195
385,912
386,1858
387,4803
388,7946
389,7557
390,4478
391,1261
392,6973
393,3462
394,4404
395,1768
396,5698
397,5503
398,5041
399,3930
400,5527
401,227
402,2416
403,4498
404,4492
405,7165
406,4905
407,175
408,1010
409,879
410,2140
411,2603
412,6449
413,6286
414,1906
415,4218
416,3013
417,705
418,6477
419,1501
420,5771
421,7098
422,4411
423,7796
424,4663
425,1826
426,5590
427,2124
428,5202
429,6130
430,1694
431,4936
432,2307
433,1548
434,7645
435,7638
436,6375
437,7913
438,5988
439,5194
440,3371
441,10
442,653
443,215
444,3351
445,5028
446,636
447,8082
448,1537
449,6710
450,6825
451,6786
452,1260
453,7797
454,1795
455,2232
456,5307
457,7416
458,614
459,1180
460,5908
461,4119
462,4412
463,612
464,4604
465,4452
466,2578
467,1095
468,7904
469,29
470,5277
471,7807
472,3227
473,2627
474,418
475,6301
476,7967
477,5694
478,6040
479,7746
480,3400
481,4914
482,3494
483,8001
484,7314
485,2134
486,3325
487,6653
488,1564
489,3634
490,7166
491,1307
492,880
493,531
494,752
495,682
496,5221
497,566
498,5634
499,3959
500,2754
501,1453
502,4696
503,4002
504,4160
505,5702
506,4966
507,7880
508,4230
509,6630
510,104
511,8027
512,5055
513,7882
514,7472
515,4645
516,1203
517,1087
518,1805
519,722
520,5810
521,4687
522,1419
523,2260
524,5979
525,5745
526,6529
527,6932
528,4421
529,6372
530,3750
531,3956
532,727
533,6952
534,4513
535,3745
536,2602
537,2742
538,3991
539,5270
540,7396
541,5273
542,3468
543,1354
544,154
545,2423
546,4008
547,7596
548,6315
549,974
550,2519
551,4350
552,4967
553,7783
554,5623
555,1691
556,7012
557,2006
558,6327
559,4470
560,3492
561,3538
562,3890
563,370
564,3531
565,3535
566,3022
567,938
568,5267
569,3907
570,5473
571,6752
572,7520
573,5118
574,4555
575,1989
576,373
577,2976
578,166
579,72
580,7838
581,3115
582,2087
583,7762
584,4403
585,886
586,3620
587,7063
588,5177
589,5643
590,3656
591,6719
592,3168
593,3694
594,1305
595,2434
596,4250
597,6332
598,766
599,5387
600,1991
601,1775
602,5952
603,7210
604,5150
605,2632
606,3624
607,214
608,5457
609,506
610,1309
611,5286
612,5671
613,7804
614,3779
615,819
616,1916
617,2061
618,2377
619,3689
620,4614
621,5353
622,5163
623,4442
624,6906
625,6157
626,5945
627,6988
628,2639
629,1186
630,1697
631,6524
632,804
633,7179
634,1292
635,7510
636,432
637,2122
638,4338
639,2592
640,2216
641,1198
642,2789
643,3980
644,5141
645,5332
646,308
647,6995
648,7308
649,8009
650,7791
651,1484
652,5263
653,5655
654,6154
655,3966
656,7140
657,6576
658,7353
659,4640
660,4773
661,6875
662,4833
663,7156
664,184
665,2429
666,4037
667,2349
668,6143
669,5149
670,6380
671,1532
672,7052
673,1619
674,6785
675,3407
676,1836
677,7995
678,6595
679,7566
680,328
681,6065
682,4933
683,3605
684,7591
685,159
686,7613
687,1642
688,7979
689,888
690,2289
691,4744
692,5374
693,5403
694,3883
695,6666
696,6518
697,2374
698,428
699,5054
700,6151
701,4358
702,2209
703,7509
704,7619
705,6900
706,4742
707,1663
708,3695
709,7425
710,2746
711,3891
712,5046
713,4189
714,2935
715,445
716,4808
717,7371
718,491
719,6613
720,7249
721,2459
722,8101
723,877
724,7014
725,4099
726,3138
727,3921
728,7711
729,2589
730,5230
731,6841
732,7696
733,3333
734,990
735,4673
736,3194
737,4362
738,5103
739,6886
740,5633
741,5253
742,3207
743,7874
744,890
745,3390
746,5834
747,3920
748,6079
749,3699
750,4993
751,3705
752,6495
753,3456
754,1240
755,4770
756,2089
757,5788
758,5443
759,2055
760,2290
761,3347
762,33
763,1273
764,7
765,77
766,6009
767,6330
768,6543
769,2881
770,7318
771,2997
772,4873
773,8003
774,3297
775,7335
776,5659
777,3261
778,4820
779,7670
780,4975
781,911
782,2212
783,5454
784,7273
785,3303
786,146
787,6837
788,7422
789,3266
790,960
791,4713
792,6459
793,1602
794,2863
795,2503
796,2560
797,3260
798,1169
799,978
800,2750
801,2108
802,3771
803,3762
804,7983
805,6585
806,8063
807,6887
808,2987
809,2606
810,4848
811,2335
812,3299
813,1130
814,3294
815,8142
816,1586
817,7889
818,3552
819,336
820,4527
821,5449
822,6455
823,868
824,6396
825,3987
826,5997
827,4142
828,6747
829,6208
830,6764
831,806
832,337
833,354
834,660
835,4718
836,5840
837,1128
838,3465
839,1236
840,1074
841,3134
842,873
843,5999
844,1174
845,3892
846,2133
847,4278
848,6760
849,4930
850,7453
851,5522
852,1640
853,846
854,5695
855,6776
856,244
857,1932
858,8136
859,5711
860,5728
861,6759
862,4036
863,262
864,1808
865,471
866,7539
867,7565
868,2549
869,6265
870,1080
871,1352
872,3062
873,4721
874,310
875,287
876,6311
877,4366
878,2013
879,3472
880,7719
881,586
882,2917
883,6492
884,7856
885,7462
886,5248
887,3853
888,4048
889,8121
890,3860
891,4282
892,7772
893,239
894,6411
895,7143
896,2096
897,7508
898,7835
899,3
900,5501
901,6002
902,7364
903,5896
904,1527
905,5550
906,732
907,3045
908,7039
909,2208
910,6938
911,4562
912,4602
913,7194
914,7761
915,7367
916,5204
917,6968
918,6033
919,6076
920,813
921,5903
922,915
923,7043
924,1204
925,1104
926,2136
927,2020
928,2004
929,7481
930,5677
931,7735
932,3927
933,2798
934,348
935,1262
936,5069
937,7546
938,6658
939,101
940,567
941,3649
942,2248
943,5854
944,7068
945,1288
946,5877
947,2986
948,1549
949,3650
950,3211
951,5971
952,4556
953,2534
954,4083
955,3356
956,3296
957,4529
958,1442
959,3521
960,5666
961,5554
962,3589
963,4879
964,4668
965,1119
966,1712
967,2107
968,1777
969,3056
970,7135
971,5616
972,6828
973,249
974,1635
975,5469
976,4183
977,1918
978,6468
979,2607
980,3766
981,871
982,6601
983,2545
984,2680
985,2139
986,5983
987,2489
988,7193
989,4068
990,6046
991,27
992,6014
993,2873
994,3647
995,8079
996,2839
997,1757
998,1765
999,6772
1000,861
1001,4950
1002,3210
1003,4681
1004,6636
1005,5079
1006,743
1007,4081
1008,6597
1009,4343
1010,1508
1011,1950
1012,7359
1013,7477
1014,6699
1015,6536
1016,3410
1017,1590
1018,1038
1019,5300
1020,6039
1021,6403
1022,4519
1023,7468
1024,3670
1025,2670
1026,7357
1027,2008
1028,3334
1029,5752
1030,7712
1031,2393
1032,4875
1033,3147
1034,7599
1035,6316
1036,3950
1037,8129
1038,7177
1039,6139
1040,2918
1041,112
1042,4247
1043,7911
1044,398
1045,745
1046,4471
1047,3063
1048,6818
1049,7849
1050,7209
1051,3054
1052,5215
1053,7898
1054,1585
1055,6482
1056,122
1057,4378
1058,8022
1059,3428
1060,7657
1061,4504
1062,3580
1063,7080
1064,7660
1065,1539
1066,3607
1067,5596
1068,6200
1069,3713
1070,6221
1071,6209
1072,5132
1073,7243
1074,7747
1075,4219
1076,3747
1077,6444
1078,560
1079,678
1080,3686
1081,2926
1082,7957
1083,7162
1084,3392
1085,1086
1086,216
1087,4226
1088,2357
1089,2874
1090,4887
1091,2840
1092,59
1093,6302
1094,2419
1095,1966
1096,3427
1097,7442
1098,4925
1099,5642
1100,2952
1101,7846
1102,6754
1103,5222
1104,8058
1105,4074
1106,512
1107,4934
1108,3169
1109,1705
1110,3692
1111,3366
1112,5197
1113,4117
1114,7561
1115,2712
1116,1783
1117,2201
1118,7432
1119,5183
1120,5917
1121,2277
1122,6289
1123,6672
1124,4211
1125,3429
1126,2490
1127,6892
1128,918
1129,6757
1130,3434
1131,1386
1132,2303
1133,3546
1134,2264
1135,1920
1136,7356
1137,6299
1138,4664
1139,444
1140,590
1141,3875
1142,4118
1143,2577
1144,1876
1145,4630
1146,7716
1147,6052
1148,8054
1149,2119
1150,7653
1151,3341
1152,234
1153,4013
1154,3788
1155,1927
1156,119
1157,1473
1158,4903
1159,1850
1160,2739
1161,3007
1162,6312
1163,2003
1164,5157
1165,4913
1166,6977
1167,2635
1168,952
1169,5152
1170,2730
1171,7145
1172,5216
1173,2941
1174,7224
1175,5331
1176,4025
1177,1467
1178,1283
1179,1102
1180,6880
1181,7974
1182,7966
1183,3222
1184,8077
1185,1269
1186,3279
1187,2705
1188,7401
1189,6954
1190,7769
1191,6357
1192,544
1193,3275
1194,2424
1195,2391
1196,115
1197,7222
1198,3384
1199,5853
1200,3177
1201,4107
1202,4574
1203,13
1204,5032
1205,5155
1206,4834
1207,6748
1208,8064
1209,6559
1210,2827
1211,2949
1212,5962
1213,264
1214,6682
1215,6252
1216,1821
1217,3437
1218,338
1219,5252
1220,3932
1221,7322
1222,6351
1223,4674
1224,774
1225,2159
1226,1109
1227,2660
1228,2722
1229,5757
1230,2676
1231,4134
1232,5780
1233,6717
1234,5748
1235,3255
1236,6120
1237,2363
1238,4124
1239,6783
1240,7507
1241,23
1242,6216
1243,3039
1244,4791
1245,2069
1246,1825
1247,7989
1248,6328
1249,2550
1250,5549
1251,3024
1252,5210
1253,1709
1254,7476
1255,5192
1256,2451
1257,1971
1258,5588
1259,5420
1260,6917
1261,2138
1262,5973
1263,1940
1264,5463
1265,2306
1266,7544
1267,7632
1268,3539
1269,575
1270,548
1271,7650
1272,3330
1273,1401
1274,8132
1275,3561
1276,6337
1277,1778
1278,7939
1279,1488
1280,6053
1281,5335
1282,5886
1283,6766
1284,2647
1285,1222
1286,460
1287,5448
1288,7158
1289,5083
1290,3313
1291,5692
1292,7968
1293,6629
1294,3417
1295,7999
1296,5609
1297,6692
1298,3459
1299,4901
1300,6112
1301,5433
1302,1660
1303,6145
1304,6542
1305,6556
1306,1247
1307,2021
1308,4033
1309,4014
1310,6847
1311,1143
1312,3885
1313,6925
1314,2693
1315,6081
1316,3993
1317,7703
1318,5894
1319,2687
1320,5096
1321,68
1322,2679
1323,2735
1324,5807
1325,3896
1326,6247
1327,2047
1328,3078
1329,791
1330,4899
1331,7124
1332,266
1333,2948
1334,302
1335,3636
1336,5272
1337,3354
1338,1337
1339,7598
1340,2621
1341,1505
1342,352
1343,2957
1344,6631
1345,6835
1346,2398
1347,6836
1348,5434
1349,7439
1350,3637
1351,1116
1352,6044
1353,3818
1354,6702
1355,891
1356,6270
1357,4739
1358,7917
1359,3016
1360,4822
1361,1190
1362,6872
1363,1577
1364,6369
1365,7587
1366,7086
1367,4617
1368,7266
1369,7303
1370,6930
1371,3362
1372,7710
1373,2273
1374,3301
1375,2330
1376,4172
1377,1083
1378,326
1379,5604
1380,601
1381,4706
1382,8059
1383,3871
1384,630
1385,835
1386,1208
1387,7919
1388,197
1389,2351
1390,5027
1391,3830
1392,5254
1393,8006
1394,1251
1395,6489
1396,6391
1397,5009
1398,6660
1399,2326
1400,6893
1401,6516
1402,1281
1403,3021
1404,7528
1405,3915
1406,6987
1407,4545
1408,1424
1409,3798
1410,3748
1411,3064
1412,681
1413,3396
1414,5470
1415,7588
1416,8095
1417,2007
1418,4923
1419,3223
1420,4457
1421,2077
1422,1646
1423,8039
1424,6278
1425,3674
1426,6248
1427,7431
1428,5760
1429,7469
1430,6109
1431,8098
1432,2677
1433,6370
1434,3913
1435,3319
1436,603
1437,4281
1438,4106
1439,8050
1440,4537
1441,3780
1442,4080
1443,609
1444,5060
1445,2902
1446,4052
1447,6212
1448,6784
1449,7113
1450,3811
1451,2462
1452,2065
1453,685
1454,7101
1455,7760
1456,7878
1457,6992
1458,1230
1459,7864
1460,4932
1461,3970
1462,7386
1463,2466
1464,8078
1465,7643
1466,7977
1467,7535
1468,3289
1469,4060
1470,7265
1471,7253
1472,7267
1473,2971
1474,5982
1475,7106
1476,3176
1477,1851
1478,7025
1479,7991
1480,1033
1481,350
1482,134
1483,1446
1484,3838
1485,5929
1486,6744
1487,3497
1488,1605
1489,1470
1490,150
1491,3736
1492,203
1493,6073
1494,5497
1495,5294
1496,7802
1497,5870
1498,2057
1499,7578
1500,6869
1501,1032
1502,43
1503,3526
1504,2367
1505,4819
1506,292
1507,7750
1508,1688
1509,3965
1510,128
1511,6078
1512,5007
1513,5846
1514,7745
1515,4550
1516,7152
1517,6353
1518,4034
1519,2854
1520,8086
1521,8096
1522,2239
1523,4373
1524,71
1525,3269
1526,1758
1527,1124
1528,3515
1529,1701
1530,5512
1531,4543
1532,6119
1533,7894
1534,7123
1535,5862
1536,2012
1537,6864
1538,875
1539,3570
1540,3236
1541,7247
1542,6096
1543,2442
1544,4400
1545,4150
1546,170
1547,1633
1548,4727
1549,6807
1550,7059
1551,6254
1552,3974
1553,3642
1554,2182
1555,863
1556,4103
1557,5496
1558,5557
1559,5543
1560,6641
1561,4865
1562,2614
1563,4945
1564,2933
1565,5933
1566,2629
1567,6907
1568,4906
1569,7077
1570,8
1571,3454
1572,4401
1573,8108
1574,6587
1575,4707
1576,6698
1577,465
1578,6229
1579,5356
1580,966
1581,3799
1582,5319
1583,5106
1584,5792
1585,5794
1586,676
1587,344
1588,4610
1589,4475
1590,5127
1591,2586
1592,1535
1593,7871
1594,3424
1595,5278
1596,7812
1597,1870
1598,7768
1599,7343
1600,4436
1601,208
1602,4703
1603,4053
1604,5991
1605,113
1606,3858
1607,3712
1608,2165
1609,4700
1610,2790
1611,7082
1612,6508
1613,1970
1614,433
1615,6838
1616,182
1617,2785
1618,3884
1619,8023
1620,1003
1621,540
1622,4829
1623,4867
1624,6610
1625,5580
1626,345
1627,358
1628,1486
1629,6152
1630,6614
1631,1255
1632,6493
1633,1620
1634,2737
1635,4821
1636,8072
1637,86
1638,6253
1639,2866
1640,1075
1641,7199
1642,5956
1643,1041
1644,3441
1645,443
1646,775
1647,2175
1648,6884
1649,8130
1650,1729
1651,1343
1652,278
1653,1474
1654,4876
1655,464
1656,2581
1657,5689
1658,295
1659,4093
1660,3684
1661,7003
1662,5914
1663,7677
1664,3060
1665,997
1666,5725
1667,3963
1668,923
1669,5040
1670,4669
1671,4642
1672,2015
1673,3909
1674,5360
1675,3548
1676,6796
1677,3167
1678,7564
1679,5953
1680,2731
1681,6223
1682,7443
1683,3609
1684,4516
1685,478
1686,5811
1687,5140
1688,6362
1689,318
1690,1555
1691,2444
1692,2599
1693,811
1694,4364
1695,3828
1696,7460
1697,6122
1698,8016
1699,6022
1700,816
1701,5037
1702,7718
1703,2329
1704,3835
1705,3160
1706,2431
1707,6618
1708,1861
1709,5755
1710,5942
1711,3809
1712,6568
1713,6843
1714,2749
1715,6729
1716,5268
1717,6467
1718,2500
1719,3046
1720,3446
1721,2482
1722,2995
1723,5700
1724,5683
1725,2115
1726,6839
1727,1019
1728,3466
1729,4277
1730,7839
1731,5648
1732,1926
1733,4661
1734,4190
1735,2810
1736,2720
1737,2376
1738,162
1739,4566
1740,4223
1741,7903
1742,3558
1743,47
1744,5565
1745,3918
1746,691
1747,1734
1748,4842
1749,4341
1750,3066
1751,5478
1752,5385
1753,4346
1754,187
1755,896
1756,1358
1757,2702
1758,8056
1759,2860
1760,1659
1761,3047
1762,3846
1763,4894
1764,1710
1765,6856
1766,5395
1767,7848
1768,3089
1769,573
1770,5816
1771,6405
1772,4085
1773,6490
1774,4940
1775,527
1776,488
1777,6387
1778,1715
1779,2149
1780,1522
1781,6652
1782,1282
1783,1960
1784,3744
1785,6591
1786,876
1787,4772
1788,7182
1789,6475
1790,7079
1791,7795
1792,1179
1793,8035
1794,1367
1795,3975
1796,4360
1797,4121
1798,7045
1799,4304
1800,5720
1801,4733
1802,7418
1803,7609
1804,1507
1805,5170
1806,1344
1807,1622
1808,2018
1809,3633
1810,2258
1811,323
1812,98
1813,5218
1814,1649
1815,8020
1816,1899
1817,7950
1818,1289
1819,3759
1820,7763
1821,7403
1822,6
1823,3994
1824,437
1825,1571
1826,3036
1827,6727
1828,4234
1829,7794
1830,2023
1831,5761
1832,4344
1833,2793
1834,4381
1835,3033
1836,6083
1837,3124
1838,486
1839,4334
1840,4326
1841,1268
1842,2999
1843,3378
1844,5181
1845,7734
1846,7518
1847,1696
1848,4927
1849,6149
1850,894
1851,2899
1852,2819
1853,3495
1854,4115
1855,610
1856,6621
1857,7630
1858,3536
1859,5460
1860,7149
1861,3413
1862,6499
1863,6258
1864,3522
1865,7009
1866,8038
1867,289
1868,5090
1869,1346
1870,5255
1871,4205
1872,6255
1873,5841
1874,7048
1875,1249
1876,3001
1877,2255
1878,2669
1879,5777
1880,5880
1881,7810
1882,6890
1883,7376
1884,1895
1885,3074
1886,5414
1887,947
1888,6514
1889,5498
1890,7127
1891,7398
1892,5084
1893,1857
1894,3596
1895,8004
1896,7937
1897,3819
1898,497
1899,3681
1900,2655
1901,5031
1902,5206
1903,6296
1904,107
1905,3380
1906,4563
1907,2002
1908,1521
1909,3592
1910,121
1911,572
1912,2848
1913,5972
1914,5482
1915,7178
1916,4889
1917,3084
1918,5229
1919,3821
1920,3611
1921,2457
1922,3988
1923,4249
1924,7685
1925,4406
1926,6128
1927,2017
1928,362
1929,7111
1930,6989
1931,3504
1932,36
1933,1670
1934,6069
1935,2516
1936,5265
1937,1967
1938,6126
1939,3061
1940,6642
1941,4402
1942,7511
1943,7857
1944,2861
1945,7905
1946,8090
1947,2998
1948,5785
1949,679
1950,462
1951,108
1952,335
1953,1200
1954,7031
1955,892
1956,5968
1957,6531
1958,5168
1959,1432
1960,6098
1961,3873
1962,6650
1963,2682
1964,8002
1965,2865
1966,3156
1967,5912
1968,7498
1969,5290
1970,7368
1971,5416
1972,1202
1973,4619
1974,3801
1975,6775
1976,7837
1977,6697
1978,382
1979,3212
1980,798
1981,7085
1982,795
1983,767
1984,6829
1985,2319
1986,7887
1987,1317
1988,5686
1989,4484
1990,2587
1991,4468
1992,6878
1993,5772
1994,6181
1995,1002
1996,3500
1997,4851
1998,2546
1999,231
2000,7112
2001,7358
2002,44
2003,4140
2004,6943
2005,5004
2006,3414
2007,4125
2008,485
2009,7585
2010,1154
2011,2425
2012,7752
2013,4374
2014,6359
2015,3804
2016,1667
2017,6426
2018,439
2019,3458
2020,5905
2021,5026
2022,4775
2023,3443
2024,4169
2025,2678
2026,2180
2027,6738
2028,4530
2029,6415
2030,5212
2031,5582
2032,4019
2033,8053
2034,2751
2035,4339
2036,7955
2037,6233
2038,5190
2039,5121
2040,3524
2041,446
2042,3087
2043,4589
2044,5819
2045,5328
2046,4432
2047,3090
2048,500
2049,50
2050,2697
2051,5261
2052,4011
2053,8019
2054,2418
2055,543
2056,1330
2057,3889
2058,6667
2059,4849
2060,3881
2061,2081
2062,1762
2063,5372
2064,2913
2065,6358
2066,3475
2067,2704
2068,168
2069,1785
2070,4854
2071,1686
2072,4331
2073,7589
2074,4298
2075,4379
2076,6207
2077,7832
2078,5583
2079,7147
2080,6425
2081,4859
2082,843
2083,1618
2084,2912
2085,2078
2086,2685
2087,2371
2088,6272
2089,4239
2090,5836
2091,4396
2092,4586
2093,5597
2094,7699
2095,8141
2096,7445
2097,5225
2098,6368
2099,3285
2100,2498
2101,6663
2102,1648
2103,7375
2104,505
2105,7567
2106,2956
2107,2514
2108,2821
2109,5680
