,1,2,3,4,5,6,7,8,9,10
0,2421,2460,6475,3432,6106,4817,7353,5722,2997,6367
1,7709,5881,1474,5731,4682,3691,6485,8106,956,731
2,1083,1213,3242,2238,4636,7379,1316,4570,6136,28
3,5452,8012,4922,6507,7130,2342,7698,773,2949,532
4,5027,2468,1926,7198,7034,1022,5439,3319,4115,1320
5,8071,4761,6337,4280,6709,2322,6868,7312,4401,4286
6,7635,603,2305,5178,2374,4180,540,6124,819,4718
7,7126,7660,7589,104,6021,7452,6282,4912,132,6036
8,6256,3108,4431,7696,5036,3476,6435,303,5042,3484
9,3313,4157,5707,2206,957,2328,6145,7502,7920,4121
10,608,4380,1854,207,5286,4352,8092,7914,2572,4558
11,4140,5861,1003,1545,3010,5792,6672,1066,3232,4714
12,5756,5366,4830,6832,5473,3183,1220,7346,5215,7379
13,5008,6220,5442,4796,3393,4789,5144,8072,3549,394
14,1712,5542,3597,7083,4612,4279,7947,1178,829,1238
15,2261,1381,5924,1039,407,7059,1014,2246,395,1947
16,4966,2430,2183,7284,2395,4232,3940,3156,5115,5257
17,4462,1190,7336,5848,4821,245,984,1914,4489,3093
18,5712,912,4676,6460,7206,5254,5305,6831,6488,4334
19,7671,6607,3343,4135,3310,6900,1167,4344,5467,5623
20,1525,2336,725,2450,3678,905,7573,5476,5606,1207
21,4337,736,3763,2348,7485,7106,7091,5798,5579,3265
22,3067,3990,7583,7335,6103,4507,4049,5054,138,2380
23,7708,4359,4812,5620,7262,1472,1226,432,5452,6158
24,3209,5968,2910,7448,5783,1449,2506,3565,5262,4873
25,215,1809,3268,7813,3814,7256,6515,5813,2041,2317
26,2802,3069,5529,4469,4673,5280,10,6421,5762,2259
27,2238,7930,3407,3383,7337,4960,1120,2510,4993,3122
28,4789,1603,4409,5607,3571,5750,4085,6428,3068,6621
29,7736,6811,6137,7479,8067,2291,4061,5555,7354,3517
30,7352,5345,6102,4626,7779,635,6657,3024,1435,1697
31,4766,6907,4965,6916,3123,6876,1533,2134,4134,7570
32,2584,6078,2044,7162,4259,4780,4108,3844,5541,5249
33,4116,2345,6308,6532,2372,7603,4980,1294,1231,1974
34,5217,6849,2831,7980,8091,533,6815,5195,4978,7327
35,4787,7919,356,7644,3720,7985,675,6987,5069,3633
36,8011,7710,2404,8005,5383,7091,5406,6372,3435,922
37,3834,2673,6325,3187,2824,1012,5204,5340,4162,2829
