,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,2872,4304,7777,5742,8023,4587,781,5105,5866,6103,3045,6179,4682,1590,4675,4842,5474,7134,2456,2816,2569,357,575,6687,5525,58,5470,5242,7184,365,875,3328,7197,4800,3801,6674,144,633,6057,405,2806,6207,3545,4253,2961,3217,4761,2652,5304,1095,460,815,3281,8116,561,3260,7694,533,7936,1926,6386,5221,86,3322,223,583,6076,3311,4201,8085,3231,4736,7934,2685,8142,2445,7237,7908,3791,2726,1149,5829,272,7109,3951,1530,3590,3697,7707,1242,6262,385,4432,6421,1453,7749,4863,7242,389,431
1,6624,6571,2148,4015,6192,1390,7559,5296,7858,1528,5546,2319,4180,6709,7856,5438,6226,4318,144,4245,2464,6411,4413,4966,3778,1451,853,3165,3019,2576,5475,3230,498,6029,7847,95,798,5525,4066,7058,366,2760,854,7016,6510,2568,6454,5247,3025,7893,2256,8093,7390,247,5317,7459,4168,2575,1654,7099,2317,5153,6910,3983,6496,2806,810,6642,1256,2047,7483,1884,6139,1252,1120,6803,5075,2069,7403,2658,7900,248,2462,8115,6634,6789,6526,793,3013,3914,2877,6176,3165,2680,5517,2054,2974,2968,774,7760
2,6642,7453,5946,3207,3573,6678,4370,4998,371,2199,2181,5306,1843,227,7246,2666,7542,3954,904,728,6017,7215,2722,6840,7457,1731,3214,7987,6761,933,2156,7170,2943,6149,2554,4423,6824,6364,8007,5012,2247,3786,3240,6143,7702,1854,3564,5856,3557,2615,6524,863,3076,7724,5305,2832,623,2916,2091,269,3396,395,4700,6250,2050,3417,1480,300,6540,3541,8127,7860,3146,2367,1029,6284,3468,2429,3982,4180,2795,7877,5307,5068,7332,5215,1178,6572,4334,3854,6137,1909,2685,3161,7449,4402,5478,2369,4093,3020
3,5918,4178,2561,5634,7358,5845,5437,249,3913,6193,2464,5216,2144,1918,1255,2184,4000,3473,7040,825,7615,2293,6548,7990,5537,1035,4869,5612,3301,3671,3982,4213,1908,4191,2708,2392,491,3618,6212,6383,5930,204,2102,4392,783,6368,2575,7973,3684,1135,829,2122,5538,4593,8030,1017,6293,5679,6106,1281,3216,4657,2757,3246,1802,3046,1723,2260,6792,382,4953,6626,7917,2490,6539,1548,968,594,4328,6500,947,4374,5514,8114,6683,2099,3087,2933,4837,5094,1198,4439,2836,7701,6040,2670,345,3888,6243,1500
4,7164,4805,5429,6360,295,3706,1640,3478,5326,3085,3151,5669,5278,162,915,5428,6222,4464,3191,5025,7933,1983,6573,6875,8068,4691,2833,1066,3332,930,159,4345,1926,7416,7747,6614,3548,1829,748,1269,984,2485,489,2486,4874,5710,5524,6833,3689,2930,7031,4065,5245,3797,5297,5802,764,6791,7190,7829,5113,4227,4559,4947,1390,2277,8079,3038,1861,4789,2780,4674,1071,4679,5354,3592,212,1314,5080,3265,4640,4954,4915,63,4028,6935,2323,7619,1537,1407,7386,2351,5904,7009,957,5216,5013,4539,6223,3693
5,1842,802,298,7286,5131,2774,3405,243,2443,7307,3163,1824,4081,749,5929,3431,1214,1636,5145,8005,2490,6576,6403,6017,3811,5516,5434,3433,5366,2211,3121,2776,267,2878,7987,5297,4921,2076,3277,7374,2505,5751,5964,6653,6774,927,49,6485,2326,91,728,6055,6963,3770,3123,4173,5045,7466,6851,6895,6486,4592,1656,3994,560,7990,2282,3298,2923,578,7301,1288,5723,4431,1052,2792,285,4976,1510,7311,5094,7967,3701,280,6202,460,5682,7668,1742,2605,2054,4571,62,6032,1409,5307,6761,4745,810,3586
6,410,6407,100,1606,3856,5600,2109,1141,5292,4472,4846,3261,2952,445,4941,2251,5104,96,1929,7969,5579,5047,3942,4142,7118,1276,5152,6526,2004,7450,7476,3511,4565,5413,1186,75,6285,3239,3642,6899,743,1433,8040,2850,788,5650,5143,4006,2038,5310,3496,2137,7072,6196,1407,5698,3926,6264,976,2081,4609,3106,867,768,3210,588,5742,367,1392,4712,2829,1632,3699,2072,3756,5214,2071,7990,5458,3767,7725,7984,4419,4941,8052,7618,5115,1501,2805,2351,3781,1257,8111,6354,165,6410,1203,2069,143,1873
7,7368,7595,6090,1218,902,7211,6221,3952,5407,92,7548,3772,7424,1772,679,7991,2422,7335,1811,188,3578,1595,4416,7063,3847,943,2861,7649,3489,7350,7158,1077,719,783,2099,2782,6006,4103,8091,998,2890,7956,1925,7789,4496,3342,5232,7752,3467,319,903,2628,7775,462,1999,861,755,2672,6778,7827,3693,6726,5424,8050,286,4157,7779,2406,2972,4308,6146,3409,4476,5540,2730,4632,4935,6923,4483,2224,7785,3,1900,2959,399,485,7519,5730,702,2200,7685,6354,172,926,4732,4771,5350,1467,6207,5186
8,2399,1018,7485,3509,2542,306,2528,6439,4484,4676,6443,5437,5517,6538,3129,2822,5672,3973,8084,7548,7137,169,935,4842,4456,3630,7516,5254,7518,867,6020,596,4578,507,1250,2325,2373,4618,2516,1070,1287,656,1079,1381,2367,6736,3870,4275,6376,5861,2325,4581,4838,1552,5102,7657,2816,1153,412,7105,4366,1236,7682,7074,1277,4678,4976,1302,1853,2478,1622,1342,8108,3704,535,506,4536,5107,1532,4444,1456,4843,7800,4876,6248,1163,320,1589,7867,2688,6268,5687,2747,1714,5471,7535,4418,6504,4337,7543
9,6971,7079,422,5258,6215,2671,2026,4788,2979,861,3091,3736,2009,4215,1707,4687,7955,5755,8057,3833,7566,2172,2523,6353,6227,4538,5925,5781,2882,7198,3335,7594,940,5577,4526,5898,6209,4109,6515,5321,762,7479,2018,225,129,7783,1775,3776,7856,7979,3424,4072,7805,3729,814,5311,4500,5611,7529,2205,5784,7722,601,7526,1228,4778,5238,6725,2557,4020,4186,5853,7533,2377,176,6207,805,5365,2129,5418,4662,7950,859,162,1716,2594,3104,740,4352,7372,7088,5136,7718,607,7606,3400,5952,6648,3989,7053
10,1156,4770,818,369,6143,7268,4765,4291,352,6950,4114,4459,2185,3283,7221,2316,7321,152,5662,134,4389,847,4842,4124,3103,3534,2994,579,404,4857,559,5868,5053,839,8104,5951,5667,7702,5562,8107,5238,5633,5140,6990,6724,3873,4673,6221,5485,4307,5281,7601,8132,4391,6281,6424,6850,7981,1914,785,7858,6992,5226,6184,4399,1693,601,3945,5937,7761,5599,2527,4705,5053,6322,567,3572,443,6034,3482,7464,2142,7470,2115,2632,7828,5291,6997,3193,4770,600,797,7854,626,5986,5413,544,7791,5209,5925
11,3610,5702,6035,6800,307,7970,415,5343,1670,135,1282,309,6322,5057,3982,7938,1997,764,3470,7706,3714,480,5360,1060,4061,7087,1506,6479,1185,1988,3502,5951,1002,5248,5029,7676,1705,5113,7979,7363,2011,2465,4636,5778,7273,1874,6033,450,5373,7198,1393,6774,5296,7034,7979,2277,7865,3741,1324,108,2398,2531,4216,5119,4015,1161,3105,3869,3727,5337,3059,2485,3059,6238,7259,4909,5036,3909,2903,7294,4916,5318,753,5936,6765,5800,4457,1570,7571,4096,6229,1740,6706,3851,2991,6828,7526,5689,8002,6169
