,1
0,548
1,407
2,146
3,104
4,673
5,261
6,206
7,692
8,656
9,638
10,54
11,510
12,624
13,114
14,205
15,327
16,266
17,197
18,437
19,553
20,276
21,573
22,344
23,583
24,326
25,560
26,64
27,128
28,597
29,303
30,318
31,471
32,87
33,84
34,432
35,49
36,366
37,438
38,460
39,722
40,448
41,210
42,32
43,10
44,370
45,610
46,704
47,644
48,414
49,16
50,283
51,444
52,482
53,124
54,182
55,473
56,105
57,674
58,184
59,503
60,80
61,524
62,262
63,31
64,337
65,349
66,590
67,215
68,450
69,601
70,263
71,742
72,594
73,579
74,258
75,217
76,602
77,242
78,232
79,301
80,756
81,269
82,511
83,431
84,368
85,44
86,765
87,21
88,246
89,126
90,500
91,711
92,135
93,127
94,26
95,447
96,321
97,555
98,477
99,82
100,743
101,443
102,278
103,35
104,423
105,662
106,88
107,652
108,459
109,578
110,505
111,422
112,475
113,688
114,679
115,4
116,575
117,758
118,353
119,178
120,40
121,39
122,427
123,260
124,30
125,23
126,28
127,609
128,91
129,354
130,635
131,630
132,582
133,748
134,626
135,328
136,571
137,490
138,357
139,118
140,552
141,526
142,731
143,498
144,198
145,669
146,132
147,633
148,299
149,701
150,149
151,628
152,247
153,66
154,720
155,329
156,3
157,147
158,591
159,382
160,308
161,294
162,620
163,668
164,754
165,377
166,160
167,324
168,307
169,248
170,213
171,194
172,481
173,220
174,170
175,455
176,483
177,179
178,290
179,93
180,659
181,312
182,737
183,696
184,18
185,338
186,622
187,152
188,714
189,396
190,681
191,744
192,663
193,97
194,467
195,293
196,485
197,678
198,56
199,95
200,556
201,129
202,690
203,50
204,274
205,509
206,535
207,699
208,543
209,231
210,83
211,446
212,512
213,600
214,534
215,204
216,359
217,113
218,364
219,567
220,24
221,739
222,587
223,345
224,273
225,306
226,682
227,193
228,25
229,75
230,680
231,108
232,499
233,436
234,570
235,189
236,421
237,335
238,741
239,474
240,657
241,719
242,439
243,325
244,110
245,155
246,11
247,268
248,623
249,702
250,736
251,51
252,186
253,671
254,734
255,371
256,302
257,384
258,365
259,164
260,430
261,34
262,265
263,279
264,115
265,392
266,577
267,94
268,705
269,465
270,150
271,76
272,493
273,131
274,523
275,136
276,542
277,766
278,62
279,92
280,402
281,6
282,133
283,735
284,19
285,211
286,641
287,617
288,343
289,391
290,9
291,429
292,676
293,745
294,22
295,599
296,46
297,374
298,592
299,478
300,119
301,554
302,411
303,580
304,463
305,528
306,154
307,295
308,252
309,69
310,378
311,532
312,381
313,372
314,564
315,33
316,0
317,658
318,221
319,585
320,625
321,725
322,253
323,747
324,759
325,650
326,563
327,713
328,187
329,286
330,632
331,296
332,496
333,536
334,209
335,604
336,117
337,386
338,672
339,721
340,68
341,653
342,281
343,81
344,256
345,640
346,161
347,85
348,315
349,102
350,529
351,227
352,718
353,693
354,90
355,649
356,339
357,732
358,112
359,502
360,141
361,401
362,629
363,238
364,410
365,236
366,323
367,517
368,418
369,107
370,297
371,445
372,565
373,230
374,140
375,237
376,558
377,527
378,661
379,581
380,472
381,298
382,241
383,101
