,1,2,3,4,5,6,7,8,9,10
0,298,531,593,766,695,731,272,374,673,448
1,154,280,131,652,56,133,67,293,458,755
2,412,27,446,508,378,54,586,663,694,729
3,692,692,276,545,529,727,618,340,161,283
4,671,551,67,158,277,331,543,46,81,60
5,744,465,672,450,521,417,139,35,630,521
6,613,276,212,223,160,95,737,698,179,580
7,201,659,646,297,270,700,194,599,226,281
8,237,42,441,256,342,465,186,31,112,102
9,737,733,75,97,394,435,6,296,126,468
10,551,370,669,664,658,758,73,696,119,294
11,225,116,138,87,50,305,670,188,349,393
12,50,741,660,57,32,316,448,28,374,120
13,314,292,380,303,347,210,526,759,217,235
14,455,487,13,274,679,642,50,118,110,346
15,174,100,47,691,167,205,469,321,372,701
16,199,94,453,519,618,261,3,177,620,64
17,466,59,505,308,311,250,410,359,7,286
18,376,175,741,231,131,347,390,654,354,378
19,417,298,310,579,578,39,247,669,525,730
20,483,425,275,284,757,432,403,197,761,511
21,58,681,156,113,239,672,718,41,625,108
22,9,661,642,374,591,765,79,301,549,538
23,16,332,133,741,526,684,587,657,711,142
24,0,289,340,168,156,436,431,109,551,717
25,206,399,750,124,627,195,762,250,361,604
26,155,546,24,76,185,173,397,653,106,86
27,73,274,248,115,706,591,699,709,251,481
28,494,497,466,44,446,450,557,231,385,274
29,452,285,622,90,660,230,288,452,373,138
30,42,55,143,130,323,683,192,623,464,695
31,382,300,644,62,508,220,302,688,727,524
32,643,382,715,301,540,156,252,134,706,400
33,136,673,744,147,501,81,693,594,477,27
34,90,732,470,135,460,58,669,575,405,139
35,701,155,478,358,4,405,142,589,292,368
36,59,545,174,201,523,695,87,736,319,525
37,28,145,291,347,48,160,686,742,141,509
38,667,626,218,677,85,203,72,154,143,398
39,660,718,220,475,559,443,9,745,324,662
40,600,84,421,228,541,343,10,593,303,3
41,516,502,549,601,373,380,14,631,520,82
42,469,185,58,564,321,588,502,281,280,743
43,477,638,494,708,577,716,317,67,687,155
44,92,114,724,289,672,669,490,477,526,728
45,425,56,757,411,408,724,648,65,521,464
46,481,281,560,576,357,193,86,26,700,537
47,320,691,370,596,377,706,540,339,748,199
48,299,579,93,686,503,341,238,758,543,648
49,458,207,736,458,242,653,715,640,121,76
50,557,177,682,587,720,737,424,712,338,132
51,177,416,23,607,738,183,298,720,108,507
52,43,239,61,173,596,236,51,756,242,489
53,38,330,689,493,253,714,508,615,186,624
54,253,115,148,731,677,675,299,256,77,352
55,438,255,571,598,640,445,34,634,755,332
56,34,324,632,473,18,11,233,350,8,403
57,81,4,655,350,689,487,41,302,756,141
58,475,712,643,98,46,623,704,32,454,566
59,327,621,427,82,44,199,127,601,538,667
60,363,75,245,485,751,610,538,591,440,122
61,631,89,461,207,200,231,137,141,444,578
