,1
0,226
1,637
2,667
3,196
4,586
5,249
6,174
7,546
8,8
9,413
10,313
11,379
12,177
13,695
14,341
15,73
16,334
17,185
18,167
19,63
20,156
21,17
22,60
23,369
24,138
25,358
26,219
27,176
28,412
29,224
30,53
31,664
32,244
33,605
34,388
35,300
36,333
37,134
38,697
39,103
40,452
41,235
42,89
43,753
44,331
45,79
46,488
47,145
48,507
49,694
50,464
51,280
52,440
53,304
54,123
55,611
56,20
57,584
58,2
59,515
60,144
61,190
62,223
63,355
64,350
65,684
66,171
67,614
68,521
69,250
70,480
71,159
72,175
73,139
74,202
75,547
76,27
77,289
78,225
79,469
80,373
81,589
82,130
83,569
84,305
85,188
86,435
87,165
88,655
89,65
90,292
91,654
92,449
93,636
94,751
95,550
96,347
97,618
98,14
99,666
100,749
101,519
102,727
103,106
104,495
105,643
106,486
107,588
108,191
109,55
110,686
111,494
112,234
113,277
114,691
115,645
116,346
117,484
118,38
119,642
120,67
121,229
122,200
123,137
124,398
125,733
126,389
127,730
128,456
129,15
130,537
131,530
132,598
133,288
134,522
135,142
136,476
137,125
138,367
139,121
140,74
141,487
142,708
143,275
144,740
145,551
146,71
147,29
148,284
149,362
150,375
151,270
152,574
153,726
154,728
155,13
156,12
157,173
158,408
159,37
160,607
161,245
162,545
163,514
164,52
165,166
166,59
167,100
168,703
169,433
170,70
171,683
172,426
173,404
174,395
175,168
176,1
177,43
178,420
179,336
180,228
181,208
182,539
183,5
184,264
185,41
186,214
187,613
188,99
189,317
190,606
191,541
192,612
193,454
194,148
195,508
196,78
197,183
198,153
199,419
200,428
201,717
202,757
203,207
204,700
205,255
206,409
207,520
208,497
209,559
210,764
211,77
212,631
213,513
214,36
215,251
216,441
217,380
218,116
219,48
220,670
221,451
222,665
223,458
224,163
225,311
226,544
227,267
228,593
229,416
230,660
231,619
232,710
233,271
234,58
235,111
236,425
237,453
238,685
239,316
240,240
241,647
242,192
243,434
244,752
245,566
246,724
247,72
248,218
249,310
250,504
251,212
252,501
253,86
254,457
255,109
256,405
257,291
258,729
259,698
260,491
261,634
262,332
263,461
264,755
265,57
266,201
267,596
268,397
269,360
270,533
271,616
272,715
273,403
274,568
275,272
276,576
277,608
278,282
279,677
280,259
281,385
282,340
283,169
284,7
285,506
286,689
287,595
288,356
289,390
290,406
291,562
292,351
293,143
294,352
295,531
296,687
297,122
298,549
299,394
300,761
301,603
302,393
303,760
304,157
305,45
306,738
307,342
308,162
309,709
310,195
311,675
312,572
313,180
314,479
315,712
316,442
317,557
318,376
319,96
320,424
321,42
322,314
323,61
324,47
325,417
326,222
327,762
328,399
329,400
330,538
331,561
332,518
333,750
334,203
335,287
336,716
337,216
338,243
339,648
340,707
341,706
342,383
343,309
344,627
345,415
346,466
347,348
348,361
349,158
350,646
351,492
352,330
353,639
354,489
355,516
356,363
357,319
358,615
359,172
360,98
361,763
362,462
363,257
364,285
365,651
366,320
367,233
368,199
369,322
370,621
371,470
372,525
373,387
374,120
375,239
376,468
377,254
378,746
379,723
380,540
381,181
382,151
