,1,2,3,4,5,6,7,8,9,10
0,502,468,656,183,700,607,46,167,757,353
1,558,136,623,195,282,764,225,479,274,394
2,186,758,696,759,667,267,750,270,220,342
3,590,478,492,145,75,277,470,549,742,552
4,385,343,539,549,565,513,157,152,476,19
5,717,466,423,452,571,194,602,84,636,278
6,451,736,107,694,617,139,464,442,327,392
7,570,740,569,310,260,629,453,76,663,92
8,578,302,607,349,428,100,115,20,102,31
9,214,234,334,419,250,674,356,77,277,638
10,691,558,531,291,88,648,466,210,87,319
11,362,723,688,233,214,148,229,131,656,548
12,346,670,293,542,354,33,23,130,586,751
13,220,563,550,456,158,233,205,260,339,531
14,321,500,509,282,420,5,752,685,367,380
15,695,470,284,481,49,55,88,480,332,504
16,696,560,553,50,638,96,635,390,123,1
17,378,747,680,516,740,507,342,274,329,115
18,509,676,759,20,499,154,103,677,115,513
19,512,540,679,242,683,705,370,106,384,491
20,391,241,352,352,114,549,583,227,436,293
21,112,649,206,154,419,31,487,394,662,389
22,682,484,56,546,682,741,178,705,731,593
23,387,654,336,209,41,144,703,34,707,397
24,75,462,588,206,673,169,45,439,622,501
25,755,309,726,69,631,544,106,508,498,740
26,688,537,59,85,545,168,546,252,607,554
27,496,709,145,243,379,579,350,142,30,330
28,101,217,34,714,35,633,461,499,345,645
29,569,375,176,56,743,545,358,618,433,409
30,41,199,169,2,317,109,518,112,98,29
31,98,516,223,640,688,634,13,732,561,266
32,609,30,716,692,275,278,547,498,487,254
33,757,710,412,394,72,699,214,324,667,280
34,446,568,651,156,334,35,501,383,214,314
35,302,290,536,54,159,90,217,200,35,496
36,544,20,587,22,224,52,230,312,13,430
37,309,174,259,533,692,335,248,554,512,111
38,151,138,657,528,129,479,411,621,194,375
39,580,432,500,569,318,539,683,626,230,372
40,497,590,186,645,146,232,250,636,357,757
41,592,417,463,422,71,388,677,647,635,643
42,507,743,368,571,169,500,172,22,358,669
43,713,139,65,194,573,488,366,741,392,98
44,487,495,396,304,504,172,275,557,461,192
45,135,405,519,64,462,701,274,427,591,385
46,648,751,507,302,525,710,264,405,70,627
47,467,246,162,673,649,247,128,168,624,436
48,628,179,105,548,0,693,340,482,283,127
49,184,389,199,78,53,132,692,446,593,762
50,169,294,629,220,457,647,649,4,224,661
51,492,515,454,65,458,263,719,348,766,551
52,196,457,294,726,707,176,158,62,618,445
53,374,161,600,627,255,692,19,24,572,766
54,157,192,462,679,346,113,664,466,288,664
55,332,635,740,448,235,223,505,478,268,71
56,159,746,317,27,299,627,427,371,485,321
57,119,499,263,278,714,155,632,611,159,586
58,433,766,33,71,120,36,129,650,517,20
59,572,173,372,261,680,468,98,704,158,195
60,341,124,458,503,12,376,289,258,643,176
61,258,128,49,553,415,756,455,565,99,691
62,292,288,17,410,136,632,278,52,84,412
63,428,308,376,566,418,606,691,501,125,615
64,218,69,81,382,515,523,755,290,174,553
65,255,411,551,121,254,668,600,266,527,747
66,97,135,358,175,703,208,552,186,360,492
67,168,544,341,715,766,6,382,322,412,359
68,142,196,483,8,435,206,93,66,221,183
69,749,78,219,497,447,678,401,546,615,33
70,238,646,598,247,405,622,296,600,47,760
71,739,488,540,355,286,618,413,346,247,218
72,520,761,650,603,249,34,77,358,447,532
73,353,651,179,224,223,463,228,510,213,37
74,750,722,378,101,681,708,399,683,749,56
75,310,616,375,204,564,718,436,620,282,497
76,150,555,126,24,294,185,188,343,683,370
77,242,87,258,0,9,752,601,455,365,130
78,121,427,513,746,287,269,571,387,535,598
79,175,132,538,356,291,496,751,739,40,66
80,259,216,404,383,20,426,149,627,523,634
81,219,342,359,388,306,86,343,30,229,221
82,498,15,391,248,134,285,754,104,569,0
83,307,459,608,629,209,115,96,395,759,233
84,239,31,674,488,634,595,658,527,165,63
85,491,170,418,735,712,138,199,242,758,460
86,364,498,231,588,362,753,132,378,468,282
87,711,387,241,600,730,325,30,426,272,252
88,386,518,664,440,543,720,435,246,619,688
89,450,569,339,26,507,42,679,54,709,582
90,510,429,577,710,368,531,138,313,395,168
91,203,347,511,393,175,329,291,140,149,724
92,305,690,628,307,586,615,11,55,391,125
93,414,125,574,327,264,735,723,578,223,637
94,612,222,122,364,603,68,209,422,554,323
