,1
0,2806
1,298
2,1636
3,4153
4,3727
5,1055
6,3630
7,4196
8,2613
9,1427
10,3474
11,1867
12,2769
13,2319
14,784
15,3898
16,3538
17,1856
18,1217
19,1381
20,2798
21,1900
22,3764
23,2343
24,1461
25,1176
26,245
27,819
28,203
29,505
30,2506
31,2109
32,821
33,2830
34,51
35,1036
36,725
37,368
38,2935
39,4440
40,665
41,255
42,292
43,1960
44,1841
45,2428
46,3435
47,2554
48,2395
49,752
50,4558
51,2673
52,2165
53,888
54,1953
55,1302
56,2603
57,1191
58,1715
59,413
60,4156
61,4119
62,4446
63,2894
64,299
65,4493
66,3576
67,892
68,1007
69,3012
70,549
71,213
72,3676
73,3272
74,1481
75,2018
76,4432
77,1508
78,393
79,3959
80,2176
81,1439
82,1552
83,1691
84,2670
85,671
86,2607
87,228
88,912
89,2311
90,1519
91,1098
92,4419
93,3216
94,2486
95,214
96,2606
97,2156
98,2918
99,4282
100,137
101,3609
102,4318
103,4454
104,4043
105,404
106,3533
107,1059
108,3366
109,3089
110,928
111,3119
112,2975
113,2719
114,1282
115,810
116,4595
117,4144
118,1458
119,3926
120,534
121,3001
122,1807
123,2498
124,1999
125,1364
126,6
127,3586
128,3029
129,715
130,2665
131,4521
132,3483
133,2125
134,4236
135,2074
136,3442
137,4266
138,2788
139,813
140,432
141,454
142,4569
143,4424
144,3627
145,4148
146,2429
147,769
148,3294
149,989
150,1576
151,3226
152,72
153,3291
154,726
155,1168
156,1904
157,3746
158,3735
159,1238
160,986
161,2852
162,3784
163,1599
164,2382
165,2588
166,637
167,4375
168,3641
169,3225
170,1622
171,1917
172,3555
173,1097
174,2790
175,3298
176,3329
177,273
178,1561
179,3625
180,3128
181,2579
182,629
183,4033
184,2730
185,883
186,2618
187,3631
188,3391
189,4445
190,445
191,462
192,2923
193,4002
194,1051
195,2322
196,4458
197,1349
198,2418
199,4207
200,2982
201,3317
202,4179
203,2288
204,4112
205,1103
206,3091
207,785
208,2386
209,2370
210,4417
211,219
212,412
213,2563
214,987
215,289
216,4147
217,4214
218,2525
219,3330
220,2866
221,4105
222,3426
223,2068
224,3659
225,4536
226,3652
227,3913
228,3155
229,2891
230,4472
231,3604
232,1679
233,4525
234,3157
235,2101
236,1324
237,364
238,446
239,3787
240,3078
241,512
242,1952
243,1370
244,1247
245,3322
246,780
247,450
248,1914
249,1854
250,497
251,502
252,2504
253,709
254,952
255,3558
256,4073
257,4239
258,1285
259,1515
260,1419
261,4392
262,4186
263,506
264,1674
265,3900
266,4285
267,38
268,3014
269,2646
270,2517
271,1957
272,419
273,3982
274,2968
275,265
