,1,2,3,4,5,6,7,8,9,10
0,2265,4534,929,348,2213,4511,404,21,2458,900
1,2485,3276,3389,3064,3511,1769,1024,2022,768,3564
2,4477,2780,1295,1364,3941,3551,1013,2090,598,1373
3,1930,3427,2818,307,664,3275,3874,3310,269,1278
4,701,1318,767,849,15,453,1322,353,2468,3760
5,1701,877,803,1515,436,1053,4366,4393,3823,926
6,180,906,1496,4517,2809,1804,3041,1649,2017,3133
7,2903,34,83,1263,2806,2733,3106,1494,1629,3369
8,2366,2580,3398,3652,2477,1824,4186,90,2542,2138
9,43,2897,4438,4453,3732,672,2568,1139,1122,4594
10,2749,2004,339,1434,3224,3819,243,4516,2793,2474
11,3843,704,2178,4242,1784,1700,4523,4254,2407,3803
12,2502,3483,656,2692,324,3383,2441,3482,142,3815
13,110,599,104,1645,3810,0,2923,514,1070,2096
14,2312,1415,215,1619,4540,895,1261,4424,738,3448
15,768,3714,3689,3524,3661,3891,3458,2034,4574,3196
16,1926,4529,3572,542,2540,3415,3905,2599,1244,3987
17,1898,2622,574,3457,3284,1725,1429,1496,2091,2079
18,2263,1344,4518,2028,4027,2915,4511,2890,4053,2208
19,542,3670,3104,1408,2599,2440,2713,1792,3217,2677
20,2254,1731,2362,2170,2658,758,1638,3887,907,1556
21,4120,4226,3810,443,4489,979,1844,3929,4032,4037
22,1568,1987,697,2558,1068,2147,2474,2870,310,4048
23,3312,3258,2880,1299,4147,461,2045,2694,1837,885
24,541,3845,2671,2561,1393,2386,2121,3667,820,3884
25,3865,2272,3655,3605,4375,2372,573,3267,582,512
26,3715,755,804,1899,121,3444,2095,3828,3083,4083
27,678,1570,3056,4283,965,341,1987,3474,218,1272
28,3972,1916,2258,282,1274,4011,198,4396,1117,2913
29,3798,3988,906,3964,2761,569,1671,2282,2422,4020
30,528,3640,3564,2899,844,890,1521,2665,1661,2320
31,252,1771,1329,4099,3121,3053,2842,3851,990,4251
32,4131,805,2422,949,2619,3918,3753,2572,4054,3776
33,3894,2314,4426,1019,1161,1333,4250,3795,2357,3569
34,3604,2229,3915,2581,1018,3324,367,4503,1382,1092
35,1639,784,1988,2133,1619,1453,2578,726,3834,2074
36,923,451,3642,511,964,2958,2826,1117,4075,3621
37,2524,1421,2340,1086,577,2898,212,1061,2992,4397
38,3392,2615,2875,2882,227,1267,2571,256,3641,1385
39,1194,4044,2976,1175,2963,711,2386,797,4583,2881
40,3937,2151,3080,17,2177,216,2442,1762,2068,2873
41,1571,137,437,68,3578,3493,4395,3035,102,1946
42,1798,1687,1101,1015,3947,2167,4263,3613,1753,2231
43,1575,726,166,2646,336,3279,368,3138,1150,2192
44,3428,507,2676,1595,2432,597,1527,1422,3273,1384
45,650,3580,3336,839,2872,2396,107,1808,1317,291
46,75,1508,3413,1805,3634,4480,4189,595,4387,1854
47,3379,3291,428,901,1364,560,4212,2760,3178,245
48,4261,1312,795,4214,3201,1046,3434,561,1349,213
49,1860,241,1627,4504,408,2354,3703,3306,4504,3130
50,2513,851,3728,3708,1040,1245,1185,3965,1551,230
51,2393,4595,3508,3630,3007,2710,447,3754,3005,1869
52,2984,1045,1041,3265,1857,2819,4006,2734,2901,4552
53,2453,1833,347,451,692,2040,4160,2880,792,3839
54,195,2326,3203,3063,2147,1254,1959,2882,3164,2257
55,4537,1311,2321,1546,1075,3103,2479,4548,4308,2902
56,2158,2019,580,1491,3042,2546,2617,3057,3535,2247
57,510,1877,897,1347,3841,4106,903,3888,3149,1601
58,3183,692,1351,3493,2234,2511,106,2418,1842,1602
59,4396,443,907,2110,3984,2695,3964,2689,3191,1141
60,3739,1876,1210,1479,1273,4193,434,4279,3352,7
61,133,4510,4057,4107,202,1386,2937,3518,984,937
62,2121,3114,399,3266,3092,760,4360,3541,1816,2855
63,3329,612,2145,1104,1522,2895,379,454,357,1982
