,1
0,1476
1,1729
2,3000
3,167
4,3383
5,4333
6,144
7,2345
8,1358
9,1320
10,2914
11,2996
12,139
13,3235
14,3995
15,3325
16,1554
17,2880
18,3500
19,2286
20,4051
21,4316
22,2615
23,3256
24,3455
25,519
26,516
27,1167
28,3094
29,4177
30,4435
31,4071
32,439
33,1269
34,125
35,4463
36,2477
37,2375
38,3600
39,931
40,3156
41,4566
42,2180
43,3872
44,3079
45,1079
46,4024
47,216
48,700
49,1341
50,2289
51,3650
52,397
53,4291
54,1931
55,4101
56,376
57,3323
58,1048
59,2239
60,2225
61,1762
62,3642
63,2632
64,2372
65,1281
66,3393
67,3873
68,4022
69,2387
70,3890
71,448
72,3025
73,3007
74,426
75,4553
76,3856
77,4123
78,3537
79,3186
80,4128
81,2892
82,2622
83,4401
84,3095
85,2698
86,3832
87,4182
88,1592
89,1228
90,474
91,2132
92,290
93,12
94,661
95,4044
96,3063
97,4393
98,3275
99,4513
100,1389
101,306
102,3149
103,1968
104,782
105,4140
106,3305
107,929
108,3514
109,4535
110,2116
111,4168
112,937
113,4582
114,2358
115,1743
116,3886
117,835
118,4271
119,3195
120,4061
121,3795
122,609
123,2859
124,4420
125,1284
126,3439
127,2812
128,187
129,1568
130,2368
131,731
132,266
133,3278
134,2164
135,766
136,2754
137,913
138,2327
139,241
140,3525
141,2962
142,3209
143,2166
144,3185
145,616
146,4439
147,3851
148,2989
149,2873
150,4064
151,589
152,963
153,3828
154,788
155,3141
156,905
157,3782
158,561
159,1666
160,4397
161,2810
162,4284
163,3431
164,614
165,3189
166,1939
167,1351
168,2292
169,2934
170,739
171,4234
172,842
173,2877
174,3130
175,1388
176,2107
177,3066
178,40
179,3692
180,2305
181,1681
182,4078
183,1479
184,947
185,1662
186,2356
187,124
188,3468
189,1372
190,1215
191,815
192,3509
193,2497
194,644
195,4172
196,4220
197,217
198,4330
199,1708
200,2507
201,408
202,3348
203,647
204,3684
205,2949
206,2063
207,3342
208,2557
209,2861
210,663
211,4429
212,4224
213,3034
214,2472
215,2941
216,4189
217,256
218,4218
219,1058
220,3415
221,86
222,3883
223,4523
224,2197
225,3102
226,3376
227,610
228,458
229,3864
230,275
231,91
232,1667
233,2390
234,3037
235,3983
236,3993
237,379
238,2802
239,3503
240,3585
241,2870
242,441
243,4155
244,1838
245,1918
246,3381
247,695
248,872
249,310
250,1232
251,443
252,3635
253,1500
254,2829
255,4599
256,1947
257,3610
258,4300
259,4040
260,1626
261,1574
262,2895
263,2188
264,1315
265,2196
266,3958
267,3830
268,33
269,279
270,3838
271,1494
272,3288
273,4336
274,1436
275,1274
276,2666
277,941
278,418
279,2822
280,3703
281,1365
282,53
283,3758
284,4465
285,3918
286,4409
287,4258
288,2805
289,4181
290,2508
291,2284
292,3027
293,1983
294,999
295,2700
296,2711
297,1976
298,1099
299,3124
300,3364
301,1498
302,2462
303,3700
304,3920
305,2465
306,4052
307,4007
308,83
309,2950
310,1482
311,1290
312,3562
313,1644
314,2362
315,588
316,2416
317,3477
318,3472
319,1245
320,1343
321,1317
322,2672
323,2780
324,1082
325,2346
326,3506
327,37
328,264
329,4571
330,1211
331,2335
332,350
333,1220
334,3443
335,758
336,1735
337,1463
338,2584
339,2291
340,2432
341,2922
342,529
343,2
344,3070
345,92
346,3311
347,3194
348,1414
349,1677
350,1631
351,4222
352,262
353,3502
354,4018
355,3493
356,356
357,2136
358,1550
359,2868
360,1143
361,4093
362,471
363,1039
364,2250
365,1205
366,4074
367,3411
368,676
369,3109
370,4263
371,1639
372,2582
373,1648
374,3568
375,1992
376,4245
377,698
378,3358
379,894
380,2910
381,4257
382,3607
383,4149
384,3815
385,1912
386,2911
387,2033
388,3116
389,3357
390,157
391,2113
392,1334
393,2542
394,3172
395,4283
396,2509
397,101
398,2405
399,303
400,3457
401,3382
402,2789
403,893
404,4302
405,1386
406,2735
407,3467
408,3060
409,2734
410,1813
411,427
412,3341
413,2540
414,3223
415,857
416,1802
417,3595
418,1764
419,2444
420,2710
421,1997
422,1273
423,3015
424,3567
425,3324
426,978
427,4099
428,3773
429,4077
430,4565
431,2716
432,1319
433,1882
434,1719
435,2230
436,3542
437,108
438,959
439,1890
440,2333
441,3904
442,2705
443,4097
444,3749
445,367
446,3122
447,554
448,1471
449,3284
450,503
451,2399
452,4305
453,4124
454,3499
455,383
456,4160
457,1620
458,2878
459,1449
460,2435
461,4250
462,3326
463,4346
464,2512
465,3550
466,3817
467,4216
468,3088
469,688
470,302
471,3396
472,2434
473,1734
474,2347
475,3004
476,3
477,4497
478,4132
479,991
480,2747
481,879
482,2740
483,4203
484,704
485,4443
486,4
487,547
488,523
489,617
490,1018
491,2745
492,4479
493,2268
494,645
495,1179
496,1185
497,828
498,1339
499,4321
500,501
501,4092
502,1252
503,1979
504,2823
505,3191
506,972
507,1350
508,296
509,2652
510,482
511,1868
512,4362
513,150
514,625
515,1406
516,3614
517,3193
518,4475
519,3137
520,1390
521,1816
522,3062
523,767
524,1582
525,3408
526,79
527,2285
528,1501
529,103
530,1237
531,1469
532,3143
533,2458
534,755
535,1433
536,4530
537,3668
538,230
539,538
540,3478
541,1577
542,1543
543,106
544,2470
545,3634
546,4577
547,4332
548,1790
549,2801
550,2392
551,2915
552,498
553,3594
554,2817
555,4400
556,1817
557,4204
558,94
559,331
560,1855
561,2407
562,4358
563,1052
564,804
565,1222
566,3421
567,4261
568,843
569,1927
570,1863
571,2750
572,1492
573,2094
574,2966
575,2038
576,1880
577,1070
578,2415
579,2987
580,3332
581,3645
582,3310
583,2928
584,1012
585,1938
586,779
587,3648
588,4350
589,253
590,25
591,4001
592,2973
593,4322
594,521
595,3065
596,1122
597,3162
598,3303
599,811
600,656
601,2075
602,1680
603,4548
604,3702
605,1706
606,3796
607,1521
608,1172
609,4500
610,1769
611,2389
612,2000
613,2031
614,750
615,884
616,3741
617,1516
618,4441
619,2671
620,1928
621,3380
622,1421
623,3802
624,1606
625,3267
626,3262
627,3754
628,3569
629,2739
630,152
631,1397
632,992
633,4552
634,3202
635,2003
636,4100
637,2254
638,206
639,710
640,4428
641,2643
642,2524
643,1112
644,3855
645,2583
646,3321
647,4343
648,968
649,166
650,3738
651,2252
652,4451
653,2909
654,849
655,1063
656,3771
657,149
658,234
659,2905
660,1295
661,3774
662,1513
663,1578
664,1593
665,4121
666,4249
667,2612
668,1892
669,2476
670,2023
671,1791
672,3138
673,2677
674,313
675,3343
676,3450
677,566
678,1108
679,1464
680,544
681,3578
682,682
683,761
684,851
685,431
686,66
687,2543
688,2770
689,3355
690,2218
691,4246
692,1064
693,4079
694,2210
695,2628
696,2715
697,4416
698,1710
699,866
700,2102
701,1903
702,3820
703,3888
704,1618
705,3045
706,1534
707,707
708,1526
709,2544
710,1945
711,3188
712,231
713,2496
714,126
715,1311
716,2537
717,4544
718,3511
719,3722
720,3849
721,191
722,2708
723,3425
724,518
725,2096
726,2034
727,464
728,2325
729,881
730,2759
731,2824
732,4296
733,4004
734,335
735,4201
736,1896
737,2907
738,2621
739,1510
740,3879
741,1851
742,4390
743,4407
744,4255
745,2384
746,3962
747,3035
748,3597
749,3159
750,2228
751,4273
752,2841
753,2222
754,3716
755,2473
756,2629
757,3835
758,998
759,3989
760,924
761,1226
762,1178
763,2138
764,654
765,3030
766,194
767,2834
768,2177
769,1280
770,1671
771,1149
772,2912
773,3915
774,2009
775,3747
776,488
777,545
778,492
779,985
780,2131
781,2541
782,2731
783,1266
784,517
785,3224
786,4082
787,584
788,3092
789,870
790,3023
791,1560
792,4539
793,472
794,1126
795,2013
796,2056
797,1321
798,1965
799,827
800,360
801,1933
802,3863
803,2128
804,2768
805,3054
806,3936
807,3681
808,1750
809,4436
810,1821
811,2019
812,447
813,562
814,1685
815,1005
816,4151
817,2310
818,1477
819,975
820,385
821,3113
822,2147
823,933
824,2463
825,4139
826,2505
827,4185
828,286
829,1133
830,4252
831,2040
832,1096
833,3651
834,477
835,1113
836,634
837,3481
838,603
839,3938
840,3693
841,10
842,3271
843,2566
844,3139
845,1920
846,2986
847,1541
848,1169
849,1669
850,2191
851,2490
852,757
853,2695
854,2456
855,1699
856,4426
857,4517
858,475
859,430
860,4310
861,78
862,3473
863,3032
864,315
865,2338
866,4483
867,2457
868,3826
869,2575
870,844
871,153
872,3960
873,30
874,563
875,1041
876,2295
877,4342
878,452
879,2111
880,865
881,3476
882,3410
883,4232
884,1977
885,2758
886,3712
887,3487
888,1382
889,4205
890,99
891,3251
892,3448
893,2417
894,60
895,593
896,3182
897,2503
898,4559
899,3978
900,590
901,862
902,4496
903,3042
904,1293
905,2167
906,693
907,630
908,3504
909,1873
910,3248
911,411
912,2154
913,613
914,3862
915,921
916,2182
917,2663
918,2573
919,297
920,3056
921,2560
922,1385
923,526
924,2122
925,4564
926,463
927,3792
928,3347
929,1887
930,4488
931,4455
932,4304
933,2089
934,2332
935,114
936,26
937,2699
938,3675
939,1884
940,4396
941,2924
942,2553
943,3307
944,1224
945,388
946,3966
947,2114
948,3841
949,1673
950,248
951,1066
952,1244
953,1788
954,119
955,3203
956,1590
957,1969
958,3021
959,1352
960,2767
961,3875
962,2365
963,615
964,4524
965,240
966,2193
967,2430
968,4057
969,3386
970,1231
971,2845
972,414
973,1229
974,4567
975,378
976,1585
977,55
978,334
979,3319
980,3871
981,1305
982,4297
983,155
984,2865
985,2446
986,3257
987,2908
988,1872
989,2744
990,3805
991,74
992,1455
993,1367
994,2901
995,2771
996,425
997,1487
998,1732
999,1588
1000,2638
1001,636
1002,2818
1003,2906
1004,701
1005,2990
1006,1698
1007,877
1008,1836
1009,3779
1010,487
1011,2339
1012,20
1013,396
1014,4549
1015,3093
1016,4312
1017,4364
1018,2776
1019,2426
1020,2531
1021,1121
1022,2051
1023,3948
1024,2466
1025,4003
1026,744
1027,1137
1028,574
1029,3837
1030,1345
1031,4555
1032,4560
1033,977
1034,1129
1035,3166
1036,2690
1037,3591
1038,2287
1039,4005
1040,1408
1041,1467
1042,3941
1043,2519
1044,1132
1045,3881
1046,1608
1047,4173
1048,4166
1049,2668
1050,958
1051,705
1052,1787
1053,1316
1054,3561
1055,3763
1056,834
1057,3268
1058,2232
1059,1619
1060,1407
1061,2807
1062,903
1063,3349
1064,1899
1065,713
1066,1737
1067,35
1068,976
1069,1675
1070,1810
1071,4183
1072,2835
1073,777
1074,2464
1075,4130
1076,3646
1077,2278
1078,2516
1079,1260
1080,1435
1081,237
1082,2044
1083,4386
1084,528
1085,1822
1086,235
1087,3187
1088,3711
1089,1614
1090,374
1091,3052
1092,4299
1093,2533
1094,2701
1095,1559
1096,1789
1097,3929
1098,2555
1099,1173
1100,311
1101,2263
1102,3663
1103,307
1104,3870
1105,1199
1106,159
1107,3048
1108,1429
1109,1894
1110,4504
1111,3745
1112,2765
1113,345
1114,2186
1115,65
1116,2942
1117,1170
1118,3405
1119,876
1120,628
1121,67
1122,1705
1123,31
1124,2212
1125,1627
1126,4102
1127,1150
1128,1869
1129,3136
1130,4145
1131,2348
1132,4596
1133,4520
1134,3456
1135,702
1136,4320
1137,2625
1138,2223
1139,4512
1140,4425
1141,3644
1142,2032
1143,889
1144,314
1145,341
1146,2008
1147,3010
1148,541
1149,2330
1150,1611
1151,3264
1152,1768
1153,3312
1154,2786
1155,3418
1156,3241
1157,668
1158,1766
1159,2148
1160,436
1161,3980
1162,3885
1163,3212
1164,1165
1165,3398
1166,692
1167,3899
1168,1870
1169,87
1170,1230
1171,4533
1172,3653
1173,3544
1174,1135
1175,2350
1176,1843
1177,3287
1178,1417
1179,3395
1180,3232
1181,1326
1182,4367
1183,2653
1184,1338
1185,3638
1186,2762
1187,838
1188,2703
1189,387
1190,581
1191,4570
1192,2919
1193,1010
1194,16
1195,737
1196,2419
1197,1503
1198,1808
1199,2201
1200,2130
1201,1110
1202,2552
1203,4103
1204,1757
1205,2931
1206,4060
1207,261
1208,3545
1209,2461
1210,2099
1211,3908
1212,2046
1213,3038
1214,1946
1215,3580
1216,2995
1217,4308
1218,1714
1219,572
1220,3935
1221,3801
1222,1044
1223,1865
1224,672
1225,44
1226,1356
1227,956
1228,3673
1229,3184
1230,611
1231,3009
1232,1905
1233,4589
1234,148
1235,2669
1236,607
1237,82
1238,1447
1239,1445
1240,2149
1241,233
1242,4070
1243,3046
