,1,2,3,4,5,6,7,8,9,10
0,1608,3648,57,740,133,859,2514,2374,3808,864
1,4281,4564,3266,756,1767,3211,182,2900,2386,1658
2,727,3512,4222,3409,4593,103,3622,1484,2003,1894
3,3391,1085,687,1883,550,2115,3755,3579,4567,26
4,3517,1956,2472,3262,2587,2834,3270,1727,3233,816
5,2633,3322,1265,2450,1683,215,4597,3944,167,1774
6,1998,3775,1051,1074,4390,4464,2505,925,2159,1332
7,4194,3838,4432,203,255,3094,410,3933,3938,4060
8,1340,1745,1591,2783,1216,2370,359,1424,607,1517
9,3241,1935,27,4572,3069,2798,1940,1624,199,432
10,936,3026,4147,4303,4081,417,3047,4490,1496,3292
11,2630,2570,343,4269,2426,4380,3320,3683,2584,475
12,566,1327,2851,2770,3823,299,1081,1208,3611,3576
13,698,1470,2420,2445,3220,964,4549,13,141,4116
14,3885,2876,2330,4586,4223,1328,1438,3738,3251,2759
15,2491,2166,4388,3870,20,467,3809,2497,3904,1788
16,2894,2520,3798,1165,1291,2174,3906,2832,2587,953
17,107,303,3265,1925,3009,2589,3524,1298,3779,3428
18,3929,3785,977,4162,2936,1032,25,1531,3982,3654
19,1354,3146,1442,4264,2534,1200,2162,2085,2717,1723
20,1107,825,80,143,3801,3921,3583,4108,427,1445
21,1938,320,930,671,3401,1534,1420,267,3539,882
22,951,912,1050,2953,648,3766,1651,2176,1756,3563
23,4462,1212,3555,1410,3844,1958,1336,746,1037,4379
24,2386,1237,1120,3613,4379,1170,2775,1901,1124,153
25,3823,2816,579,3354,3269,2789,1757,2816,2999,1981
26,1453,3806,3434,3358,1940,4534,3545,939,210,1641
27,2766,3787,4501,2704,3473,1028,4137,4236,4513,866
28,4539,4502,90,3122,171,2422,3167,3244,3521,1609
29,4428,4450,3030,3433,1016,4278,812,2989,1831,1068
30,488,1621,2095,4506,2078,4440,3070,1760,3543,2293
31,875,2803,4254,3204,286,1179,4174,4076,4357,3678
32,2785,1200,1344,2864,1738,466,3617,4048,1685,3578
33,3776,2177,1764,1886,2926,1199,238,3058,3773,993
34,655,2245,2043,3109,2015,2148,1921,3371,616,3302
35,3054,4426,4054,1708,1056,2124,310,4272,1128,3560
36,742,3366,787,65,955,1071,528,4240,2820,2464
37,741,2783,122,4406,3490,2270,2930,2391,2446,4158
38,4180,364,4258,18,1143,3653,1568,3942,21,431
39,679,2519,3615,2400,2327,4212,3522,3712,111,629
40,671,1945,1975,3646,4490,3238,3776,2849,2493,4236
41,2248,847,3674,1260,4428,501,848,3247,776,4463
42,1646,3799,937,299,752,1794,870,76,2443,1279
43,2777,1148,2044,910,1788,2492,601,4528,2770,1463
44,4343,2557,2683,4049,3495,1275,3908,148,2538,748
45,3636,3455,2261,323,3080,1710,2798,1961,1036,2651
46,948,1852,4298,1996,371,1964,709,575,451,2893
47,3261,19,666,3486,2966,4223,1324,876,2335,4127
48,3047,3532,1648,29,2581,2574,1617,3110,635,3239
49,1112,1684,3556,3784,4122,841,989,1551,505,1914
50,4417,3568,4563,4468,2090,3755,3238,3660,3420,267
51,3989,2003,2551,546,1165,4515,1476,999,3045,2552
52,2704,3669,2323,4361,1038,733,4384,630,2063,4253
53,4068,3468,3060,2700,1152,4022,4088,4082,1058,2698
54,3997,2370,1569,8,2093,645,828,3320,2058,2262
55,2722,4438,3306,933,2067,45,3113,2237,3945,1787
56,837,1018,1775,1094,847,593,959,724,222,3628
57,4378,4280,4558,2012,3527,4591,1246,2978,526,4476
58,2002,1999,2343,1487,417,2120,65,2320,1991,1600
59,3637,780,3233,334,3370,3446,483,3943,133,3681
60,2321,648,1752,588,2472,787,1982,209,3476,2181
61,1049,2343,4284,3970,2691,727,3811,2856,1690,1630
62,3031,1957,583,1998,2169,1447,3012,385,4486,1427
63,2333,1565,2091,1391,2820,3609,1066,2250,3841,4416
64,2701,3630,2573,362,632,624,3782,818,3542,255
65,854,4514,2932,2030,1537,1104,3818,226,619,4159
66,2831,1596,608,616,1091,470,22,2051,2739,3232
67,2673,2077,1176,2345,3958,1232,231,3815,2081,2235
68,1838,736,2052,4518,3177,20,2809,2471,1566,666
69,1429,1899,13,1290,1763,3862,230,2370,4281,2666
70,2200,3684,2151,3698,1004,1514,1607,27,92,2514
71,4251,1168,731,404,2174,1268,3273,2867,515,1536
72,3583,4060,1792,4440,3372,272,397,2561,3528,1186
73,945,2546,2498,633,1752,534,713,2633,3055,3554
74,4019,4137,2930,2781,1681,2411,730,592,3996,1634
75,324,1633,920,192,1103,3011,587,433,3858,1262
76,1115,1423,1292,328,2041,1409,1496,2889,4586,2846
77,3287,581,3422,4306,4582,3740,3664,1932,837,4369
78,196,4315,3759,33,1677,2797,1858,2024,351,2780
79,280,2099,2690,1748,1140,960,19,4068,827,1851
80,4151,1566,1706,4426,1963,1779,659,520,4552,149
81,4423,3267,4274,541,1661,2515,3043,1025,3440,4304
82,3749,1870,247,3897,3596,288,4007,1928,980,2796
83,827,831,3656,1322,3328,357,2379,1621,3224,1016
84,1973,2497,3326,3452,908,2262,2977,1297,874,2298
85,2435,3174,3164,1383,1037,2255,3554,106,2346,1961
86,2784,3022,2771,1651,1887,830,3725,4506,3276,4119
87,1741,1042,2596,831,3409,1551,4454,2463,3718,4178
88,2940,1750,3310,3889,2552,1448,1276,638,4137,1676
89,1589,3150,1909,3108,3949,1247,2287,1274,35,3362
90,3434,3884,3425,2285,4496,1260,341,4340,1691,971
91,2716,2161,2604,3996,1880,1508,3254,411,207,3476
92,507,374,2475,952,1825,3184,2447,3547,2341,1269
93,2024,1086,111,1889,4457,1265,806,3372,303,2271
94,1006,2318,1888,1710,2502,2505,3195,1340,943,979
95,1343,3829,1340,421,803,4532,1647,4151,1243,4237
96,4063,1673,1455,993,152,3536,850,290,788,3619
97,3128,2133,354,2823,3867,502,1440,1917,3482,474
98,2685,321,32,1885,1433,2760,4219,1858,3466,623
99,881,3740,507,1647,4435,2647,3219,331,2534,767
100,466,2051,3195,786,1501,169,145,3087,2127,1683
101,3722,754,2141,3439,589,1956,3535,3431,969,4113
102,969,1739,1656,2023,148,1423,2426,2057,3790,416
103,2851,1689,55,3055,530,2489,2890,4341,1820,800
104,1493,2103,3725,3780,1603,488,4517,1813,162,2132
105,379,3861,1349,811,685,3901,1621,1675,3946,3452
106,638,1451,2066,2611,418,3349,3132,2741,2806,3902
107,1412,2701,3607,661,2709,3241,2666,1219,2733,4399
108,3416,526,4319,2138,4333,464,3076,4001,1462,1013
109,1286,130,2801,3152,4068,1161,3028,3461,514,600
110,1662,3347,2708,1803,2835,275,2953,2413,571,39
111,1875,3230,1655,2446,287,3483,1110,2433,3747,2359
112,802,2938,3644,3825,1795,4461,2769,1586,551,2158
113,3809,3480,865,2462,509,2682,4169,4305,1021,810
114,1592,3200,3929,4164,776,3830,115,401,1254,3709
115,3403,975,240,2866,3671,4083,474,3234,2356,1126
116,1610,103,3410,4069,4295,3335,4128,1869,2701,809
117,3009,2928,196,1516,4569,3022,3543,1685,590,1214
118,1245,397,4387,1974,2254,2942,3245,867,480,3989
119,4234,1252,2293,1378,1692,4035,2408,947,673,3462
120,1904,2706,976,2474,4491,3456,4254,2147,636,49
121,2767,2628,1982,1468,3229,1012,4005,660,2414,4402
122,2509,3673,1747,3018,472,2462,1525,1374,2694,128
123,2651,2101,3166,1335,3111,3967,3628,2601,4522,811
124,1216,1106,259,3280,4231,577,4347,283,1017,3335
125,3069,1186,3964,2601,3479,656,2996,2670,2462,3998
126,922,3524,3235,198,4151,1438,2978,1978,3679,130
127,3575,2686,4553,4000,4247,61,1639,3602,2117,583
128,4390,2299,1634,888,1803,329,416,2278,198,3551
129,1325,1382,4344,1457,2967,3045,1514,3675,3994,48
130,4056,4432,1972,3149,2265,2445,143,1192,3667,3479
131,1729,3811,4018,2694,2604,853,4487,2311,203,554
132,3957,1695,3803,1459,1743,4489,3148,1561,2399,3744
133,170,2050,1218,2448,1733,3692,1613,1887,1109,513
134,1436,943,4468,2396,3973,1626,1187,3651,2916,1885
