,0
word_freq_make,52
word_freq_address,48
word_freq_all,56
word_freq_3d,55
word_freq_our,53
word_freq_over,37
word_freq_remove,44
word_freq_internet,46
word_freq_order,23
word_freq_mail,20
word_freq_receive,38
word_freq_will,43
word_freq_people,54
word_freq_report,39
word_freq_addresses,35
word_freq_free,5
word_freq_business,36
word_freq_email,40
word_freq_you,32
word_freq_credit,31
word_freq_your,29
word_freq_font,28
word_freq_000,50
word_freq_money,15
word_freq_hp,24
word_freq_hpl,7
word_freq_george,30
word_freq_650,9
word_freq_lab,1
word_freq_labs,4
word_freq_telnet,0
word_freq_857,17
word_freq_data,27
word_freq_415,22
word_freq_85,45
word_freq_technology,8
word_freq_1999,34
word_freq_parts,13
word_freq_pm,21
word_freq_direct,16
word_freq_cs,41
word_freq_meeting,26
word_freq_original,10
word_freq_project,14
word_freq_re,49
word_freq_edu,51
word_freq_table,6
word_freq_conference,42
char_freq_;,11
char_freq_(,18
char_freq_[,47
char_freq_!,25
char_freq_$,19
char_freq_#,33
capital_run_length_average,2
capital_run_length_longest,12
capital_run_length_total,3
