,1
0,247
1,137
2,219
3,153
4,37
5,227
6,191
7,55
8,102
9,237
10,229
11,35
12,232
13,142
14,283
15,128
16,80
17,282
18,189
19,197
20,172
21,144
22,124
23,74
24,193
25,286
26,53
27,133
28,188
29,33
30,16
31,241
32,159
33,164
34,151
35,96
36,152
37,266
38,97
39,126
40,242
41,68
42,215
43,190
44,89
45,21
46,269
47,72
48,212
49,198
50,38
51,13
52,156
53,131
54,67
55,296
56,280
57,230
58,120
59,243
60,107
61,187
62,63
63,279
64,3
65,301
66,125
67,250
68,66
69,19
70,220
71,41
72,143
73,295
74,31
75,168
76,186
77,77
78,246
79,14
80,76
81,158
82,26
83,204
84,65
85,223
86,202
87,87
88,81
89,88
90,106
91,122
92,284
93,8
94,94
95,32
96,213
97,292
98,2
99,54
100,163
101,254
102,43
103,307
104,225
105,290
106,299
107,195
108,10
109,162
110,304
111,136
112,48
113,109
114,174
115,271
116,147
117,273
118,238
119,61
120,101
121,268
122,184
123,165
124,224
125,148
126,140
127,221
128,167
129,70
130,17
131,93
132,209
133,154
134,11
135,288
136,291
137,127
138,58
139,258
140,192
141,75
142,69
143,98
144,302
145,92
146,84
147,176
148,233
149,146
150,22
151,257
152,297
153,79
154,240
