,1,2,3,4,5,6,7,8,9,10
0,257,38,256,69,60,197,43,109,270,194
1,285,179,257,238,192,267,120,266,127,238
2,191,242,285,236,216,147,297,250,73,181
3,185,144,78,149,286,35,45,307,13,184
4,264,241,45,230,284,44,139,226,186,120
5,177,96,75,68,224,43,166,120,43,118
6,133,126,68,169,139,98,261,28,229,303
7,255,277,12,252,18,237,131,268,144,196
8,176,42,129,81,294,60,308,125,220,18
9,202,103,274,135,112,71,60,129,38,51
10,244,83,169,239,131,149,176,284,64,122
11,262,114,96,243,242,252,147,128,172,224
12,195,288,213,164,288,168,118,16,118,83
13,104,124,48,244,263,111,33,121,84,289
14,232,308,183,273,6,290,220,230,57,134
15,105,5,295,127,87,70,244,272,176,25
16,145,106,81,190,54,12,230,46,201,301
17,266,152,24,264,107,131,11,116,65,57
18,32,28,74,130,164,167,169,20,63,109
19,114,291,236,216,104,68,267,180,240,172
20,37,93,271,80,279,213,186,308,222,156
21,259,221,269,78,50,34,95,190,242,1
22,40,84,100,113,16,63,124,68,114,117
23,162,97,272,118,138,201,221,200,148,110
24,83,293,60,272,62,4,93,83,169,257
25,130,100,69,307,0,157,299,136,88,193
26,196,272,41,157,150,276,102,133,86,273
27,197,119,4,38,214,188,97,297,3,14
28,12,141,125,152,40,282,103,220,61,208
29,18,276,193,72,109,274,7,232,188,258
30,25,289,93,3,135,166,3,43,280,65
31,174,20,15,97,272,165,289,36,249,288
32,137,102,137,183,143,104,306,294,126,104
33,224,78,284,103,229,84,163,148,197,245
34,270,123,215,158,202,135,213,177,24,287
35,4,170,290,255,301,206,133,163,49,248
36,119,52,58,89,295,198,184,141,288,130
37,297,55,99,189,37,33,275,103,256,29
38,192,68,244,73,174,270,160,54,300,220
39,80,18,154,56,69,145,165,201,231,2
40,64,156,21,259,208,57,73,269,157,249
41,250,228,115,215,114,6,89,79,11,106
42,156,233,231,290,306,156,199,2,228,97
43,269,7,20,0,88,231,208,66,164,164
44,305,190,219,39,49,141,111,12,53,79
45,208,183,16,45,246,219,34,287,29,200
46,108,208,204,237,180,299,75,207,139,259
47,28,222,209,282,195,233,92,140,111,111
48,211,139,146,184,222,212,78,244,54,263
49,34,12,70,250,206,301,222,25,180,137
50,272,62,175,142,134,83,183,293,110,265
51,53,172,259,92,231,134,12,270,79,204
52,35,4,273,7,123,215,260,104,23,271
53,148,19,77,11,66,47,180,106,223,278
54,72,120,255,270,133,305,101,211,83,234
55,151,193,152,269,265,272,254,186,77,206
56,79,175,143,91,239,117,21,63,177,286
57,62,31,160,181,17,76,196,35,156,210
58,163,3,172,208,51,210,212,30,27,209
59,129,217,182,59,100,170,292,236,5,87
60,77,8,235,224,226,144,251,253,221,276
61,230,232,171,128,268,51,115,18,307,308
62,120,246,156,137,162,116,54,77,89,17
63,301,226,281,1,201,119,129,286,192,298
64,261,110,107,15,217,187,142,132,216,89
65,132,168,208,165,167,162,36,134,75,176
66,239,98,35,6,55,239,99,164,30,91
67,126,213,280,33,243,139,234,78,122,250
68,152,268,225,16,110,26,42,99,124,189
69,283,109,246,144,30,238,64,204,215,50
70,306,116,10,64,264,0,23,255,208,96
71,109,294,138,94,2,74,87,97,259,166
72,280,283,216,134,196,129,280,158,58,179
73,31,180,178,23,210,89,9,301,212,284
74,91,282,289,99,165,103,81,229,153,217
75,29,249,226,88,149,39,4,239,298,141
76,200,60,179,104,67,81,113,171,17,255
77,149,125,242,139,44,196,136,194,135,213
78,139,115,162,297,190,257,2,50,291,129
79,140,234,71,235,158,14,0,139,203,231
80,131,92,133,219,9,216,295,74,245,247
81,20,160,25,188,169,251,283,277,190,58
82,274,187,151,232,171,278,62,162,264,131
83,293,107,264,116,182,285,17,33,296,124
84,303,230,168,154,148,175,107,246,254,199
85,296,166,19,191,153,304,127,218,170,38
86,15,67,185,121,218,1,249,156,78,54
87,214,16,26,83,124,220,41,224,28,53
88,209,43,157,24,223,302,285,228,195,169
89,237,297,84,147,38,108,284,189,90,127
90,49,214,1,246,275,92,262,267,267,147
91,178,292,90,105,1,22,276,187,136,186
92,186,270,212,8,151,242,116,94,198,114
93,282,23,47,2,271,8,231,273,158,182
94,193,305,302,131,77,209,203,122,8,27
95,300,212,261,300,262,225,250,227,237,4
96,295,127,50,294,250,194,240,9,227,285
97,2,140,158,308,256,286,156,182,116,168
98,188,128,258,256,267,72,270,196,69,77
99,304,171,113,141,163,228,57,52,266,74
100,10,219,139,249,230,58,288,160,80,178
101,65,33,53,197,101,36,91,53,262,297
102,249,195,286,267,300,15,224,124,31,205
103,256,252,17,225,120,300,247,14,301,294
104,113,50,130,55,22,182,100,303,247,139
105,117,174,141,20,137,73,171,179,112,62
106,238,204,181,138,28,190,256,247,104,146
107,171,34,229,111,81,173,174,217,2,86
108,124,254,51,276,53,96,307,275,130,171
109,207,231,251,229,189,221,238,114,257,157
110,14,143,31,48,181,7,191,135,9,246
111,71,47,5,212,291,262,281,278,147,99
112,100,248,170,240,179,193,59,254,26,201
113,287,56,270,143,276,121,48,235,129,59
114,229,64,73,284,287,65,106,154,123,167
115,122,263,0,14,58,181,153,291,50,140
116,247,281,44,186,308,224,37,64,248,228
117,24,151,150,251,31,137,278,1,14,93
118,75,280,82,109,46,118,31,240,268,107
119,102,271,122,117,42,95,128,42,234,233
120,246,164,288,10,297,100,98,219,187,84
121,13,105,188,125,33,176,13,105,99,30
122,138,218,23,193,74,99,302,112,209,61
123,168,2,250,61,209,91,246,192,42,9
124,61,24,247,79,70,2,217,5,261,198
125,123,91,307,74,10,273,181,203,149,252
126,184,29,296,207,240,78,241,130,98,185
127,258,70,37,274,19,54,144,209,230,75
128,167,79,95,150,285,102,282,32,167,35
129,201,161,13,145,260,42,28,152,306,72
130,27,0,6,286,282,9,19,90,16,102
131,198,149,59,37,82,148,1,197,133,136
132,42,182,224,289,68,200,77,85,33,88
133,146,177,88,196,125,229,25,4,154,282
134,88,46,276,303,225,254,6,73,277,138
