,1
0,300
1,262
2,5
3,138
4,272
5,214
6,253
7,115
8,27
9,285
10,171
11,139
12,181
13,178
14,9
15,15
16,129
17,245
18,49
19,59
20,90
21,166
22,170
23,218
24,39
25,194
26,24
27,236
28,293
29,199
30,217
31,261
32,60
33,303
34,121
35,47
36,118
37,248
38,40
39,134
40,305
41,6
42,306
43,169
44,179
45,44
46,289
47,256
48,277
49,274
50,226
51,23
52,52
53,175
54,91
55,0
56,149
57,185
58,160
59,29
60,105
61,267
62,276
63,155
64,46
65,308
66,244
67,157
68,252
69,57
70,78
71,12
72,1
73,211
74,100
75,4
76,201
77,249
78,270
79,263
80,278
81,62
82,183
83,110
84,180
85,130
86,207
87,141
88,235
89,123
90,150
91,82
92,112
93,231
94,28
95,216
96,108
97,95
98,206
99,114
100,117
101,222
102,182
103,234
104,255
105,294
106,56
107,281
108,20
109,161
110,50
111,287
112,34
113,103
114,205
115,25
116,64
117,210
118,260
119,73
120,196
121,99
122,264
123,200
124,83
125,116
126,36
127,7
128,177
129,265
130,228
131,30
132,111
133,251
134,275
135,51
136,145
137,298
138,86
139,85
140,239
141,208
142,259
143,45
144,132
145,113
146,203
147,119
148,71
149,42
150,18
151,135
152,173
153,104
