,1,2,3,4,5,6,7,8,9,10
0,205,44,8,28,207,151,149,176,224,100
1,97,256,233,234,48,261,132,178,107,188
2,8,236,63,178,292,16,88,22,182,295
3,286,296,64,167,296,184,119,119,151,22
4,160,150,127,174,227,53,223,198,103,280
5,118,145,94,108,299,269,117,161,125,28
6,147,86,112,77,161,125,158,107,162,230
7,226,237,106,204,277,127,143,289,21,41
8,107,224,135,90,237,77,110,280,305,304
9,213,35,108,283,266,177,122,271,202,236
10,67,285,198,298,178,235,67,238,185,32
11,199,209,92,22,255,64,85,71,67,56
12,44,48,85,44,191,199,272,249,253,299
13,157,302,268,173,152,248,233,248,47,105
14,47,72,111,4,61,132,293,96,131,33
15,150,251,241,29,63,297,44,10,128,133
16,190,90,38,84,281,203,83,257,191,211
17,115,266,266,299,170,191,15,131,106,241
18,254,307,103,156,132,133,168,221,251,92
19,183,155,118,114,64,172,225,142,178,187
20,236,173,299,210,118,247,207,86,260,47
21,189,258,220,21,13,112,227,17,285,270
22,240,17,57,27,5,159,173,60,137,175
23,92,265,86,58,121,223,211,234,308,190
24,251,290,283,36,27,3,148,27,56,31
25,170,21,190,71,57,263,72,305,87,254
26,203,104,119,98,94,38,197,23,244,13
27,288,274,98,85,111,41,255,87,92,108
28,217,39,76,151,247,264,18,72,303,272
29,276,188,275,18,128,25,294,231,265,163
30,165,76,147,66,113,265,236,153,48,219
31,159,10,262,168,290,107,69,67,250,68
32,227,58,304,50,252,211,296,102,94,267
33,46,87,80,41,258,66,229,191,284,82
34,172,198,186,202,25,293,49,259,19,90
35,158,301,166,266,238,146,252,13,25,153
36,252,45,18,67,8,45,29,3,196,161
37,290,133,240,110,186,30,140,44,194,103
38,33,14,303,25,145,253,179,264,297,67
39,182,129,148,182,43,158,46,150,219,195
40,275,99,227,258,293,11,164,98,282,26
41,281,206,200,43,116,255,22,126,55,222
42,298,165,252,31,91,250,24,26,51,73
43,66,259,142,155,212,256,172,145,119,274
44,3,80,308,112,32,90,154,225,52,268
45,253,279,207,176,99,101,185,212,34,0
46,116,225,102,122,307,232,39,288,85,266
47,268,189,218,9,203,207,112,38,252,144
48,135,157,180,57,41,17,210,265,255,15
49,235,142,277,279,93,106,264,57,155,244
50,134,199,104,280,215,136,271,21,166,123
51,291,211,298,278,228,85,304,214,76,149
52,0,203,292,146,283,24,146,45,159,21
53,265,303,43,101,274,62,82,195,183,232
54,221,194,126,260,273,109,257,69,32,277
55,55,137,245,222,197,122,58,279,232,70
56,278,306,39,254,103,277,126,11,100,64
57,60,184,287,262,156,48,178,8,40,49
58,169,286,201,124,204,82,162,101,46,151
59,206,210,136,302,97,271,145,55,163,19
60,45,181,234,242,221,40,65,306,70,115
61,204,53,28,49,234,284,55,75,189,283
62,242,113,211,304,176,295,35,15,168,20
63,81,243,72,187,72,19,61,165,91,80
64,106,11,61,159,248,185,290,285,102,162
65,234,159,29,205,39,291,239,89,132,300
66,215,15,230,245,59,164,192,123,18,291
67,78,255,249,107,289,29,155,24,263,40
68,99,176,191,160,185,59,300,183,120,154
69,57,30,176,185,90,279,243,202,10,145
70,220,111,140,70,79,86,216,206,7,42
71,222,108,205,82,194,153,104,92,117,112
72,153,300,221,247,102,246,228,296,179,126
73,166,26,306,180,198,128,175,151,39,52
74,5,32,109,296,98,52,198,31,299,165
75,95,59,30,65,80,94,51,205,278,173
