,1
0,4925
1,1651
2,4823
3,3221
4,3747
5,1414
6,3152
7,3094
8,20
9,4723
10,4761
11,295
12,3918
13,4005
14,2174
15,3538
16,425
17,4426
18,2148
19,4592
20,159
21,3812
22,3468
23,1881
24,1594
25,1802
26,2616
27,4937
28,2129
29,3609
30,2990
31,2971
32,3361
33,4278
34,1608
35,4552
36,380
37,2368
38,4427
39,1732
40,4295
41,3055
42,904
43,4695
44,4031
45,2972
46,1191
47,1350
48,1618
49,3298
50,3728
51,3451
52,2853
53,591
54,1560
55,3385
56,1430
57,3599
58,4093
59,1617
60,792
61,3946
62,832
63,964
64,2539
65,965
66,4387
67,2733
68,3901
69,2325
70,1595
71,407
72,4293
73,2870
74,2943
75,2599
76,2570
77,2506
78,103
79,2286
80,867
81,4372
82,3756
83,1277
84,2014
85,4716
86,3921
87,2814
88,3497
89,2878
90,3255
91,1837
92,2394
93,4609
94,1875
95,4364
96,3043
97,1846
98,4814
99,2651
100,2741
101,3324
102,3197
103,2143
104,3305
105,2196
106,330
107,2946
108,796
109,1470
110,4106
111,3203
112,1810
113,994
114,3626
115,4249
116,1137
117,3358
118,639
119,3752
120,4258
121,629
122,4138
123,3173
124,756
125,2356
126,2382
127,4618
128,627
129,148
130,4414
131,2691
132,3570
133,1668
134,2401
135,157
136,4490
137,4603
138,3282
139,3124
140,2062
141,2815
142,4128
143,3157
144,3382
145,1693
146,4075
147,3132
148,3541
149,3555
150,3738
151,2478
152,4561
153,1421
154,1568
155,1850
156,3005
157,1605
158,1794
159,685
160,4915
161,1856
162,2042
163,2230
164,1621
165,3380
166,2302
167,1816
168,1424
169,2283
170,4778
171,4810
172,2684
173,2855
174,2583
175,4752
176,2229
177,3162
178,3077
179,1637
180,1942
181,2251
182,4146
183,2787
184,206
185,3012
186,848
187,4459
188,487
189,1676
190,3426
191,2220
192,769
193,1750
194,2537
195,429
196,2635
197,4590
198,3024
199,4432
200,751
201,4360
202,2488
203,4087
204,2236
205,818
206,4226
207,711
208,2095
209,2688
210,3267
211,1553
212,4971
213,3544
214,1912
215,4383
216,602
217,470
218,4541
219,2043
220,2584
221,2264
222,496
223,3128
224,4667
225,4354
226,4516
227,716
228,1419
229,4051
230,417
231,3277
232,4593
233,2883
234,1986
235,2511
236,1626
237,4287
238,399
239,4250
240,2131
241,3052
242,2467
243,3647
244,2141
245,4455
246,2068
247,4907
248,2371
249,2222
250,231
251,3793
252,1542
253,3404
254,4362
255,4365
256,2664
257,920
258,4838
259,51
260,3489
261,2982
262,682
263,30
264,1947
265,4687
266,560
267,2913
268,4910
269,632
270,4664
271,439
272,2355
273,2800
274,2793
275,4757
276,2769
277,4371
278,2376
279,1308
280,1170
281,958
282,3554
283,1958
284,4934
285,3486
286,2465
287,4289
288,3981
289,1714
290,4616
291,4798
292,258
293,2013
294,1219
295,1376
296,1243
297,2995
298,4224
299,1996
300,4890
301,535
302,4271
303,3537
304,1490
305,1656
306,4140
307,3759
308,2859
309,790
310,2119
311,3460
312,4288
313,4236
314,4098
315,2164
316,3781
317,2969
318,4397
319,4658
320,3271
321,977
322,1237
323,2986
324,2533
325,3664
326,444
327,2333
328,3109
329,4790
330,3883
331,4137
332,917
333,3731
334,360
335,4358
336,2312
337,4536
338,4384
339,633
340,510
341,2056
342,4939
343,674
344,455
345,2520
346,1207
347,4186
348,377
349,2157
350,3655
351,56
352,4501
353,2206
354,432
355,1975
356,2271
357,2172
358,1293
359,3561
360,3700
361,162
362,66
363,4294
364,2402
365,4943
366,2340
367,4026
368,550
369,2331
370,2767
371,1475
372,3594
373,1785
374,4129
375,845
376,2871
377,2758
378,3824
379,1956
380,175
381,4573
382,1938
383,2661
384,402
385,3923
386,3886
387,358
388,3556
389,784
390,957
391,3534
392,1152
393,3920
394,725
395,2782
396,3999
397,821
398,1173
399,2829
400,3158
401,4284
402,1366
403,888
404,124
405,702
406,4549
407,1662
408,1115
409,3505
410,3127
411,4374
412,1613
413,4027
414,3986
415,2522
416,698
417,2051
418,949
419,1441
