,1,2,3,4,5,6,7,8,9,10
0,1431,3962,393,2341,728,4102,4180,3180,2829,1372
1,385,4187,902,1753,1760,232,2077,3993,1083,639
2,2937,2586,1173,33,970,162,4153,514,2754,2667
3,665,3315,1344,4918,1039,641,1926,625,1584,3190
4,1376,1400,4315,2198,1344,1893,1386,3447,34,407
5,4095,4361,2273,4152,774,4928,4408,544,934,4326
6,503,4604,2034,425,1269,3987,3928,997,2270,2601
7,2522,3350,4204,4120,674,346,1714,4087,2495,3203
8,2362,4378,1636,3961,19,3313,2518,2181,1983,3282
9,2632,4985,2929,1453,1088,3030,302,3124,1402,2959
10,838,1507,2298,2892,2737,817,2222,1759,3722,2017
11,1741,3429,3874,1471,1400,1632,935,1042,3452,1073
12,744,1122,3041,2590,4980,3796,4219,4278,4229,2188
13,2986,1532,4717,1227,4925,2924,2187,4556,2393,2431
14,676,1805,3778,2687,990,4261,1831,3501,645,262
15,1213,3922,2606,658,387,1874,875,1845,1382,1306
16,2803,1033,2669,1607,4370,1858,3464,4186,1269,2116
17,4659,3492,3598,3532,4292,603,4903,1106,1412,1841
18,3942,3910,619,1741,2928,1146,2435,1772,2035,2139
19,3979,1282,3399,1268,3739,422,658,3897,282,1291
20,2254,237,1264,3994,3024,1172,1579,1253,3172,3598
21,3458,2089,4126,1976,2490,1041,2199,2479,328,911
22,134,4615,4231,3627,3361,1092,4220,521,794,951
23,3758,798,1672,3680,1821,2022,2029,4578,4950,2125
24,1359,4734,1745,1198,3169,3676,299,1844,2656,233
25,1720,1791,4947,4470,2070,1867,373,4485,1527,4553
26,3941,2327,2802,511,1748,3335,1944,1558,3523,4400
27,3601,3830,3997,3238,224,3098,2732,4624,2290,2868
28,3206,1742,1118,1164,2824,4274,4336,3987,4630,4497
29,4337,1598,851,3705,3963,443,4822,3666,1475,3680
30,696,1634,263,1566,178,3972,4856,4086,2356,1458
31,3699,415,244,716,199,1263,2745,4270,1321,174
32,1455,2000,240,3554,2061,1614,3815,4064,929,4136
33,3880,262,529,2503,1515,2441,1554,3084,4551,4258
34,3599,4781,3397,2394,3538,1516,3077,1350,1585,3205
35,3156,819,1380,2903,596,3807,2797,404,1686,4364
36,2221,3652,953,4020,974,2758,2226,2828,4446,877
37,4224,4756,4177,1601,4187,666,4656,4314,1604,2489
38,1827,134,2005,4782,2442,4892,3651,3050,3759,3246
39,1121,3426,1438,3173,2237,1635,4749,3521,1764,1994
40,4080,1700,1591,4389,3251,2018,4043,3680,817,4966
41,4640,795,215,2617,1428,1231,2304,940,4864,704
42,4675,749,3286,3475,3761,735,4023,1222,4702,2354
43,3450,2121,3535,1332,2362,4970,992,3310,3308,3654
44,3812,1526,4456,2460,1789,3120,1378,1779,4444,4312
45,1283,4748,3118,3087,2420,1573,2028,3552,3092,744
46,983,3030,3100,1172,1021,801,3368,1246,4362,2671
47,4284,2998,3163,3219,1457,3744,4061,209,2045,3080
48,188,3483,1704,633,3550,4047,4510,3183,487,1602
49,4889,2365,3831,2817,837,2054,3975,3054,4801,1646
50,2548,4408,3179,1636,1026,2174,1257,200,3279,3250
51,68,2703,4910,2280,1233,4721,4247,867,1068,4897
52,4946,1153,4533,1543,566,4482,2301,4472,1777,902
53,931,3434,4505,1043,3589,3602,614,343,2107,4252
54,623,739,3839,2319,2650,3650,1917,1281,1989,133
55,1070,3134,2423,3879,2938,4191,1558,101,4836,1846
56,1280,1899,4152,676,2541,1535,2815,681,2914,2443
57,670,320,2576,4290,778,1729,4796,1988,1249,4322
58,3066,2532,3008,3042,1325,2104,2115,1038,3281,4496
