,1,2,3,4
0,606,98,3254,400
1,3736,754,469,1135
2,3398,1961,523,1440
3,237,3452,751,331
4,3585,330,3471,1924
5,1372,1741,4351,2740
6,102,4990,4017,4164
7,655,256,1408,2729
8,117,2380,3635,3568
9,1472,4871,1417,3005
10,3284,2404,3098,4446
11,1308,891,1595,1564
12,2178,3693,4890,1949
13,4284,3513,2930,3603
14,109,2916,4630,816
15,330,2429,2863,387
16,258,422,3365,3093
17,3415,1277,471,2805
18,127,1922,3997,4375
19,4321,4215,451,1599
20,1629,2275,3130,260
21,2068,3120,3820,3418
22,4591,3650,2184,4694
23,106,4282,4508,1438
24,4885,2836,4994,1940
25,4668,1226,2452,4089
26,3498,1855,3320,2074
27,4914,866,3287,3348
28,1243,1412,3131,3074
29,722,665,3090,948
30,4045,4045,1797,4596
31,4819,2389,238,4372
32,4695,2162,2173,2128
33,4304,1290,3105,4562
34,201,1481,4615,4675
35,951,3207,1634,2573
36,386,3094,244,1748
37,1382,2923,1633,1980
38,716,481,118,2177
39,3500,3108,4882,4267
40,2423,1739,2389,3057
41,746,1531,3718,3757
42,1055,2251,4697,2707
43,4495,2443,1506,1873
44,888,4188,939,180
45,2269,1698,411,4134
46,3874,2067,1700,3303
47,533,1118,681,428
48,2659,3244,2113,907
49,4992,3439,271,378
50,1702,2416,4046,3399
51,302,4527,4420,1321
52,3552,3743,2964,2139
53,4105,4152,2606,2643
54,4951,1406,3622,4847
55,769,1221,673,2835
56,1425,3654,4774,3454
57,4006,2225,3508,384
58,2177,2876,4271,1026
59,1725,4501,1259,4405
60,4330,831,1030,4893
61,2091,1719,3182,1883
62,1070,4211,2396,4900
63,4273,4059,74,1580
64,1286,4324,3791,1568
65,2575,2059,4415,3550
66,304,1169,1749,529
67,4641,3482,234,3430
68,113,4818,2671,3744
69,2682,448,2955,4915
70,2798,70,614,211
71,347,4695,116,3976
72,4267,4246,1986,4341
73,82,2528,2886,4573
74,3794,3354,3370,1612
75,164,4553,2789,4217
76,3770,2446,1741,4245
77,4167,3949,517,2240
78,3505,2530,4841,3207
79,794,3995,1042,3640
80,4067,1838,3080,29
81,4498,2986,4470,141
82,3077,1417,2868,1124
83,2927,2422,3719,536
84,3780,2441,397,4295
85,4203,4759,1252,4602
86,4995,4980,1642,4636
87,829,4568,4460,1506
88,4102,3114,2096,4536
89,267,4612,3393,2773
90,3249,3625,915,4897
91,4287,3088,692,2843
92,399,3831,2023,4092
93,3885,3353,16,109
94,4282,1919,3325,3309
95,631,1479,2699,205
96,2168,961,780,4150
97,1300,4135,1360,4364
98,3916,74,113,3715
99,1641,356,186,634
100,1263,93,1343,4283
101,4188,1679,2319,3866
102,1060,4857,1606,2911
103,2320,3747,4611,4384
104,3627,1951,408,3864
105,2952,1657,2993,2373
106,1825,4304,2635,1532
107,1640,2267,3214,766
108,451,2375,226,1263
109,870,2821,842,1813
110,1075,609,3972,2340
111,894,4959,2494,1962
112,3836,2932,677,3396
113,79,686,4667,1433
114,2202,494,1010,1600
115,2870,4024,3409,4657
116,4557,239,4843,1269
117,898,1767,4408,2111
118,3746,2278,1285,3241
119,1035,4403,499,3456
120,621,4861,1955,2877
121,1713,1005,1759,3092
122,2695,3787,430,3887
123,768,4089,1680,4303
124,4156,2930,3397,3590
125,4390,3804,2521,2310
126,4447,1066,3243,1852
127,2301,4451,4986,4313
128,3701,18,3110,8
129,4358,4498,1868,462
130,615,1549,1627,1969
131,4404,4972,800,91
132,3792,3830,3737,314
133,158,81,3797,3655
134,4990,2918,844,2886
135,4865,1568,1665,4525
136,4809,3158,902,1102
137,51,1437,122,572
138,3843,2492,180,3413
139,2121,479,1946,1981
140,4069,2000,4802,4592
141,2268,1582,64,4593
142,3138,3757,571,2769
143,3641,4636,2092,575
144,1610,799,2987,4778
145,1778,1208,220,3659
146,3984,3579,2409,4513
147,2655,2369,1454,657
148,2982,236,1313,1809
149,4901,875,2460,614
150,305,2114,3194,2143
151,3322,2614,2430,4891
152,1089,1989,3691,4611
153,2541,526,3361,1926
154,2261,2740,239,457
155,41,2328,3111,4320
156,262,3841,2688,4340
157,737,387,916,3685
158,1284,1496,2713,3013
159,1495,1378,1841,2511
160,3990,3324,1158,4297
161,510,4426,743,1490
162,1388,3211,2267,382
163,981,474,2158,374
164,1419,4139,181,4578
165,3801,952,1050,1798
166,2283,374,3663,664
167,4716,4342,2343,1051
168,3027,3975,982,3429
169,4003,4625,4073,3790
170,925,2845,3777,1213
171,4389,2755,903,3969
172,254,4447,4998,2808
173,2488,4729,2459,743
174,3346,2981,2649,1821
175,5,4069,3806,713
176,4618,1222,4424,3358
177,4081,682,913,3823
178,4262,3817,1369,770
179,2153,3902,2345,1709
180,3173,4851,2203,2091
181,192,3809,4681,151
182,4719,1931,4718,4761
183,2986,2946,134,4108
184,3876,28,4939,143
185,37,4740,3558,2289
186,1299,4472,2841,4362
187,1694,2642,621,403
188,20,2399,1174,4753
189,2590,2320,4619,1246
190,3696,4274,4536,4786
191,3232,3201,4262,40
192,1153,2686,1128,1171
193,1466,2270,4660,3177
194,3859,539,4307,1851
195,3000,1405,3643,2136
196,3818,902,18,3624
197,2872,4121,1818,1036
198,1795,3259,1984,1052
199,3895,3477,2976,77
200,3611,2858,1677,1253
201,227,1061,147,2454
202,374,3048,3607,3039
203,3326,3166,4789,1232
204,3150,2421,1268,3330
205,2345,1607,3045,4396
206,3217,722,303,3063
207,375,569,1536,2281
208,4823,1999,4297,4273
209,3601,982,1721,1441
210,360,3641,425,4502
211,4421,931,4574,2040
212,2629,2297,1725,1864
213,3490,2725,4527,2779
214,3676,876,558,1607
215,189,4634,3460,1106
216,23,2638,1064,4327
217,1806,483,2818,386
218,610,4078,38,3707
219,1906,1069,3900,560
220,4574,4919,3513,3881
221,2220,3216,1086,60
222,2776,234,2770,88
223,927,870,2580,4711
224,1479,487,2894,3830
225,2470,2798,4449,4361
