,1
0,4448
1,1246
2,3809
3,3716
4,3575
5,3042
6,2336
7,2238
8,1579
9,1786
10,3388
11,3133
12,1558
13,1789
14,4855
15,3693
16,3749
17,381
18,2139
19,2872
20,1375
21,946
22,3015
23,950
24,995
25,1913
26,2030
27,2334
28,4323
29,1734
30,4605
31,2724
32,1631
33,3149
34,4221
35,3367
36,1652
37,983
38,3897
39,578
40,4369
41,2598
42,2372
43,3735
44,4276
45,1352
46,2762
47,2093
48,4819
49,3803
50,4861
51,3916
52,4676
53,3516
54,192
55,768
56,1492
57,3806
58,2756
59,1830
60,482
61,2531
62,3683
63,4550
64,2579
65,154
66,2761
67,2973
68,1918
69,925
70,3907
71,351
72,1556
73,3092
74,1819
75,902
76,1084
77,237
78,3880
79,37
80,3386
81,3458
82,2135
83,3865
84,3513
85,1440
86,3138
87,3533
88,3420
89,374
90,2704
91,1400
92,3805
93,973
94,376
95,2657
96,4522
97,635
98,558
99,4377
100,3610
101,3286
102,1920
103,4897
104,2247
105,1009
106,1340
107,2562
108,2001
109,3831
110,2215
111,1800
112,2385
113,2208
114,1461
115,4451
116,3685
117,345
118,1775
119,3423
120,2041
121,4953
122,2926
123,990
124,3526
125,364
126,3663
127,4923
128,4
129,752
130,3377
131,4526
132,1885
133,2453
134,1638
135,4911
136,273
137,2493
138,2262
139,2626
140,3251
141,4095
142,594
143,852
144,127
145,101
146,2343
147,997
148,4555
149,3097
150,3321
151,630
152,2581
153,1969
154,494
155,2155
156,3446
157,4826
158,316
159,164
160,298
161,1056
162,2012
163,587
164,1596
165,1289
166,2298
167,2066
168,3111
169,849
170,59
171,354
172,4983
173,954
174,669
175,673
176,3257
177,715
178,4281
179,584
180,1712
181,3572
182,2413
183,3836
184,1138
185,897
186,1
187,815
188,87
189,4846
190,4692
191,1118
192,1300
193,4008
194,2471
195,1563
196,1320
197,3293
198,4434
199,2127
200,3895
201,1878
202,1355
203,1194
204,4461
205,4411
206,1095
207,2162
208,1578
209,419
210,2207
211,4333
212,2032
213,4873
214,3896
215,1514
216,1528
217,107
218,1915
219,1123
220,4788
221,1581
222,2989
223,4233
224,3871
225,2518
226,2953
227,208
228,3328
229,22
230,2404
231,379
232,3623
233,1780
234,283
235,1267
236,4809
237,3009
238,1498
239,1474
240,220
241,4154
242,3066
243,1974
244,1580
245,3734
246,4457
247,2880
248,2804
249,675
250,390
251,3713
252,4433
253,3617
254,4879
255,575
256,4444
257,365
258,1831
259,3753
260,4866
261,4706
262,2456
263,4096
264,4517
265,4090
266,1980
267,4220
268,3320
269,3778
270,284
271,296
272,2190
273,3833
274,775
275,3299
276,2429
277,404
278,368
279,3936
280,2862
281,4502
282,2571
283,1812
284,1532
285,314
286,2968
287,2322
288,3938
289,4900
290,475
291,2275
292,228
293,1929
294,962
295,3014
296,4604
297,4158
298,2352
299,3618
300,4908
301,543
302,2672
303,4331
304,491
305,1257
306,1068
307,1442
308,1002
309,4534
310,2771
311,3294
312,3867
313,3660
314,3514
315,1851
316,120
317,2249
318,3175
319,4970
320,3850
321,3462
322,2153
323,1711
324,2567
325,4058
326,1455
327,810
328,1604
329,375
330,4082
331,1601
332,3858
333,413
334,846
335,235
336,4543
337,2293
338,2036
339,3393
340,4991
341,865
342,4401
343,3887
344,1927
345,3017
346,4722
347,2902
348,1742
349,3488
350,992
351,1327
352,4468
353,3767
354,2775
355,2279
356,4174
357,687
358,47
359,2015
360,641
361,3113
362,236
363,507
364,2058
365,909
366,3813
367,3983
368,193
369,3600
370,2466
371,1619
372,4476
373,2655
374,820
375,1979
376,4112
377,1141
378,1420
379,4956
380,2443
381,2309
382,3769
383,136
384,1939
385,4057
386,3940
387,3029
388,333
389,4470
390,4180
391,3830
392,1078
393,3411
394,1687
395,4373
396,4301
397,174
398,2707
399,211
400,708
401,691
402,3944
403,1597
404,4356
405,2253
406,2950
407,3418
408,3087
409,4766
410,3772
411,1582
412,3941
413,1427
414,2482
415,723
416,2703
417,3279
418,1672
419,2606
420,4007
421,1869
422,930
423,102
424,803
425,3436
426,3750
427,868
428,183
429,1054
430,3475
431,3590
432,2987
433,1310
434,145
435,1832
436,4768
437,3842
438,2952
439,4314
440,766
441,4601
442,2233
443,3365
444,2891
445,3794
446,2077
447,960
448,1066
449,1222
450,1168
451,4149
452,76
453,2833
454,2910
455,2985
456,1677
457,1208
458,2046
459,1486
460,238
461,4105
462,546
463,2602
464,2367
465,269
466,3220
467,3193
468,4509
469,1934
470,3970
471,2554
472,2176
473,1212
474,613
475,3351
476,2696
477,905
478,2479
479,4329
480,4032
481,2766
482,79
483,2425
484,2711
485,3403
486,74
487,1139
488,3170
489,1845
490,4139
491,913
492,2738
493,665
494,1236
495,1678
496,2165
497,3654
498,2016
499,1977
500,4938
501,181
502,319
503,1216
504,3771
505,3049
506,968
507,2947
508,1540
509,3211
510,2594
511,4566
512,3302
513,3543
514,2063
515,1721
516,1961
517,3101
518,873
519,2103
520,2223
521,4173
522,1675
523,971
524,1598
525,2590
526,617
527,2977
528,3620
529,1273
530,4969
531,1011
532,1120
533,464
534,826
535,3613
536,2536
537,2212
538,1047
539,4505
540,4672
541,500
542,773
543,862
544,3427
545,3353
546,599
547,4849
548,2328
549,4623
550,121
551,2906
552,2644
553,1235
554,4635
555,4477
556,1600
557,2748
558,4740
559,4690
560,2744
561,2889
562,4825
563,672
564,1887
565,0
566,1509
567,979
568,1696
569,465
570,468
571,3084
572,4824
573,356
574,2121
575,934
576,2918
577,4453
578,3089
579,3011
580,3550
581,3703
582,3269
583,427
584,3442
585,767
586,2125
587,2712
588,1189
589,2547
590,3665
591,442
592,1136
593,616
594,2876
595,1555
596,3592
597,1657
598,4370
599,2538
600,4614
601,4030
602,2025
603,1791
604,249
605,1925
606,2505
607,3285
608,3100
609,1891
610,2381
611,2305
612,4013
613,1500
614,2516
615,1844
616,1766
617,3674
618,582
619,1477
620,937
621,4179
622,282
623,4685
624,1627
625,467
626,2092
627,3322
628,4630
629,4338
630,4782
631,4415
632,2653
633,854
634,2919
635,1085
636,2492
637,1016
638,1025
639,4677
640,4913
641,3104
642,3438
643,4878
644,3559
645,1971
646,3287
647,4758
648,1314
649,2310
650,2553
651,137
652,2591
653,3637
654,1423
655,1896
656,2521
657,808
658,4951
659,3899
660,2647
661,67
662,4319
663,1452
664,391
665,387
666,4963
667,4279
668,498
669,93
670,3346
671,2145
672,4691
673,4912
