,1,2,3,4,5,6,7,8,9,10
0,2311,1402,2468,4487,137,1568,2160,1233,3361,34
1,4402,3337,4332,4697,123,3757,805,3056,1418,1492
2,2390,1006,1737,2521,750,2249,1472,2597,4142,389
3,639,78,3958,4452,2363,4150,3056,4557,1614,4923
4,3180,2240,4832,4199,3216,2513,1462,1046,4964,2267
5,2317,3770,198,620,1650,4532,576,2076,2152,1680
6,3516,2439,3098,2796,1687,1216,2151,3092,512,1974
7,2890,2101,2732,2213,4155,4563,1733,2795,4201,2485
8,4644,2005,146,790,576,1519,1918,1179,546,88
9,1780,440,1734,2573,2733,2212,955,394,3865,712
10,2402,1798,4120,140,2445,407,1457,2116,3200,3944
11,3831,479,199,2894,2275,3751,1490,3061,4097,2919
12,1681,251,3385,1287,3402,796,2462,3848,2665,1873
13,1502,3956,4487,3755,2619,2801,679,690,3380,1743
14,2951,253,1944,3287,1589,2601,4438,1437,2637,292
15,4877,4635,2494,1896,2937,1273,423,1605,907,554
16,3102,1107,2188,1463,3042,4548,4778,2331,1906,2394
17,1857,31,4058,2913,3131,2829,1873,1156,501,4986
18,2591,3617,2993,1756,2053,1024,46,337,3053,3482
19,4779,1304,3158,2096,3641,4693,3893,2474,1208,2317
20,4292,1918,1620,4482,1230,3852,1630,4351,150,385
21,3028,4278,2021,2121,2874,3752,849,2842,1510,1980
22,206,1477,832,495,1348,4573,2132,1057,3945,39
23,2701,2707,2763,1067,2910,1862,3057,4486,972,2663
24,99,4548,2755,3058,3927,1690,3650,3299,1935,4143
25,3065,2720,4380,3240,1203,2139,2455,2757,4059,4600
26,1577,3254,3957,2806,3168,4580,3765,2212,1573,2236
27,1834,2883,3949,4886,4677,3110,1433,1976,886,2802
28,3487,4423,1110,3151,1635,3138,552,1386,2335,4734
29,948,4160,2611,3833,3456,1588,1957,1838,1725,4670
30,3054,3213,2424,1221,1981,2275,2677,2183,2161,3698
31,63,4396,1469,1938,3637,2797,2488,1850,255,2821
32,373,2449,349,1556,2974,171,3820,1009,714,2345
33,1214,4707,2032,2151,4648,1110,242,275,1222,1966
34,977,382,2118,2618,3354,1718,1535,2762,4257,1968
35,4263,1569,1347,2154,2367,584,4141,3967,3786,4222
36,2408,2675,1281,1873,4441,2720,3941,2968,641,1149
37,3892,2729,787,2125,4302,1738,1684,4347,4708,3889
38,2651,2920,1623,925,3904,4043,2026,1548,855,1083
39,1308,653,1042,3199,3624,4019,3588,3025,2160,4647
40,3176,4510,4662,2364,4431,1113,913,2929,1947,4846
41,1356,2393,1545,2150,4771,1328,1977,33,3105,1593
42,566,352,2663,4201,1806,3753,1009,2328,2854,4801
43,3949,14,2137,3357,593,894,3648,664,875,602
44,3566,1559,4100,524,1198,1048,4864,2932,2680,2614
45,4404,2970,3780,1161,2844,1513,4591,443,2242,3226
46,3730,229,2104,4287,4967,3597,1299,382,2986,1738
47,2078,2095,4463,1454,4541,3074,3098,2149,3424,3888
48,4893,3129,4021,4217,4536,2600,4324,4541,1881,273
49,3770,4033,4427,1496,3715,4596,1025,735,642,154
50,4069,714,1244,3084,554,1572,3024,1244,268,4065
51,4242,1171,1163,4998,2492,751,2351,3437,2712,3846
52,4474,4630,3032,1690,4977,1001,2155,3706,2645,536
53,2219,2847,2055,1422,1215,1670,4904,201,3081,3643
54,1575,4451,371,3728,1867,3094,2329,3891,4908,2642
55,581,3780,4157,3692,4643,4322,3109,2916,4403,728
56,5,2535,2301,779,1099,1641,1652,1058,4715,622
57,1545,4594,594,1809,2478,612,1771,2926,4438,1091
58,591,1213,2478,3456,3713,3553,558,679,97,1018
59,791,838,1378,837,2768,4807,3420,2796,950,3661
60,4958,2226,3031,3805,2861,3319,2156,3252,3304,2974
61,1911,42,879,2483,3504,3764,3218,1793,2583,3362
62,1848,3362,2773,4071,2383,3524,4826,1056,3628,2798
63,2432,716,1670,4628,2662,3789,136,4462,689,4907
64,3388,2171,105,4172,132,1262,228,910,291,4517
65,4181,4713,4227,565,3565,747,1639,2282,2153,3625
66,2469,3785,2995,3556,3176,1805,2122,4197,4667,3352
67,236,1045,3734,138,1758,551,3962,461,1979,1021
68,2676,4896,2116,2591,3185,3701,4551,149,4149,172
69,1154,1538,1127,1072,4386,2145,1092,919,1768,4212
70,3213,4963,4656,1868,1165,1435,722,3759,751,3196
71,2563,1240,2391,4543,4029,4477,3164,4588,3880,4881
72,4096,3555,3401,2509,639,1644,1747,3367,4448,1725
73,268,2148,4278,4420,1358,1075,4406,1919,3670,2573
74,4305,2643,979,4238,1110,4765,725,4530,3625,1111
75,3724,888,777,4938,3070,324,3958,1960,944,3401
76,3510,2840,1868,378,3934,4934,1250,796,3624,1863
77,2321,250,463,2251,4412,1156,4915,2687,531,4982
78,1358,3371,3897,3134,223,4635,4578,1904,1810,3618
79,3418,1201,3531,1327,3723,658,1410,4019,1380,4482
80,2043,3177,3345,4771,2543,2524,3846,663,603,482
81,1914,965,390,3076,1851,3124,4900,3359,4068,2755
82,2781,2764,2893,1245,1786,2663,95,168,4178,4587
83,3495,1117,2457,1585,2300,4007,1309,3673,4923,4688
84,1423,1782,2352,4168,1424,3448,4244,2903,1921,3297
85,2228,2670,3103,2407,2979,1968,4175,4043,3277,974
86,156,1964,3360,3757,2230,2176,850,4446,1294,1161
87,4587,619,1004,3975,2289,1943,2300,3250,4134,2948
88,4936,397,2727,2098,1548,1458,2890,3850,3223,2112
89,123,4399,763,2501,4286,3882,3365,2359,2881,1786
90,3923,188,3766,3869,3569,3738,3721,3992,302,3308
91,1178,171,806,2646,4267,2554,4704,3384,4190,2075
92,2451,3563,508,3410,145,1607,4251,4288,680,492
93,4914,3855,4343,514,989,1442,2109,4747,4225,2888
94,4207,1719,441,3730,1006,3154,2441,4732,1953,1876
95,2345,2642,2016,1936,4867,86,3562,2548,3360,120
96,1342,149,725,3450,59,2060,2616,3728,1802,2314
97,2606,3246,4740,455,1458,1511,1928,1685,1122,787
98,3498,4661,1503,4765,2540,3006,4489,3375,4363,96
99,1499,2222,4616,3907,4471,4941,2697,4924,2744,1948
100,4700,156,4659,3600,3443,3850,2943,2784,4343,4031
101,4351,3228,3145,2000,1235,3487,326,4583,2536,1432
102,1369,3309,4153,4215,539,4187,1020,1498,3310,418
103,596,4157,1514,334,490,2717,3479,2557,1442,29
104,98,2946,226,1696,3438,290,1542,2993,4759,2915
105,122,2842,3332,1062,703,3141,3586,445,1838,1408
106,2590,3393,874,559,291,1584,4566,4611,1999,2455
107,2751,799,4627,4381,953,3992,2550,1956,1318,2210
108,2176,3985,1274,4645,628,870,3779,291,1533,1618
109,1062,3807,4655,1423,1132,211,4927,4536,277,2837
110,2744,3448,3402,1862,1565,3982,4476,2682,3954,1067
111,1139,1103,3318,3277,2780,3298,4067,3562,4428,523
112,181,3324,2592,3538,3065,2302,4643,3233,4912,1008
113,1952,4763,41,1480,3467,2293,2424,389,386,4287
114,3405,2272,2270,688,1438,481,93,4813,3398,244
115,4910,4595,4103,2220,4999,2568,4805,4284,1588,462
116,3246,2334,2479,3562,63,4126,1109,2621,249,986
117,1835,26,564,2933,1931,3288,2738,1210,3941,2641
118,2740,3720,8,1396,2252,2321,1367,828,4531,3893
119,4427,4269,2454,2914,2003,828,4071,390,694,6
120,4237,834,1271,3262,4820,2161,4151,4044,1941,94
121,1457,3167,664,2939,4535,3750,280,3719,2972,4927
122,3520,2150,40,3182,4997,4242,113,4291,4762,2265
123,1896,4339,3433,3807,1114,4619,993,3411,635,2776
124,3067,3064,329,530,4696,2406,538,4767,2390,1532
125,789,4538,2944,739,2012,3721,4622,2510,153,2109
126,4218,4564,599,96,3691,1316,255,653,1346,1236
127,339,2199,4930,388,888,3829,4597,2616,525,3056
128,4182,947,4680,3999,1571,4633,3858,3133,3737,1081
129,4841,2008,4758,3615,2561,1514,1325,3688,4212,4652
130,3955,3626,3500,2823,2664,975,4562,3820,2646,77
131,697,4624,1680,1209,2538,3226,221,3142,524,637
132,525,2864,177,3412,1284,2509,829,3051,3622,4175
133,1722,1056,3668,860,2202,3874,469,2268,462,727
134,1667,3601,4540,1714,855,2724,2603,2204,3592,2958
135,3678,3100,3868,3857,247,2294,4633,2865,1664,3815
136,4683,4092,1420,295,245,1138,2142,1459,2450,1895
137,2612,4932,4496,2135,3394,2340,4480,3126,2350,1792
138,638,2657,1906,1879,4189,4620,2504,3567,2659,1614
139,4989,264,2625,2259,3159,1425,3127,167,4683,2278
140,964,4940,186,1085,2065,463,1905,361,4408,880
141,2673,2774,2799,2092,4173,710,2598,3796,2870,2951
142,1159,2728,2199,1569,4180,1793,1500,2375,912,4746
143,1142,433,781,4811,1468,4120,2254,4640,3937,261
144,973,1620,3913,645,1891,1055,2003,2388,1545,4339
145,1605,119,3680,1613,3917,3583,1686,3493,4870,4862
146,776,1403,2369,2017,3099,4835,5,97,4511,3412
147,4671,3519,2580,2583,1154,1657,2795,12,4643,1543
148,943,2796,3976,1411,2652,2636,782,2945,3983,4843
149,3485,4282,2263,4909,1364,1754,1904,436,3707,3038
150,228,3912,3776,3366,699,725,2545,4935,2348,3837
151,2123,1273,1085,2774,2501,4239,716,3735,4132,1183
152,2497,4968,1302,3204,444,2028,4576,2040,4140,1175
153,3919,4487,2940,3673,2523,3551,2649,4535,4973,144
154,4880,4683,2201,258,4266,109,3967,2975,1603,1466
155,4903,4864,1791,2688,3653,2541,4298,812,1220,4111
156,2459,3484,4090,3266,673,4089,1511,2955,4947,2381
157,2879,4600,1227,1996,3907,2710,845,2729,1140,1654
158,4297,4955,1405,1438,4877,391,122,1626,3753,4396
159,1221,410,3056,3809,2642,2596,257,1369,4743,2159
160,4376,3715,1867,2848,4424,1640,1996,1734,3324,1826
161,671,2918,3091,2909,3526,2599,1994,4704,3996,1566
162,4357,3989,2786,1449,4243,2461,2651,3681,1785,3001
163,2150,3665,2549,1678,4167,2852,484,4543,591,3828
164,2722,4718,3824,1340,696,1238,3338,1692,3584,4224
165,4858,4634,1189,3457,2576,3710,1552,4187,4141,7
166,3406,976,3120,1216,1757,4711,582,3015,1063,3151
167,1765,4509,1627,883,90,129,989,36,1558,2069
168,647,4268,3454,2025,482,1327,2630,4065,1902,2409
169,2504,1685,2918,427,1379,2591,1866,3316,2402,3775
170,874,1497,435,2849,1301,1060,1647,1388,3779,2252
171,2315,2563,23,2120,1092,2132,4365,1939,1025,1848
172,1310,4846,3715,3013,126,3324,3750,2564,4656,4878
173,952,3329,3510,1827,96,3974,329,913,3972,3324
174,2207,3885,1385,2059,1228,1570,4546,2713,3802,2448
175,4493,973,4767,1452,4224,4142,4454,2914,862,563
176,883,612,4701,4252,2981,2877,4644,1275,3763,4442
177,3862,1049,1445,2143,4905,1370,2567,4908,3789,2830
178,4405,2895,4996,4417,3249,2402,1674,753,1739,3808
179,4853,2143,600,1933,2903,2788,3806,900,57,1929
180,3622,1773,2975,2788,208,3407,4728,987,29,1515
181,278,3951,76,2575,4766,3896,1133,369,903,594
182,3260,2834,3203,3684,4539,1000,912,834,4123,1119
183,2108,1571,3775,2436,4263,3018,312,4746,808,842
184,76,1280,796,3790,2533,2,2005,4594,1394,632
185,3219,2538,872,1338,2924,4118,1513,4105,4919,1999
186,4945,2978,2522,4978,570,70,3797,2677,2207,1512
187,2028,4735,3094,115,2332,4016,68,1340,2561,3252
188,2361,789,4327,3315,2542,4189,4328,929,1157,3031
189,136,1736,1285,1354,2346,4023,2775,3711,2763,3538
190,989,4984,3724,374,4509,4123,2969,4042,2049,4358
191,1269,4913,3193,1708,2853,3925,2229,1477,4102,2442
192,3764,4488,1800,1371,1478,4639,2414,2364,225,1165
193,4801,337,3011,2056,4724,1946,2375,3020,4807,3878
194,3718,1898,162,1144,846,3059,4951,3833,2282,3232
195,899,1846,3931,1825,4941,2261,4090,2895,957,1213
196,1157,2385,1313,4982,189,4663,3296,1728,1724,2536
197,4867,96,1069,3836,748,1397,3602,2558,3049,1373
198,1979,4199,2884,4392,3712,3994,4887,3613,2317,1818
199,1738,3128,1001,3795,3192,2102,3136,1658,435,981
200,800,3048,4845,2877,1517,1043,285,2524,2511,2347
201,2234,1433,4878,1532,1056,1904,1087,226,2178,985
202,292,4607,2987,651,4862,1934,412,4573,448,319
203,3586,4704,4003,2586,2239,4504,1843,3480,1576,4301
204,3148,3638,3601,2561,1181,1254,397,938,2945,496
205,1071,1146,3800,564,586,2491,3401,3363,4943,4195
206,2246,422,1248,584,2432,3707,32,1912,4337,2295
207,848,1359,964,3957,1858,2173,646,886,1992,550
208,3651,1085,4205,2593,2978,945,4590,3075,3072,2006
209,4358,3717,4556,4517,698,1218,3054,2152,952,1025
210,4005,2695,4555,1790,3225,1366,3704,4174,1107,1955
211,3572,3868,4031,685,3817,1460,834,3507,232,2015
212,1640,3210,1319,598,626,764,2178,4114,2861,3486
213,2022,575,317,4832,4920,1348,4981,1933,1945,38
214,4434,523,4091,2649,3360,4499,4171,3164,4487,2035
215,2919,957,1084,3251,4075,3021,1815,3148,1861,3859
216,2598,2149,3527,627,3976,3472,608,4743,2436,1871
217,3061,2590,1661,3168,1262,4587,2540,4113,1045,2373
