,1,2,3,4
0,217,2801,565,1556
1,2812,447,3618,31
2,3070,2304,4405,1668
3,2062,1800,1804,4863
4,4021,2205,4268,2871
5,2092,2210,2144,4505
6,2504,1725,3753,4068
7,175,2996,1907,2099
8,437,3657,259,1720
9,2100,2556,4674,4185
10,666,1670,4477,4448
11,663,2904,3109,4704
12,3638,3135,723,3262
13,73,3283,824,4648
14,252,1530,253,4493
15,2804,3219,2659,1672
16,75,4333,1390,4646
17,1052,4288,3553,4883
18,2810,4308,3223,41
19,2354,4284,983,2588
20,1442,3131,1347,4797
21,1914,935,1905,3614
22,1556,2764,1296,4292
23,736,3077,1756,2747
24,3669,2123,2703,4843
25,178,2051,863,3608
26,4408,564,2827,2295
27,2745,896,3847,2882
28,1631,2476,812,1521
29,3025,3658,2890,4535
30,283,623,2723,344
31,1915,2338,587,474
32,4436,4696,1743,4473
33,183,1841,2768,2118
34,2187,1908,3277,1892
35,4243,1265,4269,2465
36,3640,1325,4124,1173
37,307,304,1222,2792
38,166,2126,1021,1408
39,721,3099,3490,2268
40,3693,4200,4152,4771
41,3086,2579,1582,4581
42,2654,4649,722,917
43,3015,3222,2530,433
44,2327,3360,513,415
45,1741,3459,1757,3596
46,2032,1819,1054,1537
47,3966,2344,945,2632
48,2544,828,891,1383
49,3102,4949,2194,3372
50,1665,2776,4544,3891
51,327,1994,250,2795
52,949,793,3458,2201
53,1919,454,3335,1191
54,2580,1203,2423,2744
55,4624,1040,3121,2290
56,1142,3580,1204,1898
57,4172,4873,4501,2379
58,2972,1541,4625,4947
59,1786,1306,508,4874
60,1551,4910,1295,1646
61,2373,2906,193,2954
62,1346,4737,320,4392
63,3434,3071,1503,1480
64,66,412,4631,4300
65,1349,2513,838,4567
66,2525,679,4591,1254
67,423,4503,551,1921
68,1978,3979,4564,4597
69,1283,1714,2885,1200
70,3914,3563,3070,1331
71,1816,232,31,562
72,617,4953,225,4412
73,1111,2042,296,1655
74,954,3004,66,1446
75,4974,2718,1909,4064
76,2980,1309,3225,968
77,2738,4562,3072,4984
78,3107,1859,2633,1772
79,4324,2701,1960,4899
80,4480,2573,2458,2053
81,4043,1447,4665,2623
82,1517,3920,1487,2497
83,2417,786,4425,4057
84,1849,1267,1913,1143
85,2038,3805,2162,2646
86,1994,1619,529,1744
87,3516,2879,1099,3686
88,718,2013,3000,2771
89,4661,3927,4439,2546
90,2258,2870,4590,3104
91,2957,4785,1635,4098
92,3401,1156,3580,3510
93,4204,2911,2119,2249
94,2678,942,2074,2238
95,704,4446,1373,2426
96,895,1256,12,3601
97,931,2510,4709,425
98,4209,4170,4159,1372
99,2667,1842,652,326
100,2439,3686,3987,2887
101,2362,927,2306,244
102,3203,258,300,2832
103,2614,2964,566,1463
104,4959,1638,173,4036
105,4271,4099,35,1863
106,3067,4688,4112,1423
107,490,2457,3242,1547
108,414,4672,4208,4170
109,3379,2824,2921,2875
110,3831,2393,126,4439
111,4513,3200,1233,3214
112,3935,2228,1445,200
113,1989,1363,3504,2297
114,3725,571,1787,1785
115,3863,2309,3610,3595
116,339,2529,4472,1125
117,4299,2839,1997,2572
118,3840,1370,2077,587
119,2305,3621,544,1445
120,4786,3173,4191,2461
121,519,768,938,965
122,4332,2984,825,3054
123,699,1399,1824,4122
124,4527,285,2915,4160
125,3704,1559,3810,3203
126,3545,2161,2792,556
127,4148,4578,2210,4348
128,2521,3407,4761,4873
129,1817,4321,1498,4526
130,571,1735,2359,4128
131,3900,3555,2365,1193
132,4280,2690,3690,2587
133,101,671,1565,1458
134,2731,2007,719,4719
135,1585,718,433,2068
136,3710,3098,4342,2299
137,2526,2061,3951,1330
138,1546,289,3686,884
139,4919,1520,2185,607
140,1071,3475,2152,4360
141,1723,4309,4653,2761
142,1733,4071,4861,652
143,4149,1614,668,963
144,4478,60,2292,3417
145,4023,1321,3965,994
146,4107,668,3752,473
147,4315,2364,1245,1475
148,4374,4003,1927,3
149,3262,2116,1622,3181
150,2795,329,2416,1032
151,378,4478,806,3463
152,1815,4151,4051,934
153,3081,4692,1004,3091
154,2050,3217,1348,3612
155,3858,516,3266,4425
156,4257,4669,2637,957
157,4662,924,4364,4895
158,3777,4878,3197,4651
159,1120,4837,2616,4911
160,3111,4964,3993,162
161,4745,3507,3119,1548
162,1782,3669,1688,4749
163,4958,4640,4036,4382
164,2066,3860,1479,2841
165,1905,3314,1330,3946
166,331,3197,3881,615
167,156,1932,63,2200
168,4762,1978,4261,3264
169,2412,2893,616,1447
170,2286,1224,1604,3149
171,849,1327,1507,1416
172,3998,3384,2027,2059
173,2191,1732,526,3111
174,793,1769,4233,3768
175,2494,1905,1996,1466
176,2703,4844,2145,3970
177,2732,653,1985,2163
178,4341,2194,1552,4293
179,562,4705,4426,1932
180,2447,4419,4409,4981
181,4659,4369,2575,112
182,3054,4424,3493,4868
183,1789,4199,3776,2103
184,4604,3521,4801,694
185,1095,3996,3603,1288
186,1077,3379,1394,3945
187,513,1151,4765,2087
188,4692,383,1325,1166
189,1022,4998,3612,4969
190,3030,1538,3634,4356
191,4741,2899,1871,241
192,4291,907,4207,4156
