,1
0,551
1,184
2,208
3,205
4,550
5,141
6,479
7,433
8,151
9,436
10,289
11,557
12,143
13,492
14,328
15,351
16,416
17,395
18,63
19,556
20,96
21,51
22,213
23,28
24,461
25,288
26,66
27,236
28,342
29,281
30,305
31,29
32,456
33,294
34,364
35,161
36,210
37,314
38,123
39,437
40,480
41,216
42,404
43,350
44,110
45,344
46,53
47,11
48,3
49,163
50,197
51,202
52,279
53,164
54,233
55,483
56,125
57,498
58,548
59,247
60,92
61,542
62,371
63,241
64,417
65,466
66,235
67,510
68,497
69,445
70,134
71,77
72,255
73,27
74,553
75,321
76,326
77,540
78,115
79,527
80,349
81,34
82,100
83,155
84,97
85,493
86,496
87,5
88,148
89,501
90,186
91,541
92,462
93,514
94,405
95,83
96,310
97,252
98,325
99,209
100,338
101,340
102,384
103,75
104,79
105,2
106,271
107,367
108,45
109,530
110,193
111,537
112,219
113,211
114,215
115,144
116,376
117,212
118,526
119,226
120,566
121,555
122,152
123,260
124,467
125,400
126,485
127,331
128,531
129,9
130,0
131,441
132,438
133,98
134,565
135,74
136,517
137,358
138,157
139,62
140,399
141,94
142,320
143,450
144,300
145,112
146,180
147,76
148,33
149,547
150,37
151,319
152,64
153,194
154,15
155,522
156,538
157,303
158,146
159,102
160,368
161,230
162,276
163,278
164,379
165,50
166,52
167,422
168,207
169,192
170,369
171,440
172,385
173,561
174,471
175,240
176,223
177,258
178,118
179,204
180,298
181,487
182,544
183,374
184,67
185,406
186,477
187,172
188,444
189,489
190,392
191,232
192,330
193,515
194,126
195,49
196,562
197,419
198,280
199,107
200,114
201,339
202,475
203,352
204,393
205,266
206,523
207,427
208,506
209,470
210,372
211,261
212,284
213,535
214,558
215,190
216,380
217,311
218,228
219,355
220,365
221,354
222,345
223,224
224,509
225,435
226,214
227,101
228,95
229,147
230,78
231,283
232,353
233,494
234,43
235,322
236,502
237,418
238,108
239,386
240,323
241,179
242,545
243,412
244,46
245,111
246,122
247,373
248,484
249,333
250,431
251,124
252,120
253,459
254,196
255,285
256,185
257,21
258,434
259,176
260,88
261,511
262,336
263,167
264,109
265,543
266,381
267,343
268,533
269,259
270,183
271,106
272,13
273,154
274,460
275,275
276,292
277,200
278,388
279,137
280,84
281,488
282,287
283,169
284,90
